	URL		B&W	COLUMNS	GENRE	SOUS-GENRE	TRAD	ACTES	RECUEIL	GENDER	FONT	DOUBLE	ARK CATALOGUE	DATES	AUTEURS	WD	TITRE	CONTRIBUTEURS	EDITEURS	DESCRIPTIONS	SUJETS	PROVENANCE		DROITS	NOMBRE DE VUES	CODE(S) PROJET(S)	NQA Moyen (%)	SOURCE
https://gallica.bnf.fr/ark:/12148/bpt6k10901623/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k10901623				Tragi-comédie	–				M			http://catalogue.bnf.fr/ark:/12148/cb44729598r	1658	Boisrobert, François de (1592-1662). Auteur du texte		Théodore, Reyne de Hongrie, tragi-comédie	L'Amy, Pierre. 3290	L'Amy, Pierre (Paris)			Gallica		domaine public ¤ public domain	94		0	Bibliothèque Carré d'art / Nîmes, 8344_40_05
https://gallica.bnf.fr/ark:/12148/bpt6k1090163h/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1090163h												http://catalogue.bnf.fr/ark:/12148/cb447295993	1656	Boisrobert, François de (1592-1662). Auteur du texte		Les Apparences trompeuses, comédie	Luynes, Guillaume de (1627?-171.?). 3290	(Paris)			Gallica		domaine public ¤ public domain	126		0	Bibliothèque Carré d'art / Nîmes, 8344_40_06
https://gallica.bnf.fr/ark:/12148/bpt6k1090164x/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1090164x												http://catalogue.bnf.fr/ark:/12148/cb44729600g	1660	Somaize, Antoine Baudeau (1630?-16.. , sieur de). Auteur du texte		Les Pretieuses ridicules, comédie [...], nouvellement mises en vers	Bessin, Jean (159.-166. , imprimeur-libraire). 3060 ¤ Ribou, Jean (1630-1702). 3290	(Paris)			Gallica		domaine public ¤ public domain	164		0	Bibliothèque Carré d'art / Nîmes, 8344_41_01
https://gallica.bnf.fr/ark:/12148/bpt6k1090165b/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1090165b												http://catalogue.bnf.fr/ark:/12148/cb44729601t	1662	Charenton, de. Auteur du texte		La Mort de Baltazar, Roy de Babilone, tragédie	Pépingué, Nicolas (162.?-1688). 3290	(Paris)			Gallica		domaine public ¤ public domain	82		0	Bibliothèque Carré d'art / Nîmes, 8344_41_02
https://gallica.bnf.fr/ark:/12148/bpt6k1090166r/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1090166r												http://catalogue.bnf.fr/ark:/12148/cb447296025	1666	Boyer, Claude (1618-1698). Auteur du texte		Le Grand Alexandre, ou Porus, roy des Indes, tragedie		Compagnie des libraires du Palais (Paris)			Gallica		domaine public ¤ public domain	72		0	Bibliothèque Carré d'art / Nîmes, 8344_41_03
https://gallica.bnf.fr/ark:/12148/bpt6k10901675/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k10901675												http://catalogue.bnf.fr/ark:/12148/cb44729603h	1666	Chevalier, Jean (16..-1674). Auteur du texte		Les Avantures de nuit, comédie	Pépingué, Nicolas (162.?-1688). 3290	(Paris)			Gallica		domaine public ¤ public domain	64		0	Bibliothèque Carré d'art / Nîmes, 8344_41_04
https://gallica.bnf.fr/ark:/12148/bpt6k1090168k/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1090168k												http://catalogue.bnf.fr/ark:/12148/cb44729604v	1664	Chevalier, Jean (16..-1674). Auteur du texte		Les Amours de Calotin, comédie	Trabouillet, Pierre (1635?-1706?). 3290	(Paris)			Gallica		domaine public ¤ public domain	90		0	Bibliothèque Carré d'art / Nîmes, 8344_41_05
https://gallica.bnf.fr/ark:/12148/bpt6k10901690/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k10901690												http://catalogue.bnf.fr/ark:/12148/cb447296056	1608	Chrétien, Nicolas. Auteur du texte		Les Tragédies de N. Chretien, Sieur des Croix	Reinsart, Théodore (15..-1617). 3290	(Rouen)			Gallica		domaine public ¤ public domain	244		0	Bibliothèque Carré d'art / Nîmes, 8344_42_01
https://gallica.bnf.fr/ark:/12148/bpt6k1090170n/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1090170n												http://catalogue.bnf.fr/ark:/12148/cb44729606j	1661	Rotrou, Jean de (1609-1650). Auteur du texte		Les Ménechmes, comédie	Quinet, Toussaint (160.?-1652). 3290	(Paris)			Gallica		domaine public ¤ public domain	126		0	Bibliothèque Carré d'art / Nîmes, 8344_42_02
https://gallica.bnf.fr/ark:/12148/bpt6k10901712/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k10901712				Tragi-comédie	–							http://catalogue.bnf.fr/ark:/12148/cb44729607w	1643	Desmares (16..-16.. , auteur dramatique). Auteur du texte		Roxelane, tragi-comédie	Mangeant, Jacques (1571-1639). 3060 ¤ Sommaville, Antoine de (1597-1664). 3290 ¤ Courbé, Augustin (159.?-166.? , libraire). 3290	(Paris)			Gallica		domaine public ¤ public domain	90		0	Bibliothèque Carré d'art / Nîmes, 8344_43_01
