	URL		B&W	COLUMNS	GENRE	SOUS-GENRE	TRAD	ACTES	RECUEIL	GENDER	FONT	DOUBLE	ARK CATALOGUE	DATES	AUTEURS	WD	TITRE	CONTRIBUTEURS	EDITEURS	DESCRIPTIONS	SUJETS	PROVENANCE		DROITS	NOMBRE DE VUES	CODE(S) PROJET(S)	NQA Moyen (%)	SOURCE
https://gallica.bnf.fr/ark:/12148/bpt6k108415v/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k108415v							3		F			http://catalogue.bnf.fr/ark:/12148/cb311584075	1763	Puisieux, Madeleine de (1720-1798). Auteur du texte	Q440254	Le marquis a la mode , comédie en trois actes, par madame de P***		A Londres. [i.e. Paris, Gabriel Valleyre] M. DCC. LXIII	Livrets		Gallica		domaine public ¤ public domain	104		0	Bibliothèque nationale de France, département Fonds du service reproduction, Yf 7406
https://gallica.bnf.fr/ark:/12148/bpt6k5846941x/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5846941x								Yes				http://catalogue.bnf.fr/ark:/12148/cb311586903	1793	Pujoulx, Jean-Baptiste (1762-1821). Auteur du texte		L'Anti-célibataire ou les Mariages, comédie en trois actes et en vers, représentée pour la première fois, en cinq actes, sur le Théâtre Louvois, le 1er nivôse an II. Édition conforme à la dixième représentation, par J.-B. Pujoulx		Huet (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	68		84,54	Bibliothèque nationale de France, département Littérature et art, 8-YTH-997
https://gallica.bnf.fr/ark:/12148/bpt6k5817144w/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5817144w							1					http://catalogue.bnf.fr/ark:/12148/cb31158715m	1798	Pujoulx, Jean-Baptiste (1762-1821). Auteur du texte		La rencontre en voyage , comédie en un acte, en prose, mêlée d'ariettes, par le cen J.-B. Pujoulx , musique du cen Bruni,...		Bureau dramatique (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	51		71,15	Bibliothèque nationale de France, département Littérature et art, 8-YTH-15287
https://gallica.bnf.fr/ark:/12148/bpt6k5772306r/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5772306r							2					http://catalogue.bnf.fr/ark:/12148/cb311587179	1797	Pujoulx, Jean-Baptiste (1762-1821). Auteur du texte		Le rendez-vous supposé, ou Le souper de famille , comédie en deux actes, en prose, mêlée d'ariettes. Par le cen J.-B. Pujoulx, musique du con Berton,...		Bureau dramatique (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	53		79,99	Bibliothèque nationale de France, département Littérature et art, 8-YTH-15302
https://gallica.bnf.fr/ark:/12148/btv1b8600096f/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/btv1b8600096f												http://catalogue.bnf.fr/ark:/12148/cb311587953	1625	Pulci, Luigi (1432-1484). Auteur du texte		L'Histoire de Morgant le géant et de plusieurs autres chevaliers et pairs de France, lequel avec ses frères persécutoient souvent les chrestiens et serviteurs de Dieu, mais finalement furent ses deux frères occis par le Comte Roland et le tiers fut chrestien, qui depuis ayda grandement à augmenter la saincte foy catholique, comme entendrez cy après. Le tout reveu...		N. Oudot (Troyes)			Gallica		domaine public ¤ public domain	239	ChArdenn1	0	Bibliothèque nationale de France, département Réserve des livres rares, RES-Y2-589
https://gallica.bnf.fr/ark:/12148/bpt6k9800345c/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k9800345c												http://catalogue.bnf.fr/ark:/12148/cb31159907s	1832	Puvis, Marc-Antoine (1776-1851). Auteur du texte		De l'emploi économique de la chaux comme amendement / par M. M.-A. Puvis		impr. de P.-F. Bottier (Bourg)	Avec mode texte		Gallica		domaine public ¤ public domain	40		99,3	Bibliothèque nationale de France, département Sciences et techniques, S-33222
https://gallica.bnf.fr/ark:/12148/bpt6k5541002f/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5541002f												http://catalogue.bnf.fr/ark:/12148/cb311601215	1843	Puymaigre, Théodore Boudet (1816-1901 , comte de). Auteur du texte		Jeanne d'Arc : tragédie / par le vicomte Théodore de Puymaigre		Debécourt (Paris)	Contient une table des matières ¤ Avec mode texte		Gallica		domaine public ¤ public domain	262		96,18	Bibliothèque nationale de France, département Littérature et art, YF-10733
https://gallica.bnf.fr/ark:/12148/bpt6k5776251g/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5776251g							1					http://catalogue.bnf.fr/ark:/12148/cb311602892	1793	Puységur, Amand Marc Jacques de Chastenet (1751-1825 , marquis de). Auteur du texte		L'intérieur d'un ménage répubilcain , opéra-comique en un acte et en vaudevilles, par le citoyen Chastenet,...		Dufay (Paris) ¤ Lepetit (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	40		59,81	Bibliothèque nationale de France, département Littérature et art, 8-YTH-9050
https://gallica.bnf.fr/ark:/12148/bpt6k5745538h/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5745538h							3					http://catalogue.bnf.fr/ark:/12148/cb31160291m	1799	Puységur, Amand Marc Jacques de Chastenet (1751-1825 , marquis de). Auteur du texte		Le juge bienfaisant , comédie en trois actes et en prose, par A.-M.-J. Ch. Puységur		Courtois (Soissons)	Avec mode texte ¤ Théâtre politique français -- +* 1789......- 1815......+:1789-1815:		Gallica		domaine public ¤ public domain	80	Picardi1	82,68	Bibliothèque nationale de France, département Littérature et art, YF-11219
https://gallica.bnf.fr/ark:/12148/bpt6k64184506/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k64184506												http://catalogue.bnf.fr/ark:/12148/cb31162298h	1872	Quentin, Léon (01). Auteur du texte ¤ Collé, Hippolyte. Auteur du texte		Brelan de pochards : opérette-vaudeville créée au théâtre de la Gaîté-Montparnasse / paroles de L. Quentin et H. Collé		(Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	8		99,07	Bibliothèque nationale de France, département Littérature et art, 4-YTH-501
