LA DRIADE AMOVREVSE, PASTORALLE.	LA DRYADE AMOUREUSE, PASTORALLE.
Auec Priuilege de ſa Maieſté,	Avec Privilège de sa Majesté,
A 141 RES - NOBLE ET TRES.	À 141 RÉS - NOBLE ET TRÈS.
vertueuſe Dame Charlotte de Hauteamer, Dume ve Maauanye --- –	vertueuse Dame Charlotte de Hauteamer, Dume ve Maavanie -- 
ADAME, Ayant aux heures de mon loiſir courtiſé la trouppe des Muſes, vne de leur bande m’a voulu gratifier de cette Paſtoralle chanſon, qui traite de l’amour d’vne belle Nymphe épriſe des perfections d’vn gentil Paſteur (honneur de tout ſon pais Arcadien) Parquoy deſirant luy faire voir le iour & ſouſpirer ſes chaſtes affections, i’ay voulu imiter les anciens, qui deſirans baſtir les murs de quelque Cité pour eſtre de longue duree en iett oyent les fondemens ſous l’influance d’vne heureuſe planette:	ADAME, Ayant aux heures de mon loisir courtisé la troupe des Muses, une de leur bande m'a voulu gratifier de cette Pastorale chanson, qui traite de l'amour d'une belle Nymphe éprise des perfections d'un gentil Pasteur (honneur de tout son pais Arcadien) Parquoi désirant lui faire voir le jour et soupirer ses chastes affections, j'ai voulu imiter les anciens, qui désirants bâtir les murs de quelque Cité pour être de longue dure en jett aient les fondements sous l'influance d'une heureuse planette heure
eſtimans que tracez au point de cette bonne conſtellation, ils diſputeroyent d’éternité auec les ans & les ſiecles.	estimants que tracez au point de cette bonne constellation, ils disputeraient d'éternité avec les ans et les siècles.
Suyuant lequel exemple ie prẽs la hardieſſe de faire naiſtre cet ouurage ſous l’aſtre reluyſant de voſtre illuſtre nom, m’aſſeurant que tout ainſi qu’il eſt eſclatant en ſplandeur par le luſtre de vos rares vertus, comme extraite d’vne des grandes maiſons de France, & l’eſpouſe d’vn des plus valeureux ſeigneurs, qui par ſes exploits heroiques ait graué ſon nom au temple del’immortalité:	Suivant lequel exemple ie prêts la hardiesse de faire naître cet ouvrage sous l'astre reluisant de votre illustre nom, m'assurant que tout ainsi qu'il est éclatant en splandeur par le lustre de vos rares vertus, comme extraite d'une des grandes maisons de France, et l'épouse d'un des plus valeureux seigneurs, qui par ses exploits héroïques ait gravé son nom au temple déloimmortalité:
ce petit liure en ſon leuant receura le meſme ſuccez que ces ſuſdits anciens eſperoyent en l’architecture de leurs baſtimens.	ce petit livre en son levant recevra le même succès que ces susdits anciens espéraient en l'architecture de leurs bâtiments.
Vous l’aurez donc s’il vous plaiſt agreable, quoy que ce ſoit peu de choſe au regard de vos merites, qui neantmoins vous ſera teſmoignage de l’humble ſeruice que vous dedie, (8	Vous l'aurez donc s'il vous plaît agréable, quoi que ce soit peu de chose au regard de vos mérites, qui néanmoins vous sera témoignage de l'humble service que vous dédie, (8
D’AVES.	D'AVÉ.
STANCES A ELLEMRSME.	STANCES A LLEMRSME.
4 4 Inſi qu’vn marinier ſur le bort de la mer N’ayant pour bien voguer vn aſſez bon nauire,  En ſoy penſe long-temps s’il oz era ramer, Et pur les flots ſalez ſa nacelle conduire.	4 4 Insi qu'un marinier sur le bort de la mer N'ayant pour bien voguer un assez bon navire, En soi pense longtemps s'ils oz era ramer, Et pur les flots sa sa nacelle conduire.
11.	11.
A la fin leue l’ancre & mettant ſon eſpoir Sur la bonté des Dieux, commence ſon voyage:	À la fin lève l'ancre et mettant son espoir Sur la bonté des Dieux, commence son voyage:
Mais eſtoignant le haure & ne le pouuant voir, Au moindre flair des rumbs apprehende vn naufrage.	Mais estoignant le haure et ne le pouvant voir, Au moindre flair des rumbs appréhende un naufrage.
III.	III.
Madame, ainſi voulant du bateau de mes vers, Nager la Haute-mer, de vos belles loüanges, Mon eſprit eſt confus en cent penſers diuers, Craignant de s’abyſmer en des Scylles eſtranges.	Madame, ainsi voulant du bateau de mes vers, Nager la Haute-mer, de vos belles louanges, Mon esprit est confus en cent pensers divers, Craignant de s'abîmer en des Scylles étranges.
IIII.	IIII.
Tant de perfections que l’on voit vous parer Et qui vous font p̧à bas comme vn Phæbus reluire A iij Me retiennent au port ſans oz er demarer, Sentant ma freſle nef n’auoir vu bou Zephire.	Tant de perfections que l'on voit vous parer Et qui vous font p̧à bas comme un Phæbus revire A Aj Mere retiennent au port sans oz er demarer, Sentant ma frêle nef n'avoir vu bou Zephire.
Toutesfois me voyant deſi à tant auancé, Sy faut-il m’enhardir d’en voguer quelque terme:	Toutefois me voyant déjà tant avancé, Sy faut-il m'enhardir d'en voguer quelque terme:
Mais durant, ſi ie ſuis de peril menacé, Au fort de ce danger ſeruez-moy de ſaint Herme.	Mais durant, si ici suis de péril menacé, Au fort de ce danger servez-moi de saint Herme.
VI.	VI.
Ie vay donc faire voille & delaiſſer le port, Non que i’aille pourtant l’abandonnant de veuë?	Je vais donc faire voille et délaisser le port, Non que j'aille pourtant l'abandonnant de vue?
Ains dete qeie jun le jeraymanton Attendant que ma nef de vent ſoit mieux pourueuë.	Ain te qeie jun le jeraimanton Attendant que ma nef de vent soit mieux pourvue.
VII.	VII.
Mais où me conduu-tu, vaiſſeau de mon deſir, Alcaantion deyr nante tntieprje, Quelles de ſes vertus pourras-tu bien choiſir Qui ne ſoit des humains ſufiſamment appriſe?	Mais où me condu-tu, vaisseau de mon désir, Alcaantion de nyrante téntieprie, Quelles de ses vertus pourras-tu bien choisir Qui ne soit des humains suffisamment apprise?
VIII.	VIII.
oy, puur juis ion aeſjemn imitant les mortels, Qui bien que de vieil tẽps chãtent des Dieux la gloire, Ne laiſſent tous les iours d’encenſer leurs autels, Renouuellant ſans fin leur plaiſante memoire.	oi, puur juis ion ajemn imitant les mortels, Qui bien que de vieil temps changent des Dieux la gloire, Ne laissent tous les jours d'encenser leurs autels, Renouuellant sans fin leur plaisante mémoire.
Dans cette Haute-mer au front doux & calmé Ie voy naiſtre Venus la celeste & diuine, Celle qui nous remet dedans le ciel aymé, Où voſtre cher eſprit a pris ſon origine.	Dans cette Haute-mer au front doux et calmé Je vois naître Venus la céleste et divine, Celle qui nous remet dedans le ciel aimé, Où vôtre cher esprit a pris son origine.
X.	X.
Aprez-elle ie voy les Oraces caroller, Eſparpillant au vent leur belle treſſe blonde, Et le diuin amour tout autour bauoller, Se ptongeant a ton toups deuais certe traire onde.	Aprez-elle personne vois les Orâces caroler, Esparpillant au vent leur belle tresse blonde, Et le divin amour tout autour bavoler, Se pûtongeant à ton toups devais certe traire onde.
XI.	XI.
Ia Vertu marche apres?	Ia Vertu marche après?
dont l'eſprit eſt infus Dans cette Hautemer qui la meut & domine, Gonnernunt jitnexoien jon ſiux e joa ieſlus, Q'il ne paſſe ſes bords pour faire derauine.	dont l'esprit est infus Dans cette Hautemer qui la meut et domine, Gonnernunt jitnexoyen jon siux é jà ieslus, Qil ne passe ses bords pour faire derauine.
XII.	XII.
Außi pour ce ſubiet quand ſon eau tarira Entrant dans l'estomach de la terre profonde, Malgré le cours du temps ſon nom demeurera, Paſſant à tous propos par les bouches du monde.	Aussi pour ce sujet quand son eau tarira Entrant dans l'estomac de la terre profonde, Malgré le cours du temps son nom demeurera, Passant à tous propos par les bouches du monde.
XIII.	XIII.
Mais ie m’eſloigne trop, il me faut retirer Mon bateau ià laßé, tout contre le riuage, C’eſt aſſez pour ce coup d’auoir ſceu aſpirer A moitié du chemin d’vn ſi beau nauigage.	Mais mille m'éloigne trop, il me faut retirer Mon bateau ià lassé, tout contre le rivage, C'est assez pour ce coup d'avoir su aspirer A moitié du chemin d'un si beau navigage.
A MONSIEVR D’AVES.	À MONSIEUR D'AVÉ.
YR SA DRIADE Amoureuſe.	YR SA DRYADE Amoureuse.
STANCES.	STANCES.
Nade que l'amour capiua dans ſes ehaines, Et ſentis ce que pent l’inſolence duſort, 863 ru n’uſſes point veſeu plus long-temps Que ces chênes, Sans ce bel eſcriuain qui differe tamort.	Nade que l'amour capiva dans ses eûtaines, Et sentis ce que pent l'insolence dusort, 863 ru n'usses point vu plus longtemps Que ces chaînes, Sans ce bel écrivain qui diffère tamort.
Que dis-ie il la differe?	Que dis-je il la diffère?
en depit de l'Erébe, Et du Temps, à qui rien ne peut faire d’affront, Ton iour ſera ſans nuit, tant que l’on voye à Phœbe N’auoir plus d’inconſtance aux cornes de ſon front	en dépit de l'Erébe, Et du Temps, à qui rien ne peut faire d'affront, Ton jour sera sans nuit, tant que l'on voie à Phœbe N'avoir plus d'inconstance aux cornes de son front
35 paiiaaa dont queiqu vu tiantde riptance, Commander ſur Nature, & ſorcer le Deſtin?	35 paiia dont queiqu vu tiantde riptance, Commander sur Nature, et sorcer le Destin?
Puis qu’on void le treſpas ſayuré noſtre naiſſance, Et le commencem ent preſut poſer la fin.	Puis qu'on voit le trépas sayuré notre naissance, Et le commencem ent pres poser la fin.
Le Ciel ne borne rien d’immortelle duree:	Le Ciel ne borne rien d'immortelle dure:
rans Vn iour ces clairs ruyſſeaux par ces prez murmuN’enuoiront plus leurs eaux au vieil pere Neree, Et ces arbres meurront abbatus par les ans.	rans Un jour ces clairs ruisseaux par ces présents murmuN'envoiront plus leurs eaux au vieil père Nère, Et ces arbres meurront abattus par les ans.
Ces rochers dont le fête etançonne les nuës, Eſgallez aux vallons ſeruirort de guerets:	Ces rochers dont le fête étançonne les nues, Égallez aux vallons servirort de guérets:
Et où ſoulloyent brouter les cheurettes cornuës, Le moiſſonneur tondra les cheueux de Céres.	Et où soullaient brouter les cheurettes cornues, Le moissonneur tondra les cheveux de Crères.
