AISILAVE PASTORALE.	AISILAUE PASTORALE.
DE L'INVENTION DE PIERRE TROTEREL Sieur D’AVES.	DE L'INVENTION DE PIERRE -THROTEREL Sieur D'AVÉ.
A MONSIEVR LE omte de Grand Cey & de Médauy.	À MONSIEUR LE omte de Grand Cy et de Médauy.
mn { ONSIEVR, L’ardant deſir que i'ay de vous faire paroiſtre en effect le ſeruice que ie vous ay voüé, m’en a faict pluſieurs fois rechercher les occaſions, que ie n’ay encores ſçeu rencontrer, ſoit par mon malheur, ou ſoit que de voſtre part vous ne m’auez faict l’honneur de me rien commander.	mn fait ONSIEVR, L'ardant désir que j'ai de vous faire paraître en effet le service que je vous ai vue, m'en a fait plusieurs fois rechercher les occasions, que sans n'ai encore su rencontrer, soit par mon malheur, ou soit que de votre part vous ne m'avez fait l'honneur de me rien commander.
Or ne voulant plus en demeurer en ces termes, ie me ſuis aduiſé de vous dédier ce petit œuure, qui pourra pubirer vos vertus par tout où ſa bonne fortune luy fera voir le monde, attendant que le Ciel me donne plus de moyen de vous teſmoigner que ie ſuis,	Or ne voulant plus en demeurer en ces termes, Elle me suis avisé de vous dédier ce petit œuvre, qui pourra pubirer vos vertus par tout où sa bonne fortune hommes fera voir le monde, attendant que le Ciel me donne plus de moyen de vous témoigner que je suis,
MONSIEVR, Voſtre tres-humble ſeruiteur, D’AVES.	MONSIEUR, Votre très-humble serviteur, D'AVÉ.
A 2	A 2
LES ACTEVRS.	LES ACTEURS.
Ariſtene Berger.	Aristène Berger.
Ioeſſe Bergere.	Joesse Bergère.
Deolis Bouuier.	Dolis Bouvier.
Satyre.	Satire.
Cyane Bergere.	Chyane Bergère.
Cerambe vieil Berges Le Iuge & le Greffier des Ber *S.	Cerambe vieil Berges Le Juge et le Greffier des Ber *S.
Les Teſmoings.	Les Témoings.
Chœur de Bergers.	Chœur de Bergers.
AANDSYLIVLS PASTORALE.	AANDSYLIULS PASTORALE.
ACTE I.	ACTE I.
ARISTENE, IOESSE, DEOLIS.	ARISTENE, JOESSE, DEOLIS.
SCENE I.	SCÈNE I.
ARISTENE ET IOESSE.	ARISTENE ET IOSE.
2 K 2 Ariſtene.	2 2 2 Aristène.
Ve le ſejour que i'ay faict loin d'icy M’a trauaillé de peine & de ſoucy!	Ve le séjour que j'ai fait loin d'ici M'a travaillé de peine et de souci!
Non pour auoir au fond de mon courage,  Beaucoup de ſoin de mon petit meſnage, Mais pour me voir abſent trop longuement, De la beauté que i’aime cherement:	Non pour avoir au fond de mon courage, Beaucoup de soin de mon petit ménage, Mais pour me voir absent trop longuement, De la beauté que j'aime chèrement:
Ce mois de temps que i’ay paßé loin d’elle, M’a plus duré que la courſe annuelle Du grand flambeau qui nous donne le iour, Tant ie me ſens brûlé de ſon amour:	Ce mois de temps que j'ai passé loin d'elle, M'a plus duré que la course annuelle Du grand flambeau qui nous donne le jour, Tantale me sens brûlé de son amour:
Pourquoy ſans plus retarder dauantage,	Pourquoi sans plus retarder davantage,
A3 Allons au champ de ſon beau pâturage, Et l’attendons ainſi qu’au temps paßé, Dans le buiſſon par nous entrelaßé De rameaux verds, pour empeſcher la veuë Et la chaleur du Soleil trop émeuë:	A3 Allons au champ de son beau pâturage, Et l'attendons ainsi qu'au temps passé, Dans le buisson par nous entrelassé De rameaux verts, pour empêcher la vue Et la chaleur du Soleil trop émue:
I'outre-paſſois, arreſtons, c’eſt icy, Entrons dedans;	J'outre-passais, arrêtons, c'est ici, Entrons dedans;
Il eſt plus obſeurcy Qu'il n’estoit lors que quittant ſon ombrage, Ie m’en allé pour faire mon voyage:	Il est plus obseurci Qu'il n'était lors que quittant son ombrage, Je m'en allé pour faire mon voyage:
Mais il ſera tantoſt tout radieux Du fen d’amour qui luit dedans les yeux De ma Bergere à nulle autre pareille, Et que ie dy des beautez la merueille.	Mais il sera tantôt tout radieux Du sen d'amour qui luit dedans les yeux De ma Bergère à nulle autre pareille, Et que sans dis des beautés la merveille.
Ioeſſe touchant ſon troupeau.	Joesse touchant son troupeau.
