AV LECTEVR.	AU LECTEUR.
ES Moſcouites eſtantà sune Paris, promirent de vemi einopre Proſtel:	ES Moscouites estantà sune Paris, promirent de vemi einopre Prostel:
Nos Annonces, & nos Affiches donnerent aduis du jour qu’ils auoient pris pour s’y rendre;	Nos Annonces, et nos Affiches donnèrent avis du jour qu'ils avaient pris pour s'y rendre;
Mais ayanteſté mandés ce meſmes jour à Saint Germain pour leur Audiance de Congé, ils manquerent à leur promeſſe, & nous par conſequent à la noſtre;	Mais ayantesté mandez ce mêmes jour à Saint Germain pour leur Audience de Congé, ils manquèrent à leur promesse, et nous par conséquent à la vôtre;
Neant moins la foule ſe trouua ſi grande chés nous pour les voir, qu’il n’y auroit point eu de place pour eux s’ils y fuſſent venus.	Néant moins la foule se trouva si grande chez nous pour les voir, qu'il n'y aurait point eu de place pour eux s'ils y fussent venus.
Cela m'obligea, auec la ſollicitatiõn de quelques-vns de mes Camarades, ne pouuant auoir les veritables Moſcouites, d’en fagotter de faux;	Cela m'obligea, avec la sollicitation de quelques-mêmes de mes Camarades, ne pouvant avoir les véritables Moscouites, d'en fagotter de faux;
& comme cinq ou ſix jours ſuffirent à cette façon, chacun vit aisément que c’eſtoit des Moſcouites faits à la haſte, & ce ſont ceux-là que tu verras dans cette Comedie, & dans noſtre Hoſtel, ſi tu veux;	et comme cinq ou six jours suffirent à cette façon, chacun vit aisément que c'était des Moscouites faits à la hâte, et ce sont ceux-là que tu verras dans cette Comédie, et dans notre Hostel, si tu veux;
puis qu’ils n’y paroiſtront point qu'on ne t’en ad	puis qu'ils n'y paraîtront point qu'on ne t'en ad
EXTRAICT DI Privilege du Roy.	EXTRAICT DI Privilège du Roi.
DAR Grace & Priuilege du Roy, donné I à Paris le 24.	DAR Grâce et Privilège du Roi, donné I à Paris le 24.
jour de Mars 1669.	jour de Mars 1669.
Signé d’ALANCE';	Signé d'ALANCE';
Il eſt permis à GABRIEI.	Il est permis à GABRIEI.
VINET, Marchand Libraite à Paris, d’imprimer, ou faire imprimer vne Comedie intitulée Les Moſcouites, pendant le temps & eſpace de ſept années:	VINET, Marchand Libraite à Paris, d'imprimer, ou faire imprimer une Comédie intitulée Les Moscouites, pendant le temps et espace de sept années:
