A MADAME VLAE .	À MADAME VLAE .
3 XTT DE MBALET ADAME, Trouuez-vous bon de commencer à voir ceſte lettre par où vous auiez deſſein d’en acheuer la lecture, afin que d’abord mon nom vous remette vn homme en la memoire, qui n’a point aſſez de vanité pour s’imaginer qu’il occupe vn lieu dont il eſt indigne?	3 XT DE MALET ADAME, Trouvez-vous bon de commencer à voir cette lettre par où vous aviez dessein d'en achever la lecture, afin que d'abord mon nom vous remette un homme en la mémoire, qui n'a point assez de vanité pour s'imaginer qu'il occupe un lieu dont il est indigne?
Toutefois ie ſuis contraint de changer d’opinion lors que ie me ſouuiens que vous auez vn de ces ands Genies qui ſont au deſſus des regles ordinaires de la Nature:	Toutefois je suis contraint de changer d'opinion lors que je me souviens que vous avez un de ces ands Génies qui sont au dessus des règles ordinaires de la Nature:
& que l’eſprit & le iugement que vous poſſedez au ſupreme degré n’õt point de qualitez aſſez contraires à la memoire pour empeſcher que la voſtre n’embraſſe tout en ſoy comme le ciel.	et que l'esprit et le jugement que vous possédez au suprême degré n'ont point de qualités assez contraires à la mémoire pour empêcher que la vôtre n'embrasse tout en soi comme le ciel.
Ie veux donc me perſuader, & pour voſtre gloire, & pour ma propre fatisfaction, que puis que l’oubly ne peut paſſer pour vne vertu, il eſt impoſſible qu’il entre en voſtre ame, ny qu’on en ſorte.	Je veux donc me persuader, et pour votre gloire, et pour ma propre satisfaction, que puis que l'oubli ne peut passer pour une vertu, il est impossible qu'il entre en votre âme, Seigneur qu'on en sorte.
Que ſi ceſte croyance vous ſemble trop vaine, ſouffrez-la comme vn effet de voſtre loüange, eſtant eertain que de toutes les tentations d’vn honneſte hõme ie croy que c’eſt la plus gliſſante:	Que si cette croyance vous semble trop vaine, souffrez-la comme un effet de votre louange, étant certain que de toutes les tentations d' Honnête homme homme homme que c'est la plus glissante:
& pour y pouuoir reſiſter, il faut eſtre ou ſtupide, ou Philoſophe;	et pour y pouvoir résister, il faut être ou stupide, ou Philosophe;
de ſorte que moy qui ne ſuis ny l’vn ny l’autre, ay grande peine à me tenir dans les bornes que me preſcriuent la modeſtie, & la connoiſſance de moy-meſme.	de sorte que moi qui ne suis mieux l'vn ny l'autre, ai grande peine à me tenir dans les bornes que me prescrivent la modestie, et la connaissance de moi-même.
Et de quelque humilité que ie me defende contre l’attaque d’vn ſi doux peché, ſi me trouuay-ie forcé de m’eſtimer bien au deſſus du commun, puis qu’õ m’a aſſuré que ie le ſuis en quelque façon de vous, pour moy, ie vous deſcouure mon foible, ſi i'euſſe eſté en la place d'Vlyſſe, ie penſe que la muſique de Sirenes m’auroit endormy, pourueu que les vers en euſſent eſté compoſez à ma loüange.	Et de quelque humilité que ie me défende contre l'attaque d'un si doux péché, si me trouvai-je forcé de m'estimer bien au dessus du commun, puis qu'on m'a assuré que tu le suis en quelque façon de vous, pour moi, je vous découvre mon faible, si j'eusse été en la place d'Ulysse, Seigneur pense que la musique de Sirères m'aurait endormi, pourvu que les vers en eussent été composez à ma louange.
L’approbation des bons eſprits eſt vne choſe qui touche au delà des ſens, & qui ſçait trouuer des chemins qui meinent le plaiſir iuſqu’à l’ame.	L'approbation des bons esprits est une chose qui touche au delà des sens, et qui sait trouver des chemins qui meinent le plaisir jusqu'à l'âme.
il eſt vray que pour gouſter ce contentement en ſa pureté, il faut eſtre certain de le meriter, & i’en doute.	il est vrai que pour goûter ce contentement en sa pureté, il faut être certain de le mériter, et j'en doute.
