Le tout enrichy de pluſieurs belles remarques, mumunerans;	Le tout enrichi de plusieurs belles remarques, mumunérants;
Antones, raitons, arguments, & diſcours tirez de la Philoſophie, tant moralle, que naturelle.	Antones, raitons, arguments, et discours tirez de la Philosophie, tant morale, que naturelle.
Par P.	Par P.
TROTEREL Eſcuyer, ſieur D’Avre.	TROTEREL Escuyer, sieur D'Auvre.
ONSIEVR Ie chery tant l’honneur de  vos commandemens, que ie n’auray iamais rien de plus affectionné que de les executer en tout ce qui dependra de mon petit pouuoir.	ONSIEUR Je chéri tant l'honneur de vos commandements, que je n'aurai jamais rien de plus affectionné que de les exécuter en tout ce qui dépendra de mon petit pouuoir.
Et pour vn teſmoignage de mon dire, ie vien vous preſenter vn liure que i'ay faict en proſe, ſuiuant ce que vous m'auiez autresfois commandé, bien qu’aù prece dant ie n’euſſe oncques eſcrit en ceſtyle, mais en celuy des vers ſeulement.	Et pour un témoignage de mon dire, on viens vous présenter un livre que j'ai fait en prose, suivant ce que vous m'aviez autrefois commandé, bien qu'aù préce dant Seigneur n'eusse oncques écrit en cestyle, mais en celui des vers seulement.
Son ſuiect est d’Amours, de Bergers, & de Nymphes Oreades.	Son sujet est d'Amours, de Bergers, et de Nymphes Oreades.
Vous l’aurez s’il vous plaiſt pour aggreable, puis que vous estes la principale cauſe concurrente à ſon eſtre.	Vous l'aurez s'il vous plaît pour agréable, puis que vous êtes la principale cause concurrente à son rendre.
Außi ce que ie aeſire le plus (Monſieur) c’eſt que voſtré nom illuſtré par vos excellentes vertus, ſe liſe au lieu le plus eminant de ſon frontiſpice.	Aussi ce que Dieu aésire le plus (Monsieur) c'est que vostré nom illustré par vos excellentes vertus, se lise au lieu le plus eminant de son frontispice.
Car i'ay ceſte creance que de meſme qu'vn bon Genie il le maintiendra contre les efforts de l’enuie, duuigmoranc e & du temps.	Car j'ai cette créance que de même qu'Han nie Génie il le maintiendra contre les efforts de l'envie, duguigmoranc e et du temps.
Voſtre li en humble ſeruiteur.	Votre li en humble serviteur.
D’AVES.	D'AVÉ.
A MONSIEVR D’AVES, SVR SON OREADE DV Mont Olympe	À MONSIEUR D'AVÉ, SUR SON ORÉADE DU Mont Olympe
09 Aues, ie ne croy point qu’Amour en tes bas lieux D'Ait debroü illé le corps de la terreſtre maſſe, Ny que les ſacrez Monts de Pinde, & de Parnaſſe De leurs doubles coupeaux s’a voiſinent des Cieux.	09 Aues, Madame ne crois point qu'Amour en tes bas lieux D'Ait débrou lé le corps de la terrestre masse, Ni que les sacrés Monts de Pinde, et de Parnasse De leurs doubles coupeaux s'a voisinent des Cieux.
Mais ie dy bien pluſtost que la troupe des Dieux Voulant douner iadis aux Nymphes vne plaſſe, Baſtit pour l’Oreade Olympe, qui ſurpaſſe Tout ce qui de plus haut ſe deſçouure à nos yeux.	Mais ie bien plustost que la troupe des Dieux Voulant douner iadis aux Nymphes plasse, Bastit pour Oreade Olympe, Mai surpasse Tout ce dis bien plutôt que la troupe des Dieux.
Vous deſcriuez ſi bien cet amoureux Olympe, Où nul ſans le ſecours de la Mu ſe ne grimpe, Que les ſœurs d’Apollon y font ores ſeiour, Les plus rares Eſprits vous en ſont redeuables:	Vous décrivez si bien cet amoureux Olympe, Où nul sans le secours de la Mu se ne grimpe, Que les sœurs d'Apollon y font ores séjour, Les plus rares Esprits vous en sont redevables:
Car Olympe eſt le mont où Phebus tient ſa Cour, Et tous les autres Monts ne ſont rien que des fables.	Car Olympe est le mont où Phebus tient sa Cour, Et tous les autres Monts ne sont rien que des fables.
I.	I.
BAVDOIN.	BAUDOIN.
Y EIVSDEM DOMINI D'AVES MELLIfluum opus	Y EIVSDEM DOMINI D'AVÉ MELIfluum opus
Ligeras velut inter AVES Iouis A emicat Ales, At que oculo Phœbum lucidiorevidet;	Ligeras velut inter AVÉ Jouis A emicat Ales, At que oculo Phœbum lucidiorevidet;
Sic reliquis præſtat d’AVES, &A.	Sic reliquis prætat d'AVÉ, ETA.
pollinis artes Dotibus ingenij ditat, & eloquio.	pollinis artes Dotibus ingénij ditat, et eloquio.
I.	I.
BAVDOINVS	BAUDOINUS
L’OREADE.	L'ORÉADE.
Dame du mont Olympe.	Dame du mont Olympe.
LE DEMON du Magien.	LE DEMON du Magien.
LE BON GENIE de Pyrandre.	LE BON GENIE de Pyrandre.
Extaict du Priuilege du Roy.	Extait du Privilège du Roi.
AR grace & priuilege du I Roy, il eſt permis à Samuel Thibouſt Libraire à Paris, d’imprimer ou faire imprimer, vendre & diſtribuer vn liure intitulé L’Amour Triomphant Paſtoralle Comique:	AR grâce et privilège du I Amour, il est permis à Samuel Thiboût Libraire à Paris, d'imprimer ou faire imprimer, vendre et distribuer un livre intitulé L'Amour Triomphant Pastorale Comique:
compoſé par le Sieur d’Aues;	composé par le Sieur d'Aues;
& ſont faictes deffences à tous Imprimeurs, Libraires, & autres de quelque qualité & condition qu’ils ſoyent de l’imprimer ou faire imprimer, vendre, ny diſtribuer, ny alterer pour inſerer en autres liures, ſur peine de ſix cens liures d’amende, ſçauoir vn tiers à nous, vn tiers aux pauures enfermez, & l’autretieis auure Thibouſt, & de tous deſpens, dõmages & intereſts, confiſcation des exemplaires qui ſe trouueront a–----.	et sont faites défenses à tous Imprimeurs, Libraires, et autres de quelque qualité et condition qu'ils soient de l'imprimer ou faire imprimer, vendre, ni distribuer, ni altérer pour insérer en autres livres, sur peine de six cents livres d'amende, Savoir tiers à nous, un tiers aux pauvres enfermez, et l'autretie auure Thiboût, et de tous dépens, dõmages et intérêts, confiscation des exemplaires qui se trouueront a-je.
uoir eſté contrefaits, comme plus amplement eſt contenu auxlettres patentes de ſa Majeſté, pour l'eſpace de ſixans finis & accomplis:	uoir esté contrefaits, comme plus amplement est contenu auxlettres patentes de sa Majesté, pour l'espace de sixans finis & accomplis:
& ſi voulõs que mettant à la fin ou au commencement vn extraict dudit priuilege, il ſoit tenu pour bien ſignifié, & venu à la cognoiſſance de tous.	et si voulons que mettant à la fin ou au commencement un extrait dudit privilège, il soit tenu pour bien signifié, et venu à la connaissance de tous.
Car tel eſt noſtre plaiſir.	Car tel est notre plaisir.
Donné à Paris ce 7.	Donné à Paris ce 7.
Aouſt 1615.	Août 1615.
2	2
Par le Roy en ſon Conſeil,	Par le Roi en son Conseil,
D.	D.
VERNESON.	VERNESON.
AVX FIDELLES a M ul deo.	AUX FIDELLES a M ul deo.
VANT que vous penetriez plus outre dans la lecture de cet ouurage, ou que ſon hiſtoire repreſentée ſur vn theatre ſerue d’entretien à voſtre loiſir, ie veux vous expli quer au vray la Metampſicoſe de Pytagore.	VANT que vous pénétriez plus outre dans la lecture de cet ouvrage, ou que son histoire représentée sur un théâtre serve d'entretien à M loisir, tu veux vous expli quer au vrai la Metampsicose de Pytagore.
Ie m’aſſeure que l’intelligence de cette figure vous fera cueillir vn fruict eſgal à celuy que ces bergers & tes Nymplies en ont tiré pour en auoir eu la cognoiſſance parfaicte.	Je m'assure que l'intelligence de cette figure vous fera cueillir un fruit égal à celui que ces bergers et tes Nymplies en ont tiré pour en avoir eu la connaissance parfaite.
Ie dis donc que par çet enigme de la tranſmigration ou Metampſicoſe des Ames, qui s’emparent apres le treſpas de nouueaux corps tant humains que bruta ux, ce bel eſprit, comme ſubtil q i’il eſtoit, n’a voulu monſtrer autre choſe ſinon les reciproques affections des Amans, leſquels meurent en eux pour viure en la choſe aimée.	Je dis donc que par çet énigme de la transmigration ou Metampsicose des Ames, qui s'emparent après le trépas de nouveaux corps tant humains que bruta ux, ce bel esprit, comme subtil q j'il était, n'a voulu montrer autre chose sinon les reciproques affections des Amants, lesquels meurent en eux pour vivre en la chose aimée.
Cette verité ſe decouure à l’œil par les argumens du diuin Philoſophe, qui dit.	Cette vérité se découvre à l'œil par les arguments du divin Philosophe, qui dit.
Que celuy qui aime meurt en aimant, d’autant que ſa propre penſee s’oublie & ſe tourne vers cequ’elle aime.	Que celui qui aime meurt en aimant, d'autant que sa propre pensée s'oublie et se tourne vers cequ'elle aime.
Certes s’il ne penſe point de ſoy, il ne penſe point en ſoy, & telle ame par conſequent n’agit point en ſoy-meſme, bien que la penſee ſoit la principale action de l’amour.	Certes s'il ne pense point de soi, il ne pense point en soi, et telle âme par conséquent n'agit point en soi-même, bien que la pensée soit la principale action de l'amour.
Or quiconque n’agit pas en ſoy, il n’eſt point en ſoy:	Or quiconque n'agit pas en soi, il n'est point en soi:
parce que l’eſtre & l’agir ſont deux lignes parallelles qui aboutiſſent à vn meſme centre.	parce que l'être et l'agir sont deux lignes parallelles qui aboutissent à un même centre.
