des Aydes.	des Aides.
M.	M.
DC.	DC.
XXXIV A uec prenilege du Roy.	XXXIV A uec prenilège du Roi.
A MONSIEVR VERONNEAV.	À MONSIEUR VERONEAU.
Oy, dont les vers ſeruent d’oracles, Dont les ſteriles paßions Ont produit des conceptions, -.	Oi, dont les vers servent d'oracles, Dont les stériles passions Ont produit des conceptions, -.
Qui nous font voir tant de miracles.	Qui nous font voir tant de miracles.
Veronneau, tes diuins eſcrits Ent ſi fort charmé mes espris, Que ton IMPVIS SANCE admirable, Par vn effect que ie reſſens es rend tout a fait impuiſſans Pour loüer dignement ton œuure incomparable.	Véronneau, tes divins écrits Ent si fort charmé mes esprits, Que ton IMPVIS SANCE admirable, Par un effet que je ressens es rend tout a fait impuissants Pour louver dignement ton œuvre incomparable.
¶-- ---	Elle- -est-ce
L’ABBE' DE CHARLEVAL.	L'ABBÉ DE CHARLEVAL.
YR L’IMPVISSANCE FAICTE PAR MONSIEVR VERONNE AV.	YR L'IMPISSANCE FAICTE PAR MONSIEUR VERONNE AU.
Ve ce Poeme eſt rauiſſant?	Ve ce Poème est ravissant?
Pour dire en peu ce que i'en penſe;	Pour dire en peu ce que j'en pense;
Il faut vn esprit bien puiſſant, Pour faire vne telle IMPVISSANCE.	Il faut un esprit bien puissant, Pour faire un telle JMPVISANCE.
LrC 1---- L’ABBE' DE BRVC	LrC 1- L'ABBÉ DE BRUC
Du meſme.	Du autre.
Sur le perſonnage du Magicien, introduit dans	Sur le personnage du Magicien, introduit dans
L’IMPVISSANCE.	L'IMPVISANCE.
Autheur de cét ouurage Feroit bien mieux le perſonnage Du Magicien qu’il deſcrit:	Auteur de cet ouvrage Ferait bien mieux le personnage Du Magicien qu'il décrit:
Car ſans aucun ſecours d’herbes ny de racines It nous charme les ſens e nous rauiſt l’esprit Par des conceptions qui ſont toutes diuines.	Car sans aucun secours d'herbes mains de racines It nous charme les sens e nous ravit l'esprit Par des conceptions qui sont toutes divines.
AVTRE du meſme.	AUTRE du même.
Ors que quelqu’vn lira Ce merueilleux poëme, Ie ſuis aſſeuré qu’il dira Außi toſt en luy-meſme, Voyant tant de charmes diuers Paroiſtre en chacun des beaux vers Qui ſont en cẽt ouurage, Que c'eſt à tort qu'vn ſeul eſt dit Magicien:	Ors que quelqu'avoir lira Ce merveilleux poème, Je suis assuré qu'il dira Aussi tôt en Roy-même, Voyant tant de charmes divers Paraître en chacun des beaux vers Qui sont en cient ouvrage, Que c'est à tort qu'un seul est dit Magicien:
Car chaque perſonnage, En charmes ne luy cede en rien.	Car chaque personnage, En charmes ne lui cede en rien.
Qu'on voit que l’immortalité Ne ſort que du bout de ſa plume.	Qu'on voit que l'immortalité Ne sort que du bout de sa plume.
Außi ie ne m'eſtonne pas, Qu'on ne puiſſe ſuiure ſes pas, Et que ceux de ſon ſiecle aisément il deuance;	Aussi ici ne m'étonne pas, Qu'on ne puisse suivre ses pas, Et que ceux de son siècle aisément il devance;
