ARG MENT DE LATRAGICOMEDIE.	ARG MENT DE LATRAGICOMEDIE.
0 HOCVS Cheualier Romain, demeure veuf, & ſa femme luy laiſſe vn fils nomme Fabrice, ayant toutes „ ca les perfections que Gentil homme peut auoir, aymant fort la Chaſſe, ennemy du vice, & principallement de celuy de la paillardiſe.	0 HOCUS Chalier Romain, demeure veuf, et sa femme lui laisse un fils nomme Fabrice, ayant toutes „ ca les perfections que Gentil homme peut avoir, aimant fort la Chasse, ennemi du vice, et principalement de celui de la paillardise.
Ledit Phocus ſe remarie, prend en ſecondes nopces Marfilie Damoyſelle Romaine, duquel mariage eſt ſorty vn fils nommé Anthoine.	Ledit Phocus se remarie, prend en secondes nopces Marfilie Damoyselle Romaine, duquel mariage est sorti un fils nommé Anthoine.
Marfilie, au bout de quelque temps qu’elle fuſt mariee, deuint amoureuſe dudit Fabrice aagé de vingt cinq ans ou enuiron.	Marfilie, au bout de quelque temps qu'elle fût marie, devint amoureuse dudit Fabrice aagé de vingt cinq ans ou environ.
Et voyant qu’elle ne pouuoit auont la ioumſance dudit Fabrice, faint eſtre malade ſ-par le conſeil de ſa nourrice ] s’agitte au lict, ſe fait vifiter par le Medecin, & par ledit Fabrice, qui la vient voir:	Et voyant qu'elle ne pouvait auont la joumsance dudit Fabrice, saint être malade spar le conseil de sa nourrice ] s'agitte au lict, se fait visiter par le Médecin, et par ledit Fabrice, qui la vient voir:
Auquel eſtant aſſis ſur le bord de ſa couche, elle luy declare ſa paſſiõ, & l’amour qu’elle luy portoit:	Auquel étant assis sur le bord de sa couche, elle avait déclare sa passions, et l'amour qu'elle lui avait:
Luy demeurant eſtonné d’ouïr proferer tels mots inceſtueux de la femme de ſon pere, & d’autre part voyant qu’elle ſe vouloit precipiter auec vn poignard qu’elle tenoit caché, faint luy accorder ſa requeſte, & pour arres de ſa promeſſe luy donne vn baiſer.	Lui demeurant étonné d'ouïr proférer tels mots incestueux de la femme de son père, et d'autre part voyant qu'elle se voulait précipiter avec un poignard qu'elle tenait caché, saint lui accorder sa requête, et pour arres de sa promesse quelque donne un baiser.
La Dame incontinent reuint en conualeſcence, apres laquelle ſon mary s’en va à vne ſienne metairie, ayant recommandé ſa maiſon à ſa ſemme & à ſon fils Fabrice, laquelle voyant ſon mary party, ſemond ledit Fabrice de ſa promeſſe, luy la refuſe & reiette comme choſe meſchante & abominable deuant les Dieux:	La Dame incontinent revint en convalescence, après laquelle son mari s'en va à donner sienne métairie, ayant recommandé sa maison à sa semme et à son fils Fabrice, laquelle voyant son mari parti, semond ledit Fabrice de sa promesse, lu la refuse et rejet comme chose méchante et abominable devant les Dieux:
Au contraire luy remonſtre le tort, la perfidie, & la meſchanceté qu’il feroit à ſondit pere, de luy ſouiller ſa couche nuptiale.	Au contraire Seigneur remontre le tort, la perfidie, et la méchanceté qu'il ferait à sondit père, deeyne souiller sa couche nuptiale.
Alors l’amitié quelle luy portoit, fuſt à l’inſtant conuertie en vn appetit de vengeance, pour laquelle executer prend conſeil de ſa nourrice, & concluẽt enſemble de l’empoiſonner par vn breuuage qui luy ſeroit appreſté, & luy ſeroit preſenté en reuenaut de la chaſse.	Alors l'amitié quelle même portait, fût à l'instant convertie en un appétit de vengeance, pour laquelle exécuter prend conseil de sa nourrice, et concluẽt ensemble de l'empoisonner par un brevage qui lui serait apprêté, et lui serait présenté en revenaut de la chasse.
Ce qui fuſt enuoyé querir par Thomas ſon ſeruiteur, chez vn Medecin duquel elle auoit accouſtumé de ſe ſeruir, & luy enuoya cent eſcus auec ſon cachet, pour impoſer ſur la phiole ou boutaille qui luy ſeroit baillée.	Ce qui fût envoyé quérir par Thomas son serviteur, chez un Médecin duquel elle avait accoutumé de se servir, et lui envoya cent écus avec son cachet, pour imposer sur la phicole ou boutaille qui lui serait baillée.
