A MADAMOISELLE DE BOVRBON.	À MADAMOISELLE DE BOURBON.
ADAMOISELLE, me, & que cette qualité me deffend l’approche des merueilles.	ADAMOISELLE, me, et que cette qualité me défend l'approche des merveilles.
Si voſtre grandeur veut donner ſes heures perduës à l’entre.	Si votre grandeur veut donner ses heures perdues à l'entre.
tien de ce Poëme, la diuerſité de ſon Hiſtoire außi bien que l’inuention du ſuiet ne vous deſagreera point.	tiens de ce Poème, la diversité de son Histoire aussi bien que l'invention du sujet ne vous désagréera point.
Vous y aprouuerés le courage d’vne genereuſe Princeſſe, qui ſemble mettre la conſtance en ſa perfection, & ne loüerez pas moins la fidelité d’vn amant, que la vertu d’vn Prince bien né.	Vous y approuverez le courage d'une généreuse Princesse, qui semble mettre la constance en sa perfection, et ne louerez pas moins la fidélité d'un amant, que la vertu d'un Prince bien né.
Vous y gouſterez ce qui y ſera de meilleur, & ie condamneray ce qui vous y déplaira:	Vous y goûterez ce qui y sera de meilleur, et ici condamnerai ce qui vous y déplaira:
Si vous y trouuez quelque choſe de paſſable, cela ſera admirable en l’eſtime des plus parfaicts Courtiſans qui ſçauent que vous auez vn eſprit qui preuiẽt voſtre âge;	Si vous y trouvez quelque chose de passable, cela sera admirable en l'estime des plus parfaits Courtisans qui savent que vous avez esprit qui preuiẽt vôtre âge;
de moy i’en puis teſmoigner, vous ayant ouy reciter des vers auec tant de grace, en quelques actions, que l’on doutoit ſi vn Ange empruntant voſtre beauté ne venoit, point diſcourir en terre des merueilles du Ciel.	de moi j'en puis témoigner, vous ayant oui réciter des vers avec tant de grâce, en quelques actions, que l'on doutait si un Ange empruntant vôtre beauté ne venait, point discourir en terre des merveilles du Ciel.
Ie n'entreprens pas de vous loüer, parce que ie ne le puis, & que pour ce faire il me faudroit auoir vne façon d’eſcrire außi nouuelle que la maiſon DE BOVBON eſt ancienne, & dire des choſes que ceux qui viendront apres nous mettroient au rang des impoßibilités.	Je n'entreprends pas de vous louer, parce que je ne le puis, et que pour ce faire il me faudrait avoir une façon d'écrire aussi nouvelle que la maison DE BOUBON est ancienne, et dire des choses que ceux qui viendront après nous mettraient au rang des impossibilités.
C’eſt ce qui me conſeille le ſilence, qui eſt le langage de ceux qui admirent;	C'est ce qui me conseille le silence, qui est le langage de ceux qui admirent;
Ie me tair ay donc, ne voulant employer de paroles que celles qu’il faut pour vous aſſeurer que ie ſuis, pen li einn 21	Je me tair ai donc, ne voulant employer de paroles que celles qu'il faut pour vous assurer que sans suis, pen li einn 21
MADiMe,	MADiMe,
Voſtre tres-humble, tres-obeyſ ſant & tres-affectionné ſeruiteur.	Votre très-humble, très-obéis sant et très-affectionné serviteur.
BRIDARD.	BRIDARD.
A MONSIEVR BRIdard, ſur ſon Vranie.	À MONSIEUR BRIdard, sur son Vranie.
ES eſcrits m’ont charmé les ſens, I Ta Princeſſe m’a rauy l’ame, Qut la giune, & t'amour ont des attraicts puiſſans, Ie meurs que ie ne ſuis Bridard ou Florilame.	ES écrits m'ont charmé les sens, I Ta Princesse m'a ravi l'âme, Qut la giune, et t'amour ont des attraits puissants, Je meurs que sans ne suis Bridard ou Florilme.
DE ROTROV.	DE ROTROU.
Sur l’Vranie du ſieur Bridard.	Sur l'Unanie du sieur Bridard.
STANCES.	STANCES.
ES Vierges d’Helicon chantent ſans armonie, ELeur voix pour nous charmer a des traicts languiſſans;	ES Vierges d'Hélicon chant sans armonie, ELeur voix pour nous charmer a des traits languissans;
Si nous les comparons, Bridard, aux doux accens Que fait dedans tes vers eſclatter ton Genie.	Si nous les comparons, Bridard, aux doux accents Que fait dedans tes vers éclater ton Génie.
Appollon qui preſide à ceſte compagnie De ces mignards fredons ne flatte plus nos ſens.	Apollon qui préside à cette compagnie De ces mignards frédons ne flatte plus nos sens.
Ou s’il nous fait ouyr ſes accords rauiſſans, C’eſt lors qu’il veut loüer ta celeſte Pranie.	Ou s'il nous fait ouïr ses accords ravissants, C'est lors qu'il veut louer ta celeste Pranie.
S.	S.
Corneillau, Aduocat.	Corneillau, Aduocat.
SVR L’VRANIE DE Monſieur Bridard.	SUR L'URANIE DE Monsieur Bridard.
SONNET.	SONNET.
Lin d imd vi Viconque veut ſçauoir comme parlẽt les Dieux.	Lin d imd vi Iconque veut sçauoir comme parlent les Dieux.
JIl doit (mon cher Bridard) conſulter ton Genie.	JIl doit (mon cher Bridard) consulter ton Génie.
