A TRES-NOBLE ET ES-VERTVEVSE Damoyſelle Eleonor Febronie, Comteſſe de Berne.	À TRÈS-NOBLE ET ES-VERTUEUSE Damoiselle Eleonor Fébronie, Comtesse de Berne.
ADAMOISELLE, Apres auoir étudié deux ou trois ans vos actions, toutes admirables, ie vous ay deſtiné cét ouurage, pour mettre en œuure leurs merueilles, en publiant par tout qu’il n’y en a point d’au.	ADAMOISELLE, Après avoir étudié deux ou trois ans vos actions, toutes admirables, je vous ai destiné cet ouvrage, pour mettre en œuvre leurs merveilles, en publiant par tout qu'il n'y en a point d'au.
tres dans le monde.	très dans le monde.
Que dirayie donc pour vous louer?	Que dirai donc pour vous louer?
ſi ie parle de voſtre Beauté, ſa pera ij fection fera cognoiſtre mes de fauts, parce que en la voula repreſenter, ie depeindrois tou a la fois & ma temerité mon ignorance.	si ici parle de votre Beauté, sa pera j section fera connaître mes de sauts, parce que en la voula représenter, elle dépeindrais tou à la fois et ma témérité mon ignorance.
Et d'ailleur ſi le moindre de ſes appas e capable de charmer la Rai ſon, toutes les fois qu'elle veut deffendre de les adorer ne ſeroit-il pas à craindre qu'en voulant exprimer leurs dou ceurs, mon ame en deuint ido latre.	Et d'ailleur si le moindre de ses appas e capable de charmer la Rai son, toutes les fois qu'elle veut défendre de les adorer ne serait-il pas à craindre qu'en voulant exprimer leurs dou ceurs, mon âme en devint ido latre.
Tellement, Madamoi ſelle, que ie vous rendrois com plice d’vn crime, dont vostre Pieté vous feroit rougir de honte, ſçachant que vous eſtes d’humeur à meſpriſer la plus iuſte gloire qui vous eſt acqui ſi.	Tellement, Madamoi selle, que je vous rendrais com pliée d'un crime, dont votre Piété vous ferait rougir de honte, sachant que vous êtes d'humeur à mépriser la plus iuste gloire qui vous est acqui si.
De parler außi de vostre Eſprit, il n'appartient qu'à luy meſme de ſe louer;	De parler aussi de votre Esprit, il n'appartient qu'à lui même de se louer;
Encore puis-ie dire que ſa Bonté excede ſa Puiſſance, n'ayant pas le pouuoir de cognoistre toutes ſes perfections.	Encore puis-je dire que sa Bonté excède sa Puissance, n'ayant pas le pouvoir de connaître toutes ses perfections.
Le reste de vos qualitez aymables eſt vn nouueau ſujet d’estonnement, & Iadmiration, où mes penſees re peuuent attaindre.	Le reste de vos qualités aimables est un nouveau sujet d'étonnement, et Iadmiration, où mes pensées re vent attaindre.
Voila, Madamoiſelle, vne partie des veritez que l’honneur de votre conuerſation m'a appriſes, s dont i'estois redeuable à la Posterité.	Voila, Madamoiselle, une partie des vérités que l'honneur de votre conversation m'a apprises, dont j'étais redevable à la Postérité.
Gar puis que vostre ortrait repreſente le plus beau uracle de la Narures de meſle que les Kertus de vestrs Ame, les plus riches faueut du Ciel.	Gar puis que votre ortrait représente le plus beau uracle de la Narures de mêle que les Ertus de vestrs Âme, les plus riches faveut du Ciel.
Il falloit neceſſaire ment, dans la particulie cognoiſſance que i'en auois, qu i’en l’aiſſaſſe ces marques au ſiecles à venir, pour donner ceſt genereuſe ambition aux pli parfaictes, de vous imiter en toutes choſes, comme estant vi exemple de tout le bien qu'on peut tamais faire.	Il fallait nécessaire ment, dans la particulie connaissance que j'en avais, qu l'en l'aissasse ces marques au siècles à venir, pour donner cet généreuse ambition aux pli parfaites, de vous imiter en toutes choses, comme étant vi exemple de tout le bien qu'on peut tamais faire.
Si le nom bre de vos merites n’estoit ſannombre, i'euße pris plaiſir d faire cognoistre leur grandeu par leur nom;	Si le nom bre de vos mérites n'était sannombre, j'eusse pris plaisir d faire connaître leur grandeu par leur nom;
Mais les Dieus vous ont eſté iuſtement ſi pro digues de leurs graces, qu tous enſemble vous ont renduſans y penſer plus adorable AV LECTEVR 232 Lil ASMen QE ne veux point deſroQ ber l’honneur à celuy qui ma deüancé en l’inuention de cét ouurage.	Mais les Dieus vous ont été justement si pro digues de leurs grâces, qu' on ensemble vous ont rendusant y penser plus adorable AU LECTEUR 232 Lil ASMen QE ne veux point déroQ ber l'honneur à celui qui ma devancé en l'invention de cet ouvrage.
l’en laiſſe à ſa memoire toutes les couronnes, & ne pretends point d’autre aduantage que de m’eſtre acquité d’vne partie de ce que ie dois à vne perſonne, dont le merite m’eſt en tres-forte conſideration.	l'en laisse à sa mémoire toutes les couronnes, et ne prétends point d'autre avantage que de m'être acquité d'une partie de ce que ie dois personne, dont le mérite m'est en très-forte considération.
Si ces fruicts pourtant de mon ctur, qui ſe ſont vn peu meuris dans la pouſſiere de mon cabinet, eſtoient encore à --.	Si ces fruits pourtant de mon ctur, qui se sont un peu meuris dans la poussions de mon cabinet, étaient encore à --.
produire, mon eſprit n’en ſeroit iamais l’arbre, n’eſtant plus d’humeur, ny de condition à mettre en lumiere des œuures profanes.	produire, mon esprit n'en serait jamais l'arbre, n'étant plus d'humeur, ni de condition à mettre en lumière des œuvres profanes.
Celuy-cy auec vn autre tout!	Celui-cy auec vn autre tout!
ſemblable, m’eſchapent eneore comme vn reſte de tout ce que le veux debiter dans le monde ſur ce ſubiet, ſans m’eſtre relaché toutesfois d’vn ſeul terme qui puiſſe choquer les plus chaſtes oreilles.	semblable, m'échappent eneore comme un reste de tout ce que le veux débiter dans le monde sur ce sujet, sans m'être relaché toutefois d'un seul terme qui puisse choquer les plus chastes oreilles.
Ie n’ay rien emprunté d’autruy, que les noms, pour la commodité des Acteurs.	Je n'ai rien emprunté d'autrui, que les noms, pour la commodité des Acteurs.
Ie t’en l’aiſſe le iugement, & me reſeruel’eſperence de ſa faueur.	Je t'en l'aisse le jugement, et me reseruel’esperence de sa faveur.
1 AI2MAO	1 AI2MAO
IATIYC	IATIC
TIIIJDE.	TIIINDE.
TYRAME.	TYRAME.
BERSIANE.	BÉRSIANE.
LIDIAS.	LIDIAS.
LE ROY.	LE ROY.
SYLLAR.	SYLAR.
ISARQ VE.	ISARQ VE.
I DEVXIS.	I JEUXIS.
ORONTHE MERE DE THISBE'.	ORONTHE MERE DE -THISBE.
ACTE PREMIER 1 THIS BE’, BERSIANE, NARBAL, LIDIAS, LE ROY SYLLAR.	ACTE PREMIER 1 THIS BE' ERSIANE, NARBAL, LIDIAS, LE ROY SYLAR.
SCENE I.	SCÈNE I.
a 11 THISBE’, BERSIANE.	à 11 THISBE', BÉRSIANE.
2 L’L2 THISBE'.	2 L'L2 THISBE'.
11 41011 DIEVX qu’il y a du plaiſir d’aymer parfaitemẽt, & d’eſtre aymé de meſme:	11 41011 DIEUX qu'il y a du plaisir d'aimer parfaitement, et d'être aimé de même:
Toutes les delices du monde ont leur degouſt, auſſi bien que leurs appas, fors que 1121 celte ceſte ſorte de contentemens, où les ames les plus inquietees trouuent le comble de leur repos.	Toutes les délices du monde ont leur dégoût, aussi bien que leurs appas, fors que 1121 celte cette sorte de contentements, où les âmes les plus inquiètes trouvent le comble de leur repos.
Il n’eſt rien de ſi diuin que l’amour.	Il n'est rien de si divin que l'amour.
c’eſt le ſeul Element de la vie, & l'vnique object où nos deſirs terminent leurs effort, où nos paſſions moderent leur violence, & où nos cœurs ſonſpirent delicieuſement le meſme air qu’il reſpirent.	c'est le seul Élément de la vie, et l'unique object où nos désirs terminent leurs effort, où nos passions modèrent leur violence, et où nos cœurs sonspirent délicieusement le même air qu'il respirent.
Ie ſuis teſmoing de toutes ces belles veritez depuis le premier iour de ma naiſſance, n’ayãt commencé de viure, que dés le moment, que i’ay cõmencé d’aymer.	Je suis témoin de toutes ces belles vérités depuis le premier jour de ma naissance, n'ayant commencé de vivre, que dès le moment, que j'ai commencé d'aimer.
O heureux moment, où mes felicitez naſquirent toutes enſem.	Ô heureux moment, où mes félicités nasquirent toutes ensem.
ble!	blé!
O agreable amour, dont l’aueuglement m’a ſeruy de flambeau, pour admirer en vn ſeul ſuject, toutes les graces du Ciel, & toutes les beautez de la Narure.	Ô agréable amour, dont l'aveuglement m'a servi de flambeau, pour admirer en un seul suject, toutes les grâces du Ciel, et toutes les beautés de la Narure.
Pyrame c’eſt ſon nom, mon cœur en ſouſpire, & mon viſage en rougit de honte;	Pyrame c'est son nom, mon cœur en soupire, et mon visage en rougit de honte;
Mais que puis ie craindte en ces lieux ſolitaires?	Mais que puisqu' craindte en ces lieux solitaires?
Il eſt vray pyrame, ie t’ayme vniquement, mes penſees ſont toutes à toy, mes deſirs t’appartiennent, & mon imagination ialouſe ſuit inceſſamment ton ombre, pour me dire où va ton corps.	Il est vrai pyrame, je t'aime uniquement, mes pensées sont toutes à toi, mes désirs t'appartiennent, et mon imagination jalouse suit incessamment ton ombre, pour me dire où va ton corps.
Serois-ie ſi cruelle à moy-neſme, que de me deffendre d’auoir dans la bouche le beau nom de Pyrame, que i'ay graué ſi auant dans le cœur.	Serais-je si cruelle à moi-même, que de me défendre d'avoir dans la bouche le beau nom de Pyrame, que j'ai gravé si avant dans le cœur.
