E neldotte pocolter :	E neldotte pocolter :
Euandre, Bourreau.	Euandre, Bourreau.
Nïcam, valet du Bourreau.	Nécam, valet du Bourreau.
EPISTRE.	ÉPÎTRE.
appartient, & qu’au temps des plus furieuſes perſecutions de l’Egliſe, elle n’a pas eſpargné le plus cher, & plus pretieux de ſon ſang, pour la Confeſſion de la Foy Orthodoxe;	appartient, et qu'au temps des plus furieuses persécutions de l'Église, elle n'a pas épargné le plus cher, et plus prétieux de son sang, pour la Confession de la Foi Orthodoxe;
Les Miracles, qui ſe font iourne llemẽt par les merites de cette Saincte, vous y doiuent d’auantage obliger:	Les Miracles, qui se font journe llemẽt par les merites de cette Saincte'vous y doiuent antage obliger:
Vous MONSEIGNEVR, qui paroiſſeZ pour l’vne des grande lumiere de la Chreſtienté, & vos eſclattantes vertus, qui vont au delà des plus ſublimes penſées:	Vous MONSEIGNEUR, qui paraissez pour l'une des grande lumière de la Chrétienté, et vos esclattantes vertus, qui vont au delà des plus sublimes pensées:
& des plus riches expreſſions vous font paſſer pour vn Miracle de la Nature, & vn prodige de la meſme ſageſſe:	et des plus riches expressions vous font passer pour un Miracle de la Nature, et un prodige de la même sagesse:
Doncques mes reſpects & mon ſilence, me tiennent lieu d’Eloquence & d’eſprit:	Donc mes respects et mon silence, me tiennent lieu d'Éloquence et d'esprit:
eſperant que voſtre bonté receura cette Tragſdlie d’auſſi bon œüil, que de bon cœur vous la preſente cetuy qui aeſtre d'eſtre toute ſa vie.	espérant que votre bonté recevra cette Tragsdélie d'aussi bon œueil, que de bon cœur vous la présente celui qui aêtre d'être toute sa vie.
MONSEIGNEVR, De voſtre grandeur,	MONSEIGNEUR, De votre grandeur,
Le tres-humble, & tresobeïſſant ſeruiteur.	Le très-humble, et tresobeïssant serviteur.
C.	Ç.
TERNET:	TERNET:
ARGVMENT DE LA IRESENIE	ARGUMENT DE LA JRESENIE
TRAGEDIE.	TRAGÉDIE.
AINCTEREYNE, print Naiſſance dans l’Illuſtre Cité d’Alize, ſçituée en la Gaulle celtique au Dioceze d’Autun, & Pays d’Auxois, au Duché de Bourgongne:	AINCTEREYNE, prit Naissance dans l'Illustre Cité d'Alise, Située en la Gaulle celtique au Diocèse d'Autun, et Pays d'Auxois, au Duché de Bourgongne:
d’vne des plus nobles familles de la Prouince:	d'une des plus nobles familles de la Province:
Son Pere s’appelloit Clement, fort attaché à la ſuperſtition Payenne.	Son Père s'appelait Clément, fort attaché à la superstition Païenne.
Sa Mere ayant payé le tribut à Nature incontinent apres ſa naiſſance;	Sa Mère ayant payé le tribut à Nature incontinent après sa naissance;
elle fut miſe entre les mains d’vne Nourrice Chreſtienne qui la fit Baptiſer, l’inſtruiſant en la Religion Catholique, ſelon que ſon âge portoit.	elle fut mise entre les mains d'une Nourrice Chrétienne qui la fit Baptiser, l'instruisant en la Religion Catholique, selon que son âge portait.
Son Pere, & ſes autres Parens taſchoient de l’en deſtourner tant qu’ils pouuoient, juſques à la menaſſer de la faire mourir;	Son Père, et ses autres Parents tâchaient de l'en détourner tant qu'ils pouvaient, jusqu' à la menacer de la faire mourir;
mais par la grace de Dieu toutes ces furieu ſes vagues ſe briſoient contre le rocher de ſa conſtance inébranlable.	mais par la grâce de Dieu toutes ces furieu ses vagues se brisaient contre le rocher de sa constance inébranlable.
Eſtant paruenuë à l’âge de quinze ans, Olibre Lieutenant de l’Empereur en France, eſtant venu à Alize pour informer contre les Chreſtiens;	Étant parvenue à l'âge de quinze ans, Olibre Lieutenant de l'Empereur en France, étant venu à Alise pour informer contre les Chrétiens;
On luy preſente ceſte Noble Vierge, qui reluiſoit en beauté ſur les filles de ſon temps, comme le Soleil emporte le prix ſur les Eſtoilles?	On lui présente cette Noble Vierge, qui reluisait en beauté sur les filles de son temps, comme le Soleil emporte le prix sur les Étoilles?
Si toſt que le Tyran-l’euſt apperceuë, il fut tellement épris de ſa beauté, qu’il luy promit, que ſi elle vouloit adherer au Paganiſme, & à ſes Sacrifices abominables, il la rendroit la premiere des Gaules.	Si tôt que le Tyran-l'eût aperçue, il fut tellement épris de sa beauté, qu'il lui promit, que si elle voulait adhérer au Paganisme, et à ses Sacrifices abominables, il la rendrait la première des Gaules.
Ce qu’ayant refuſée, il la fit mettre en Priſon juſques à ſon retour d’Allemage:	Ce qu'ayant refusée, il fit la mettre en Prison jusques à son retour d'Allemage:
Il l’inuite derechef à offrir l’encens à ſes fauſſes diuinitez;	Il l'inuite derechef à offrir l'encens à ses fausses divinités;
La Vierge mêpriſant ſes promeſſes,& ſe mocquant de ſes menaſſes:	La Vierge mêprisant ses promesses,et se moquant de ses menasses:
il la fit eſtendrè ſur le Cheuaflet, & battre de verges, tant qu’elle tiroit des larmes de compaſſion, des yeux de tous ceux qui la regardoient, qui luy perſuadoient de condeſcendre à la volonté du Tyran:	il la fit estendrè sur le Chevaflet, et battre de verges, tant qu'elle tirait des larmes de compassion, des yeux de tous ceux qui la regardaient, qui la persuadaient de condescendre à la volonté du Tyran:
à quoy elle ne voulut entendre.	à quoi elle ne voulut entendre.
Olibre enragé de deſpit, luy fit deſchirer la chait, auec des peignes de fer:	Olibre enragé de dépit, lui fit déchirer la chait, avec des peignes de fer:
puis la fit reconduire ainſi enſanglantée en la Priſon, où Paſſant vne nuict en Prieres:	puis la fit reconduire ainsi ensanglantée en la Prison, où Passant une nuit en Prières:
elle apperceut vne Croix, qui touchoit de la Terre au Ciel, & vne Colombe aſſiſe au naut de ladite Croix qui la ſalüa doucement;	elle aperçut une Croix, qui touchait de la Terre au Ciel, et une Colombe assise au naut de ladite Croix qui la saluera doucement;
l’aduertiſſant que bien-toſt elle reçeuroit la couronne de gloire, pour la recompenſe de ſes trauaux;	l'avertissant que bientôt elle recevrait la couronne de gloire, pour la récompense de ses travaux;
dont la Vierge ſentit ſon courage enflammé plus fort qu’auparauant.	dont la Vierge sentit son courage enflammé plus fort qu'auparavant.
Le lendemain de grand matin, Olibre la fit derechef eſtendre ſur le cheuallet, & bruſlé ſes coſtez auec des Lampes ardantes:	Le lendemain de grand matin, Olibre la fit derechef étendre sur le chevallet, et brûlé ses côtés avec des Lampes ardantes:
puis la fit jetter pieds & mains liée en vne cuue d’eau froide;	puis la fit jeter pieds et mains liée en une cuve d'eau froide;
l’eau ſe changea en roſée, ſes liens rompirent, la Terre trembla, & la Colombe qui luy eſtoit apparuë la nuit, ſe poſa viſiblement ſur ſa teſte, dont huict cens cinquante perſonnes ſe conuertirent.	l'eau se changea en rosée, ses liens rompirent, la Terre trembla, et la Colombe qui lui était apparue la nuit, se posa visiblement sur sa tête, dont huit cens cinquante personnes se convertirent.
Le Tyran creuant de deſpit, pour dernier remede luy fit trancher la teſte.	Le Tyran cruant de dépit, pour dernier remède luitaît trancher la tête.
Son Ame à la veuë d’vn châcun, fut honorablement portée par les Anges au Ciel, & ſon corps fut enterré par les Chreſtiens à Alize:	Son Âme à la vue d'une chacun, fut honorablement portée par les Anges au Ciel, et son corps fut enterré par les Chrétiens à Alise:
où les Pelerins, & malades accourent de toutes parts:	où les Pèlerins, et malades accourent de toutes parts:
eſprouuants par vne infinité de Miracles, les excellents merites de ceſte Glorieuſe Vierge;	éprouvants par une infinité de Miracles, les excellents mérites de cette Glorieuse Vierge;
L’Hiſtoire de ſu rie, & Mort, a eſté fidellement r’apportée par le Venerable Bede, Pierre des Natales, Mombrice & aütres, de qui i’ay tiré cette Tragedie.	L'Histoire de su rie, et Mort, a été fidèlement rapportée par le Vénérable Bede, Pierre des Natales, Mombrice et aîtres, de qui j'ai tiré cette Tragédie.
FIM Mon Dieu iuſte, clement, benin, & gracieux Qui m'a faict l’instrument pour vous ouurir le Cieux:	FIM Mon Dieu juste, clément, bénin, et gracieux Qui m'a fait l'instrument pour vous ouvrir le Cieux:
Ie luy rend tous les iours des graces infinies, D’auoir par ſa bonté vos volonteZ vnies, A ce celeste Eſpoux, ce Phœnix des Amants, Qui enyure les cœurs, d’heureux contentemens, Aiblae lesuejirs, C'eſenanſſe les Ames, Des braſiers eternels d ſes plus pures flâmes.	Je avait rend tous les jours des grâces infinies, D'avoir par sa bonté vos volonteZ unies, À ce céleste Espoux, ce Phœnix des Amants, Qui enivre les cœurs, d'heureux contentements, Aiblae lesuejirs, C'ésenantsse les Âmes, Des brasiers éternels d ses plus pures flammes.
SAINCTE REYNE.	SAINCTE REINE.
Ouy ma chere Nourriſſe, ouy Madame c’eſt vous, C’eſt vous d’où viẽt ce bien que ie cognois l’époux, Qui me ſort des cachots de l’Ombreux Paganiſme, Pour viure ſous les Loix du vray Chriſtianiſme, Mais puis que nous auons vn honneſte loiſir, Que nos troupeaux laineux, repaiſſent à plaiſir De grace contez moy au frais de ce feüillage, Comme i'ay delaißé cét horrible eſclauhge.	Oui ma chère Nourrisse, oui Madame c'est vous, C'est vous d'où vivent ce bien que sans connais l'époux, Qui me sort des cachots de l'Ombreux Paganisme, Pour vivre sous les Lois du vrai Christianisme, Mais puis que nous avons un honnête loisir, Que nos troupeaux laisse, repaissent à plaisir De grâce contez -moi au frais de ce feillage, Comme j'ai delaissé cet horrible esclauhge.
PHILOMENE.	PHILOMENE.
Vous n’auiez pas vn mois, que la parque ſans yeux Fit plonger voſtre Mere és paluZ stigieux, Sans cognoiſtre vn ſeul Dieu, qui fit le Ciel, & l’onde, Et la terre abaiſſa dans le centre du monde, Dont elie fut priuée (effroyable mal-heur) De ce ſouuerain bien d’où vient noſtre bon-heut Voſtre Pere eſtonné dans ces triſtes allarmes,	Vous n'aviez pas un mois, que la parque sans yeux Fit plonger votre Mère ès paluz stigieux, Sans connaître un seul Dieu, qui fit le Ciel, et l'onde, Et la terre abaissa dans le centre du monde, Dont elie fut privée (effroyable malheur) De ce souuerain bien d'où vient notre bonheut Votre Père étonné dans ces tristes alarmes,
ous print entre ſes bras, vous arrouſant de larmes, uis vint à jointe mains me prier d’auoir ſoing, Je vous alimenter, en ce preſant beſoing, I'accepte auſſi toſt, & dans ce ſainst Office, accomplis le deuoir de Mere, & de Nourriſſe:	ous prînt entre ses bras, vous arrosant de larmes, uis vint à jointe mains me prier d'avoir soin, Je vous alimenter, en ce presant besoin, J'accepte aussi tôt, et dans ce sainst Office, accomplis le devoir de Mère, et de Nourrisse:
ubſtantãt voſtre Corps, du nectar de mon ſein, t voſtre noble Eſprit d’vn mets plus ſouuerain:	ubstantãt votre Corps, du nectar de mon sein, t vôtre noble Esprit d'un mets plus souverain:
peine marchieZ-vous d’vne jambe tremblãte, Que ie vous apprenois l’Oraiſon excellente:	peine marchiez-vous d'une jambe tremblante, Que je vous apprenois l'Oraison excellente:
Qui ſuccincte comprend tout ce qui nous deffaut, Le Simbole de Foy, le decalogue haut:	Qui succinte comprend tout ce qui nous défaut, Le Simbole de Foi, le décalogue haut:
Les dons du ſainct Eſprit, les doux fruits qu’on en tire, Pour peupler les vertus, & les vices deſtruire:	Les dons du saint Esprit, les doux fruits qu'on en tire, Pour peupler les vertus, et les vices détruire:
dinſi vous ayant faict d’heuëment Cathechiſer, Au lauatoire Sainct ie vous fils Baptiſer:	dinsi vous ayant fait d'heuement Cathéchiser, Au lavatoire Saint ie vous fils Baptiser:
Affin de vous tirer de ce cruel ſeruage, Où la coulpe d’Adam, tous les Mortels engage:	Affin de vous tirer de ce cruel servage, Où la coulpe d'Adam, tous les Mortels engage:
C’eſt le vray ſçeau qui graue en voſtre Noble Eſprit, Cette adorable Loy de mon doux Ieſus-Chriſl:	C'est le vrai sçeau qui grave en votre Noble Esprit, Cette adorable Loi de mon doux Jésus-Chrislis:
Puis donc que vous l’auez ſainctemẽt embraßée, Quand de tous vos parens vous ſerieZ delaißée:	Puis donc que vous l'avez saintement embrassée, Quand de tous vos parents vous seriez delaissée:
Ne craignez leurs fureurs, ne craignez leurs courroux, Confortez vous en Dieu voſtre fidel Eſpoux:	Ne craignez leurs fureurs, ne craignez leurs courroux, Confortez -vous en Dieu votre fidel Époux:
Soyez comme vn Rocher, ferme & inébranlable,	Soyez comme un Rocher, ferme et inébranlable,
Quand il faudoit ſouffrir la mort eſpouuent, ble, Et les plus grands tourmẽs qu’on puiſſe excogite Ne les apprehendez, & tâcheZ d’imiter:	Quand il faudait souffrir la mort épinent, blé, Et les plus grands tourments qu'on puisse excogite Ne les appréhendez, et tâchez d'imiter:
Voſtre aymable Ieſus;	Votre aimable Jésus;
contempleZ les merueille Qu'il a faict pour nous tous, ſes douleurs nom pareilles:	contemplez les merveille Qu'il a fait pour nous tous, ses douleurs nom pareilles:
Sa Couronne, ſes foüets, ſes durs Cloux, & ſ Crolx, Et vous voudreZ pour luy mourir cent mille fois.	Sa Couronne, ses fouets, ses durs Cloux, et s Olx, Et vous voudrez pour venir mourir cent mille fois.
SAINCTE REYNE.	SAINCTE REINE.
Soit beniſte à jamais cette heure fortunée, Que du Ciel etheré ie fus predestinée:	Soit bénite à jamais cette heure fortunée, Que du Ciel éthéré je fus prédestinée:
C’eſt à vous (apres Dieu) à qui ie dois ce bien, I'offre à mon bien-aymé ce cœur qui eſt tout ſien I’adore mille-fois, ſa haute Prouidence, Qui deſillant mes yeux de l’obſcure ignorance:	C'est à vous (après Dieu) à qui ie dois ce bien, J'offre à mon bien-cy ce cœur qui est tout sien J'adore mille-fois, sa haute Providence, Qui desillant mes yeux de l'obscure ignorance:
M'eſclaire du flambeau de la Diuine Foy, Mon Dieu, mon bien, mon tout, mon Sauueur, & mon Roy, Si donc il faut pour luy ſouffrir dix milles peines, Tant qu'il me fournira du ſang dedans meveines, Que i'auray de plaiſir!	M'éclaire du flambeau de la Divine Foi, Mon Dieu, mon bien, mon bien, mon Sauveur, et mon Roi, Si donc il faut pour lui souffrir dix mille peines, Tant qu'il me fournira du sang dedans mèveines, Que j'aurai de plaisir!
ô que i’auray d’honneur, De l’eſpancher pour luy, quel ſuprême bon-heur.	ô que j'aurai d'honneur, De l'épancher pour lui, quel suprême bonheur.
Si ſa toute Bonté me veut faire la grace, De ſuiure des Martjis tu Gtorteuſe trate?	Si sa toute Bonté me veut faire la grâce, De suivre des Martjis tu Gtorteuse trate?
PHILOMENE.	PHILOMENE.
Ma fille qu’il me plaiſt d’ouïr vôtre deſir, t qu’vn braſier de Sainct, voſtre cœur vient ſaiſir:	Ma fille qu'il me plaît d'ouïr vôtre désir, t 'un brasier de Saint, votre cœur vient saisir:
lans vn commencement d’vne tendre jeuneße, uſtre gentil eſprit à beaucoup de ſageſſe:	lans un commencement d'une tendre jeunesse, ustre gentil esprit à beaucoup de sagesse:
qui oousſmnintiemne & accroiße touſiours, Ie fon ſeu bont hiummuos puelles amours.	qui ooussmnintiemne et accroise toujours, Je son seu ont hiummos puelles amours.
SCENE II.	SCÈNE II.
LLEMENT TERE DE SAINCTE REYNE, LEONICE SA TANTE.	LLEMENT TERE DE SAINCTE REINE, LEONICE SA TANTE.
CLEMENT.	CLEMENT.
Elas!	Élas!
ma chere ſœur, quel Dieu, quel ciel, quel Aſtre, Perſe deſſus mon chef vn ſi triſte deſaſtre?	ma chère sœur, quel Dieu, quel ciel, quel Astre, Perse -dessus mon chef un si triste désastre?
Quelle fatalité, m'a ordy ce mal’heur!	Quelle fatalité, m'a ordi ce malheur!
Quel cruel deſeſpoir?	Quel cruel désespoir?
qu’elle extréme douleur!	qu'elle extrême douleur!
Quoy?	Quoi?
n’auoir icy bas, qu'vne petite fille, Le miroir des beautez, & l’honneur de ſa villes Et ſçauoir qu'elle ſuit ſa ſuperſtition, De ce Chriſt qui s’épanche en toute nation, Meſpriſant de naubieux, les grandeurs immortelles, Pour d’vn Crucifié, gouſter les Loix nouuelles?	n'avoir ici bas, qu'une petite fille, Le miroir des beautés, et l'honneur de sa villes Et savoir qu'elle suit sa superstition, De ce Christ qui s'épanche en toute nation, Mesprisant de naubieux, les grandeurs immortelles, Pour d'vn Crucifié, goûter les Lois nouvelles?
Que feray-je à cela?	Que ferai-je à cela?
LEONICE.	LEONICE.
Ah!	Ah!
mon frere vrayme Auant que de rien croire il faut premieremes Sçauoir d’elle en tout cas ſi elle est ſi peu ſage De faire cette iniure à tout ſon parentage Abandonnant ainſi la Loy de ſes Majeurs, Pour ſuiure des Chreſtiens, la ſecte & les erreut	mon frère vraime Avant que de rien croire il faut premièremes Savoir d'elle en tout cas si elle est si peu sage De faire cette injure à tout son parentage Abandonnant ainsi la Loi de ses Majeurs, Pour suivre des Chrétiens, la secte et les erreut
CLEMENT.	CLEMENT.
Voſtre auis eſt tres bon diſcrette Leonice, Et pour le mieux ſçauoir allons chez ſa Nourri Doublons vn peu le pas, quoy que cét aſpre mont Soit bien rude pour moy, i’ay la ſueur au front;	Votre avis est très bon discrette Léonice, Et pour le mieux savoir allons chez sa Nourri Doublons un peu le pas, quoi que cet âpre mont Soit bien rude pour moi, j'ai la sueur au front;
Mais l’extréme deſir de luy parler me preſſe, Ie n’ay que deſplaiſir, que dueil, & que triſteſſe Et ne puis yrttavir de conſolation, Que ie ne ſache au vray ſa reſolution, aran fiuit eſres cons ia.	Mais l'extrême désir de Seigneur parler me presse, Je n'ai que déplaisir, que deuil, et que tristesse Et ne puis yrtavir de consolation, Que ie ne sache au vrai sa résolution, aran fiuit ès cons ia.
TE.	TE.
REYNE;	REINE;
Que vous plaiſt il mon Pere	Que vous plaît il mon Père
CLEMEN .	CLEMEN .
Ma fille dites moy vous qui m’eſtes ſi chere, Vous que i’ayme ſi fort, & ſi parfaictement, Vous qui eſtes ma ioye, & mon coutentement, Qui deuez eſtre vn iour de ma blanche vieilleſſe L’appuy, te doux ſoulas, l’eſpoir, & la lieſſe, Eſt-il poſſible (helas) dites moy franchement, Reyne, que vous ayez ſi peu d’entendement, De quitter nostre Loy, pour prenurt mijerable, Du fils d’vn Charpentier la Loy vituperable?	Ma fille dites -moi vous qui m'êtes si chère, Vous que j'aime si fort, et si parfaitement, Vous qui êtes ma joie, et mon coutentement, Qui devez être un jour de ma blanche vieillesse L'appui, te doux soûlas, l'espoir, et la liesse, Est-il possible (hélas) dites moi franchement, Reine, que vous ayez si peu d'entendement, De quitter votre Loi, pour prenurt mijérable, Du ils d' Charpentier , D' vituperable?
STE.	SITE.
REYNE.	REINE.
Mton cher Pere ie veux vous dire rondement, Que j’adore Ieſus, facteur du Firmament, Qui print noſtre nature ês flancs d’vne Pucelle, Pour lauer dans ſon Sang la coulpe Originelle, Toulpe helas!	Mton cher Père Dieu veux vous dire rondement, Que j'adore Jésus, facteur du Firmament, Qui prit notre nature us flancs d'une Pucelle, Pour lauer dans son Sang la coulpe Originelle, Toulpe hélas!
qui priuoit les hõmes malheureux, De l’aymable ſejour des Anges bien-heureux:	qui privait les hommes malheureux, De l'aimable séjour des Anges bienheureux:
Von fils de S.	Von fils de S.
Ioſeph, Cher Eſpoux de ſa Mere:	Joseph, Cher Époux de sa Mère:
Mais da Dieu immortel engendré de ſon Pere, Des toute eternité, & n'y en temps & lieu, De cette ſaincte Vierge, & vray hommè, & vray Dieu :	Mais da Dieu immortel engendré de son Père, Des toute éternité, et n'y en temps et lieu, De cette sainte Vierge, et vrai hommême, et vrai Dieu :
Par l’operation, & miſtere adorable, Du ſacré ſainct Eſprit, Dieu iuſte & immuable.	Par l'opération, et mystère adorable, Du sacré saint Esprit, Dieu juste et immuable.
Tout puiſſant, tout parfaict, tout beau tout glorieux, Qui eternellement regnera dans les Cieux, C’eſt ce doux Redempteur, c’eſt ce vray Dieu, (mon Ree y.	Tout puissant, tout parfait, tout beau tout glorieux, Qui éternellement régnera dans les Cieux, C'est ce doux Rédempteur, c'est ce vrai Dieu, (mon Re y.
Seul digne d’eſtre aymé, que i’adore, & reuere;	Seul digne d'être aimé, que j'adore, et révère;
Et non pas comme vous des Dieux d’or, & de bois, DénueZ de pouuoir, de parole, & de voix.	Et non pas comme vous des Dieux d'or, et de bois, DénueZ de pouuoir, de parole, et de voix.
CLEMENT.	CLEMENT.
O malheureuſe fille!	Ô malheureuse fille!
ô engeance maudite!	ô engeance maudite!
