E SUS MARIA.	 EUS MARIA.
ACTEURS De la Tragedie ſur le Martyre des Saints Innocens.	ACTEURS De la Tragédie sur le Martyre des Saints Inocents.
HERODE, Roi de Judée.	HÉRODE, Roi de Judée.
Denem de la Piece ſuivante.	Denem de la Pièce suivante.
N repreſente dans le premier Acte deux Confidens O d’Herode qui conferent enſemble de la maniere qu’ils s’y prendront, pour annoncer l’arrivée des Mages dans Jeruſalem, qui demandent où eſt né le Roy des Juifs, qu’ils viennent pour l’adorer:	N' represente dans le premier Acte deux Confidents Ô d'Hérode qui confèrent ensemble de la manière qu'ils s'y prendront, pour annoncer l'arrivée des Mages dans Jérusalem, qui demandent où est né le Roi des Juifs, qu'ils viennent pour l'adorer:
le Roy vient à eux, ils lui annoncent cette nouvelle qui le trouble;	le Roi vient à eux, ils lui annoncent cette nouvelle qui le trouble;
& fait un long narré avec ſes Confidens de tout ce qu’il a fait auſſi bien que ſon pere Antipater, & ſes freres pour la patrie, & témoigne les mécontentemens qu’il en a reçû, ſur tout depuis qu’il eſt ſur le Trône, & qui I'ont obligé juſqu’à faire mourir ſa femme, & dé ſes enfans qui conſpiroient contre lui:	et fait un long narré avec ses Confidents de tout ce qu'il a fait aussi bien que son père Antipater, et ses frères pour la patrie, et témoigne les mécontentements qu'il en a reçu, sur tout depuis qu'il est sur le Trône, et qui J'ont obligé jusqu'à faire mourir sa femme, et de ses enfants qui conspiraient contre lui:
qu’enfin aprés avoir mis le calme dans ſes Etats, ces Roys venoient de nouveau le troubler & l’inſulter, juſques dans la Ville Capitale de ſon Royaume:	qu'enfin après avoir mis le calme dans ses États, ces Rois venaient de nouveau le troubler et l'insulter, jusque dans la Ville Capitale de son Royaume:
il conſulte ſes Favoris ſur ce qu’il doit faire dans cette conjoncture;	il consulte ses Favoris sur ce qu'il doit faire dans cette conjoncture;
aprés il donne nuuiance aux Roys Mages, & les conduit enſuite dans ſon Palais, en attendant qu’on ait fait aßembler les Docteurs de la Loi, pour s’informer du lieu où doit naître le Chriſt, & leur dire.	après il donne nuviance aux Rois Mages, et les conduit ensuite dans son Palais, en attendant qu'on ait fait assembler les Docteurs de la Lois, pour s'informer du lieu où doit naître le Christ, et leur dire.
Dans le ſecond Acte, le Roy conſulte les Rabis de ſa Secte, qui lui font entendre qu’il eſt le Meſſie, qu’il le prouve aßés par les grandes actions qu’il a fait;	Dans le second Acte, le Roi consulte les Rabis de sa Secte, qui lui font entendre qu'il est le Messie, qu'il le prouve assés par les grandes actions qu'il a fait;
ſur tout par la démolition & le rétabliſſement du Temple, qui fait l’admiration de tout l’Univers, dans lequel il n’y en a point un pareil par ſa magnificence, &c.	sur tout par la démolition et le rétablissement du Temple, qui fait l'admiration de tout l'Univers, dans lequel il n'y en a point un pareil par sa magnificence, etc.
mais quoiqu’il avoit eu deßein lui-même en faiſant démolir & châtiz le Terunl voyant bien qu’ils le flatoient trop là-deſſus, & ſçachant mieux le contraire, il conſulte aprés le grand Prêtre Ananie, & le Rabi Jonatas de la Secte des Phariſiens, qui lui expliquent nettement les Ecritures par les Prophetes, & lui diſent le lieu où doit naître le Chriſt d’une Vierge:	mais quoiqu'il avait eu dessein lui-même en faisant démolir et châtiz le Téruns voyant bien qu'ils le flattaient trop là-dessus, et sachant mieux le contraire, il consulte après le grand Prêtre Ananie, et le Rabi Jonatas de la Secte des Pharisiens, qui lui expliquent nettement les Écritures par les Prophètes, et lui disent le lieu où doit naître le Christ d'une Vierge:
aprés tous les Docteurs ſe retirent, & le Roy conſulte ſes Courtiſans ſur la réponſe qu’il doit donner aux Mages;	après tous les Docteurs se retirent, et le Roi consulte ses Courtisans sur la réponse qu'il doit donner aux Mages;
enſuite on les fait entrer, on leur fait un précis de ce qu’ont dit les Docteurs, aprés ils ſortent pour vin aller à Bethléem, & le Roy les prie de lui donner nouvelle s’ils l’ont trouvé, afin qu’il l’aille auſſi adorer, &c.	ensuite on les fait entrer, on leur fait un précis de ce qu'ont dit les Docteurs, après ils sortent pour vin aller à Bethléem, et le Roi les prie de lui donner nouvelle s'ils l'ont trouvé, afin qu'il l'aille aussi adorer, etc.
Dans le troiſiéme Acte, les Confidens d’Herode conferent enſemble comme ils pourrqut dire au Roy les facheuſes nouvelles qu’ils ont appris touchant la verité de la Naiſſance du Meſſie, le Roy arrive dans leur entretien, ils lui parlent de ce qui s’eſt paſſé dans le Temple à la Purification de la Vierge, des Propheties de Simeon & d’Anne, des bruits qui s’en ſont répandus dans la Ville à ce ſujet, de ce qui a parû à la Naiſſance de Saint Jean-Baptiſte, de la Prophetie de Zacharie touchant le Meſſie;	Dans le troisième Acte, les Confidents d'Hérode confèrent ensemble comme ils pourrqut dire au Roi les fâcheuses nouvelles qu'ils ont appris touchant la vérité de la Naissance du Messie, le Roi arrive dans leur entretien, ils lui parlent de ce qui s'est passé dans le Temple à la Purification de la Vierge, des Prophies de Simeon et Anne, des bruits qui s'en sont répandus dans la Ville à ce sujet, de ce qui a parlu à la Naissance de Saint JeanBaptiste, de la Prophétique de La touchant leQue;
ſur tout cela le Roy ne doutant plus de la Naiſſance du Meſſie, joint encore à ce que les Mages n’étoient pas revenu lui en donner des nouvelles comme ils lui avoient promis, & penſant que ce nouveau Roy devoit le détrôner, entre en grande colere, prend la reſolution de faire mourir ce petit Enfant Roy, fait venir pour ce ſujet ſon Lieutenant General, à qui ( comme il ne connoiſſoit pas, & ne ſçavoit pas non plus l’endroit poſitivement où il eſt né) il lui ordonne de faire mourir tous les enfans mâles au deſſous de deux ans qui ſe trouveroient à Bethléem & dans ſa Contrée;	sur tout cela le Roi ne doutant plus de la Naissance du Messie, joint encore à ce que les Mages n'étaient pas revenu lui en donner des nouvelles comme ils lui avaient promis, et pensant que ce nouveau Roi devait le détrôner, entre en grande colère, prend la résolution de faire mourir ce petit Enfant Roi, fait venir pour ce sujet son Lieutenant Général, à qui ( comme il ne connaissait pas, et ne savait pas non plus l'endroit positivement où il est né) il lui ordonne de faire mourir tous les enfants mâles au dessous de deux ans qui se trouveraient à Bethléem et dans sa Contrée;
afin que ce petit Roy nouveau né ne manqua ment qu’il ne pouvoit pas le penſer.	afin que ce petit Roi nouveau né ne manqua ment qu'il ne pouvait pas le penser.
Dans le quatriéme Acte, Ariſtobule apprend à Hircanus, l’état affreux auquel Herode eſt reduit depuis qu’il ne l’a vû, il llui fait un détail de ſes maux, qui loin d’adoucir ſa fureur, le portent encore à de plus grandes cruautés, aprés celle qu’il a ordonné contre les enfans de, &c.	Dans le quatrième Acte, Aristobule apprend à Hircanus, l'état affreux auquel Hérode est réduit depuis qu'il ne l'a vu, il lui fait un détail de ses maux, qui loin d'adoucir sa fureur, le portent encore à de plus grandes cruautés, après celle qu'il a ordonné contre les enfants de, etc.
dont il a de grandes inquietudes & ſoupçons, de ce qu’il n'a point encore de nouvelles de l’execution, & le fait croire qu’on ne l’a point faite, ce qui le porte à de grands reproches de ſes Sujets qui lui ſont rebelles, à mander les Docteurs de la Loi à comparoître devant lui pour leur en témoigner ſon indignation, les croyant d’intrigues avec les Roys d’Orient, en faveur de ce prétendu Roy des Juifs, qu’on dit être né depuis peu, à faire brûler tout vif Mathias grand Sacrificateur pour avoir par un zele de la gloire du Seigneur, fait ôter un aigle d’or qu’il avoit fait mettre ſur la porte du Temple;	dont il a de grandes inquiétudes et soupçons, de ce qu'il n'a point encore de nouvelles de l'exécution, et le fait croire qu'on ne l'a point faite, ce qui le porte à de grands reproches de ses Sujets qui lui sont rebelles, à mander les Docteurs de la Lois à comparaître devant lui pour leur en témoigner son indignation, les croyant d'intrigues avec les Rois d'Orient, en faveur de ce prétendu Roi des Juifs, qu'on dit être né depuis peu, à faire brûler tout vif Mathias grand Sacrificateur pour avoir par un ôle de la gloire du Seigneur, fait ôter un aigle or il avoit fait mettre sur la porte du Temple;
enfin il reçoit une grande conſolation dans ſes maux de ce qu’Alexandre vient lui apporter la nouvelle du maſſacre des enfans au deßous de deux ans qui ſe ſont rencontrés dans Bethléem & dans ſa Contrée, il lui en témoigne auſſi bien qu’aux Docteurs la ſatisfaction qu’il a de leur zele à ſon ſervice, &c.	enfin il reçoit une grande consolation dans ses maux de ce qu'Alexandre vient lui apporter la nouvelle du massacre des enfants au de de deux ans qui se sont rencontrés dans Bethléem et dans sa Contrée, il lui en témoigne aussi bien qu'aux Docteurs la satisfaction qu'il a de leur zèle à son service, etc.
& ſe voyant proche de la mort, il en demande encore un à Alexandre, qui eſt qu’au moment de ſa mort avant qu’elle ſoit divulguée, de faire paffer au fil de l’épée toute la Nobleſſe qu’il a fait aßembler dans le Circ, ainſi que ſa ſœur Solome & ſon mari Alexas lui avoient promis;	et se voyant proche de la mort, il en demande encore un à Alexandre, qui est qu'au moment de sa mort avant qu'elle soit divulguée, de faire passer au fil de l'épée toute la Noblesse qu'il a fait assembler dans le Circ, ainsi que sa sœur Solome et son mari Alexas lui avaient promis;
afin que les Juifs qu’il ſçavoit qu’ils ſe réjoüiroient de ſa mort, euſſent à pleurer celle de cette Nobleſſe par ce funeſte ſort:	afin que les Juifs qu'il savait qu'ils se réjouiraient de sa mort, eussent à pleurer celle de cette Noblesse par ce funeste sort:
on lui vient dire qu’Antipater ſon fils (qui étoit en priſon par ſes ordres) avoit tâché de gagner le Geolier par de grandes promeßes de lui donner un rang & de grandes richeſſes s’il le laiſſoit ſortir d’abord qu’il apprendroit ſa mort;	on lui vient dire qu'Antipater son fils (qui était en prison par ses ordres) avait tâché de gagner le Geollier par de grandes promées de lui donner un rang et de grandes richesses s'il le laissait sortir d'abord qu'il apprendrait sa mort;
ſur cela indigné contre lui, donne ordre qu’on l’aille tuer dans la priſon, & qu’il ſoit porté ſans aucun honneur dans le Château d’Hycan, pour y être enterré, aprés avoir déclaré ſon fils Archelaüs ſon ſucceßeur à la Couronne, & demandé qu’on lui ſoûtienne, étant prêt d’expirer on l’emporte.	sur cela indigné contre lui, donne ordre qu'on l'aille tuer dans la prison, et qu'il soit porté sans aucun honneur dans le Château d'Hycan, pour y être enterré, après avoir déclaré son fils Archelaus son successeur la Couronne, et demandé on lui soûtienne, étant prêt expirer on emporte:
JESUS MARIA.	JESUS MARIA.
SUR LE MARTYRE DES SS.	SUR LE MARTYRE DES SS.
INNOCENS, IRAGEDIE.	JNNOCENS, JRAGEDIE.
AOTL I0 SCENE PREMIERE.	ÀOTL I0 SCÈNE PREMIÈRE.
ARISTOBULE.	ARISTOBULE.
ST-ce un ſonge de voir arriver dans la Ville Trois Rois de l’Orient cherchans le domicile, Où depuis peu de tems eſt né le Roi des Juifs?	ST-ce un songe de voir arriver dans la Ville Trois Rois de l'Orient cherchants le domicile, Où depuis peu de temps est né le Roi des Juifs?
