Par J.	Par Y.
MIIDernicre Euition, revt par l’Auteur.	MIIDernicre Euition, revît par l'Auteur.
e	Je
M.	M.
D C.	D Ç.
XCII.	XCII.
A MONSEIGEVR, MONSEIGNEURMESSIRE SEBASTIEN DE POURROY, Chevalier, Conſeiller du Roy en ſes Conſeils d’Etat & Privé, & Preſident en ſa Cour de Parſement de Duephine.	À MONSEIGEUR, MONSEIGNEURMESIRE SÉBASTIEN DE POUROY, Chevalier, Conseiller du Roi en ses Conseils d'État et Privé, et Président en sa Cour de Parsement de Duphine.
MONSEIGNEVR.	MONSEIGNEUR.
Ces Bergers, dans le deſſein qu’ils ont fait de rendre leurs avantures connuës de tous ceux de cette Province, & même encore plus loin, ont creu que voſtre protection leur eſt tellement neceſſaire, quę ſans elle ils ne peuvent l’entreprendre qu’ayec temcrité.	Ces Bergers, dans le dessein qu'ils ont fait de rendre leurs aventures connues de tous ceux de cette Province, et encore même plus loin, ont cru que votre protection leur est tellement nécessaire, qu ' elle ils ne peuvent l'entreprendre qu'aiec temps.
Leur naiſſance baſſe, leur vie chative, leurs exercices rudes, & leur entretien groſſiet vous pourioient empêcher d’en faire quelque eſtat;	Leur naissance basse, leur vie chative, leurs exercices rudes, et leur entretien grossiét vous pourraient empêcher d'en faire quelque état;
ſi par l'Eminente qualité que vous poſſedez dignement dans le Temple de la Juſlicc, vous n’ériez porté à départir voſtre faveur, particu lierement à la foibleſſe de ceux de cette condition:	si par l'Eminente qualité que vous possédez dignement dans le Temple de la Juslicc, vous n'ériez porté à départir votre faveur, particu lièrement à la faiblesse de ceux de cette condition:
Et ſi l’inclinatlon naturelle que vous avez à la douce paſſion, qui les fait aigr, ne vous émouvoit à les aſſiſter:	Et si l'inclinatlon naturelle que vous avez à la douce passion, qui les fait aigr, ne vous émouvait à les assister:
Outre que tels que vous les voyez ils ſe promettent (ſous voſtre autorité) inſpiré de la Muſe Grenobloife, de repreſenter toutes les gentilleſſes de cestems.	Outre que tels que vous les voyez ils se promettent (sous votre autorité) inspiré de la Muse Grenobloipe, de représenter toutes les gentillesses de cestems.
C’eſt pout ce ſujet, Monſeigneur, qu’ils vous ont offe les premiers ſoupirs de leur amour, afin que d’un co eſtant à couvert ſous voſtre nom, de l’autre ils vous pui ſant aſſurer que leur Auteur ne deſire que de s’acqueri titre de0	C'est pout ce sujet, Monseigneur, qu'ils vous ont offe les premiers soupirs de leur amour, afin que d'un co étant à couvert sous votre nom, de l'autre ils vous puy sant assurer que leur Auteur ne désire que de s'acqueri titre de0
MONSEIENEUR Voſtre tres-humble & tre obeïſſant ſerviteur, J.	MONSEIENEUR Votre très-humble et tre obéissant serviteur, J.
MIELET.	MIELT.
SONNET.	SONNET.
Are du bon meina, à qui je tecommando I Lo motet de Tratloutra, & tou ſou compagnon, Marchié à voſtron ombra, ou cuvré mou rognon De voſtra coiffi, eyet tout ce que je demando.	Arre du bon meina, à qui je tecommando I Lo motet de Tratoutra, et tou sou compagnon, Marchié à vostron ombra, ou cuvré mou rognon De vostra coisy, eu tout ce que je demando.
Ne refuſa pa ren le flou que je vo mando.	Ne refusa pa ren le flou que je vo mando.
Inco qu’elle ne ſont fille du ven mignon.	Inco qu'elle ne sont fille du ven on.
Mais puiſque lo brut court d’ici en Avignon, Que ma Muſa per vo fat ce que je commando Faites-en un bouquet à tou voſtrouz ami, Et je prieray Dieu que voſtrouz ennemi Devenon rebuti comme ſoular de mougi:	Mais puisque lo brut court d'ici en Avignon, Que ma Musa per vo fat ce que je commando Faites-en un bouquet à tou vostrouz ami, Et je prierai Dieu que vostrouz ennemi Devenon rebuti comme soular de mougi:
Que vo pizi longtem lez eypicie u mortié, Et que chacun aprés voſtra grand rauba rougi Coreize comme dindo à l’honou du meytié.	Que vo Pizi longtem lez épicie u mortié, Et que chacun après vostra grand rauba rougi Coreze comme dindo à l'honou du meytié.
J.	J.
MILLET.	MILLET.
A L’AVTEVR.	À L'AUTEUR.
SONNET.	SONNET.
Oy qui remets ſur pied la Muſe Grenobloiſe, I Plus belle que du tems de ce banquet fameux, Auquel les invitez s’eſtimerent heureux De manger des crezets cuits à la Villageoiſe.	Oi qui remets sur pied la Muse Grenobloise, I Lus belle que du temps de ce banquet fameux, Auquel les invitez s'estimèrent heureux De manger des crezets cuits à la Village.
Ou du tems du caquet qu’une troupe Bourgeoiſe Fit chez une accouchée, où, lors d’un cœur joyeux Chaque femme parla de ce qu’elle aimoit mieux, Et des ſubtils moyens de paroitre courtoiſe.	Ou du temps du caquet qu'une troupe Bourgeoise Fit chez une accouchée, où, lors d'un cœur joyeux Chaque femme parla de ce qu'elle aimait mieux, Et des subtils moyens de paraître courtoise.
Toy (dis je) dont les vers en leur naiſveté Repreſentent ſi bien ce que peut la beauté D’une jeuue bergere eſlevée au village:	Toi (dis je) dont les vers en leur naisveté Representent si bien ce que peut la beauté D'une jeuve bergère élevée au village:
Reçois le verd laurier qui doit ſervir de pris, Au plus riche travail de tous les bons eſprits Qu’ont jamais vécu & vivent en noſtr’âge.	Reçois le verd laurier qui doit servir de pris, Au plus riche travail de tous les bons esprits Qu'ont jamais vécu et vivent en nostr’âge.
A LVT-MESME.	À LUT-MÊME.
QUATRAIN.	QUATRAIN.
Illet en noſtre langue on ne peut mieux écrire M Que ce que tu as fait, & tes Vers raviſſans Ont tellement charmé mon eſprit & mes ſens, Que plus je les relis, & plus je les admire.	Illet en notre langue on ne peut mieux écrire M Que ce que tu as fait, et tes Vers ravissants Ont tellement charmé mon esprit et mes sens, Que plus je les relis, et plus je les admire.
S.	S.
D.	D.
P.	P.
A LVT-MESME.	À LUT-MÊME.
HUITAIN.	HUITAIN.
Illet, faut pa menti, dedin ta Paſtorella MAyan fat deveni la Lhauda Dameiſella, Tu fa teni le fille ore pe lou cinq ſou, Car chacuna ſe cret avey autant de graci, Et d’eſtre autant que ley, & d’auſſi bonna raci, Per fare qu’un Monſieu en devene amoitou;	Illet, faut pa menti, dedin ta Pastorella MAyan fat deveni la Lhauda Dameisela, Tu fa teni le fille ore pe lou cinq sou, Car chacuna se cret avrey autant de grât de Et d'être autant que lei, et d'aussi bonna raci, Per sare qu'un Monsieu en devène amoitou;
Si ben que lou meyna lont forcia u villageo, V lieu de folata d’être toujour ben ſageo.	Si ben que lou meyna lo forcia u villageo, V lieu de folata d'être toujour ben sageo.
A LVT-MESME.	À LUT-MÊME.
QUATRAIN.	QUATRAIN.
Illet liſan tou Ver, j’ai prei un grand plaiſi:	Illet lisan tou Ver, j'ai prey un grand plaisi:
MAſſi j'avin toujour eu envey de lou lire, Car tan mey je lou liſo cyplet, ou à leiſi, Tan mey j’uvro le lore, & m’eyclatto de rire.	MAssi j'avin toujour eu envei de lou lire, Car tan me je lou liso cyplet, ou à leisi, Tan me j'évro le lore, et m'eyclatto de rire.
S.	S.
D.	D.
P.	P.
STANCES.	STANCES.
Antoüe vante ſon Virgile, MComme Paris ſon Theophile, Et Homere tout l’Univers.	Antoüe vante son Virgile, MComme Paris son Théophile, Et Homère tout l'Univers.
On dit qu’il n’y eut jamais homme, Plus expert qu’Ovide dans Rome, Pour ſçavoir faire des beaux Vers.	On dit qu'il n'y eut jamais homme, Plus expert qu'Ovide dans Rome, Pour savoir faire des beaux Vers.
Millet liſant ta Paſtorelle, Je trouve ta Muſe plus belle, Que celle de ceux que j’ay dit:	Millet lisant ta Pâtorelle, Je trouve ta Muse plus belle, Que celle de ceux que j'ai dit:
Au langage des Allobroges, Tu merités tous leuis eloges, Et parmi nous plus de credit.	Au langage des Allobroges, Tu mérités tous levis éloges, Et parmi nous plus de crédit.
A LVT-MESME.	À LUT-MÊME.
SONNET.	SONNET.
Uſes Grecque, Latine, Toſcane & Françoiſe, N Qui par la Comedie acquerez du renom;	Uses Grecque, Latine, Toscane et Française, N Qui par la Comédie acquérez du renom;
Voicy le tems venu qu’il faut que voſtre nom Humble, cede à celuy de noſtre Grenobloiſe.	Voici le temps venu qu'il faut que votre nom Humble, cede à celui de notre Grenobloise.
Comme le Roſſignol plus doucement dégoiſe, Que le Chardonneret, le Linot, le Pinſon, Sur un verd arbriſſeau ſon aimable chanſon, Racontant aux Foreſts ſon amour & ſon aiſe.	Comme le Rossignol plus doucement dégoise, Que le Chardonneret, le Linot, le Pinson, Sur un verd arbrisseau son aimable chanson, Racontant aux Forêts son amour et son aise.
Auſſi lorſque Millet luy fait dire les feux, Qui conſument les cœurs des Bergers amoureux:	Aussi lorsque Millet te fait dire les feux, Qui consument les cœurs des Bergers amoureux:
La veine de ſes Vers eſt ſi claire & ſi pure, Que ce qui eſt en vous de plus docte & ſubtil, Ne ſçauroit égaler ce qu’elle a de gentil:	La veine de ses Vers est si claire et si pure, Que ce qui est en vous de plus docte et subtil, Ne saurait égaler ce qu'elle a de gentil:
Ainſi que l’ait ne peut égaler la nature.	Ainsi que l'ait ne peut égaler la nature.
C.	Ç.
D.	D.
R.	R.
.	.
A iiij	À jijà
DIXAIN.	DIXAIN.
Renoblo, ne fay pa inco tan de cancan, ODe ceu qu’at deitoba la graci de Racan.	Renoblo, ne fais paya inco tan de cancan, ODe cv qu'at deitoba la grâti de Racan.
Le fene, louz efan, tout juſqu’à le muraille Preſche, qu’u mondo gnat perſonna que lo vaille Et prou bartavela, qu’eyzi te ſoulamen, Comma din un chaſtel d’amour & de plaiſanci La chair de la perdry n’ét qu’un po de pidanci, Ceteu petit ſourpi d’un amoirou jailliet Vpri de ce qu’u ſeat n’ét qu’un gran de millet.	Le fene, louz ean, tout jusqu'à le muraille Praîche, qu'u mon gnat personna que lo vaille Et pro vêla, qu'ézi te soulamen, Comma din un chastel d'amour et de plaisanci La chair de la perdri n'est qu'un pô de idanci, Céleu petit sourpi d'un amoirou jailliet Vpri de ce qu'une sat n'est qu'un gran de millet.
Sur la Bergerie du Sieur Millet.	Sur la Bergerie du Sieur Millet.
DIXAIN.	DIXAIN.
Illet les divertiſſemens M De ta follaſtre Poëſie.	Illet les divertissements M De ta folâtre Poésie.
Portent dans des raviſſemens Si doux à noſtre fantaiſie, Qu’aprés avoit oüi tes Vers, Et veu les meſlanges divers, Dont tu pares ta ſcene avec tant de merveilles, Nos ſens d’aizc ravis doutent quel vaut le mieux, Ou le piait de nos oreiſles Ou le contentement, qu’en reçoivent nos yeux.	Portent dans des ravissements Si doux à notre fantaisie, Qu'après avait oüi nos Yeux. Et vu les mélanges divers, Dont tu pares ta scène avec tant de merveilles, Nos sens d'aizc ravis doutent quel vaut le mieux, Ou le piait de nos oreisles Ou le contentement, qu'en reçoivent nos yeux.
B.	B.
F.	F.
B.	B.
Au meſme, ſur la Dedicace de ſa Bergerie.	Au même, sur la Dédicace de sa Bergerie.
SIXAIN.	SIXAIN.
Edans le deſeſpoir, où ton berger ſe jette, Millet tu dois cherit ſon mal & ſa défaite, Puiſque l’on voit qu’aprés ſon amoureux tranſport Il révit plus heureux, par le ſoin debonnaire B.	Édans le désespoir, où ton berger se jette, Millet tu dois chérit son mal et sa défaite, Puisque l'on voit qu'après son amoureux transport Il révit plus heureux, par le soin débonnaire B.
F.	F.
B.	B.
De ton Dieu tutelaire, Qui ſauve ſes amours, & tes Vers de la mort.	De ton Dieu tutélaire, Qui sauve ses amours, et tes Vers de la mort.
INEVNDEM.	JNEUNDEM.
EPIGRAMMA.	EPIGRAMMA.
N Caſſum renuit latiis dare præmia linguæ Græcia, vel graijs tradere Roma manus;	 Nassum renuit latiis dare præmia linguæ Græcia, vel graij à Roma manus;
Nec non heſperiis vult tollere Gallia palmam:	Nec non hesperiis vult tolle Gallia palma:
Milleti comico carmine cuncta ſilent.	Milleti compico carmine cuncta silent.
Nam ſi depromat vernacula carmine linguæ Allobrogum, eſt cunctis protinus illa lepos.	Nam si dépromat vernacula carmine linguæ Allobrogum, est cunctis protinus illa lepos.
26&SN F.	26etSN F.
M.	M.
Ox3 Ci8esSDSLEDSLSDEDS DELE SISES	Ox3 Ci8esSDSLÉDSLSDEDS DELE SISES
A RGVMENT.	À RGUMENT.
DIERO & Thievena mariez, villageois, voiſins de I Grenoble, ont une fille nommée Lhauda bergere, dont la beauté acompagnée des graces, contraint les cœurs les plus glacez à ſoupirer, & particulierement celuy de Janin le berger;	DIERO et Thievena mariés, villageois, voisins de I Grenoble, ont une fille nommée Lhauda bergère, dont la beauté acompagnée des grâces, contraint les cœurs les plus glacés à soupirer, et particulièrement celui de Janin le berger;
dés leur enfance leur amitié ſe trouve reciproque.	dès leur enfance leur amitié se trouve reciproque.
Mais l’indiſcretion de ce Berger ruine dans un moment l’eſperance de leur mariage, parce qu’avant icelui il lui demande ce que l’hõneur de la Bergere ne luy peut accorder, dequoy offencée elle le fuit, & ſon dépit n’eſt pas ſi-tôt conçû, qu’il arrive que deux gentilshommes, Amidor & Floridon freres, allant à la chaſſe avec Thono, & Loren bergers, ils découvrent au coin d’un bois Lhauda gurduutles agneau4yde dilnagmhant d’abord que c’eſt Diane déguiſée en Bergere, ils deſirent l’approcher pour lui rendre hommage, mais à leur approche elle s’enfuit;	Mais l'indiscrétion de ce Berger ruine dans un moment l'espérance de leur mariage, parce qu'avant icelui il lui demande ce que l'honneur de la Bergère ne le peut accorder, dequoy offensée elle le fuit, et son dépit n'est pas sitôt conçu, qu'il arrive que deux gentilshommes, Amidor et Floridon frères, allant à la chasse avec Thono, et Loren bergers, ils découvrent au coin d'un bois Lhauda bois agneau4yde guide d'abord que eest Son déguisée en Bergere, ils dé approcher pour lui en hommage, mais t leur approche elle enfuit'
ce que voïant Amidor s’informe d’elle envers ces bergets, qui lui aſſeurent que c’eſt une Bergere leur voiſine capable d’eſtre aimée, dont Amidor enflammé, reſout de la ſervit comme maitreſſe de ſon cœur.	ce que voïant Amidor s'informe d'elle envers ces bergets, qui lui assurent que c'est une Bergère leur voisine capable d'être aimée, dont Amidor enflammé, résout de la servit comme maîtresse de son cœur.
Thono connoiſſant ſon envie, luy promet de luy faire parler le lendemain matin:	Thono connaissant son envie, lui promet de Se faire parler le lendemain matin:
Ce que conclu, ils cõtinuent leur deſſein de la chaſſe, à laquelle Floridon tuë un Sanglier qui le bleſſe à la cuiſſe.	Ce que conclu, ils continuent leur dessein de la chasse, à laquelle Floridon tuue un Sanglier qui le blesse à la cuisse.
Au retour de la chaſſe Amidor n’ayant dans ſon eſprit que les idées des beautez de ſa nouvelle maitreſſe, ne peut trouver aucun repos, & court la nuit ſur les rochets, attendant le jour & l’heure aſſignée que Thono par ſon entremiſe le doit faire joüir de la preſence de ſa Bergere:	Au retour de la chasse Amidor n'ayant dans son esprit que les idées des beautés de sa nouvelle maîtresse, ne peut trouver aucun repos, et court la nuit sur les rochets, attendant le jour et l'heure assignée que Thono par son entremise le doit faire jouir de la présence de sa Bergère:
à quoy étant parvenu Amidor, aprés pluſieurs ſermens & proteſtations de ſon amour, il obtient d’elle la faveur de ſes bonnes graces:	à quoi étant parvenu Amidor, après plusieurs serments et protestations de son amour, il obtient d'elle la faveur de ses bonnes grâces:
De ſotte qu’avant que ſe quitter, ils ſe paſſent reciproquement promeſſe de mariage.	De sotte qu'avant que se quitter, ils se passent réciproquement promesse de mariage.
Ce que venant à la notice de Ianin, il ne peut retenir ſes pleurs, ni moins les éforts de ſa jalouſie:	Ce que venant à la notice de Janin, il ne peut retenir ses pleurs, ni moins les éforts de sa jalousie:
car à l’inſtant il delibere de proceder aux effets de ſon juſte reſſentimenr.	car à l'instant il délibère de procéder aux effets de son juste ressentimenr.
