A PHILISTE	À PHILISTE
Tant treuué cette piece parmy vn tas de vieux papiers que i’auois au& Sο tresfois apportez d’Italie, i'ay iugé maintenant que ſa ſaiſon eſtoit venuë pour la faire voir en noſtre langue, attendu qu’elle repreſente naïfuement vne Hiſtoire qui s'eſt paſſee, il y a quelque temps, entre des perſonnes aſſez remarquables.	Tant trouvé cette pièce parmi un tas de vieux papiers que j'avais au Vôtre tresfois apportez d'Italie, j'ai jugé maintenant que sa saison était venue pour la faire voir en notre langue, attendu qu'elle représente naïfuement une Histoire qui s'est passe, il y a quelque temps, entre des personnes assez remarquables.
Mais comme mon style n'eſtoit pas encores bien formé, ny entierement façonné à la mode de la Cour, i'ay eſté contrainct de mandier le ſecours des plus approuuez:	Mais comme mon style n'était pas encor bien formé, ni entièrement façonné à la mode de la Cour, j'ai été contraint de mandier le secours des plus approuvés:
& à ce ſujet i’ay choiſi l’Orateur le plus eſtimé de noſtre ſiecle, d’où ie n’ay fait par maniere de dire que tranſcrire les mots & les periodes toutes entieres, que i'ay par apres accommodees le mieux qu'il m'a eſte poßible au ſens de l’Autheur Jtalien, de ſorte qu’il n’y a rien du mien en cét ouurage.	et à ce sujet j'ai choisi l'Orateur le plus estimé de notre siècle, d'où grande n'ai fait par manière de dire que transcrire les mots et les périodes toutes entières, que j'ai par après accommodées le mieux qu'il m'a este possible au sens de l'Auteur Italien, de sorte qu'il n'y a rien du mien en cet ouvrage.
Ne croyez donc pas que cela vous tienne lieu de preſent, puiſque c’eſt du bien d’autruy, dont ie ne puis diſpoſer.	Ne croyez donc pas que cela vous tienne lieu de présent, puisque c'est du bien d'autrui, dont quelque ne puis disposer.
Il eſt vray ſi iamais ie monte de l’imitation à quelqne plus haut degré de capacité, & que i’inuente deſormais, ou que ie compoſe de moy meſme, aſſeurez-vous que vous y auréz bonne part, & qu’ayant appris tout ce que i'ay de bon en voſtre compagnie & dans les conferences que nous auons euës autres-fois enſemble, il eſt raiſonnable que cela retourne à ſon premier principe, & que les cauſes ſe reſſentent en quelque façon de l’horneur * de la;	Il est vrai si jamais ie monte de l'imitation à quelquene plus haut degré de capacité, et que j'invente désormais, ou que je compose de moi -même, assurés-vous que vous y auréz bonne part, et qu'ayant appris tout ce que j'ai de bon en votre compagnie et dans les conférences que nous avons eues autres-fois ensemble, il est raisonnable que cela retourne à son premier principe, et que les causes se ressent en quelque façon de l'horneur * de la;
Adieu.	Adieu.
ploire de leurs effects.	ploire de leurs effets.
LA COMMEDIE MLOCOMAMEDIES.	LA COMÉDIE MLOCOMAMEDIES.
Traduite d’Italien en Langage de lOrateur François.	Traduite d'Italien en Langage de lOrateur Français.
ARGVMENT DE LA COMMEDIE.	ARGUMENT DE LA COMÉDIE.
