Avmndremire o	Avmndremire ô
Nne s’étonnera point de voir un ne i Illuſtre que le vôtre à la teſte de cet te Comedie:	Nne s'étonnera point de voir un ne y Illustre que le vôtre à la tête de cet te Comédie:
c’eſt l’ordinaire des autheur;	c'est l'ordinaire des auteur;
de dedier leurs productions d’eſprit à des perſonnes de haute qualité, & moy MaA2 de dame, je trouue encor quelque choſe de plus, a preſenter la mienne à une Princeſſe ntelligente com̃e V.	de dédier leurs productions d'esprit à des personnes de haute qualité, et moi MaA2 de dame, je trouve encor quelque chose de plus, a présenter la mienne à une Princesse nlligente come V.
A.	A.
ſ.	s.
car ſije vousconidere du côté de la naiſſance, je ne vois que des ſceptres de tous les cotés, puisque vous eſter fille de Roy, ſoeur delecteur, (s femme d’un des plus grands Princes de l’empire, & ſi je vous regarde du coſté de l’eſprit, tout le monde ſçait, Madame, que vous en avez du plus fin, & du plus delicat, & que ſans perdre rien dé cette paute Majeſté, qui vous accompagne, vous avez de charmes, & des aggreemens dans la converſation qui vous font admirer de tout le monde:	car sije vousconidere du côté de la naissance, je ne vois que des sceptres de tous les cots, puisque vous ester fille de Roi, soeur délecteur, (s femme d'un des plus grands Princes de l'empire, et si je vous regarde du côté de l'esprit, tout le monde sait, Madame, que vous en avez du plus fin, et du plus délicat, et que sans perdre rien de cette paute Majesté, qui vous accompagne, vous avez de charmes, et des agréments dans la conversation qui vous font admirer de tout le monde:
mais qui ne ſe roit ravi, Madame, d’entendre tant de belles choſes de labouche d’une des plus belles perſonnes de l’univers;	mais qui ne se roit ravi, Madame, d'entendre tant de belles choses de labouche d'une des plus belles personnes de l'univers;
je ne continueray point a fairele portrait.	je ne continuerai point à faire portrait.
deL.	deL.
A.	A.
S.	S.
l faut un bien plus fort genie, que lemien, pour en exprimer tous les traits, & tou tes les perfections:	l faut un bien plus fort génie, que lemien, pour en exprimer tous les traits, et tou tes les perfections:
je me contentera d’en eſtre l’admirateur avec une infinité d’autres, & de demeurer dans les ter mes d’un profond reſpect, qui m'a ren du pourjamais.	je me contentera d'en être l'admirateur avec une infinité d'autres, et de demeurer dans les ter mes d'un profond respect, qui m'a ren du jamais.
ACTEURS.	ACTEURS.
La Princeſſe Porcie.	La Princesse Porcie.
Dom Carlos d’Arragon amant de la Princeſſe Porcie.	Dom Carlos d'Aragon amant de la Princesse Porcie.
Leonor Parente de la Princeſſe Porcie.	Leonor Parente de la Princesse Porcie.
Dom Fernand ami de Dom Carlos, & amant de Leonor.	Dom Fernand ami de Dom Carlos, et amant de Leonor.
Beatrix ſuivante de la Princeſſe Porcie.	Beatrix suivante de la Princesse Porcie.
Guſman valet de Dom Carlos.	Gusman valet de Dom Carlos.
Des Domeſtiques de la Princeſſe Porcie La Scene eſt à Naples.	Des Domestiques de la Princesse Porcie La Scène est à Naples.
L’A	L'A
L’AMANTE INVISIBLE COMEDIE LREMIER SCENE PREMIERE	L'AMANTE INVISIBLE COMÉDIE LREMIER SCÈNE PREMIÈRE
GUSMAN.	GUSMAN.
Uoy faire une maiſtreſſe au milieu du tournoy!	Où faire une maîtresse au milieu du tournoi!
LEH CARLOS M’aurois tu vû parler á quelq’un?	LE CARLOS M'aurais tu vu parler quelq'un?
OuoMntde Je le croy	OuMntde Je le crois
Je m’en eſtois douté.	Je m'en étais douté.
DOM CARLOS	DOM CARLOS
GUSMAN Vous faites des merveilles Vous enchantez les cœurs ainſi que les aureilles, Tout ce que vous voyez eſt d’abord enflammé.	GUSMAN Vous faites des merveilles Vous enchantez les cœurs ainsi que les oreilles, Tout ce que vous voyez est d'abord enflammé.
Et dans Naples jamais on ne fut tant aimé.	Et dans Naples jamais on ne fut tant aimé.
Quand on parle de vous, ſoit Dame, ou Demoiſelle, On connoit qu’elle en a profondement dans l’aile, A4 qu’e Qu'elle eſt toute de flame, & tient á grand bonheur, D’excroquer une place au fons de voſtre cœur.	Quand on parle de vous, soit Dame, ou Demoiselle, On connaît qu'elle en a profondément dans l'aile, A4 qu'e Qu'elle est toute de flamme, et tient grand bonheur, D'excroquer une place au fonds de votre cœur.
Si c’eſt un Cavalier, quoy que la jalouſie Luy brouille, á vòtre nom, un peu la Fantaiſie, Il confeſſe la debte, en vous nommant ſça vant, A vous faire par tout donner le pas devant, Diſant que vous avez un grand cœur en partage, Que la galanterie eſt chez vous en uſage.	Si est un Cavalier, quoi que la jalousie brouille, vòtre nom, un peu la Fantaisie, Il confesse la debte, en vous nommant sça vant, A vous faire par tout donner le pas devant, Disant que vous avez Si c' est un Cavalier, Quoique la jalousie Lui chez vous en usage,
J’en voy peu, qui pour vous, ne ſe voulut changer, Et l’on ne parle plus que du brave étranger.	J'en vois peu, qui pour vous, ne se voulut changer, Et l'on ne parle plus que du brave étranger.
Mais quelle eſt la beauté, qui vous tient en cervelle?	Mais quelle est la beauté, qui vous tient en cervelle?
Ne m’apprendrez vous point comment elle s’appelle.	Ne m'apprendrez -vous point comment elle s'appelle.
DOM CARLOS.	DOM CARLOS.
Ronacarjenenſcay llene	Ronacarjenfinscai lène
GUSMAN.	GUSMAN.
Ni ſon logis non plus	Ni son logis non plus
Encore moins, DOM CARLOS.	Encore moins, DOM CARLOS.
GUSMAN.	GUSMAN.
Rlalo jcouome remuez confus.	Rlalo jouome remuez confus.
A telle oſté ſon masque, ou montré ſon viſage.	A telle ôté son masque, ou montré son visage.
Nullement.	Nullement.
DOM CARLOS.	DOM CARLOS.
GUSMAN.	GUSMAN.
Vous raillez, ou vous n’eſtes pas ſage Je parle franchement, excuſez moy, Monſieur, Si je vous dis tout neece que ja prur le couuMais ſur un cas pareil je ne ſçaurois me taire.	Vous raillez, ou vous n'êtes pas sage Je parle franchement, excusez moi, Monsieur, Si je vous dis tout neèce que ja près le couvais sur un cas pareil je ne saurais me taire.
Cette façon d’agir n’a point de quoy me plaire.	Cette façon d'agir n'a point de quoi me plaire.
Un amour á taſtons ne ſeroit point mon fait, Et je voy peu de quoy vous rendre ſatisfait.	Un amour tâtons ne seroit point mon fait, Et je peu de quoi vous Un amou.
DOM CARLOS Qu'elle a d’eſprit, Guſman, elle eſt toute adorable:	DOM CARLOS Qu'elle a d'esprit, Gusman, elle est toute adorable:
In air majeſtueux, une taille admirable, que te direje enmn.	In air majestueux, une taille admirable, que te direje enmn.
jen iuis charme.	jen juis charme.
GUSMAN.	GUSMAN.
lais avec tout cela, ce n’eſt peuteſtre rien, Fort bien.	lais avec tout cela, ce n'est peutêtre rien, Fort bien.
e crois que vous pourriez, Monſieur, en avoir d’une.	Je crois que vous pourriez, Monsieur, en avoir d'une.
a Courtiſane icy ſe trouve fort commune, çait jaſer á merveille, aquantité d’appas, t ſous ſes beaux habits on ne la connoit pas.	à Courtisane ici se trouve fort commune, ait jaser âme merveille, aquantité d'appas, sous ses beaux habits on ne la connaît pas.
