A PARIS, 3 Chez C.	À PARIS, 3 Chez Ç.
BLAGEART, Court-neuve 2 Palais, au Dauphin.	BLAGEART, Court-neuve 2 Palais, au Dauphin.
M.	M.
DC.	DC.
LXXXIII.	LXXXIII.
AEC PERMISSION.	AEC PERMISSION.
TMCMIAROE	TMCIAROE
L ne ſuffit pas toûjours aux Pieci de Théatre d’eſtre bonnes, poeſtre heureuſes;	L ne suffit pas toujours aux Pieci de Théâtre d'être bonnes, paître heureuses;
beaucoup de choDD ſes, comme les Acteurs, la ſaiſon, le goût du ſiecle, la diſpoſition des Spéctateurs, contribuënt à faire valoir, ou à faire tomber cette ſorte d’Ouvrages;	beaucoup de choD ses, comme les Acteurs, la saison, le goût du siècle, la disposition des Spéctateurs, contribuent à faire valoir, ou à faire tomber cette sorte d'Ouvrages;
ainſi chaque Autheur eſt en droit de juſtifier le ſien, quand il ſe croit en état de le pouvoir faire.	ainsi chaque Auteur est en droit de justifier le sien, quand il se croit en état de le pouvoir faire.
Juſqu’icy j’ay negligé ce ſecours, que je devois peuteſtre à la juſtification de quelqu’un de mes Ouvrages, quand ils n’ont pas réüſſy.	Jusqu'ici j'ai négligé ce secours, que je devais peutestre à la justification de quelqu'un de mes Ouvrages, quand ils n'ont pas réüssy.
Je n’eſtois pas aſſez convaincu de leur mérite.	Je n'étais pas assez convaincu de leur mérite.
pour me plaindre publiquement de leur malheur.	pour me plaindre publiquement de leur malheur.
Mais à l’égard d’Artaxerce, le moyen de ſe taire?	Mais à l'égard d'Artaxerce, le moyen de se taire?
Le jugement des Perſonnes fort éclairées, & dont le nom eſt reſpecté de l’envie meſme, les applaudiſſemens que cette Piece reçeut dans les premieres Repréſentations, me répondoient d’un ſuccés infaillible.	Le jugement des Personnes fort éclairées, et dont le nom est respecté de l'envie même, les applaudissements que cette Pièce reçut dans les premières Représentations, me répondaient d'un succès infaillible.
Une chûte ſi prompte, & ſi ſurprenante, peut-elle eſtre naturelle?	Une chute si prompte, et si surprenante, peut-elle été naturelle?
& ne doit-on pas l’imputer à quelque cauſe extraordinaire?	et ne doit-on pas l'imputer à quelque cause extraordinaire?
Toutefois me laiſſant aller à ma coûtume, & à mon inclination, ſatisfait du témoignage de beaucoup d’honneſtes Gens, & de l’indignation du Public, qui n’a pû diſſimuler une injuſtice ſi manifeſte, je mettois Artaxerce au nombre des Ouvrages malheureux, & je fuſſe demeuré dans un profond ſilence, ſi ceux qui ſe croyent intéreſſez dans la réputation de mon Ouvrage pour l’honneur de leur jugement, ne m’euſſent retiré de l’aſſoupiſſement où j’eſtois.	Toutefois me laissant aller à ma coûtume, et à mon inclination, satisfait du témoignage de beaucoup d'honnêtes Gens, et de l'indignation du Public, qui n'a pu dissimuler une injustice si manifeste, je mettais Artaxerce au nombre des Ouvrages malheureux, et je fusse demeuré dans un profond silence, si ceux qui se croient intéressez dans la réputation de mon Ouvrage pour l'honneur de leur jugement, ne m'eussent retiré de l'assoupissement où j'étais.
Je ne dis pas cecy par cette fauſſe modeſtie, qu’affectent ordinairement les Autheurs qui veulent déguiſer la demangeaiſon qu’ils ont de ſe faire imprimer.	Je ne dis pas ceci par cette fausse modestie, qu'affectent ordinairement les Auteurs qui veulent déguiser la démangeaison qu'ils ont de se faire imprimer.
Pour juſtifier mes intentions, il ſuffit qu’on ſçache que je n’ignore pas ce déchaînement de critique qui regne aujourd’huy, qui fait trembler tous ceux qui ſe meſlent d’écrire, & qui ſans doute eſt un des plus grands malheurs qu’on puiſſe reprocher à noſtre ſiecle.	Pour justifier mes intentions, il suffit qu'on sache que je n'ignore pas ce déchaînement de critique qui règne aujourd'hui, qui fait trembler tous ceux qui se mêlent d'écrire, et qui sans doute est un des plus grands malheurs qu'on puisse reprocher à notre siècle.
Ce feroit une temérité inexcuſable, de ſe livrer volontairement à cette fureur contagieuſe qui a infecté la Cour & la Ville.	Ce ferait une témérité inexcusable, de se livrer volontairement à cette fureur contagieuse qui a infecté la Cour et la Ville.
Ne ſçais-je pas ce qui eſt arrivé à un de mes Amis, qui ayant donné au Public un Ouvrage* plein d’eſprit & d’invention, l’a veu déchirer impitoyablement dans toutes ſes parties, juſques-là qu’on n’a pas épargné un des plus beaux Vers qu’on n’ait jamais fait à la loüange du Roy?	Ne sçais-je pas ce qui est arrivé à un de mes Amis, qui ayant donné au Public un Ouvrage plein d'esprit et d'invention, l'a vu déchirer impitoyablement dans toutes ses parties, jusque-là qu'on n'a pas épargné un des plus beaux Vers qu'on n'ait jamais fait à la louange du Roi?
Le Modelle des Roys, & l’Image des Dieux,	Le Modèle des Rois, et l'Image des Dieux,
Quel Vers eut jamais eu un plus beau ſens, & a donné une plus glorieuſe idée du plus grand des Roys?	Quel Vers eut jamais eu un plus beau sens, et a donné une plus glorieuse idée du plus grand des Rois?
Quelle expreſſion peut eſtre plus noble & plus heureuſe, & peut faire tant d’hõneur à noſtre Héros & à noſtre Langue?	Quelle expression peut être plus noble et plus heureuse, et peut faire tant d'honneur à notre Héros et à notre Langue?
J’oſe défier les Poëtes Grecs & L.	J'ose défier les Poètes Grecs et L.
atins, de nous fournir dans tout ce qu’ils ont fait de plus beau pour leurs plus fameux Hérros, une loüange plus exquiſe & plus relevée, & qui ait à meſme temps tant de juſteſſe, & tant de grandeur.	atins, de nous fournir dans tout ce qu'ils ont fait de plus beau pour leurs plus fameux Héros, une louange plus exquise et plus relevée, et qui ait à même temps tant de justesse, et tant de grandeur.
Cependant on a voulu tourner en ridieule un Eloge ſi juſte & ſi magnifique, & l’on a demandé ſi ce Modele eſtoit de bois, ou de pierre, & ſi cette Image eſtoit de plaſtre, ou de cire.	Cependant on a voulu tourner en ridieule un Éloge si juste et si magnifique, et l'on a demandé si ce Modèle était de bois, ou de pierre, et si cette Image était de plâtre, ou de cire.
Une ſi méchante plaiſanterie ne mérite pas une réponſe ſérieuſe, & je diray ſeulement à l’Autheur de ce beau Vers, qui a eſté ſi indignement critiqué, ce qu’il m’a dit luy-meſme en pareille occaſion, mais avec moins de juſtice, & ce qu’on peut dire à tous les bons Autheurs qui ne ſont pas toûjours heureux, que dans les plus beaux ſiecles, il y a eu toûjours de ces prêtendus Connoiſſeurs, qui ont fait la guerre au mérite, & qui entraînoient quelquefois le commun du Peuple avec eux.	Une si méchante plaisanterie ne mérite pas une réponse sérieuse, et je dirai seulement à l'Auteur de ce beau Vers, qui a été si indignement critiqué, ce qu'il m'a dit lui-même en pareille occasion, mais avec moins de justice, et ce qu'on peut dire à tous les bons Auteurs qui ne sont pas toujours heureux, que dans les plus beaux siècles, il y a eu toujours de ces prétendus Connaisseurs, qui ont fait la guerre au mérite, et qui entraînaient quelquefois le commun du Peuple avec eux.
Norat Naſonem ſola Corinna ſuum.	Norat Nasonem zola Corina suum.
Cependant il eſt aſſez fâcheux de s’expoſer à ces Cenſeurs impertinens, & d’atendre que la Poſtérité nous en faſſe juſtice apres noſtre mort;	Cependant il est assez fâcheux de s'exposer à ces Censeurs impertinents, et d'atendre que la Postérité nous en fasse justice après notre mort;
mais il faut bien obeïr à mes Amis, qui veulent que puis qu’Artaxerce n’a pas eu aſſez de temps pour ſe faire voir ſur le Théatre, & qu’il a eſté comme enlevé aux yeux du Public avec trop de précipitation, je le luy rende en le faiſant imprimer, & donne ainſi le loiſir à tout le monde de l’exanner, & d’aſſeoir ſur la lecture un jugement It nde, & anuie.	mais il faut bien obéir à mes Amis, qui veulent que puis qu'Artaxerce n'a pas eu assez de temps pour se faire voir sur le Théâtre, et qu'il a été comme enlevé aux yeux du Public avec trop de précipitation, je le reste rende en le faisant imprimer, et donne ainsi le loisir à tout le monde de l'exanner, et d'asseoir sur la lecture un jugement Itinde, et anuie.
On veut memme qu’en le juſtifiant ſur les défauts qu’on luy reproche, je luy donne dequoy ſoûtenir le grand jour où il va paroiſtre.	On veut mémme qu'en le justifiant sur les défauts qu'on y reproche, je donne de quoi soutenir le grand jour où il va paraître.
Pour ſatisfaire exactement à ce qu’on exige de moy, il faudroit remon ter à la naiſſance des premiers déſordres du Théatre, qu’on ne peut imputer qu’à certains Eſprits, qui par une ambitieuſe déférence, ſe ſont rendus ſerviles imitateurs des Anciens, pour devenir à leur tour les modeles de noſtre ſiecle.	Pour satisfaire exactement à ce qu'on exige de moi, il faudrait remon ter à la naissance des premiers désordres du Théâtre, qu'on ne peut imputer qu'à certains Esprits, qui par une ambitieuse déférence, se sont rendus serviles imitateurs des Anciens, pour devenir à leur tour les modèles de notre siècle.
Tout chargez, & tout fiers de leurs dépoüilles, ils mépriſent ce qui ne porte pas leur caractere, & veuſent anujetn ie gouſt de tout le monde, à leur gouſt particulier.	Tout chargez, et tout fiers de leurs dépouilles, ils méprisent ce qui ne porte pas leur caractère, et veux anujetna ie goût de tout le monde, à leur goût particulier.
Je ſçay ce que nous devons aux Anciens;	Je sais ce que nous devons aux Anciens;
& peut-eſtre que ceux qui ont ſuivy le chemin qu’ils nous ont tracé, ont ſuivy le plus ſûr & le plus commode;	et peut-être que ceux qui ont suivi le chemin qu'ils nous ont tracé, ont suivi le plus sûr et le plus commode;
mais ce chemin n’eſt pas le ſeul, & le plus glorieux.	mais ce chemin n'est pas le seul, et le plus glorieux.
