PREFACE	PRÉFACE
AvoüerAy de bonne foy, que quand j’entrepris de traiter le J ſujet d’Iphigenie en Aulide, je crûs que Monſieur Racine avoit choiſi celuy d’Iphigenie dans la Tauride qui n’eſt pas moins beau que le premier.	AvoüerAy de bonne foi, que quand j'entrepris de traiter le J sujet d'Iphigénie en Aulide, je crus que Monsieur Racine avait choisi celui d'Iphigénie dans la Tauride qui n'est pas moins beau que le premier.
Ainſi le hazard ſeul à fait que nous nous ſommes rencontrez, comme il arriva à Monſieur de Corneille & à luy dans les deux Berenices.	Ainsi le hasard seul à fait que nous nous sommes rencontrez, comme il arriva à Monsieur de Corneille et à lui dans les deux Bérénices.
Son Iphigenie a eu tout le ſuccez qu’il pouvoit ſouhaiter, & ſans doute elle a de grandes beautez, mais bien qu’elle ait eu l’avantage de la nouveauté, & qu’elle euſt ce ſemble épuiſé tous les applaudiſſemens, Celle-cy neanmoins qui a eſté repreſentée longtemps aprés la ſienne, & qu’on avoit voulu étouffer a eſté encor aſſez heureuſe pour trouver des partiſans:	Son Iphigénie a eu tout le succès qu'il pouvait souhaiter, et sans doute elle a de grandes beautés, mais bien qu'elle ait eu l'avantage de la nouveauté, et qu'elle eût ce semble épuisé tous les applaudissements, Celle-cy néanmoins qui a été représentée longtemps après la sienne, et qu'on avait voulu étouffer a été encor assez heureuse pour trouver des partisans:
c’eſt ce qui fait, que bien loin de la deſavoüer, je la donne au Public qui ne ſera peut-eſtre pas Ialene de faire la comparaiſon de toutes les deux.	c'est ce qui fait, que bien loin de la désavouer, je la donne au Public qui ne sera peut-être pas Jalène de faire la comparaison de toutes les deux.
On remarquera aiſément que nous avons pris des routes toutes differentes, quoy que nous ayons traité le meſme ſujet.	On remarquera aisément que nous avons pris des routes toutes différentes, quoi que nous ayons traité le même sujet.
M.	M.
Racine a ſuivi Euripide où je l’ay quitté, & il l’a quitté où je l’ay ſuivi.	Racine a suivi Euripide où je l'ai quitté, et il l'a quitté où je l'ai suivi.
Il peut avoir eu ſes raiſons comme j’ay eu les miennes.	Il peut avoir eu ses raisons comme j'ai eu les miennes.
Il a crû que le ſacrifice de la veritable Iphigenie donnerbit de l’horreur, & il n’a fait qu’exciter la compaſſion & arracher des larmes.	Il a cru que le sacrifice de la véritable Iphigénie donnerbit de l'horreur, et il n'a fait qu'exciter la compassion et arracher des larmes.
Il a trouvé que le ſujet eſtoit trop nud s’il ne donnoit une rivale à Iphigenie, & il m’a paru que les irreſolutions d’un Pere combattu par les ſentimens de la Nature & par le devoir d’un Chef d’Armée qui exigeoit le ſang d’une Fille qui luy eſtoit ſi chere:	Il a trouvé que le sujet était trop nu s'il ne donnait une rivale à Iphigénie, et il m'a paru que les irrésolutions d'un Père combattu par les sentiments de la Nature et par le devoir d'un Chef d'Armée qui exigeait le sang d'une Fille qui lui avait si chère:
