offrir celuy cy:	offrir celui celui:
I'en ay vn motif plus noble & plus iuſte, l’honneur que i'ay eu de vous approcher, m'a eſté en méme tems vne neceſsité indiſpenſable de vous donner vne marque publique du reſſentiment que i en conſerue.	J'en ai un motif plus noble et plus juste, l'honneur que j'ai eu de vous approcher, m'a été en même temps une nécessité indispensable de vous donner une marque publique du ressentiment que y en conserve.
Ie vous auoue, MONSIEVR, que ie ſuis de ces perſonnes qui ne ſe peuuent taire des choſes qui meritent de l’admiration, ny s'em peſcher de porter bien haut ce qui les touche.	Je vous avoue, MONSIEUR, que je suis de ces personnes qui ne se peuvent taire des choses qui méritent de l'admiration, ni s'em pescher de porter bien haut ce qui les touche.
Mais ie ſçay d’ailleurs qu'il me faut vaincre icy cette paſsion, quoy que raiſonnable, & ne pouuant ignorer qu'entre les belles qualitez, que vous faites éclater, il s'en treuue vne qui fait la maîtreſſe, qui veut auoir le deſſus, & qui me force tacitement au ſilence, ie n'oze preſque aller plus auant, de peur de bleſſer cette auſtere vertu de toutes les grandes ames, & qui a pris ſur la võtre vn empire des plus abſolus.	Mais ie sais d'ailleurs qu'il me faut vaincre ici cette passion, quoi que raisonnable, et ne pouvant ignorer qu'entre les belles qualités, que vous faites éclater, il s'en trouve une qui fait la maîtresse, qui veut avoir le dessus, et qui me force tacitement au silence, Seigneur n'oze presque aller plus avant, de peur de blesser cette austère vertu de toutes les grandes âmes, et qui a pris sur la votre empire des plus absolus.
Ouy, MONSTEVR, cette injuſte & rigoureuſe modeſtie qui ne s'exprime que trop dans cette belle maniere que vous auez & d’agir & de parler, fait ce qu'elle peut pour nous derober l’éclat d’vne generoſité que vous portez, au plus haut degré, pour nous amoindrir le prix de tant d’actions glorieuſes que vous auez faites auprés d’vn des bras de nôtre Auguſte Monarque, & pour nous cacher ce beau genie & cette bonté d’eſprit ſi particuliere, qui vous ont acquis la ſeule felicité qu’on peut goüter dans le monde, l’eſtime & l’amour de tous les honnétes gens.	Oui, MONSTEUR, cette injuste et rigoureuse modestie qui ne s'exprime que trop dans cette belle manière que vous avez et d'agir et de parler, fait ce qu'elle peut pour nous dérober l'éclat d'une générosité que vous portez, au plus haut degré, pour nous amoindrir le prix de tant d'actions glorieuses que vous avez faites auprès d'un des bras de notre Auguste Monarque, et pour nous cacher ce beau génie et cette bonté d'esprit si particulière, qui vous ont acquis la seule félicité qu'on peut goûter dans le monde, l'estime et l'amour de tous les honnête gens.
Mais außi auec quel droit & de quel front s’ozeroitelle faſcher, ſi ie paſſe outre?	Mais aussi que quel droit et de quel front s'oseroitelle fâcher, si ie passe outre?
La plus ſeuere beauté ſouffre enfin vne declaration d’amour;	La plus sévère beauté souffre enfin une déclaration d'amour;
la plus ſeuere vertu ne pourra-t’elle ſouffrir vne declaration d’eſtime;	la plus zé vertu ne pourra-t-elle souffrir une déclaration d'estime;
& ſi ce vous eſt de la gloire d’eſtre, comme ie le viens de dire, infiniment genereux, d’eſtre vaillant & d’eſtre le charme des compagnies, ſera-ce vn crime à moy de me ioindre à mille bouches à qui i'entens faire le meſme diſcours?	et si ce vous est de la gloire d'être, comme il le viens de dire, infiniment généreux, d'être vaillant et d'être le charme des compagnies, sera-ce un crime à moi de me joindre à mille bouches à qui j'entends faire le même discours?
Non, MONSIEVR;	Non, MONSIEUR;
vous deuez ſeulement vous plaindre que ie m'y prens mal, 5 que les grands Eloges qui vous ſont düs, ſouffrent de la baſſeſſe de mon ſtyle.	vous devez seulement vous plaindre que votre m'y prends mal, 5 que les grands Éloges qui vous sont dus, souffrent de la bassesse de mon style.
Ie ne d'eſeſpere pas de luy voir prendre vn iour plus de force, & que vous ne me permettiez, alors de parler à fond de voſtre illuſtre naiſſance, de vos grandes actions, & en vnmot, de ſuiure les mouuemens du Zele que i'ay pour vous.	Je ne d'espère pas de lui a prendre un jour plus de force, et que vous ne me permettiez, alors de parler à fond de votre illustre naissance, de vos grandes actions, et en vnmot, de suivre les mouvements du Zèle que j'ai pour vous.
Mais de peur qu’on ne le iuge par trop indiſcret;	Mais de peur qu'on ne le juge par trop indiscret;
