A ORLEANS,	À ORLEANS,
De l’Imprimerie de Jacob, Imprimeur & Libraire, ruë Bourgogne.	De l'Imprimerie de Jacob, Imprimeur et Libraire, rue Bourgogne.
1696.	1696.
Et ſe vend á Paris, à la Comedie.	Et se vend Paris, à la Comédie.
GERONTE.	GÉRONTE.
Mr.	Mr.
DE LA BRIE.	DE LA BRIE.
LEANDRE.	LÉANDRE.
FRONTIN.	FRONTIN.
ISABELLE.	ISABELLE.
MARTHON.	MARTHON.
AMINTE.	AMINTE.
CIDALISE.	CIDALISE.
TIERMILIEU.	TIERMILIEU.
MARCOU.	MARCOU.
L’HIRONDELLE.	L'HIRONDELLE.
PERE DE LEANDRE.	PERE DE LÉANDRE.
re.	re.
SCENE I LEANDRE, FRONTIN.	SCÈNE I LÉANDRE, FRONTIN.
Frontin.	Frontin.
OUS voicy de bonne heure aux I Thuilleries, Monſieur, & il n’y a encore quaſi de beau monde que vous &	OUS voici de bonne heure aux I Thuilleries, Monsieur, et il n'y a encore quasi de beau monde que vous et
moy.	moi.
Leandre.	Léandre.
Grace aux bontez de mon pere, Frontin, & à mon congé qu’il a obtenu de la Cour, je puis y joüir des plaiſirs de la belle ſaiſon, & des rendez vous qui m’y ſont donnez par la charmante Iſabelle.	Grâce aux bontés de mon père, Frontin, et à mon congé qu'il a obtenu de la Cour, je puis y jouir des plaisirs de la belle saison, et des rendez vous qui m'y sont donnez par la charmante Isabelle.
Frontin.	Frontin.
L’honneſte homme de pere, Monſieur, l’honneſte homme de pere!	L'honnête homme de père, Monsieur, l'honnête homme de père!
Leandre.	Léandre.
Il arrive demain pour me donner un Regiment, qu’elle bonté Frontin, ſe dépouiller ainſi en ma faveur, du peu de bien qu’il a.	Il arrive demain pour me donner un Regiment, qu'elle bonté Frontin, se dépouiller ainsi en ma faveur, du peu de bien qu'il a.
Frontin.	Frontin.
Il entre bien de la ſageſſe dans cette conduite.	Il entre bien de la sagesse dans cette conduite.
Comnem 2 Leandre.	Comne 2 Léandre.
Frontin.	Frontin.
Le bon hommme n’ignore pas le murmure des enfans contre les peres qui vivent trop, & il veut vous donner tout ſon bien pour vous épargner la peine de ſouhaiter ſa mort;	Le bon hommme n'ignore pas le murmure des enfants contre les pères qui vivent trop, et il veut vous donner tout son bien pour vous épargner la peine de souhaiter sa mort;
Quelle prudence!	Quelle prudence!
Leandre.	Léandre.
Quoy Frontin, tu me crois aſſez impertinent.	Quoi Frontin, tu me crois assez impertinent.
vs	us
Frontin.	Frontin.
Non pas à cette heure, Monſieur, je ſcay bien que vous n’étes occupé que d Iſabelle.	Non pas à cette heure, Monsieur, je sais bien que vous n'êtes occupé que d' Elle.
C’eſt ma foy une aimable perſonne, & ſa ſuivante me revient aſſez.	C'est ma foi une aimable personne, et sa suivante me revient assez.
Leandre.	Léandre.
Je t’avoüe que les momens que je paſſe auprés d’elle, ſont les plus heureux que j’aye eu de ma vie.	Je t'avoue que les moments que je passe auprès d'elle, sont les plus heureux que j'aie eu de ma vie.
Frontin.	Frontin.
Ma foy, Monſieur, quelque chaud qu’il y faſſe, on y court moins de riſques qu’à l’armée;	Ma foi, Monsieur, quelque chaud qu'il y fasse, on y court moins de risques qu'à l'armée;
& vous m’avoürez que le plaiſir d’eſcarmoucher contre une belle perſonne, eſt plus agreable que celuy d’inſulter une place.	et vous m'avourez que le plaisir d'escarmoucher contre une belle personne, est plus agréable que celui d'insulter une place.
Une Dame eſt bien plûtôt renduë qu’une Ville;	Une Dame est bien plutôt rendue qu'une Ville;
à deux ou trois douzaines de fleurettes on vous lorgne;	à deux ou trois douzaines de fleurettes on vous lorgne;
à quatre ou cinq volées de ſoupirs on vous regarde en face:	à quatre ou cinq volées de soupirs on vous regarde en face:
à une cinquantaine de Dieu me damne je vous aime à l'adoration, on commence à ſourire, aux preſens reïterez on preſte l’oreille, on capitule;	à une cinquantaine de Dieu me damne je vous aime à l'adoration, on commence à sourire, aux présents reïterez on prête l'oreille, on capitule;
