E AV DE AT	 AU DE AT
E ſuis ſi content de l’approbation que tu as donnée au Feſtin de Pierre.	E suis si content de l'approbation que tu as donnée au Festin de Pierre.
que ie t’expoſay il y a quelques Mois, que ie me ſuis perſuadé que i'aurois plus de ſatisfaction, & que ie trouueroit mieux mon compte à t’adreſſer cette petite Comedie Burleſque, ſous le titre de l’Apoticaire Déualiſé, qu'à luy chercher parmy les Grands vn Protecteur qui l’aban	que ici t'exposai il y a quelques Mois, que sans me suis persuadé que j'aurais plus de satisfaction, et que sans trouverait mieux mon compte à t'adresser cette petite Comédie Burlesque, sous le titre de l'Apoticaire Dévalisé, qu'à lui chercher parmi les Grands un Protecteur qui l'aban
donneroit, & qui peſteroit peut-eſtre contre l’Autheur, s’il falloit qu’il luy en couſtât quelques nipes des reſtes de l'Entrée de la Reyne, en reconnoiſſance des beaux mots qu’il auroit étalez à ſa loüange, à celle de ſes Prédeceſſeurs, & de ſes Deſcendans;	donnerait, et qui pesterait peut-être contre l'Auteur, s'il fallait qu'il lui en coûtât quelques nipes des restes de l'Entrée de la Reine, en reconnaissance des beaux mots qu'il aurait étalés à sa lange, à celle de ses Prédécesseurs, et de ses Descendants;
car c’eſt la couſtume ordinaire de déterrer les vns, & de faire naiſtre les autres par Prophetie dix ans auparauant que la Naturs ait ſongé à les produire.	car c'est la coutume ordinaire de déterrer les uns, et de faire naître les autres par Prophétie dix ans auparavant que la Naturs ait songé à les produire.
Pour moy qui puis auoüer ſans vanité que ie ſuis le plus ignorant Homme du monde en matiere de Genealogie, & le plus inhabile à faire des Enfans valeureux & ſçauans auant qu’ils ayent l’vſage des bras & de la langue, & qui ſuis encore moins intereßé, i’aime mieux auoir à faire à toy, que de m’embarquer ſans biſcuit, & que d’eſtre reduit à la confuſion de me voir jetter quelque habit à la teſte, ou quelqu’autre bagatelle, ſuiuie peut eſtre de quelque murmure entre les dents, qui diroit, malepeſte ſoit l’importun.	Pour moi qui puis auoüer sans vanité que je suis le plus ignorant Homme du monde en matière de Genealogie, et le plus inhabile à faire des Enfants valeureux et savants avant qu'ils aient l'usage des bras et de la langue, et qui suis encore moins interessé, j'aime mieux avoir à faire à toi, que de m'embarquer sans biscuit, et que d'être réduit à la confusion de me voir jetter quelque habit à la tête, ou quelqu'autre bagatelle, suivie peut être de quelque murmure entre les dirait, qui dirait, malepeste soit l'importun.
Apres ces mots l'habit fût-il couuert d’or & d’argent juſqu’au colet, i’en trouuerois la dentelle tout à fait hors de mode, & c’eſt à mon ſens auſſi la plus vilaine dont on puiſſe chamarrer vn habit.	Après ces mots l'habit fût-il couvert d'or et d'argent jusqu'au collet, j'en trouverais la dentelle tout à fait hors de mode, et c'est à mon sens aussi la plus vilaine dont on puisse chamarrer un habit.
Ie reuiens donc à toy, à qui ie ne demande rien pour le préſent que ie te fais de ce mediocre Ouurage, que la bontè d’en parler mediocrement auſſi, & de ne pas ſuiure l'aueugle paſſion d’vn ignorant qui l’a voulu déchirer auant que de ſçauoir s’il eſtoit en papier ou en parchemin.	Je reviens donc à toi, à qui ren ne demande rien pour le présent que je te fais de ce médiocre Ouvrage, que la bontè d'en parler médiocrement aussi, et de ne pas suivre l'aveugle passion d'un ignorant qui l'a voulu déchirer avant que de savoir s'il était en papier ou en parchemin.
La conſolation que i’en puis tirer, C’eſt qu’il eſt d’vne Religion où il ne faut rien croire que ſur bons gages, & que pour me venger il eſt logé aupres d’vn Apoticaire qui m'a promis de ne luy donner pas plus de repos que le mien en donnoit à Liſandre.	La consolation que j'en puis tirer, C'est qu'il est d'une Religion où il ne faut rien croire que sur bons gages, et que pour me venger il est logé auprès d'un Apoticaire qui m'a promis de ne lui donner pas plus de repos que le mien en donnait à Lisandre.
Ne fais pas de meſme, ie t’en conjure, prens la peine de le lire, & en le ujuit, figure toy toutes les actions qui ſe peuuent ajouſter aux paroles, ſi tu ne les as point veües à l’Hoſtel de Bourgogne;	Ne fais pas de même, je t'en conjure, prends la peine de le lire, et en le ujuit, figure toi toutes les en qui se peuuent ajouster aux paroles, si tu ne le as point veües Hostel de Bourgogne;
& ie ſuis aſſeuré que tu me ſeruiras de ſecond contre celuy qui parle des choſes ſan les connoiſtre:	et et suis assuré que tu me serviras de second contre celui qui parle des choses san les connaître:
