A PARIS.	À PARIS.
Chez JEAN RIBOU, au Palais, dans la Salſe Royale, à l’Image Saint Loüis.	Chez JEAN RIBOU, au Palais, dans la Salse Royale, à l'Image Saint Louis.
M.	M.
DC.	DC.
LXXX.	LXXX.
AVEC PERMISSION.	AVEC PERMISSION.
PREFACE.	PRÉFACE.
E n’entreprens point l’Apologie de cette Piece.	E n'entreprends point l'Apologie de cette Pièce.
J’avouë ingenûment qu’elle a ſes defauts.	J'avoue ingénument qu'elle a ses défauts.
Mais je ne puis m’empécher de répondre à quelques Perſonnes qui n’ont pas aprouvé que je la dénoüaſſe par un Sanglier.	Mais je ne puis m'empêcher de répondre à quelques Personnes qui n'ont pas approuvé que je la dénouasse par un Sanglier.
Depuis quand ne nous eſt-il plus permis de finir nos Tragédies par la mort d’un Monſtre?	Depuis quand ne nous est-il plus permis de finir nos Tragédies par la mort d'un Monstre?
Le Dragon d’Hyppolite, celuy d’Andromede, & la Chimere de Bellérophon, ont-ils trouvé des Cenſeurs?	Le Dragon d'Hypolite, celui d'Andromède, et la Chimère de Bellérophon, ont-ils trouvé des Censeurs?
Eſt-ce qu’ils croyent qu’un Sanglier n’eſt pas aſſez redoutable, & qu’il ne donne pas une idée aſſez grande du péril où s’expoſe celuy qui le va combatre?	Est-ce qu'ils croient qu'un Sanglier n'est pas assez redoutable, et qu'il ne donne pas une idée assez grande du péril où s'expose celui qui le va combattre?
S’ils avoient quelque connoiſſance de l’Antiquité, ils ne me feroient pas une pareille objection.	S'ils avaient quelque connaissance de l'Antiquité, ils ne me feraient pas une pareille objection.
Les Anciens nous ont toûjours peint le Sanglier comme un Animal furieux.	Les Anciens nous ont toujours peint le Sanglier comme un Animal furieux.
Celuy qui ravageoit la Montagne d’Erimanthe, occupa la valeur d’Hercule, & il compoſe un des Travaux de ce Héros.	Celui qui ravageait la Montagne d'Erimanthe, occupa la valeur d'Hercule, et il compose un des Travaux de ce Héros.
Qu’eſt-il de plus fameux, je ne dis pas ſeulement dans la Fable, mais méme dans l’Hiſtoire, que le Sanglier de Calidoine?	Qu'est-il de plus fameux, je ne dis pas seulement dans la Fable, mais même dans l'Histoire, que le Sanglier de Calidoine?
Combien de Princes s’aſſemblerent pour le domter?	Combien de Princes s'assemblèrent pour le dompter?
Si ſa défaite eut été ſi facile, Méleagre auroit-il craint de l’entreprendre ſans le ſecours de Théſée, & auroit-il voulu abaiſſer le courage de ce grand Homme à un Exploit qui en auroit été indigne?	Si sa défaite eut été si facile, Méleagre aurait-il craint de l'entreprendre sans le secours de Thésée, et aurait-il voulu abaisser le courage de ce grand Homme à un Exploit qui en aurait été indigne?
Mais ſans chercher des juſtifications dans les exemples, il doit me ſuffire qu’Hérodote dont j’ay tiré mon Sujet, dit dans ſon premier Livre que la choſe s’eſt ainſi paſſée.	Mais sans chercher des justifications dans les exemples, il doit me suffire qu'Hérodote dont j'ai tiré mon Sujet, dit dans son premier Livre que la chose s'est ainsi passée.
