ACT EVRS.	ACT EURS.
LE ROY DE BARCELONNE.	LE ROY DE BARCELONE.
MONCADE ſon Fauory.	MONCADE son Favori.
CLOTAIRE Prince refugié.	CLOTAIRE Prince refugié.
LINDAMIRE Maiſtreſſe du Fauory.	LINDAMIRE Maîtresse du Favori.
D.	D.
ELVIRE Dame de la Cour.	ELVIRE Dame de la Cour.
LEONON aute Dainc de la Cour.	LENON aute Dainc de la Cour.
Do ni ilmuile inuj uu lauory.	Do ni ilmuile inj uile lauory.
CARLOS Capitaine des Gardes.	CARLOS Capitaine des Gardes.
La Scene eſt ſur vne terraſſe dans la Maiſon de campagne du Fauory.	La Scène est sur une terrasse dans la Maison de campagne du Favori.
FA LE R 1 HCAGHICOMEMIE.	FA LE R 1 HCAGHICOMEMIE.
IACIE IRENIIER.	IACIE IRENIIER.
CEND IREMIERE.	CEND JREMIÈRE.
MONCADE, DOMALVAR,	MONCADE, DOMALVAR,
MONCADE.	MONCADE.
Nſin nous voilà ſeuls, cette foule importune.	Nsin nous voilà seuls, cette foule importune.
LQu’attache aupres de moy l’eſclat de ma fortune, mie traſtte ce matm n'rauorablement, Que ie puis, Dom Aluar, méchapper vn moment:	LQu'attache auprès de moi l'éclat de ma fortune, mie trastte ce matm n'ravorablement, Que ils puis, Dom Alvar, méchapper un moment:
Donnons vn temps ſi cher au beau feu qui m’inſpire, C’eſt ſur cette terraſſe où loge Lindamire Eſſayons de la voir.	Donnons un temps si cher au beau feu qui m'inspire, C'est sur cette terrasse où loge Lindamire Essayons de la voir.
DOM ALVAR.	DOM ALVAR.
Pour vn pareil deſſein, Vous auez oublié qu’il eſt vn peu matin,	Pour un pareil dessein, Vous avez oublié qu'il est un peu matin,
MONCADE.	MONCADE.
Oüy, mais j’auois beſoin de cette diligence Pour tromper des flateurs l’extreme vigilance, Et quand vn fauory qu’obſedent tous leurs ſoins, Peut auoir le bon-heur de ſortir ſans témoins;	Oui, mais j'avais besoin de cette diligence Pour tromper des flatteurs l'extrême vigilance, Et quand un favori qu'obsèdent tous leurs soins, Peut avoir le bonheur de sortir sans témoins;
Que l’effet empreſſé de leur exactitude, Luy permet de iouïr d’vn peu de ſolitude, Et de cacher ſa route a leurs pas curieux, Il eſt fort diligent ou fort chery des Dieux.	Que l'effet empressé de leur exactitude, Lui permet de jouir d'un peu de solitude, Et de cacher sa route à leurs pas curieux, Il est fort diligent ou fort chéri des Dieux.
DOM ALVAR.	DOM ALVAR.
Quoy?	Quoi?
toûjours dans l’eſprit ce dégouſt effroyable, roujouis vortre luueur tousge me ce vououecable?	toujours dans l'esprit ce dégoût effroyable, roujoui tortre lueur tousge me ce vouecable?
L’heur de vous voir ſi grand, ii craint & ſi chery, N’a pû vous faire aymer ce nom de fauory.	L'heur de vous voir si grand, ji craint et si chéri, N'a pu vous faire aimer ce nom de favori.
MONCADE.	MONCADE.
Bien que de ce grand nom ie faſſe peu de compte, I’en diſcerne pourtant l’honneur d’auec la honte:	Bien que de ce grand nom homme fasse peu de compte, J'en discerne pourtant l'honneur d'avec la honte:
Le plaifir de me voir dans vn illuſtre employ Propre à ſeruir l’Eſtat, mes amis & mon Roy;	Le plaisir de me voir dans un illustre emploi Propre à servir l'État, mes amis et mon Roi;
Et l’heur d’eſtre l’objet des biens-faits de mon Maiſtre Trouuent mon cœur ſenſible autant qu’il le doit eſtre:	Et l'heur d'être l'objet des biens-faits de mon Maître Trament mon cœur sensible autant qu'il le doit être:
Mais de tout ce bon-heur ie goûte peu de fruit, Quand j’oſe enuiſager la peine qui le ſuit;	Mais de tout ce bonheur était goûte peu de fruit, Quand j'ose envisager la peine qui le suit;
Si tu pouuois ſçauoir par vn peu de pratique, Ce qu’eſt vn fauory ſelon la voix publique, Et quels pieges ſecrets chacun tend à ſes pas, Mon degouit pour ce rang ne t’eſtonneroit pas;	Si tu pouvais savoir par un peu de pratique, Ce qu'est un favori selon la voix publique, Et quels pièges secrets chacun tend à ses pas, Mon dégouit pour ce rang ne t'étonnerait pas;
Vn homme qui paruient a ce degré ſupreſme, Doit ſe garder de tous, & ſur tout de luy-meſme:	Un homme qui parvient à ce degré suprême, Doit se garder de tous, et sur tout de notre-même:
Car d’vn calme apparent le plus ſouuent ſeduit, Il s’endort ſur la foy d’vn vent qui le détruit;	Car d'un calme apparent le plus souvent séduit, Il s'endort sur la foi d'un vent qui le détruit;
Pour gouſter tous les fruits d’vne pleine ſageſſe, Il s’abandonne entier a ſa delicateſſe, Et croit deſſus ſon Roy n’auoir rien attenté Quand il ſe fait chez luy Roy de la volupté.	Pour goûter tous les fruits d'une pleine sagesse, Il s'abandonne entier a sa délicatesse, Et croit dessus son Roi n'avoir rien attenté Quand il se fait chez lui Roy de la volupté.
Ah!	Ah!
qu’il faut D.	qu'il faut D.
Aluar ſuiure d’autres maximes Enuers les Souuerains il eſt de certains crimes, Qui bien qu’ils ne ſoient point deffendus par nos Loix, Bleſſent iuſques au cœur la perſonne des Roys;	Aluar suivre d'autres maximes Envers les Souverains il est de certains crimes, Qui bien qu'ils ne soient point défendus par nos Lois, Blessent jusques au cœur la personne des Rois;
Vn Prince tient du Ciel la ſupreme puiſſance, Le droit de commander eſt vn bien de naiſſance:	Un Prince tient du Ciel la suprême puissance, Le droit de commander est un bien de naissance:
