M.	M.
D.	D.
C.	Ç.
XCVI.	XCVI.
da Cotite.	da Cotite.
D.	D.
DIEQUES, Fere de Rodrigue.	DIQUÊ, Fère de Rodrigue.
LOMBRE du Comté	LOMBRE du Comté
D.	D.
ROURIGUE, rnis de D.	ROURIGUE, rinis de D.
Diſtgue,	Distgue,
& Mary de Chimene.	et Mari de Chimène.
D.	D.
SANCHE,	SANCHÉ,
D.	D.
ARIAS, Gentilhomme.	ARIAS, Gentilhomme.
LA MORI ET L’OMBRE 7L DU COMTE ORMAS TRAGI.	LA MORY ET L'OMBRE 7L DU COMTE ORMAS TRAGI.
COMEDIE.	COMÉDIE.
ROIDE SCENE PREMIERE L’INFANTE LEONOR, LE PAGE,	ROIDE SCÈNE PREMIÈRE L'INFANTE LEONOR, LE PAGE,
LEONOR E lis dans vos ſoûpirs la douleur qui vous touche;	LEONOR E lis dans vos soupirs la douleur qui vous touche;
Sans la mieux exprimer en ouvraut votre bouche, hhbMbajear & cette ſombrauameur, Vous avez quelque vers qui vous tonge le cœur;	Sans la mieux exprimer en ouvraut votre bouche, hhbMbajear et cette sombravameur, Vous avez quelque vers qui vous tonge le cœur;
Et fait de vos beaux yeux, (tant ſa pointe vous bleſſe) De deux Soleils d’amour deux dlambeaux de triſteſſe, Vn coup de jalouſie en preſence du Roy.	Et fait de vos beaux yeux, (tant sa pointe vous blesse) De deux Soleils d'amour deux dlambeaux de tristesse, Un coup de jalousie en présence du Roi.
M’a fait croire qu’amour vous tenoit ſous ſa loy.	M'a fait croire qu'amour vous tenait sous sa loi.
Alors que la colere en ſa chaleur ſoudaine, Vous fit porter la main ſur le front de Chimene, Et changeant de couleur par un prompt mouvement.	Alors que la colère en sa chaleur soudaine, Vous fit porter la main sur le front de Chimène, Et changeant de couleur par un prompt mouvement.
Votre œil lui reprocha le ceur de ſon amant, Et le reſpect eut peine au coup de cette offence, De retenir la langne aux chaiſnes du ſi ence, Tant le reſſentiment avec la paſſion Fut ſuivy du coprice & de laver ſion	Votre œil lui reprocha le ceur de son amant, Et le respect eut peine au coup de cette offense, De retenir la langne aux chaînes du si ense, Tant le ressentiment avec la passion Fut suivi du coprice et de laver sion
L'INFANE Tu las dit, Leonor, mon ame eſt obſedée, Elle vit des appas de ſa charmaute idée;	L'INSANE Tu las dit, Leonor, mon âme est obsédée, Elle vit des appas de sa charmaute idée;
Rodrigue eſt mon Soleil, & ſes tais glorieux, Allament mes deſirs & me charment les yeux, Mon ame eſt un croiſſant ſous une auue himiſphere, Plus il s'éloigne delle, & tant plus il léclaure.	Rodrigue est mon Soleil, et ses tais glorieux, Allament mes désirs et me charment les yeux, Mon âme est un croissant sous une auue himisphere, Plus il s'éloigne delle, et tant plus il léclaure.
