A MADEMOISELLE, MADEMOISELLE.	À MADEMOISELLE, MADEMOISELLE.
Vous ne deuez pas paroiſtre fort ſurpriſe quand ie vous fais vn preſent a vn Poeme que te n'ay entrepris quepour vous faire paſſer vne heure de temps, ſi i’oſe y ioindre ces Vers:	Vous ne devez pas paraître fort surprise quand je vous fais un présent a un Poème que te n'ai entrepris que vous faire passer une heure de temps, si j'ose y joindre ces Vers:
Que ſans ceſſe pour vous mille & mille ſoûpirs Vous declarent l’objet de mes plus chers deſirs, Et celuy dont iamais il ne ſe veut deffendre.	Que sans cesse pour vous mille et mille soupirs Vous déclarent l'objet de mes plus chers désirs, Et celui dont jamais il ne se veut défendre.
Vos yeux ſont ſi charmans, & mon cœur eſt ſi tendre,	Vos yeux sont si charmants, et mon cœur est si tendre,
noiſtre, Il eſt ſi doux de viure & de mourir pour vous, Que ſi voſtre rigueur contre moy s’éuertuë, Ie croiray dans mon ſort faire mille ialoux, Quand on verra ma vie à vos pieds abattuë.	noître, Il est si doux de vivre et de mourir pour vous, Que si votre rigueur contre moi s'évertue, Je croirai dans mon sort faire mille jaloux, Quand on verra ma vie à vos pieds abattue.
Et ſi ie ſuis aimé, helas!	Et si ici suis aimé, hélas!
ô iuſtes Dieux, Suis-je aſſez fortuné pour plaire à vos beaux yeux!	ô justes Dieux, Suis-je assez fortuné pour plaire à vos beaux yeux!
Mon zele, mon reſpect, & ma reconnoiſſance Se produiront toûjours par mon obeïſſance, Et le plus tendre amour vous dira mille fois Que i’ay ſçeu meriter l’honneur d’vn ſi beau choix.	Mon zèle, mon respect, et ma reconnaissance Se produiront toujours par mon obéissance, Et le plus tendre amour vous dira mille fois Que j'ai su mériter l'honneur d'un si beau choix.
Souſcrire à vous aimer c’eſt eſtre temeraire:	Souscrire à vous aimer c'est être téméraire:
Mais ſi vôtre ame aſpire à s’en venger vn iour, Ma belle adreſſez-vous toute voſtre colere, C’eſt vous qui m’inſpirez vn ſi ſenſible amour.	Mais si votre âme aspire à s'en venger un jour, Ma belle adressez-vous toute vôtre colère, C'est vous qui m'inspirez un si sensible amour.
C’eſt vous par vos attraits, voſtre eſprit, & ſes charmes, Qui m’auez fait ſouffrir cent cruelles alarmes, Et par mille brillans qui m'auez fait iuger, Qu’on ne ſçauroit vous voir ſans eſtre en grãd danger, Et vouloir s’aſſeruir au plus cruel empire, Qu’ait iamais eu l’Amour depuis que l’on ſoûpire.	C'est vous par vos attraits, votre esprit, et ses charmes, Qui m'avez fait souffrir cent cruelles alarmes, Et par mille brillants qui m'avez fait juger, Qu'on ne saurait vous voir sans être en grands danger, Et vouloir s'asservir au plus cruel empire, Qu'ait jamais eu l'Amour depuis que l'on soupire.
Il eſt doux d’eſtre aimé, i'en demeure d’accord, C’eſt vn bien qui rauit iuſqu’au dernier tranſport:	Il est doux d'être aimé, j'en demeure d'accord, C'est un bien qui ravit jusqu'au dernier transport:
Mais ce n’eſt pas encor ce que ie vous demãde, La douceur d’eſtre aimé fuſt-elle encor plus grande.	Mais ce n'est pas encor ce que je vous demande, La douceur d'être aimé fût-elle encor plus grande.
A moins que mõ amour n’ait beaucoup éclaté, C’eſt pretendre trop haut & trop ſe méconDe vouloir que mon cœur donne ſi-toſt vn maiſtre, A celuy qui le tient dans la captiuité.	À moins que mon amour n'ait beaucoup éclaté, C'est prétendre trop haut et trop se méconDe vouloir que mon cœur donne sitôt un maître, À celui qui le tient dans la captivité.
4 Il faut donc qu’en tous lieux tout le monde vous die Que vous faites toûjours ma plus preſſante enuie, Et que ſans voſtre image imprimée en mon cœur, Ie ſçaurois mal encor ce que c’eſt que langueur.	4 Il faut donc qu'en tous lieux tout le monde vous die Que vous faites toujours ma plus pressante envie, Et que sans votre image imprimée en mon cœur, Je saurais mal encor ce que c'est que langueur.
Les rochers, & les bois, les prez, & les fontaines, Ne vous entretiendront iamais que de mes peines, Les rochers, & les bois, & les prez, & les eaux Deuiendront par pitié ſenſibles à mes maux.	Les rochers, et les bois, les prez, et les fontaines, Ne vous entretiendront jamais que de mes peines, Les rochers, et les bois, et les prés, et les eaux Deuiendront par pitié sensibles à mes maux.
Quand ils vous auront dit que ma flâme infinie Deuroit eſtre à couuert de voſtre tyrannie, Et qu’il eſt du deuoir d’épargner vn amant, Qui cherit moins ſa vie encor que ſon tourment;	Quand ils vous auront dit que ma flamme infinie Deurait être à couvert de votre tyrannie, Et qu'il est du devoir d'épargner un amant, Qui chérit moins sa vie encor que son tourment;
Peut-eſtre à ce poinct là que i’auray de l’audace, Pour vouloir eſtre heureux & vous demander grace:	Peut-être à ce point là que j'aurai de l'audace, Pour vouloir être heureux et vous demander grâce:
Mais iuſqu’à ce temps là ie n’aſpire & ne veux Que vous offrir toûjours des ſoûpirs & des vœux, Et par vn ordre exprés de mon ardeur extréme, Vous pouuoir aſſurer que ie ſçay comme on aime.	Mais jusqu'à ce temps là femme n'aspire et ne veux Que vous offrir toujours des soupirs et des vœux, Et par un ordre exprès de mon ardeur extrême, Vous pouvoir assurer que sans sais comme on aime.
N’eſt-il pas vray que c’eſt ſe rendre tout d’vn coup bien familier que de vous dédier vne Comedie (ſans auoir iamais eu que cinq ou ſix fois la ioye de vous parler) dans l’eſperance qu’vne Epiſtre vous rendroit vn peu moins ſenſible à la confuſion que vous deuez auoir de vous eſtre aſſujety vn captif de ma vôlée?	N'est-il pas vrai que c'est se rendre tout d'un coup bien familier que de vous dédier une Comédie (sans avoir jamais eu que cinq ou six fois la joie de vous parler) dans l'espérance qu'une Épître vous rendrait un peu moins sensible à la confusion que vous devez avoir de vous être assujet homme captif de ma vôlée?
Si c'eſt pour vous vne iniure de m’auoir mis dans vos fers, vous pouuiez aſſurément vous en épargner la peine, & ainſi ne vous offenſez pas pour vn i’ayme, que vous m’auez force de vous dire.	Si c'est pour vous une injure de m'avoir mis dans vos fers, vous pouviez assurément vous en épargner la peine, et ainsi ne vous offensez pas pour vn j'aime, que vous m'avez force de vous dire.
Soit que ie ſois coupable ou que ie ſois innocent, vous deuez eſtre pour moy toute remplie d’indulgence;	Soit que ici sois coupable ou que je sois innocent, vous devez avoir pour moi toute remplie d'indulgence;
car ie vous aſſure quo ie ne ſuis point à l’épreuue de voſtre courroux, & qu’il faudroit bien moins que voſtre ſeuerité pour me faire perdre la vie.	car je vous assure qu' où ne suis point à l'épreuve de votre courroux, et qu'il faudrait bien moins que votre sévérité pour me faire perdre la vie.
I’espere que vous me pardonnerez le crime le plus innocent du monde, pourueu que ie puiſſe iuſtifier la flâme que ie reſſens pour vous, & que l’on vous aſſure de tous coſtez que ie ne pouuois pas tenir conIit iu Deuonne des vamoni	J'espère que vous me pardonnerez le crime le plus innocent du monde, pourvu que sans puisse justifier la flamme que ici ressens pour vous, et que l'on vous assure de tous côtés que sans ne pouvais pas tenir conIit ju Deuonne des vamoni
Pour faire vn trait qui vous reſſemble, Quoy que l’on ſceuſt vnir enſemble La ieuneſſe, les ris, la beauté, la blancheur, Les graces, l’enjouëment, les plaiſirs, la fraiſcheur, I es charmes, les brillans, & tout ce qu’on admire, Ce n’eſt rien faire encore, & ſi c’eſt beaucoup dire.	Pour faire un trait qui vous ressemble, Quoi que l'on sceust intir ensemble La jeunesse, les ris, la beauté, la blancheur, Les grâces, l'enjouement, les plaisirs, la fraîcheur, I es charmes, les brillants, et tout ce qu'on admire, Ce n'est rien faire encore, et si c'est beaucoup dire.
Pour voir voſtre peinture il faut eſtre en mon cœur;	Pour voir votre peinture il faut être en mon cœur;
