A PARIS, Chez JEAN MUSiEr, ruë de PetitPont, à l’Image Saint Antoine.	À PARIS, Chez JEAN MUSiEr, rue de PetitPont, à l'Image Saint Antoine.
M.	M.
DC.	DC.
XCVIII.	XCVIII.
Idias, Gentil-homme plus noble que riEche ayant aimé long-temps Florinde fille du Docteur Theſaurus, & ſe voyant hors d’eſpoir de l’épouſer, à cauſe de la recherché qu’en faiſoit le Capitaine Fierabras, qui avoit beaucoup plus de moyens que luy, s’en vient la nuit aſſiſté d’Alaigre ſon valet pour enlever cette belle qui luy avoit deja donné ſa parole, ayant à méme inſtant aſſeurance de Philippin valet de là maiſon, qui étoit reſolu de s’en aller avec elle, ils accompliſſent heureuſement leur deſſein & s’en vont eux quatre enſemble.	Idias, Gentil-homme plus noble que rièche ayant aimé longtemps Florinde fille du Docteur Thesaurus, et se voyant hors d'espoir de l'épouser, à cause de la recherché qu'en faisait le Capitaine Fierabras, qui avait beaucoup plus de moyens que lui, S'en vient la nuit assisté d'Alaigre son valet pour enlever cette belle qui lui avait déjà donné sa parole, ayant à même instant assurance de Philippin valet de là maison, qui était résolu de s'en aller avec elle, ils accomplissent heureusement leur dessein et s'en leur dessein et ensembleh
Le Docteur Theſaurus qui étoit aux champs aprît à ſon retour l’enlevement de ſa fille, tant par le raport d’un voiſin que par ſa femme qui ne la trouva plus au logis.	Le Docteur Thésaurus qui était aux champs apprît à son retour l'enlèvement de sa fille, tant par le rapport d'un voisin que par sa femme qui ne la trouva plus au logis.
Ce que le Capitainé Fierabras ayant apris auſſi, il vient témoigner au Docteur le reſſentiment qu’il a de cet affront & jure de s’en venger.	Ce que le Capitainé Fierabras ayant appris aussi, il vient témoigner au Docteur le ressentiment qu'il a de cet affront et jure de s'en venger.
Les fugitifs d’un autre côté iſayent avec peine d’arriver à une Metairie que Lidias avoit aux champs, & comme ils ſe trouverent en campagne voyant que la faim ne leur permetoit d’aller loing, ils ſe mirent à l'ombre pour manger de la proviſion quer hilivin avoit eu ſoin d’aporter, bien tôt aprés leur epas, la chaleur & la laſſitude les invite à rendre le repos, & pour cét effet ils ſe déouillerent de leurs habits qui les incommodoient le plus.	Les fugitifs d'un autre côté isaient avec peine d'arriver à une Métairie que Lidias avait aux champs, et comme ils se trouvèrent en campagne voyant que la faim ne leur permetait d'aller loin, ils se mirent à l'ombre pour manger de la provision qu' ilivin avait eu soin d'apporter, bien tôt après leur épas, la chaleur et la lassitude les invite à rendre le repos, et pour cet effet ils se déouillerent de leurs habits qui les incommodaient le plus.
Or pendant leur ſommeil quatre Bœſmiens qui étoient pourſuivis du Prevoſt pour quel ques larcins qu’ils avoient faits, ſe rencontrerent auprés d’eux & leur joüerent un tour de leur mêtier afin de ſe ſauver plus aiſement.	Or pendant leur sommeil quatre Bœsmiens qui étaient poursuivis du Prévôt pour quel ques larcins qu'ils avaient faits, se rencontrèrent auprès d'eux et leur jouèrent un tour de leur métier afin de se sauver plus aisément.
Ils ſe vêtirent donc de leurs habits & leur laißerent le leurs, ceux qui avoient trop dormi ſe trouverent volez à leur réveil, ils ſe conſolent par une invention que trouve Alaigre de contre-faire les Boeſmiens, & ſe ſervir de leurs habits pour aller voir le Docteur, & lu diſant ſa bonne aventure, le faire conſentir à re cevoir ſa fille avec un gendre.	Ils se vêtirent donc de leurs habits et leur laisserent le leurs, ceux qui avaient trop dormi se trouvèrent volés à leur réveil, ils se consolent par une invention que trouve Alaigre de contre-faire les Bolémiens, et se servir de leurs habits pour aller voir le Docteur, et lu disant sa bonne aventure, le faire consentir , le cevoir sa consent avec ce gendre.
Ce qui leur reüſi tres-bien:	Ce qui leur réussi très-bien:
