AIV LROLRVRO	AIV LROLRURO
{ ECTEVR, ie te donne vne Piece dans vne raiſonnable mediocrité.	„ ECTEUR, Seigneur te donne un Pièce dans quelque raisonnable médiocrité.
Les deffauts que tu y remarqueras, ne ſont pas aſſez grands pour la faire meſpriſer aux delicats, ny ſes beautez aſſez ſuſpectes pour meriter qu’on en dégouſte le monde.	Les défauts que tu y remarqueras, ne sont pas assez grands pour la faire mépriser aux délicats, ni ses beautés assez suspectes pour mériter qu'on en dégouste le monde.
Ie me deſpouille moymeſme de l’affection que ie deurois auoir pour elle, & comme ie ne la croy point parfaite, ie ne pretends point auſſi faire ſon Apologie, ny excuſer ce qu’il y a de foible.	Je me dépouille moymesme de l'affection que croire devrais avoir pour elle, et comme ie ne la crois point parfaite, ie ne prétends point aussi faire son Apologie, ni excuser ce qu'il y a de faible.
Le ſujet n’eſt pas peut-eſtre dãs cette ſeuere iuſteſſe que les faſcheux demandent;	Le sujet n'est pas peut-être dans cette sévère justesse que les fâcheux demandent;
auſſi ſerois-je bien marry que mon coup d’eſſay, euſt eſté vn coup de Maiſtre, puiſque i’aurois de la peine à me ſurmonter par apres moy-meſme, ſi l’humeut m’en diſoit encor vne fois.	aussi serais-je bien marri que mon coup d'essai, eût été un coup de Maître, puisque j'aurais de la peine à me surmonter par après moi-même, si l'humut m'en disait encor une fois.
Ie ſuis bien aiſe en cela de n’auoir affaire qu’à moy, & puiſque i’ay preſque contenté la Cour, en ne faiſant que mediocrement;	Je suis bien aise en cela de n'avoir affaire qu'à moi, et puisque j'ai presque contenté la Cour, en ne faisant que médiocrement;
ie me promets que ie la ſatisferay abſolument, quand i’entreprendray quelque choſe où ie reüſſiſſe mieux.	Je me promets que ici la satisferai absolument, quand j'entreprendrai quelque chose où tu réussisse mieux.
Ce n’eſt pas apres tout, que ie te vueille perſuader que cét ouurage ne ſoit pas aſſez bon pour eſtre leu.	Ce n'est pas après tout, que sans te veuille persuader que cet ouvrage ne soit pas assez bon pour être leu.
Ie ne ſuis pas ſi peu ialoux de l’honneur qu’il a acquis à la repreſentation, que ie m’efforce à t’en donner de mauuaiſes impreſſions;	Je ne suis pas si peu jaloux de l'honneur qu'il a acquis à la représentation, que sans m'efforce à t'en donner de mauvaises impressions;
ma reputation & le Libraire n’y trouueroient pas leur conte, & ie deſobligerois contre toute ſorte de raiſon quantité d’excellentes perſonnes qui luy ont donné de fauorables applaudiſſemens:	ma réputation et le Libraire n'y trouveraient pas leur conte, et ie desobligerois contre toute sorte de raison quantité d'excellentes personnes qui lui ont donné de favorables applaudissements:
Au contraire, s’il m’eſtoit icy permis de luy donner les loüanges qu’il merite;	Au contraire, s'il m'était ici permis de lui donner les langes qu'il mérite;
le te dirois des choſes de la Vieille & de Iulien qui leur ſeroient preſque deuës, & ie mettrois particulierement Fabrice en poſture de nazarder tous les plus raffinez Dottori des Italiens:	le te dirais des choses de la Vieille et de Julien qui leur seraient presque devez, et été mettrais particulièrement Fabrice en posture de nasarder tous les plus raffinés Dottori des Italiens:
Mais ie tomberois peuteſtre dans vn deffaut dont ie ne ſuis point capable, & l’on croiroit iuſtement que tout le monde les auroit des-approuuez, puiſque ie ferois moy-meſme leurs Eloges.	Mais quelque tomberais peutestre dans un défaut dont je ne suis point capable, et l'on croirait justement que tout le monde les aurait des-approuvez, puisque je ferais moi-même leurs Éloges.
I’en laiſſe le iugement aux habilles des-intereſſez qui l’ont veu repreſenter, & te conſeille, LECTEVR de ſuſpendre le tien, maques aee que tu l’aye ouy par la bouche des originaux.	J'en laisse le jugement aux habilles des-intéressez qui l'ont vu représenter, et te conseille, LECTEUR de suspendre le tien, maques ace que tu l'aie ouï par la bouche des originaux.
Les Comediens y donnent des graces que tu ne ſçaurois t’imaginer en le liſant, de ſorte que ceux qui luy font viſite dans l’Hoſtel de Bourgongne, l'eſtimerõt touſiours dauantage que les autres qui ne le cognoiſtront que par la lecture.	Les Comédients y donnent des grâces que tu ne saurais t'imaginer en le lisant, de sorte que ceux qui lui font visite dans l'Hôtel de Bourgongne, l'estimeront toujours davantage que les autres qui ne le connaîtront que par la lecture.
Au reſte ſans trãcher de l’Auteur, & ſãs m'embaraſſer à te rendre raiſon pourquoy le Docteur n’eſtant qu’vn Epiſode, ie n’appelle pas cette piece du nom de ſon Heros ou de l’Heroüne:	Au reste sans trôcher de l'Auteur, et sans m'embarrasser à te rendre raison pourquoi le Docteur n'étant qu'un Épisode, je n'appelle pas cette pièce du nom de son Héros ou de l'Heroune:
Ie te diray ſeulement que i’ay voulu encela imiter les Comediens qui ont touſiours conuié les honneſtes gens, & attiré le Bourgeois ſous le nom de Fabrice.	Je te dirai seulement que j'ai voulu encela imiter les Comédients qui ont toujours convié les honnêtes gens, et attiré le Bourgeois sous le nom de Fabrice.
