M.	M.
DC.	DC.
LXXXI.	LXXXI.
AVEC PERMISSION.	AVEC PERMISSION.
Mr DE LA FOREST, Amant de Floricẽ.	Mr DE LA FOREST, Amant de Floricence.
Mr TAQUINET, Oncle de Mr de la Foreſt.	Mr TAQUINET, Oncle de Mr de la Forêt.
Mme LA COMTESSE DE	Même LA COMTESSE DE
GOUSTIGNAN.	GOUSTIGNAN.
MATURIN, Valet de l’Aſtrologue.	MATURIN, Valet de l'Astrologue.
FRANCOISE, Servante.	FRANÇOISE, Servante.
DEUX VALETS de la Comteſſe.	DEUX VALETS de la Comtesse.
La Scene est à Paris au Logis de l'Aſtrologue.	La Scène est à Paris au Logis de l'Astrologue.
LA COMETE, COMEDIE.	LA COMÈTE, COMÉDIE.
SCENE I MATURIN, FRANCOISE.	SCÈNE I MATURIN, FRANÇOISE.
MATURIN.	MATURIN.
OILA donc noſtre jeune Maîtreſſe ſur le point de ſe marier à Monſieur de la Foreſt?	ÔILA donc notre jeune Maîtresse sur le point de se marier à Monsieur de la Forêt?
FRANCOISE.	FRANÇOISE.
Oüy, Maturin, c’eſt aujourd’huy que le Contract ſe doit ſigner, & les Nôces ſe feront au premier jour.	Oui, Maturin, c'est aujourd'hui que le Contrat se doit signer, et les Nôces se feront au premier jour.
C’eſt autant de bon temps qui nous vient, Maturin;	C'est autant de bon temps qui nous vient, Maturin;
nous nous réjouirons d’importance.	nous nous réjouirons d'importance.
MATURIN.	MATURIN.
Je m’y attens bien.	Je m'y attends bien.
Aparemment il n’y aura rien d’épargné à la Feſte.	Aparemment il n'y aura rien d'épargné à la Fête.
Monſieur de la Foreſt eſt riche, & noſtre Maître a auſſi amaſſe bien de l’argent avec ſon Aſtrologie.	Monsieur de la Forêt est riche, et notre Maître a aussi amasse bien de l'argent avec son Astrologie.
Morbleu, Françoiſe, c’eſt un bon Métier que d’eſtre Aſtrologue.	Morbleu, Française, c'est un bon Métier que d'être Astrologue.
Je tâche à l’apprendre ſans qu’il y paroiſſe.	Je tâche à l'apprendre sans qu'il y paraisse.
Je ramaſſe avec ſoin tout ce que noſtre Maître dit;	Je ramasse avec soin tout ce que notre Maître dit;
& pour te faire voir combien j’ay fait de progrés, tu vas eſtre toute étonné?	et pour te faire voir combien j'ai fait de progrès, tu vas être toute étonné?
Tien, je travaille à un Almanach pour l’Année quatre-vingts un où nous ſommes preſts d’entrer.	Tiens, je travaille à un Almanach pour l'Année quatre-vingts un où nous sommes prêts d'entrer.
FRANCOISE.	FRANÇOISE.
Un Almanach!	Un Almanach!
Tu es donc un grand Docteur?	Tu es donc un grand Docteur?
MATURIN.	MATURIN.
J’en ay déja fait une bonne partie.	J'en ai déjà fait une bonne partie.
j’ay compoſé tous les jours de tous les Mois, & je viens tout fraîchement d’achever Decembre.	j'ai composé tous les jours de tous les Mois, et je viens tout fraîchement d'achever Décembre.
