A GENEROSITE ARESIILNNI TRAGEDIE.	À GÉNÉROSITÉ ARESILNNI TRAGÉDIE.
Par le S'.	Par le S'.
de MONIGAAUDIER.	de MONIGAUDIER.
M.	M.
DC.	DC.
LVII.	LVII.
A MONSEIGNEVR LE MARQVIS DE MONTAVSIER SOCVEREVEI ET LIEVTENANT General pour ſa Majeſté és Prouinces de Xainctonge.	À MONSEIGNEUR LE MARQUIS DE MONTAUSIER SOCUEREUEI ET LIEUTENANT Général pour sa Majesté ès Provinces de Xaintonge.
Angoulmois, haute & baſſe Alſace, Lieutenant General en ſes Armeis.	Angoulmais, haute et basse Alsace, Lieutenant Général en ses Armeis.
	
7 ONSEIGNEVR, Ie prends la liberté de vous preſenter ce Poëme, qui ne paroitroit qu’à ma honte, ſi ſa foibleſſe l’e toit ſouſtenuë par vne puiſſante protectiõ, & qui ne peut manquer de bon-heur ſi vous le fauoriſez de la voſtre.	7 ONSEIGNEUR, Je prends la liberté de vous présenter ce Poème, qui ne paraît qu'à ma honte, si sa faiblesse l' hait soutenue par une puissante protections, et qui ne peut manquer de bonheur si vous le favorisez de la vôtre.
Ceux qui ne liroient point, s’ils n’eſperoient de trouuer des choſes indignes d’eſtre leuës, & dont les yeux déreglez ne s’attachent qu'au mal, n'oferont mettre mes Vers à l’inquiſition apres auoir veu qu’ils vous ſont dediez;	Ceux qui ne liraient point, s'ils n'espéraient de trouver des choses indignes d'être lues, et dont les yeux déreglez ne s'attachèrent qu'au mal, n'oseront mettre mes Vers à l'inquisition après avoir vu qu'ils vous sont dédiez;
l'accueil que vous leur ferez les fera receuoit de tout le monde, & leurs plus groſſieres fautes ceſſeront de l’eſtre, ſi vous faittes ſemblant de les excuſer.	l'accueil que vous leur ferez les fera recevait de tout le monde, et leurs plus grossières fautes cesseront de l'être, si vous faites semblant de les excuser.
Il n’y a point de termes ſi barbares qui ne deuiennent Francois quand vous voudrez les naturaliſer, & les façons de parler les moins pratiquées ſeront à counert de toutes les cenſures ſi vous leur donnez voſtre approbation.	Il n'y a point de termes si barbares qui ne deviennent Francais quand vous voudrez les naturaliser, et les façons de parler les moins pratiquées seront à counert de toutes les censures si vous leur donnez votre approbation.
Car il eſt vray.	Car il est vrai.
MONSEIGNEVR, que vous pouuez commander au langage auſſi-bien qu’aux armées, & Minerue toute entiere s’eſt tellement donnée à vous, que vous poſſedez tout ſon ſçauoir & tout ſon courage.	MONSEIGNEUR, que vous pouvez commander au langage aussi-bien qu'aux armées, et Minerve toute entière s'est tellement donnée à vous, que vous possédez tout son savoir et tout son courage.
Ainſi ma Tragedie attend le iugement vniuerſel du particulier que vous en ferez, & ſi ie ſuis aſſez heureux pour contribuer par ſon moyen à voſtre diuertiſſement, ie croiray n’auoir pû faire vn meilleur employ de mon temps & de mon trauail.	Ainsi ma Tragédie attend le jugement universel du particulier que vous en ferez, et si tu suis assez heureux pour contribuer par son moyen à votre divertissement, on croirai n'avoir pu faire un meilleur emploi de mon temps et de mon trauail.
Peut-eſtre que mes Vers n’auront pas aſſez de bon-heurpour vous plaire, mais ie m’aſſeure que la paſſion que I’ay pour voſtre ſeruice ne ivous déplaira pas & que vous ne ferez pas moins d’accueil à ce petit eſſay, par lequel ie deſire vous en donner le premier teſmoignage qu’à des ous plus acheuez, puiſque ce que ie vous preſente eſt tout ce que ie puis, & que pour eſtre mauuais verſificateur, ié n’en ſuis pas 2 7	Peut-être que mes Vers n'auront pas assez de bonheurpour vous plaire, mais toujours m'assure que la passion que J'ai pour votre service ne j' aira pas et que vous ne ferez pas moins d'accueil à ce petit essai, par lequel Seigneur désire vous en donner le premier témoignage qu'à des ous plus achevez, puisque ce que je vous presque est tout ce que ie puis, et que pour être mauvais versificateur, j'en suis pas 2 7
MONSEIGNEVR,	MONSEIGNEUR,
