TRCEIIICE	TRCEIICE
L eſt ſi naturel à tout Auteur, bon ou I mechant, de faire une Préface, que bien ſouvent on n’en fair une;	L est si naturel à tout Auteur, bon ou I méchant, de faire une Préface, que bien souvent on n'en fair une;
ne fut-ce que pour dire qu’on n’en fera point.	ne fut-ce que pour dire qu'on n'en fera point.
Moy donc qui ay mon penchant en cela, comme un autre, je vous avertis, Lecteur, que de propos déliberé j’en fais une, & que vous me ferez plaiſir de la lire.	Moi donc qui ai mon penchant en cela, comme un autre, je vous avertis, Lecteur, que de propos déliberé j'en fais une, et que vous me ferez plaisir de la lire.
J’ay à m’y juſtifier d’une choſe ſur tout, dont je ſerois foit fâché d’être convaincu.	J'ai à m'y justifier d'une chose sur tout, dont je serais soit fâché d'être convaincu.
Comment?	Comment?
Sur le ſeul tître de ma piece, il s’eſt bien pu trouver des perſonnes, qui m’ont reproché de manquer d’eſtime pour le Sexe.	Sur le seul tître de ma pièce, il s'est bien pu trouver des personnes, qui m'ont reproché de manquer d'estime pour le Sexe.
Aprés cela il n’y a rien dont je ne doive craindre qu’on ne m’accuſe.	Après cela il n'y a rien dont je ne doive craindre qu'on ne m'accuse.
Il eſt vray que j’ay joüé une Femme Têtuë:	Il est vrai que j'ai joué une Femme Têtuë:
Mais quoy ?	Mais quoi ?
Eſt-ce qu’il n’y a pas des femmes têtuës?	Est-ce qu'il n'y a pas des femmes têtues?
Et puiſqu’il y en a (car qui eſt le témeraire qui le voulût nier?	Et puisqu'il y en a (car qui est le témeraire qui le voulut nier?
Pourquoy ne ſeroient-elles pas le ſujet d’une Comedie?	Pourquoi ne seraient-elles pas le sujet d'une Comédie?
Mais, peut-être dira-t’on, en faiſant le portrait de celle-cy, tu as voulu perſuader que toutes les auties font faites de même, & ainſi toutes les femmes doivent s’en ſcandaliſer.	Mais, peut-être dira-t-on, en faisant le portrait de celle-cy, tu as voulu persuader que toutes les auties font faites de même, et ainsi toutes les femmes doivent s'en scandaliser.
Voilà bien conclure.	Voilà bien conclure.
Monſieur Moliere, ſi j’oſe moy indigne, me comparer à Monſieur Moliere, a joüé un Jaloux, un Bigot, un Avarre, un Marquis, un Medecin, &c.	Monsieur Molière, si j'ose moi indigne, me comparer à Monsieur Molière, a joüé un Bigot, un Bigot, un Avarre, un Marquis, un Médecin, etc.
Donc Monſieur Moliere a cru que tous les hommes étoient Jaloux, nigots, Avares, Marquis & Medecins, & tous les hommes ont dû s’en offenſer.	Donc Monsieur Molière a cru que tous les hommes étaient Jaloux, nigots, Avares, Marquis et Médecins, et tous les hommes ont dû s'en offenser.
Certes, ſi tout le monde raiſonnoit de cette ſorte, il n’y auroit pas tant de preſſe a être Auteur Comique.	Certes, si tout le monde raisonnait de cette sorte, il n'y aurait pas tant de presse a être Auteur Comique.
Je prie donc tres-inſtamment celles qui ont pû s’éfaroucher du ſujet que j’ay traité, de croire que je n’ay point voulu faire d’un caractere particulier celuy de toutes les femmes, & qu’il n’y a perſonne plus perſuadé que moy du merite de leur Sexe.	Je prie donc très-instamment celles qui ont pu s'éfaroucher du sujet que j'ai traité, de croire que je n'ai point voulu faire d'un caractère particulier celui de toutes les femmes, et qu'il n'y a personne plus persuadé que moi du mérite de leur Sexe.
Je ſçay qu’il y en a de têtuës :	Je sais qu'il y en a de têtues :
mais je ſçais encor mieux que la douceur d’eſprit eſt leur caractere generuit ii ia vente, je fais dire à Lubin, en un ſens genei al,	mais je sais encor mieux que la douceur d'esprit est leur caractère généruit ji ja vente, je fais dire à Lubin, en un sens geney al,
Et ſi pourtant, morgué, ce n’eſt là qu’une femme.	Et si pourtant, morgué, ce n'est là qu'une femme.
Mais ce qu’il dit peut-il être de quelque poids?	Mais ce qu'il dit peut-il être de quelque poids?
il parle comme une bête qu’il eſt.	il parle comme une bête qu'il est.
que, & à me ſaiſir, comme tant d’autres, de l’occaſion d’une Preface, pour y étaler ce que je puis avoit de coio hance dans les réges	que, et à me saisir, comme tant d'autres, de l'occasion d'une Préface, pour y étaler ce que je puis avait de co hance dans les règes
de l’Art.	de l'Art.
Cette piece a porté d’abord le titre de MEDECIN HOLLANDOIS, mais ce titre que des raiſons que je ne ſuis pas obligé de dire & qu’on n’eſt pas obl gé de deviner, m’avoient engagé de donner à ce te Comedie, a paru ſi peu convenable qu’il y a eu des railleurs qui ont tourné contre moy cet Axiome, c’eſt au Sage à impoſer les noms aux choſes.	Cette pièce a porté d'abord le titre de MÉDECIN HOLANDOIS, mais ce titre que des raisons que je ne suis pas obligé de dire et qu'on n'est pas obl é de deviner, m'avaient engagé de donner à ce te Comédie, a paru si peu convenable qu'il y a eu des railleurs qui ont tourné contre moi cet Axiome, c'est au Sage à imposer les noms aux choses.
C’eſt pourquoy j’ay ajoûté cet autre titre qui eſt le veritable, LA FEMME TESTUE, & je déclare de p’us que ce n’a point eſté mon intention de déſigner perſonne, & que j’ay mis Medecin Hollandois comme j’aurois mis Medecin Flamand, s’il me fut venu en penſée.	C'est pourquoi j'ai ajouté cet autre titre qui est le véritable, LA FEMME -TUE, et je déclare de p'us que ce n'a point été mon intention de désigner personne, et que j'ai mis Médecin Hollandais comme j'aurais mis Médecin Flamand, s'il me fut venu en pensée.
A TEURPANDOLPHE MADAME PANDOLPHE.	À TEURPANDOLPHE MADAME PANDOLPHE.
ISABELLE ilie e ranusiphe.	ISABELLE ilie e anusiphe.
VALERE Amant d’Iſabelle.	VALÈRE Amant d'Isabelle.
UN HOLMIID ODI EMPIRIEE.	UN HOLMIID ÖDI EMPIRIE.
LUBIN, Valet de Pandolphe.	LUBIN, Valet de Pandolphe.
LYSE Servante de Madame Pandolphe.	LYSE Servante de Madame Pandolphe.
CLEANTE.	CLÉANTE.
ALCIPPE en habit de Commiſſaite.	ALCIPPE en habit de Commissaite.
La Scene eſt à Paris dans la maiſon de Pandolphe.	La Scène est à Paris dans la maison de Pandolphe.
LA FEMME TESTUE COMEDIE.	LA FEMME -TÊTUE COMÉDIE.
SCENE PREMIERE VALERE, ISABELLE.	SCÈNE PREMIÈRE VALÈRE, ISABELLE.
VALERE.	VALÈRE.
Ui, j'ay fait ce matin parler à vôtre Pere.	Oui, j'ai fait ce matin parler à votre Père.
U Son cœur a mes deſirs n’a point paru contraire;	V Son cœur a mes désirs n'a point paru contraire;
Mais pour déliberer il a voulu du temps, Ainſi tout mon bon-heur eſt encor en ſuſpens, Et juſques à ce terme, il faut, belle Iſabelle, Que vous me repondiez d'un eœur toûjours fidelle.	Mais pour délibérer il a voulu du temps, Ainsi tout mon bonheur est encor en suspens, Et jusques à ce terme, il faut, belle Isabelle, Que vous me répondiez d'un eœur toujours fidèle.
Pour le mien, je vous jure icy que le trépas Ne peut.	Pour le mien, je vous jure ici que le trépas Ne peut.
SCENE II.	SCÈNE II.
VALERE, ISABELLE, LYSE.	VALÈRE, ISABELLE, LYSE.
LYSE.	LYSE.
Lte, Alte-là, Monlieut, n'ucneteu pua A De peur de riſque.	Lette, Alte-là, Monlieut, n'ucnet pua À De peur de risque.
VALERE.	VALÈRE.
quoy?	quoi?
Eyle, tu crains qu’une autre.	Eile, tu crains qu'une autre.
LYSE.	LYSE.
Ecoutez mon ſerment, puis achevez le vôtre, Si veus l’oſez.	Écoutez mon serment, puis achevez le vôtre, Si us l'osez.
VALERE.	VALÈRE.
Quoy donc?	Quoi donc?
LYSE.	LYSE.
Periſſe par le feu Cette main, ſi, tes ſoins obténant mon aveu, Elle ſouſcrit jamais, impertinent Valere, A l’Hymen où prétend ton amour témeraire.	Périsse par le feu Cette main, si, tes soins obtenant mon aveu, Elle souscrit jamais, impertinent Valère, A l'Hymen où prétend ton amour témeraire.
ALERE.	ALÈRE.
Quel eſt donc ce ſerment que tu nous fais icy?	Quel est donc ce serment que tu nous fais ici?
LYSE.	LYSE.
Ce n’eſt encore rien, écoutez celuy-cy, (ces, Et tremblez.	Ce n'est encore rien, écoutez celui-cy, (ces, Et tremblez.
Qu'oi ie flacſie en minle & mille pieSi pour pouſſer à bout tes maudites tendreſſes, ſroux, Quand Terre, Ciei, Ebfer combattroient mon courD’Iſabelle en ce jour un autre n’eſt l’époux.	Qu'aifois flacsie en minle et mille pieds pour pousser à bout tes maudites tendresses, sroux, Quand Terre, Cie, Éber combattraient mon courD'Isabelle en ce jour un autre n'est l'époux.
SABELLE.	SABELLE.
Lyſe, dans quel tranſport s’égare ta colere?	Lyse, dans quel transport s'égare ta colère?
LYSE.	LYSE.
Ie tâche à copier celle de vôtre mere.	Je tâche à copier celle de votre mère.
D’elle je viens d’oüir ce que je vous ay dit.	D'elle je viens d'oüirce que je vous ai dit.
Reconnoiſſez vous pas fon ittie & fon eſprit?	Reconnaissez -vous pas son ittie et son esprit?
SABELLE.	SABELLE.
Ah Lyſe?	Ah Lyse?
Et ſçais-tu bien l’époux qu’on me prépare?	Et sçais-tu bien l'époux qu'on me prépare?
LYSE.	LYSE.
Oüy.	Oui.
C’eſt un Holandois, Empyrique tres rare.	C'est un Holandais, Empyrique très rare.
ISABELLE.	ISABELLE.
Holandois!	Holandais!
Empyrique!	Empyrique!
Et que dit à cela	Et que dit à cela
LYSE.	LYSE.
Il ne ſçait point encor ce deſſein-là.	Il ne sait point encor ce dessein-là.
Elle vient de l’éclorre, & par ce choix étrange C’eſt avec grand plaiſir que ſon dépit ſe vange De ce que mépriſant, dit.	Elle vient de l'éclorre, et par ce choix étrange C'est avec grand plaisir que son dépit se venge De ce que méprisant, dit.
elle, ſon appuy, Valere à ſon inſçeu s’oſe adreſſer à Iuy.	elle, son appui, Valère à son insçeu s'ose adresser à Jui.
Ce gendre doit venir dans peu de temps.	Ce gendre doit venir dans peu de temps.
VALENE.	VALENE.
Que faire!	Que faire!
n IEe Tâcher par tout moyen d’empêcher cette affaire, Et quand ce Hollandois ſera tantôt icy.	 NEe Tâcher par tout moyen d'empêcher cette affaire, Et quand ce Hollandais sera tantôt ici.
VALERE.	VALÈRE.
Je vaís y travailler, n’en ſois point en ſoucy;	Je vaís y travailler, n'en sois point en souci;
Je trouveray des gens.	Je trouverai des gens.
LYSE.	LYSE.
rour ſoy, pres de la Mere, J’ayſçeu me mettre bien.	rour soi, pres de la Mère, J'aysçeu me mettre bien.
Si par mon miniſtere.	Si par mon ministère.
Mais on vient Sortez vîte, & rêvez au moyen D’empêcher ce malheur.	Mais on vient Sortez vite, et rêvez au moyen D'empêcher ce malheur.
VALERE.	VALÈRE.
Ah, je t’en répons bien.	Ah, je t'en réponds bien.
SCENE III.	SCÈNE III.
PANDOLPHE, LUBIN,	PANDOLPHE, LUBIN,
LUBIN.	LUBIN.
Ais vous n’en direz rien?	Ais -vous n'en direz rien?
PANDOLPHE.	PANDOLPHÉ.
Non.	Non.
LUBIN.	LUBIN.
Pas même à Madame.	Pas même à Madame.
Non.	Non.
PANDOLPHE.	PANDOLPHÉ.
LUBIN.	LUBIN.
Comme vous ſçavez, Satan & vôtre femme, C’eſt tout un.	Comme vous savez, Satan et votre femme, C'est tout un.
Si cela luy peut-être redit, Dieu ſçait le beau Sabbat.	Si cela y peut-être redit, Dieu sait le beau Sabbat.
C’eſt un diable d’eſprit.	C'est un diable d'esprit.
Sa quinte.	Sa quinte.
bref Monſieur, vôtre fille Iſabelle.	bref Monsieur, votre fille Isabelle.
Hyer.	Hyer.
Mais n’allez pas vous emporter contre elle, Car je l’ayme, & j’enrage, à ne rien déguiſer, De la demaugcalion que je reno de jaſer.	Mais n'allez pas vous emporter contre elle, Car je l'aime, et j'enrage, à ne rien déguiser, De la demaugalion que je reno de jaser.
PANDOLPHE.	PANDOLPHÉ.
Et pourquoy me fâcher?	Et pourquoi me fâcher?
LOBIN.	LOBIN.
Pourquoy?	Pourquoi?
c’eſt que les Peres Se fachent pour cela.	c'est que les Pères Se fâchent pour cela.
PANDOLPHE.	PANDOLPHÉ.
Comment donc?	Comment donc?
Quels myſteres.	Quels mystères.
LODIN.	LODIN.
Vôtre fille la nuit étoit peureuſe.	Votre fille la nuit était peureuse.
PANDOLPHE.	PANDOLPHÉ.
Hé bien?	Hé bien?
LUBIN.	LUBIN.
Hyer avec un ſeul homme elle ne craignoit rien	Hyer avec un seul homme elle ne craignait rien
PANDOLPHE.	PANDOLPHÉ.
Elle!	Elle!
ah Dieu?	ah Dieu?
LUBIN.	LUBIN.
Dame, ah Dieu!	Dame, ah Dieu!
PANDOLPHE.	PANDOLPHÉ.
Mais l’as-tu veu?	Mais l'as-tu vu?
LUBIN.	LUBIN.
Sans doute.	Sans doute.
*Car hyer au ſoir je vis, comme on ne voroit goute, Qu’au travers des barreaux qui donnent ſur la cour Un homme luy diſoit qu’il l’adoroit d’amour, Que ſon cœur languiſſant.	*Car hier au soir je vis, comme on ne vorait goute, Qu'au travers des barreaux qui donnent sur la cour Un homme a disoit qu'il l'adorait d'amour, Que son cœur languissant.
charmé.	charmé.
dans ’eſclavage.	dans Êclavage.
Dont les chaînes.	Dont les chaînes.
enfin un peſte de langage ’Ou je ne comprens rien.	enfin un peste de langage ÔOu je ne comprends rien.
Mais j’ay certaiu ſoupçon.	Mais j'ai certaiu soupçon.
je croy qu'il veut, Moieur, ortler vôtre maiſon.	je crois qu'il veut, Moyeur, orter votre maison.
Car il parloit de feux, de flâmes, d’incendies.	Car il parlait de feux, de flammes, d'incendies.
PANDOLPHE.	PANDOLPHÉ.
Mais que diſoit ma fille?	Mais que disait ma fille?
LUBIN.	LUBIN.
Oh, cent choſes jolies.	Oh, cent choses jolies.
Iant de choles.	Jant de choles.
morgue, ie grand eſprit qu’elle a,	morgue, Elle grand esprit qu'elle a,
PANDOLPHE.	PANDOLPHÉ.
Mais quelle fut, dy-moy, la fin de tout cela	Mais quelle fut, dis-moi, la fin de tout cela
LUBIN.	LUBIN.
La fin?	La fin?
Je m’endormis.	Je m'endormis.
PANDOLPHE.	PANDOLPHÉ.
Le fat!	Le fat!
Pour les ſurprendre, Il faloit m’avertir, ſans davantage attendre.	Pour les surprendre, Il fallait m'avertir, sans davantage attendre.
ontor!	ontor!
dlantre ſoit fait du ſommeil qui t’a pris.	dlantre soit fait du sommeil qui t'a pris.
Mais tu ſçais bien ſon nom?	Mais tu sais bien son nom?
LU BIN.	LU BIN.
