A PARI Chez FRANÇOIS CLOUZIER, le jeune;	À PARI Chez FRANS CLOUZIER, le jeune;
dans la Court du Palais, proche la Chambre des Comptes.	dans la Court du Palais, proche la Chambre des Comptes.
ACTEVRS.	ACTEURS.
POLIDORE, Oncle de Lidamant, Amant d’Iſabelle.	POLIDORE, Oncle de Lidamant, Amant d'Isabelle.
GVSMAN, Valet de Polidore.	GUSMAN, Valet de Polidore.
LIDAMANT, Amant d’Ifabelle.	LIDAMANT, Amant d'Ifabelle.
CARRILLE, Valet de Lidamani.	CARRILLE, Valet de Lidamani.
ISABELLE.	ISABELLE.
MARINE, Suivante d’Iſabelle.	MARINE, Suivante d'Isabelle.
VN GARCON de Cabarst	UN GARÇON de Cabart
La Scene eſt à Paris.	La Scène est à Paris.
JIE 7 TE AMOUREUSE.	JIE 7 TE AMOUREUSE.
26 le O ce BIL.	26 le Ô ce BIL.
SCENE PREMIERE, MARINE, ISABELLE, LIDAMANT.	SCÈNE PREMIÈRE, MARINE, ISABELLE, LIDAMANT.
1 21114	1 21114
MARINE.	MARINE.
Onſieur, encor un coup ſans téver davantage, Pour avoir de l'argent mettons tout en uſage.	Onsieur, encor un coup sans téver davantage, Pour avoir de l'argent mettons tout en usage.
A quoy bon ces ſouſpirs?	À quoi bon ces soupirs?
pourquoy cette langueur?	pourquoi cette langueur?
Ce n’eſt pas le moyen de vaincre le malheur;	Ce n'est pas le moyen de vaincre le malheur;
L’adreſſe ſeule peut finir voſtre martyre, Et ſi vous le voulez, vous n’avez rien qu’à dire.	L'adresse seule peut finir votre martyre, Et si vous le voulez, vous n'avez rien qu'à -dire.
A i 4	À y 4
LIDAMANT.	LIDAMANT.
Mais au moins, que l’honneur n’y ſont point offencé.	Mais au moins, que l'honneur n'y sont point offensé.
MARINE.	MARINE.
L’honneur de tons les deux n’y ſera point bleſſé.	L'honneur de tons les deux n'y sera point blessé.
ISABELLE.	ISABELLE.
dmulo tu ſçais queis loupçons fait naiſtre l’apparence.	dmulo tu sais queis loupçons fait naître l'apparence.
MARINE.	MARINE.
Et qu’importe, apres tout, que le monde s’offence?	Et qu'importe, après tout, que le monde s'offense?
Nous ſommes dans un ſiecle où l’on n’épargne rien, On daube également ſur le mal, & le bien, Et de quelque façon qu’on vueille ſe conduire, On y trouve touſiours quelque choſe à redire.	Nous sommes dans un siècle où l'on n'épargne rien, On daube également sur le mal, et le bien, Et de quelque façon qu'on veuille se conduire, On y trouve toujours quelque chose à redire.
