L A ETALAE de moy qui ne fut pas ordinaire, pourfaire connoiſtre que tout vous eſt dû.	L À ETALAE de moi qui ne fut pas ordinaire, pourfaire connaître que tout vous est dû.
C’eſt vn effet du bon ſens que vous gardez en toutes choſes, de n’en auoir point voulu d’autre de moy apres celuy de moy-meſme.	C'est un effet du bon sens que vous gardez en toutes choses, de n'en avoir point voulu d'autre de moi après celui de moi-même.
Ie ſuis Comedien, & i’ay voulu faire l’Autheur;	Je suis Comédien, et j'ai voulu faire l'Auteur;
ces deux qualitez traînent auec elles beaucoup d’indigence, de fortune, & de raiſon.	ces deux qualités traînent avec elles beaucoup d'indigence, de fortune, et de raison.
On dit en commun Prouerbe, que les Poëtes ſont foux:	On dit en commun Prouerbe, que les Poètes sont foux:
Si vous en eſtes perſuadée, incomparable Polixene, que doiuent eſtre ceux qui n’agiſſent & ne parlent que par leur organe?	Si vous en êtes persuadée, incomparable Polixène, que doivent être ceux qui n'agissent et ne parlent que par leur organe?
I’eſtois déja l’vn, & vous m’auez commandé d’eſtre l’autre, en m’obligeant d’étaler cette badinerie au Theatre.	J'étais déjà l'vn, et vous m'avez commandé d'être l'autre, en m'obligeant d'étaler cette badinerie au Théâtre.
Iugez par là de l’eſtat de ma raiſon, quand meſme vous ne conteriez pour rien mon amour qui l’auoit déja fort alterée.	Jugez par là de l'état de ma raison, quand même vous ne conteriez pour rien mon amour qui l'avait déjà fort altérée.
Ie veux croire que cette fole production vous a diuertie, puis qu’apres plus d’vne lecture où vous n’auez pas paruë chagrine, la repreſentation vous a fait pouſſer des êclats de rire, & qu’en ſuite vous en auez voulu faire vopre vunt le n'ay pas cri deuoir m'en defendre, puis que vos ordres me ſont des Loix inuiolables.	Je veux croire que cette sole production vous a divertie, puis qu'après plus d'une lecture où vous n'avez pas parue chagrine, la représentation vous a fait pousser des êclats de rire, et qu'en suite vous en avez voulu faire vopre vœu le n'ai pas cri devoir m'en défendre, puis que vos ordres me sont des Lois inviolables.
Ie vous la donne donc cette fole production;	Je vous la donne donc cette sole production;
mais ie vous la donne comme vne marque de mon obeïſſance, & pretens par là vous prouuer le reſpect que i’ay pour vos commandemens.	mais ici vous la donne comme une marque de mon obéissance, et prétends par là vous prouver le respect que j'ai pour vos commandements.
I’eſpere pourtant de voſtre amitié que vous ferez juſtice à mes intentions, & qu’en traitant cecy de bagatelle, vous direz à vos Amis, pour ménager ma reputation, que c’eſt vn trauail quaſi auſſi-toſt acheué qu’imaginé, & pour lequel vous ne m’auez donné que fort peu de temps.	J'espère pourtant de votre amitié que vous ferez justice à mes intentions, et qu'en traitant ceci de bagatelle, vous direz à vos Amis, pour ménager ma réputation, que c'est un travail quasi aussitôt achevé qu'imaginé, et pour lequel vous ne m'avez donné que fort peu de temps.
Vous empeſcherez par là les Cenſeurs de dire que i’ay beaucoup reſvé pour faire vne ſottiſe.	Vous empêcherez par là les Censeurs de dire que j'ai beaucoup rêvé pour faire une sottise.
Vous auez intereſt à la conſeruation de mes auantages, puis qu’en ne les appuyant pas autant que voſtre amitié vous y engage, on pourroit vous blâmer à auoir ſouffert dans l’honneur de voſtre ſertuus, vn Homme qui n’eſt pas digne d’eſtre à Vous.	Vous avez intérêt à la conservation de mes avantages, puis qu'en ne les appuyant pas autant que votre amitié vous y engage, on pourrait vous blâmer à avoir souffert dans l'honneur de votre sertuus, un Homme qui n'est pas digne d'être à Vous.
AV LECTEVR AEi HER Lecteur, Vne Belle m’a commandé de mettre au jour vne de mes folies:	AU LECTEUR AÉ JÀR Lecteur, Une Belle m'a commandé de mettre au jour de mes folies:
I’ay le cœur tendre, & l’inclination obeïſſante;	J'ai le cœur tendre, et l'inclination obéissante;
& pour peu que tu ſois ſenſible, tu ſçauras, comme moy, qu’on ne refuſe rien à ce que l’on aime.	et pour peu que tu sois sensible, tu sauras, comme moi, qu'on ne refuse rien à ce que l'on aime.
C’eſt par cette raiſon que ie me ſuis laiſſé mettre ſous la Preſſe.	C'est par cette raison que tu me suis laissé mettre sous la Presse.
I’ay crû qu’il ne ſeroit pas plus condamnable de me voir dans ton Cabinet, que ſur le Theatre.	J'ai cru qu'il ne serait pas plus condamnable de me voir dans ton Cabinet, que sur le Théâtre.
Si tu trouue quelque choſe de diuertiſſant en moy, tu m’y conſerueras, tu en vſeras ſelon ton caprice ou ta raiſon, ſans me faire prendre vanité de l’vn, ny chagrin de l’autre.	Si tu trouve quelque chose de divertissant en moi, tu m'y conserveras, tu en useras selon ton caprice ou ta raison, sans me faire prendre vanité de l'Un, Seigneur chagrin de l'autre.
Ne cherche point à ſçauoir qui ie ſuis, cette connoiſſance te ſeroit inutile, & me donneroit de la confuſion.	Ne cherche point à savoir qui tu suis, cette connaissance te serait inutile, et me donnerait de la confusion.
Laiſse-moy chercher ſans inquietude vne occaſion plus fauorable de te plaire, & de pouuoir mettre auec quelque loire mon nom au deſsous de ton tres-humble Seruiteur.	Laisse-moi chercher sans inquiétude une occasion plus favorable de te plaire, et de pouvoir mettre avec quelque loire mon nom au dessous de ton très-humble Serviteur.
ACTEVRS.	ACTEURS.
LA ROCQVE, Amant d’Angelique.	LA ROCQUE, Amant d'Angélique.
GVILLOT, Soldat Poltron, Valet de la Rocque.	GUILOT, Soldat Poltron, Valet de la Rocque.
LE DOCTEVR, Amant d’Angelique.	LE DOCTEUR, Amant d'Angélique.
RAGOTIN, Valet du Docteur.	RAGOTIN, Valet du Docteur.
ANGELIQVE, Amante de la Rocque.	ANGELIQUE, Amante de la Rocque.
LISETTE, Seruante d’Angelique.	LISETTE, Servante d'Angélique.
La Scene eſt à Paris, dans le Quartier du Marais.	La Scène est à Paris, dans le Quartier du Marais.
*E I R( E I AOMEDIE.	 I *( Y I EOMEDIE.
DERUDEREMIERE.	DERUDEREMIÈRE.
LA ROCQVE, GVILLOT SOLDAT POLTRON.	LA ROCQUE, GUILLOT SOLDAT POLTRON.
a GVILLOT.	a GUILOT.
Voy!	Voi!
toûjours donner des auis, Et ne les voir iamais ſuiuis?	toujours donner des avis, Et ne les voir jamais suivis?
Quoy que voſtre Valet vous diſe, Quoy qu’auec vous il moraliſe;	Quoi que votre Valet vous dise, Quoi qu'avec vous il moralise;
Toute cette moralité Le fait paſſer pour hebété, Pour vn brutal, pour vn ſtupide.	Toute cette moralité Le fait passer pour hébété, Pour un brutal, pour un stupide.
Monſieur, ie vous lâche la bride, Taillez, rognez, tourmentez-vous, Faites des Cocus, des Ialous, A tout vous me verrez ſouſcrire, Sans y trouuer rien à feuirt, Puis que mes ſoins ſont ſuperflus.	Monsieur, Seigneur vous lâche la bride, Taillez, rognez, tourmentez-vous, Faites des Cocus, des Jalous, À tout vous me verrez souscrire, Sans y trouver rien à feuirt, Puis que mes soins sont superflus.
LA ROCQVE.	LA ROCQUE.
Non, Guillot, ne m’en parlez plus, Angelique eſt ſage, elle eſt belle, Vous ſçauez que ie meurs pour elle, Et que ie mets tout mon bonheur A pouuoir m’acquerir ſon cœur.	Non, Guillot, ne m'en parlez plus, Angélique est sage, elle est belle, Vous savez que ici mûrs pour elle, Et que sans mets tout mon bonheur A pouuoir m'acquérir son cœur.
Sur peine donc de me déplaire, Faites ce que vous deuez faire;	Sur peine donc de me déplaire, Faites ce que vous devez faire;
Montrez-moy voitre affection, En ſeruant bien ma paſſion.	Montrez-moi voitre affection, En servant bien ma passion.
N’eſt-ce pas vne aimable Fille?	N'est-ce pas une aimable Fille?
GVILLOT.	GUILOT.
Oüyda, ie la trouue gentille, Elle a le minois bien tourné:	Ouida, Seigneur la trouve gentille, Elle a le minois bien tourné:
Mais dûſſay-je en eſtre berné, Ie ſoûtiens qu’elle eſt moins bien faite Que n’eſt ſa Seruante Liſette:	Mais dussé-je en être berné, Je soutiens qu'elle est moins bien faite Que n'est sa Servante Lisette:
Ses yeux ſont émerillonnez, Aquilain eſt ſon petit nez;	Ses yeux sont émerillonnés, Aquilain est son petit nez;
Sa bouche, à nulle autre pareille, Eſt fort petite, & fort vermeille;	Sa bouche, à nulle autre pareille, Est fort petite, et fort vermeille;
Ses dents, qui n’ont rien que de ſain, Sont de la blancheur de ſon tein;	Ses dents, qui n'ont rien que de sain, Sont de la blancheur de son tein;
Sa gorge eſt ferme & rehauſſée, Sa taille eſt aſſez bien trouſſée;	Sa gorge est ferme et rehaussée, Sa taille est assez bien troussée;
Le pied qui ſe jette en dehors, Porte agreablement ſon Corps, Et nous montre que ſes parties Sont parfaitement aſſorties;	Le pied qui se jette en dehors, Porte agréablement son Corps, Et nous montre que ses parties Sont parfaitement assorties;
L’Eſprit à ſon Corps ne doit rien;	L'Esprit à son Corps ne doit rien;
En vn mot ie l’aimerois bien.	En un mot ici l'aimerais bien.
LA ROCQVE.	LA ROCQUE.
Guillot, ne ſens-tu point pour elle Ce que ie reſſens pour ma Belle?	Guillot, ne sens-tu point pour elle Ce que . ressens pour ma Belle?
Tu dis fort bien ce qu’elle vaut, Tu ne luy vois aucun defaut.	Tu dis fort bien ce qu'elle vaut, Tu ne lui vois aucun défaut.
A peu pres, Guillot, c’eſt me dire, Que pour elle ton cœur ſoûpire:	À peu pres, Guillot, c'est me dire, Que pour elle ton cœur soupire:
Pourrois-je bien eſtre à mon tour Le Confident de ton amour?	Pourrais-je bien être à mon tour Le Confident de ton amour?
GVILLOT.	GUILOT.
Non pas cela, Monneur mon Maiſtre, D’vn autre vous le pourriez eſtre;	Non pas cela, Monneur mon Maître, D'un autre vous le pourriez être;
Mais de moy.	Mais de moi.
arcoy eui soi iod caov-C	arcoi eui soi yod caov-Ç
LA ROICQVE.	LA ROICQUE.
Pourquoy non, Guillot?	Pourquoi non, Guillot?
GVILLOT.	GUILOT.
C’eſt que ie ne ſuis pas vn Sot, Et qu’il n’eſt pas de ma prudence De vous mettre en ma confidence;	C'est que personne ne suis pas un Sot, Et qu'il n'est pas de ma prudence De vous mettre en ma confidence;
I’aurois peur que mon Confident Ne me fit Cornard à mon dent;	J'aurais peur que mon Confident Ne me fit Cornard à mon dent;
Le faire, ſeroit vne affaireiosm  Qui pourroit bien ne me pas plaire.	Le faire, serait une affaireiosm Qui pourrait bien ne me pas plaire.
Vous donnez fort bien le détour  Et le croc-en-jambe en Amour:	Vous donnez fort bien le détour Et le croc-en-jambe en Amour:
1 Ie ſçay qu’vn chacun vous redoute;	1 Je sais qu'un chacun vous redoute;
Que perſonne ne met en doute, Qu’en tous lieux où vous frequentez,  Ce ſont autant de Gens gaſtez,  Et qu’il n’eſt ny Fille, ny Femme, A qui vous n’embaboüiniez l’ame, Quand vous leur en auez conté.	Que personne ne met en doute, Qu'en tous lieux où vous fréquentez, Ce sont autant de Gens gâtez, Et qu'il n'est ni Fille, il Femme, À qui vous n'embabouiniez l'âme, Quand vous leur en avez conté.
Quelque douzaine en a tâté Qui ſe voit dans la doleance, Pour voſtre maudite inconſtance:	Quelque douzaine en a tâté Qui se voit dans la doléance, Pour votre maudite inconstance:
Celle qui vous échaperoit, N’auroit pas l’eſprit mal adroit:	Celle qui vous échapperait, N'aurait pas l'esprit mal adroit:
Il faut qu’en l’amoureux Myſtere Vous ayez quelque caractere, Ou pour les gagner tour à tour, La corde d’vn Pendu d’Amour.	Il faut qu'en l'amoureux Mystère Vous ayez quelque caractère, Ou pour les gagner tour à tour, La corde d'un Pendu d'Amour.
Peſte, vous n’en manquez pas-vne, Petite, grande, blonde, ou brune;	Peste, vous n'en manquez pas-vne, Petite, grande, blonde, ou brune;
Graſſes, maigres, belles, ou non, Pout vous en egaſcment pon.	Grasses, maigres, belles, ou non, Pout vous en égascment pon.
Pour ces raiſons, Monſieur, ie penſe Que vous perdrez ma confidence.	Pour ces raisons, Monsieur, ie pense Que vous perdrez ma confidence.
LA ROCQVE.	LA ROCQUE.
Ah!	Ah!
point, ie te jure ma foy, Que tu peux t’aſſurer en moy.	point, Seigneur te jure ma foi, Que tu peux t'assurer en moi.
Il eſt vray, Guillot, que ma vie Fut autrefois digne d’enuie;	Il est vrai, Guillot, que ma vie Fut autrefois digne d'envie;
Fort longtemps i’ay veu mes deſirs Eſtre moindres que mes plaiſirs.	Fort longtemps j'ai vu mes désirs Être moindres que mes plaisirs.
Vne Ame enjoüée & plaiſante, Aupres des Dames complaiſante, non  Proteſtant à tous leurs appas l ne Ce qu’elle ne reſſentoit pas,  Leur debitant des bagatelles, M’a fait reüſſir aupres d’elles.	Une Ame enjoüée et plaisante, Auprès des Dames complaisante, non Protestant à tous leurs appas ne Ce qu'elle ne ressentait pas, Leur débitant des bagatelles, M'a fait réussir auprès d'elles.
Cent fois ie me ſuis veu content.	Cent fois raison me suis vu content.
10 Cent autres ne ll'eſtre pas tant,  Mais toûjours faiſant bonne mine, Grand jeu, propre, bonne cuiſine, ile a Ino Laiſſant toûjours à deuiner Quel Démon m’en pouuoit donner.	10 Cent autres ne l'être pas tant, Mais toujours faisant bonne mine, Grand jeu, propre, bonne cuisine, île a Ino Laissant toujours à deviner Quel Démon m'en pouvait donner.
Saus que iamais l’Eſcroquerie Ait trouué place dans ma vie:	Saus que jamais l'Escroquerie Ait trouvé place dans ma vie:
I’ay toûjours eu pour affecté La reguliere honneſteté, Et ie te ferois des peintures De cent gaillardes auantures Admirables auec raiſon.	J'ai toujours eu pour affecté La régulière honnêteté, Et personne te ferais des peintures De cent gaillardes aventures Admirables avec raison.
I’eſtois dans ma belle ſaiſon, Lors que i’auois cet auantag 2 1 Mais quand on atteint certain âge, Guillot, on enange bien d’humeur.	J'étais dans ma belle saison, Lors que j'avais cet avantag 2 1 Mais quand on atteint certain âge, Guillot, on enange bien d'humeur.
A preſent que i’ay l’Eſprit meur, mon procede ine juitiſe.	À présent que j'ai l'Esprit meur, mon procède ine juitise.
GVILLOT.	GUILOT.
Dlable emporte, ſi ie m’y fie.	Dlable emporte, si ici m'y fie.
LA ROCQVE.	LA ROCQUE.
Ah!	Ah!
Guillot, n’aye aucune peur.	Guillot, n'aie aucune peur.
GVILLOT.	GUILOT.
Ie ne m’y fiëray pas, Monſieur:	Je ne m'y fierai pas, Monsieur:
Mais comment auez-vous pû faire Pour ſuruenir à tant d’affaire, d Pour eſtre en tous endroits Galant, Pour couler le petit preſent, Pour tenir aſſez bonne table, 21 Pour joüer toûjours comme vn Diable?	Mais comment avez-vous pu faire Pour survenir à tant d'affaire, d On être en tous endroits Galant, Pour couler le petit présent, Pour tenir assez bonne table, 21 Pour jouer toujours comme un Diable?
Car du bien, vous n’en auez point.	Car du bien, vous n'en avez point.
LA ROCQVE.	LA ROCQUE.
Non, Guillot, i’accorde ce poinct:	Non, Guillot, j'accorde ce point:
