A ROLEI.	À ROLEI.
Chez JEAN B.	Chez JEAN B.
BESONGNE ruë Ecuyere, au Soleil Royal.	BÉSONGNE rue Ecuière, au Soleil Royal.
ACTEURS.	ACTEURS.
E BARON DE BOIS VERT, D Pere d’Angelique & du Chevalier.	E BARON DE BOIS VERT, D Pere d'Angélique et du Chevalier.
ANGELIQUE, Amante d’Eraſte.	ANGELIQUE, Amante d'Eraste.
LE CHEVALIER, Cornette de Dragons, ERASTE, Capitaine de Dragons, Amant d’Angelique.	LE CHEVALIER, Cornette de Dragons, ERASTE, Capitaine de Dragons, Amant d'Angélique.
Me SIMONET, Veuve d’un Homme de Robe, aimant Eraſte.	Me SIMONET, Veuve d'un Homme de Robe, aimant Éraste.
Mr DE LARICHARDIERE, Financier, Amant de Me Simonet.	Mr DE LARICHARDIERE, Financier, Amant de Me Simonet.
MARTON, Suivante d’Angelique.	MÁRTON, Suivante d'Angélique.
LA ROSE, Valet de Chambre d’Eraſte, en Dragon.	LA ROSE, Valet de Chambre d'Eraste, en Dragon.
LA FLEUR, Laquais de Mr le Baron.	LA FLEUR, Laquais de Mr le Baron.
Acteurs du Diveruſſement.	Acteurs du Diverussement.
Un Timbalier.	Un Timbalier.
Deux Haut-bois.	Deux Haut-bois.
Deux Dragons chantans.	Deux Dragons chantans.
Quatre Dragons dançaut Flamandes chantantes & dançantes.	Quatre Dragons dançaut Flamandes chantes et dançantes.
Chœur de Dragons chantans.	Chœur de Dragons chantants.
SCENE I.	SCÈNE I.
ANGELIQUE, MARTON.	ANGELIQUE, MÁRTON.
MARTON.	MÁRTON.
L me ſemble, Madame, que depuis quelques jours vous êtes plus gaye qu’à l’ordinaire;	L me semble, Madame, que depuis quelques jours vous êtes plus gaie qu'à l'ordinaire;
vos y eux qui étoient tout languiſſans, commencent à briller d’un certain feu.	vos y eux qui étaient tout languissants, commencent à briller d'un certain feu.
Ah, Madame, les fripous ſentent le Quartier d’Hyver.	Ah, Madame, les fripous sentent le Quartier d'Hiver.
H.	H.
CELIQUE.	CELIQUE.
Je t’avoüe que ſon approche me donne de la joye, le plaiſir que j’aurai de revoir ici mon Frere.	Je t'avoue que son approche me donne de la joie, le plaisir que j'aurai de revoir ici mon Frère.
MARTON.	MÁRTON.
Et Eraſte auſſi, Madame, parlez franchement.	Et Éraste aussi, Madame, parlez franchement.
Depuis qu’ils ſont partis l’un & l’autre pour l’Armée, nous avons mené une emnte Pi nidyrrur ombre que davoi un Amant à la Guerre!	Depuis qu'ils sont partis l'un et l'autre pour l'Armée, nous avons mené une emnte Pi nidyrrur ombre que davoi un Amant à la Guerre!
Il ne s’eſt pas tiré un coup de piſtolet qu’il ne nous ait fait peur.	Il ne s'est pas tiré un coup de pistolet qu'il ne nous ait fait peur.
Vôtre vieux Baron de Pere avec ſes fumées mili aires a tres-mal fait d’ôter le petit colet à ſon fils, pour lui donner une Cornette de Dragons:	Votre vieux Baron de Père avec ses fumées mili aires a très-mal fait d'ôter le petit collet à son fils, pour lui donner une Cornette de Dragons:
il y a moins de riſque à porter l’un que l’autre.	il y a moins de risque à porter l'un que l'autre.
SCENE II.	SCÈNE II.
ANGELIQ, LA FLEUR, MARTON.	ANGELIQ, LA FLEUR, MÁRTON.
Mllerore.	Mllérore.
La Veuve de cét Homme de Robe, Madame Simonet.	La Veuve de cet Homme de Robe, Madame Simetonet.
ANGELIQUE.	ANGELIQUE.
Ah!	Ah!
faites entrer Madame Simonet.	faites entrer Madame Simonet.
Il ne nous faudroit plus que ſon Amant le Financier.	Il ne nous faudrait plus que son Amant le Financier.
MARTON.	MÁRTON.
Le Jeu nous a donné leur connoiſſance bien à propos;	Lev Jeu nous a donné leur connaissance bien à propos;
avoüez que ſans eux nous nous ſerſons bien ennuyées cét Eſté, ſe ſont deux originaux de differentes eſpeces, l’un veut toûjours chanter, & l’autre toûjours parler de Guerre & d’Officiers.	avouez que sans eux nous nous sersons bien ennuyées cet Été, se sont deux originaux de différentes espèces, l'un veut toujours chanter, et l'autre toujours parler de Guerre et d'Officiers.
ANGELIQUE.	ANGELIQUE.
Se ſont deux perſonnages auſſi foux.	Se sont deux personnages aussi foux.
SCENE III.	SCÈNE III.
ANGELIQUE, Me SIMONET, MARTON.	ANGELIQUE, Me SIMONET, MÁRTON.
M ANGELIQUE Je ſuis la vôtre, Madame.	M ANGELIQUE Je suis la vôtre, Madame.
Quoi, ſans Mr de la Richardiere!	Quoi, sans Mr de la Richardière!
Me SIMONET.	Me SIMONET.
ri tera ſer dans un moment, Madame;	ri tera ser dans un moment, Madame;
il eſt allé au Palais ſçavoir des nouvelles de 1a Guerre.	il est allé au Palais savoir des nouvelles de 1 Guerre.
ANGELIQUE.	ANGELIQUE.
Des nouvelles de la Guerre au Palais!	Des nouvelles de la Guerre au Palais!
Me SIMONET.	Me SIMONET.
