Auec Priuilege du Royi	Avec Privilège du Roii
PRIVILEGE DV ROY.	PRIVILÈGE DU ROI.
OVYSPAR LA CRACE DE DIEV DROY DE FRANCE ET DE NAVARRE, A nos amez & feaux Conſeillers, les gens tenans nos Cours de Parlement, Maiſtres des Requeſtes ordinaires de noſtre Hoſtel, Baillifs, Seneſchaux Preuoſts, leurs Lieutenans & tous autres nos Iuſliciers & Officiers qu’il appartiendra, Salut.	OUYSPAR LA CRACE DE DIEU DROY DE FRANCE ET DE NAUARRE, A nos âmez et féaux Conseillers, les gens tenants nos Cours de Parlement, Maîtres des Requêtes ordinaires de notre Hôtel, Baillifs, Sénéchaux Preuosts, leurs Lieutenants et tous autres nos Jusliciers et Officiers qu'il appartiendra, Salut.
Noſtre cher & bien amé GVILLAVME DE LVYNE, Marchand Libraireluré en noſtre bonne Ville de Paris;	Notre cher et bien amé GUILLAUME DE LUYNE, Marchand Libraireleuré en notre bonne Ville de Paris;
Nous a mi romiomtrer qu'ayaiit cy-deuant fait imprimer auec nos Lettres de permiſſion, les ſept Liures de Virgile traueſty, & le Roman Comique du ſieur Scaron, dont les Priuileges ſont preſls d’expirer, & que depuis il a recouuré auec grand frais ce qui reſte à imprimer dudit Autheur, ſçauoir deux pieces de Theatre, intitulées les fauſſes Apparences, & l’illuſtre Corſaire, comme auſſi le huictiéme Liure de Virgile traueſty, auec pluſieurs Lettres ſur diuers ſujets, & autres Pieces tant en Vers qu’en Proſes tous leſquels œuures ils deſireroit faire imprimer & reimprimer;	Nous a mi romiomtrer qu'aiit cy-devant fait imprimer avec nos Lettres de permission, les sept Livres de Virgile trauesty, et le Roman Comique du sieur Scaron, dont les Privilèges sont prés d'expirer, et que depuis il a recouvré avec grand frais ce qui reste à imprimer dudit Auteur, sçauoir deux pièces de Théâtre, intitulées les fausses Apparences, et l'illustre Corsaire, comme aussi le huictième Livre de Virgile trauesty,va plusieurs Lettres sur diuers sujets, et autres Pieces tant en Vers en Proses tous lesquels œuures ils desireroit age imprimer et réimprimer;
mais craignant que quelques autres vouluſſent l’imiter, ce qui luy cauſeroit grande perte, au ſuiet des frais auancez qu’il a pource faits:	mais craignant que quelques autres voulussent l'imiter, ce qui tu causerait grande perte, au suite des frais avancés qu'il a pource faits:
Il nous auroit ſupplié tres-hũblement luy octroyer nos Lettres ſur ce neceſſaires.	Il nous aurait supplié très-hũblement lui octroyer nos Lettres sur ce nécessaires.
ACES CAVSES, deſirant fauorablemes traiter ledit Expoſant, luy auons permis & permettons par ces preſentes, de faire imprimer & reimprimer les œuures cy-deſſus ſpecifiez en tels Volumes, characteres, & autant de fois qu’il auiſera, iceux vẽdre & debiter durant ſept années, à compter du iour qu’ils ſerõt acheuts d’imprimer, pendant lequel tẽps, faiſons tresexpreſſes inhibitiõs & défences, à tous Libraires & Imprimeurs de noſtre Royaume, de les imprimer ou faire imprimer & vendre, ſans le conſentement dudit Expoſant, à peine aux co treuenans de 3000 liu d’amande, applicable va tiers à nous, vn tiers à l’Hoſtel-Dieu de nôtredite Ville de Paris, & l’autre tiers audit Expoſant, de confiſcation deſdits exemplaires con trefaits, & de tous dépens dommages & intereſts, à la charge toutesfois qu’auant d’expoſet leſdits Liures en vente, il en ſera mis deux ercplaires en noſtre Bibliotheque publique, vn et celle de noſtre Cabinet en noſtre Chaſteau di Louure, & vn en celle de noſtre tres-cher l ſeal, le ſieur Seguier Cheualier, Chancelier de France, & à faute de rapporter és mains d ſieur grand Audiencier de France en quartiei, les recepiſſez de nos Bibliotheques, & au ſieu Cramoiſy, commis par noſtredit Chancelier, vn acte de la déliurance actuelle deſdits exem plaires:	ACES CAUSES, désirant favorable traiter ledit Exposant, su ivons permis et permettons par ces présentes, de faire imprimer et réimprimer les œuvres cy-dessus spécifiez en tels Volumes, charactères, et autant de fois qu'il avisera, iceux vendre et débiter durant sept années, à compter du jour qu'ils seront achevs d'imprimer, pendant lequel le, faisons que inhibitiõs et défences, l tous Libraires et Imprimeurs de nôtre Royaume, de les imprimer ou faire imprimer et vendre, sans le consentement dudit Exposant, peine a treuenans de 3000 y amande, applicable va tiers nous, n tiers Hostel-Dieu de nôtredite Ville de Paris, et autre tiers audit Ès, de confiscation desdits exemplaires con trefaits, et de tous dépens dommages et in, la h y auant exposet bit Liures en vente, il en sera mis deux ercplaires en nôtre Bibliotheque publique, et celle dé nôtre Cabinet en se Chasteau Louure, et en celle de à très-cher seal, le ou Seguier Cheualier, Chancelier de France, et faute de fort mains sieur grand Audiencier de France en y, lesurs de l' Bibliotheques, et au sieu Cramoisy, le pr nostredit Chancelier, et de la déliurance actuelle desdits prem ie:
Nous auons déclaté dés à preſent ladi te permiſſion nulle;	Nous avons déclaté dès à présent lady te permission nulle;
& auons enioint aux Seit dics des Libraires & Graueurs de faire ſaiſir tous les exemplaires qui auront été imprimez & grauez, ſans auoir ſatisfait aux clauſes portées par ces preſentes.	et avons enioint aux Seit dics des Libraires et Graveurs de faire saisir tous les exemplaires qui auront été imprimés et gravés, sans avoir satisfait aux clauses portées par ces présentes.
Si voys MANDONS, que d’icelles vous faſſiez ioüir & vſer ledit Expoſant & tous ceux qui auront droit de luy, pleinement & paiſiblement, ſans ſouffrir qu’ils y ſoient troublez;	Si vois MANDONS, que d'icelles vous fassiez jouir et user ledit Exposant et tous ceux qui auront droit de Seigneur, pleinement et paisiblement, sans souffrir qu'ils y soient troublés;
Voulant qu’en mettant vn extrait des preſentes au commencement, ou à la fin de chacun exemplaire, foy y ſoit adiouſtée comme au preſent original;	Voulant qu'en mettant un extrait des présentes au commencement, ou à la fin de chacun exemplaire, foi y soit ajoutée comme au présent original;
& au premier noſtre Huiſſier ou Sergent ſur ce requis, faire en execution tous exploits neceſſaires ſans demander autre permiſſion, nonobſtant clameur de Haro, Chartre Normande, priſe à parties & Lettres à ce contraires.	et au premier notre Huissier ou Sergent sur ce requis, faire en exécution tous exploits nécessaires sans demander autre permission, nonobstant clameur de Haro, Chartre Normande, prise à parties et Lettres à ce contraires.
CAR tel eſt noſtre plaiſir.	CAR tel est notre plaisir.
DONNE' à Paris le 1o.	DONNE' à Paris le 1o.
iour de luin 1662.	jour de luin 1662.
& de noſtre Regne le 19 Signé par le Roy en ſon Conſeil GVITONNEAV.	et de notre Reine le 19 Signé par le Roi en son Conseil GUITONEAU.
Acheué d’imprimer le 13.	Achevé d'imprimer le 13.
Septembre 1662.	Septembre 1662.
