TRAGI-COMEDIE.	TRAGI-COMÉDIE.
PAR Monpem de SOODERY.	PAR Monpem de SODERY.
M.	M.
DC.	DC.
LIX.	LIX.
aſſeuré qu'vne erreur en appelle vne autre ie m’empeſcheray bien d’adjouſter à la faute que ie commets, en vous donnant vne choſe de ſi peu d’importance, celle de vous loüer de mauuaiſe grace:	assuré qu'une erreur en appelle une autre femme m'empêcherai bien d'ajouter à la faute que je commets, en vous donnant une chose de si peu d'importance, celle de vous louer de mauvaise grâce:
que s’il faut toutefois que ie le faſſe, pour ſuiure la couſtume que les autres ont eſtablie, ie penſe auoir aſſez d’adrelle pour m’en acquites plus dignement ſans eloquence, qu’ils ne feroient auec toutes les regles & toutes les beautez de leur art.	que s'il faut toutefois que je le fasse, pour suivre la coutume que les autres ont établie, ie pense avoir assez d'adrelle pour m'en acquîtes plus dignement sans éloquence, qu'ils ne feraient sous toutes les règles et toutes les beautés de leur art.
Et cela, MADAME, en diſant ſeulement que vous eſtes de l’illuſtre Sang de BOVRBON, ſi Noble & ſi pur, qu’il a moins de taches que le Soleil;	Et cela, MADAME, en disant seulement que vous êtes de l'illustre Sang de BOURBON, si Noble et si pur, qu'il a moins de taches que le Soleil;
de ſorte que vo' auriez plus de peine à faillir, que les autres n’en ont à bien faire;	de sorte que vo' auriez plus de peine à faillir, que les autres n'en ont à bien faire;
Et s’il faut encor adioûter à cette gloire eſſentielle vne qui vous vienne d’ailleurs;	Et s'il faut encor ajouter à cette gloire essentielle un qui vous vienne d'ailleurs;
apres auoir remarqué que vous auez l'honneur d’appartenir au plus grand Monarque de la terre:	après avoir remarqué que vous avez l'honneur d'appartenir au plus grand Monarque de la terre:
Ie diray que vous eſtes Sœur d’vn Prince, qui poſſede toutes les bonnes qualitez que doit auoir vn homme de la ſienne & femme d’vn autre, de qui le cœur & I’eſprit diſputent de grandeur auec ſa naiſſance:	Je dirai que vous êtes Sœur d'un Prince, qui possède toutes les bonnes qualités que doit avoir un homme de la sienne et femme d'un autre, de qui le cœur et J'esprit disputent de grandeur avec sa naissance:
C’eſt tout ce que vous peut dire,	C'est tout ce que vous peut dire,
MADAME, Voſtre tres-humble & tres-obeïſſan ſeruiteur, DE SCVDERY.	MADAME, Votre très-humble et très-obeïssan serviteur, DE SCUDERY.
DDC DLCIDOIJ.	DDC DLCIDOII.
ISIMANDRE Fils du Gouuerneur de Naples.	ISIMANDRE Fils du Gouverneur de Naples.
ORANTE Dame Napolitaine.	ORANTE Dame Napolitaine.
ROUiMORD Many dimandre,	ROUiMORD Mani dimandre,
ORMIINV Gouuerneur de Piſe.	ORMIINU Gouverneur de Pise.
PALINICE Femme dOOrmin.	PALINICE Femme dOrmin.
LVCINDE Mere d’Orante.	LUCINDE Mère d'Orante.
FLORANGE Gentil-homme Piſan.	FLORANGE Gentilhomme Pisan.
NERINE Demoiſelle d’Orante.	NERINE Demoiselle d'Orante.
monimtiadnelo aIſimandre.	monimtiadnelo aIsimandre.
Cerr(Dore Elcuyer d’Iſimandre.	Cerr (Dore Elcuyer d'Isimandre.
LINDOMAN Valet de Chambre d’Orante.	LINDOMAN Valet de Chambre d'Orante.
LERISTE Page d’Ormin.	LERISTE Page d'Ormin.
ARGAMOR Braue.	ARGAMOR Brave.
GERTIMANT Braue.	GERTIMANT Brave.
L.	L.
SCENE P Las I PREMIERE.	SCÈNE P As I PREMIÈRE.
ROSIMOND, ISIMANDRE.	ROSIMOND, ISIMANDRE.
ROSIMOND.	ROSIMOND.
Algré le vœu diſcret d'vne bouche muetis, Minfin ie vous connou amoureux & Poete;	Algré le vœu discret d'une bouche muétis, Minfin ici vous connou amoureux et Poète;
Non, non, ie vous y prends;	Non, non, Seigneur vous y prends;
que ſert de le celes?	que sert de le cèles?
C’eſt trop en meſme temps, que ſe taire, & braſlez, Voyons dans et ſountt ja on vatmi tomme vn crime, Des regrets meſurez.	C'est trop en même temps, que se taire, et braslez, Voyons dans et sount ja on vatmi tomme un crime, Des regrets mesurez.
& des ſouſpirs en rime.	et des soupirs en rime.
