A MONSIEVR ANGLVRE ONSIEVR	À MONSIEUR ANGLURE ONSIEUR
S’il falloit proportionner les oſfrandes que l’on vous fait à la grandeur de voſtre merite, on nevous en fairoit iamaes, & ie n’auroes pas eu la temerité de vous faire don de ce petit Ouurage:	S'il fallait proportionner les osfrandes que l'on vous fait à la grandeur de votre mérite, on nevous en fairait jamaes, et un n'auroes pas eu la témérité de vous faire don de ce petit Ouvrage:
ſur cette aſſeurance, & dans la connoiſſance que i’ay de voſtre generoſité, & de la beauté de voſtre ame, i’ay – pris la liberté de vous le preſenter;	sur cette assurance, et dans la connaissance que j'ai de votre générosité, et de la beauté de votre âme, j'a pris la liberté de vous le présenter;
Si vous jettez les yeux ſur la hardieſſe que ie prends, conſidereZ auſſi, MONSIEVR, que vous attirez les cœurs de tout le monde par voſtre bel eſprit, par la douceur de voſtre accueil & de voſtre conuerſation, & qu’on ne ſe peut deffendre de vous le témoigner, & de s’honorer de la glorieuſe qualitá,	Si vous jetez les yeux sur la hardiesse que je prends, considérez aussi, MONSIEUR, que vous attirez les cœurs de tout le monde par votre bel esprit, par la douceur de votre accueil et de votre conversation, et qu'on ne se peut défendre de vous le témoigner, et de s'honorer de la glorieuse qualitá,
MONSIEVR,	MONSIEUR,
Voſire tres-humble & tre obeiſſont ſeruiteur, DORIMONT.	Vosire très-humble et tre obéissont serviteur, DORIMONT.
Extraict du Priuilege du Roy.	Extrait du Privilège du Roi.
Ar Grace & Priuilege du Roy, donné à Paris I le 26.	Ar Grâce et Privilège du Roi, donné à Paris I le 26.
Mars 1661.	Mars 1661.
Signé par le Roy en ſon Conſeil DE FAYES, Il eſt permis au Sieur DORIMOND, Comedien dé Mademoiſelle, de faire imprimer les Pieces de Theatres, par luy compoſée, & repreſentées par la Troupe de Mademoiſelle à Paris, par tel Imprimeur & Libraire qu’il voudra, pendant cinq années:	Signé par le Roi en son Conseil DE SAYES, Il est permis au Sieur DORIMOND, Comédien des Mademoiselle, de faire imprimer les Pièces de Théatres, par un composée, et représentées par la Troupe de Mademoiselle à Paris, par tel Imprimeur et Libraire qu'il voudra, pendant cinq années:
& deffenſes ſont faites à tous autres de l’imprimer ny vendre d’autre Edition que celle de l’Expoſant, ou de ceux qui auront droit de luy, à peine de deux mille liures d’amende, de tous deſpens, dommages, & intereſts, comme il eſt porté plus amplement par leſdites Lettres.	et défenses sont faites à tous autres de l'imprimer ni vendre d'autre Édition que celle de l'Exposant, ou de ceux qui auront droit de lui, peine de deux mille livres d'amende, de tous dépens, dommages, et intérêts, comme il est porté plus amplement par lesdites Lettres.
Et ledit ſieur Dorimond a cedé & tranſpor.	Et ledit sieur Dorimond a cédé et transpor.
té ſon Priuilege à Iean Ribou Marchand Libraire à Paris, pour en iouir ſuiuant l’accord fait entreux.	té son Privilège à Jean Ribou Marchand Libraire à Paris, pour en jouir suivant l'accord fait entreux.
ACTEVRS.	ACTEURS.
ISABELLE, femme du Capitan.	ISABELLE, femme du Capitan.
LE CAPITAN.	LE CAPITAN.
TRAPOLIN, Valet du Capitan:	TRAPOLIN, Valet du Capitan:
LEANDRE, Amant d’Iſabelle.	LÉANDRE, Amant d'Isabelle.
LE DOCTEVR, Precepteur de Leandre.	LE DOCTEUR, Précepteur de Léandre.
COLINETE.	COLINETE.
La Seene eſt à Paris.	La Seène est à Paris.
U A N INDVSTRIEVSE.	V A N INDVSTRIEVSE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ISABELLE.	ISABELLE.
Mpatiaut amour, Demon qui me poſſede, Pour le mal que tu faits, n’as-tu point de remede:	Mépatiaut amour, Démon qui me possède, Pour le mal que tu faits, n'as-tu point de remède:
Tu me faits tant de mal, informes-en l’autheur :	Tu me faits tant de mal, informes-en l'auteur :
Va le bleſſer du trait dont tu perces mon cœur;	Va le blesser du trait dont tu perces mon cœur;
Va le bruſler des feux dont ie ſuis conſommée, Si i’aime pour le moins faits que ie ſois aimée;	Va le brûler des feux dont tu suis consommée, Si j'aime pour le moins faits que ie sois aimée;
Celuy pour qui ie ſouffre ignore mon tourment;	Celui pour qui ici souffre ignore mon tourment;
Rends nos ennujs communs, faits qu’il m’aime en l’aimant,	Rends nos ennucs communs, faits qu'il m'aime en l'aimant,
Malgré mes ſurueillans inſpire moy l’adreſſe De luy faire ſçauoir la douleur qui me preſſe:	Malgré mes surveillants inspire moi l'adresse De deux faire sçauoir la douleur qui me presse:
Tu viens à mon ſecours, amour ie le ſens bien;	Tu viens à mon secours, amour Seigneur le sens bien;
Il faut aller trouuer certain homme de bien, Dont il ſuit les conſeils;	Il faut aller trouver certain homme de bien, Dont il suit les conseils;
c’eſt vn vray Pedagogue, Dont la taille crocheuë, & la mine de dogue, Ne donne point d’ombrage aux maris de ces lieux:	c'est un vrai Pédagogue, Dont la taille crochue, et la mine de dogue, Ne donne point d'ombrage aux maris de ces lieux:
Ie luy diray, Monſieur, on me ſuit en tous lieux.	Je lui dirai, Monsieur, on me suit en tous lieux.
Vn ieune homme de qui vous auez la conduite, Parce qu’il eſt bien fai, & qu’il a du merite, S’imagine qu’il a deſia gagné mon cœur:	Un jeune homme de qui vous avez la conduite, Parce qu'il est bien fait, et qu'il a du mérite, S'imagine qu'il a déjà gagné mon cœur:
Reprimez ſa folie, arreſtez ſon ardeur.	Reprimez sa folie, arrêtez son ardeur.
Pour peu que ce ieune homme ait d’eſprit & d’adreſſe, Il viendra droit au but, il verra ma fineſſe, Voila le vray moyen, malgré mes eſpions, De voir l’heureux ſuccez de mes intentions, Quand vne femme veut, le plus ialoux fantaſque Eſt arreſté tout court, court-il comme vn baſque.	Pour peu que ce jeune homme ait d'esprit et d'adresse, Il viendra droit au but, il verra ma finesse, Voilà le vrai moyen, malgré mes épions, De voir l'heureux succès de mes intentions, Quand une femme veut, le plus jaloux fantasque Est arrêté tout court, court-il comme un basque.
SCENE II.	SCÈNE II.
LE CAPITAN, ISABELLE,	LE CAPITAN, ISABELLE,
LE CAPITAN.	LE CAPITAN.
Scartez-vous Blondins, Alcouiſtes, galTYd Champions de l’amour, amoureux indolents, Petit fort ſouſtenu de colomnes d’iuoire, Ie vous garderay bien, & i’auray de la gloire;	Scartés-vous Blondins, Alcouistes, galTYd Champions de l'amour, amoureux indolents, Petit fort soutenu de colomnes d'ivoire, Je vous garderai bien, et j'aurai de la gloire;
Mais la premiere femme a pour vn bien chery, Pour nos mal-heurs trompé le Giel & ſon mary.	Mais la première femme a pour un bien chéri, Pour nos malheurs trompé le Giel et son mari.
Et les filles pourroient bien tenir de la mere, Tout le ſexe eſt fragille, & la femme eſt legere.	Et les filles pourraient bien tenir de la mère, Tout le sexe est fragille, et la femme est légère.
Faiſons donc bonne garde à l’entour de ce fort, Faiſons ronde.	Faisons donc bonne garde à l'entour de ce fort, Faisons ronde.
Qui viue?	Qui vive?
Ah!	Ah!
Coquets, par la mort Qui viuë donc?	Coquets, par la mort Qui vive donc?
ISABELLE.	ISABELLE.
Mary,	Mari,
LE CAPITAN.	LE CAPITAN.
qui va là ?	qui va là ?
ISABELLE.	ISABELLE.
Souſpirs, plainte.	Souspirs, plainte.
Et pour qui?	Et pour qui?
LE CAPITAN.	LE CAPITAN.
ISABELLE.	ISABELLE.
Pour Mary.	Pour Mari.
LE CAPITAN.	LE CAPITAN.
Paſſez-donc & ſans crainte.	Passez-donc et sans crainte.
Si c’eſtoit pour gallands, ils auroient pû r’entrer, Quand vous en auriez dû mille fois ſuffoquer, QU'va là, qui va là	Si c'était pour gallants, ils auraient pu rentrer, Quand vous en auriez dû mille fois suffoquer, QU' va là, qui va là
ISABELLE.	ISABELLE.
La foy de Mariage.	La foi de Mariage.
GAP.	GAP.
Bon cela, ſi c’eſtoit, Monſieur, concubinage, Il pourroit promptement retourner ſur ſes pas, Mais viſicons vn peu tous nos meilleurs Soldats, Ma charge eſt de grand ſoing, & de plus elle eſt telle, Qu'vn mary doit par tout planter la ſentinelle.	Bon cela, si c'était, Monsieur, concubinage, Il pourrait promptement retourner sur ses pas, Mais visicons un peu tous nos meilleurs Soldats, Ma charge est de grand soin, et de plus elle est telle, Qu'un mari doit par tout planter la sentinelle.
Pour le front promptement, venez icy pudeur, Pour les yeux Modeſtie eſt vn garçon de cœur.	Pour le front promptement, venez ici pudeur, Pour les yeux Modestie est un garçon de cœur.
Pour la bouche ie ſçais vn Soldat d’importance Poſe le Corporal, il s’appelle Silence Pour le ſein, il nous faut mettre Sincerité, Sur le cœur il nous faut mettre Fidelité.	Pour la bouche homme sais un Soldat d'importance Pose le Corporal, il s'appelle Silence Pour le sein, il nous faut mettre Sincérité, Sur le cœur il nous faut mettre Fidélité.
Ces endroits là ſont ceux des premieres approches, Auſſi nous y mettrons des Soldats ſans reproche, Pour l’endroit où l’amour ne fut iamais oyſif.	Ces endroits là sont ceux des premières approches, Aussi nous y mettrons des Soldats sans reproche, Pour l'endroit où l'amour ne fut jamais oissif.
Que faire, il nous y faut mettre Generatif.	Que faire, il nous y faut mettre Génératif.
Voila la place en ordre, & i'en laiſſe la garde Au braue Trapolin;	Voilà la place en ordre, et j'en laisse la garde Au brave Trapolin;
mais d’ou vient qu’il retarde!	mais d'ou vient qu'il retarde!
ISABELLE.	ISABELLE.
C’eſt qu’il ſçait que ie ſuis vne femme de bien, Qu’il n’appartiẽt qu’à moy de me garder fort bié.	C'est qu'il sait que tu suis une femme de bien, Qu'il n'appartiêt qu'à moi de me garder fort bié.
SCENE III.	SCÈNE III.
TRAPOLIN, ISABELLE, CAPITAN.	TRAPOLIN, ISABELLE, CAPITAN.
TRAPOLIN.	TRAPOLIN.
Pour bien garder vn fort, il faut choſe certaine, Bien boire & bien manger, & remplir ſa bedeine.	Pour bien garder un fort, il faut chose certaine, Bien boire et bien manger, et remplir sa bedeine.
La mienne l’eſt i’en iure, & i’en ay le hoquet;	La mienne l'est j'en jure, et j'en ai le hoquet;
Mais approchons du fort, vois-je pas vn Coquet?	Mais approchons du fort, vois-je pas un Coquet?
Qui va là.	Qui va là.
CAPITAN.	CAPITAN.
C’eſt mary.	C'est mari.
TRAPOLIN.	TRAPOLIN.
Ie ſuis pire qu’vn Suiſſe, Ie m’eſconnois mon maiſtre en luy rẽdant ſeruice, Morbleu retirez-vous.	Je suis pire qu'un Suisse, Je m'esconnois mon maître en ren rẽdant service, Morbleu retirez-vous.
CAPITAN.	CAPITAN.
Arreſte Trapolin.	Arrête Trapolin.
TRAPOLIN.	TRAPOLIN.
Ie perſeray ta penſe, & feray du boudin.	Je perserai ta pense, et ferai du boudin.
CAPITAN.	CAPITAN.
Quoy, moy qui ſuis mary.	Quoi, moi qui suis mari.
TRAPOLIN.	TRAPOLIN.
Il n’eſt mary qui tienne, Ie gouuerne le fort, que perſonne n’y vienne.	Il n'est mari qui tienne, Je gouverne le fort, que personne n'y vienne.
CAPITAN.	CAPITAN.
Ex-raict de ma valeur, & de mes actions, Toy qui m’as veu dompter cent mille Nations, Ton courage me plaiſt, ie ne ſuis plus en peine, Tu garderas ma femme en braue Capitaine;	Ex-rait de ma valeur, et de mes actions, Toi qui m'as vu dompter cent mille Nations, Ton courage me plaît, plein ne suis plus en peine, Tu garderas ma femme en brave Capitaine;
Ainſi qu’vn gros iambon, couure toy de lauriers, Ie m’en vais mettre au iour d’autres exploict;	Ainsi qu'un gros jambon, couvre toi de lauriers, Je m'en vais mettre au jour d'autres exploit;
guertiers :	guertiers :
Certain petit eſtat nommé Coquetterie, Gouuerne par vn Roy nommé galanterie, Attaque inceſſamment mariage & maris, Et de leur Republique il pourſuit le debris;	Certain petit état nommé Coquetterie, Gouverne par un Roi nommé galanterie, Attaque incessamment mariage et maris, Et de leur République il suit le débris;
N’ayme que le deſordre, & rien que l’inconſtance.	N'aime que le désordre, et rien que l'inconstance.
Et moy, i’en veux aller reprimer l’inſolence, Ie vais premierement dans l’Iſle des Coquets Les vaincre, & mes goujats mangeront leuit pouleis, Puis i’airay maſſacrer tous les peuples de tendre, De leurs cœurs amoureux ietter au vent la cendic?	Et moi, j'en veux aller réprimer l'insolence, Je vais premièrement dans l'Île des Coquets Les vaincre, et mes goujats mangeront leuit poule, Puis j'airai massacrer tous les peuples de tendre, De leurs cœurs amoureux jeter au vent la cendic?
Villages, Villes, Bourgs, Bourgades & Chaſteaux, De chanſons, billets, doux Stances & Madrigaux, Ils en feront carnage, ou le diable m’emporte.	Villages, Villes, Bourgs, Bourgades et Châteaux, De chansons, billets, doux Stances et Madrigaux, Ils en feront carnage, ou le diable m'emporte.
Les ſoûpirs, les ſanglots, les plaintes à leur tour, Par mes ordres verront auorter l’art d’amour Doux regard pourroit bien en prendre la deffence.	Les soupirs, les sanglots, les plaintes à leur tour, Par mes ordres verront auorter l'art d'amour Doux regard pourrait bien en prendre la défense.
Suiuy d’inquietude & de perſeuerence;	Sui vinquiétude et de perseuérence;
Mais ie veux que Soupçon leur coupe le chemin :	Mais ici veux que Soupçon leur coupe le chemin :
C’eſt vn Chef admirable, il eſt homme de main.	C'est un Chef admirable, il est homme de main.
Proteſtations, Soins, feu declaré, Viſite.	Protestations, Soins, feu déclaré, Visite.
Larmes, Vers amoureux, Entrepriſe, Conduite, Ces pays-là ſeront mis à feu comme à ſang Sans que l’on ait eſgard à merite ny rang:	Larmes, Vers amoureux, Entreprise, Conduite, Ces pays-là seront mis à feu comme à sang Sans que l'on ait égard à mérite seulement rang:
Enfin, ie reuiendray vainqueur & plein de vie, Du Royaume orgueilleux de la Coquetterie.	Enfin, Seigneur reviendrai vainqueur et plein de vie, Du Royaume orgueilleux de la Coquetterie.
Ie veux que les maris me doiuent leur bon-heur, M’eſleuent vn trophée en ſuperbe Vainqueur:	Je veux que les maris me doivent leur bonheur, M'esleuent un trophée en superbe Vainqueur:
Le mariage enfin eſt vne Republique, lo uurel maigretout Lariſtocratique, L’empire des Coquets eſt trop grand.	Le mariage enfin est une République, lo uurel maigretout Laristocratique, L'empire des Coquets est trop grand.
Par ma foy Ie veux que leur debris ne ſe doiue qu’à moy.	Par ma foi Je veux que leur débris ne se doive qu'à moi.
TRAPOLIN.	TRAPOLIN.
Les maris vous deuront leur nouuelle diſgrace;	Les maris vous devront leur nouvelle disgrâce;
Les jaloux ont touſiours du pire quoy qu’on faſſe;	Les jaloux ont toujours du pire quoi qu'on fasse;
Mais, Monſieur, dans combien ſerez-vous de retour?	Mais, Monsieur, dans combien serez-vous de retour?
CAPITAN.	CAPITAN.
Pour ces exploits ie veux le demy-quart d’vn iour.	Pour ces exploits ici veux le demi-quart d'un jour.
A Dieu.	À Dieu.
ISABELLE.	ISABELLE.
Faites, Amour, le ſuccez de ma flâme, S’ils captiuẽt mon corps, ils n’ont riẽ ſur moname, Et mon aimable Amant ſous voſtre authorité, Peut tout ſeul ſe venter de ma captiuité.	Faites, Amour, le succès de ma flamme, S'ils captivent mon corps, ils n'ont riẽ sur moname, Et mon aimable Amant sous peine autorité, Peut tout seul se venter de ma captivité.
SCENE IV.	SCÈNE IV.
LE DOCTEVR, LEANDRE.	LE DOCTEUR, LÉANDRE.
LE DOCTEVR.	LE DOCTEUR.
Voy, tous mes documens, & toute ma do2 arine, Ne pourront reprimer voſtre humeur libertine, De la Philoſophie auez-vous le dégouſt;	Vois, tous mes documents, et toute ma do2 arine, Ne pourront réprimer votre humeur libertine, De la Philosophie avez-vous le dégoût;
Auec moy voulez-vous pouſſer Socrate à bout, Et le diuin Platon ſe plaint de vous encore, Ferez-vous plus long-temps enrager Pitagore?	Avec moi voulez-vous pousser Socrate à bout, Et le divin Platon se plaint de vous encore, Ferez-vous plus longtemps enrager Pitagore?
Zenon ſe plaindra-t’il inceſſamment de vous;	Zenon se plaindra-t-il incessamment de vous;
Mettrez-vous Demoſtene en vn plus grand couroux?	Mettrez-vous Demostène en un plus grand courroux?
Et profitant ſi peu de leurs doctes merueilles, Voulez-vous que Bias vous coupe les oreilles?	Et profitant si peu de leurs doctes merveilles, Voulez-vous que Bias vous coupe les oreilles?
LEANDRE.	LÉANDRE.
Pour viure en honneſte homme.	Pour vivre en honnête homme.
LE DOCTEVR.	LE DOCTEUR.
Et ſuiuant mon ſouhait Veux-tu que Ciceron te donne icy le foüet?	Et suivant mon souhait Veux-tu que Cicéron te donne ici le foncet?
Ou que voyant ta teſte, vne teſte de mulle, Cet Orateur du moins te donne vne ferulle,	Ou que voyant ta tête, une tête de mulle, Cet Orateur du moins te donne une ferlle,
LEANDRE.	LÉANDRE.
Il faut eſtre galland,	Il faut être gallant,
LE DOCTEVR.	LE DOCTEUR.
Et que Sinecius, D’vn coup de poing te mette au chemin des vertus;	Et que Sinecius, D'une coup de poing te mette au chemin des vertus;
Veux-tu qu’Anaximandre en de doctes manieres Te vienne icy donner mille coups d’eſtriuieres.	Veux-tu qu'Anaximandre en de doctes manières Te vienne ici donner mille coups d'étrivières.
LEANDRE.	LÉANDRE.
Les Pedans ſont raillez.	Les Pédants sont raillez.
LE DOCTEVR.	LE DOCTEUR.
Veux-tu que les Mauraux Te donnent mille coups, te mettent en morceaux;	Veux-tu que les Mauraux Te donnent mille coups, te mettent en morceaux;
Que Seneque t’aplique auec vne Sentence raioumet qui t'aprenne à quitter l’inſolence.	Que Sénèque t'applique avec une Sentence raimet qui t'apprenne à quitter l'insolence.
LEANDRE.	LÉANDRE.
