A VIIIDIIRTE LA ROCVREVSE GENERALE.	À VIIIDIIRTE LA ROCUREUSE GÉNÉRALE.
n’auoit eſté pleinement iuſtifiée, ie me ſerois bien gardé de vous demander pour elle l’honneur de voſtre protection, quoy qu’elle en ait beſoin dans vn fiecle où ie voy ſi peu d’indulgence & de iuſtice.	n'avait été pleinement justifiée, je me serais bien gardé de vous demander pour elle l'honneur de votre protection, quoi qu'elle en ait besoin dans un siècle où je vois si peu d'indulgence et de justice.
Ie connois trop la delicateſſe de voſtre vertu, qui auroit eu lieu de ſe tenir offenſée, ſi i'auois ſouffert que cette belle Reyne vous euſt abordée auec vn ſoupçon de crime qui euſt dure plus d’vn iour;	Je connais trop la délicatesse de votre vertu, qui aurait eu lieu de se tenir offensée, si j'avais souffert que cette belle Reine vous eût abordée avec un soupçon de crime qui eût dure plus d'un jour;
mais comme elle a confondu ſes premiers accuſateurs, & que nous auons eu pitie du repentir & de la foibleſſe des autres qui l’ont attaquée, ie ſuis bien aſſeüre pour peu qu’il vous plaiſe la regarder d’vn œil fauorable, qu'elle n'aura pas plus de perne u triompner apré.	mais comme elle a confondu ses premiers accusateurs, et que nous avons eu pitié du repentir et de la faiblesse des autres qui l'ont attaquée, je suis bien asseüre pour peu qu'il vous plaise la regarder d'un œil favorable, qu'elle n'aura pas plus de perne u triompner après.
EPTSTRE, ſa mort, qu'elle a fait durant ſa vie de ceux qui l’ont voulu perdre:	EPTTRE, sa mort, qu'elle a fait durant sa vie de ceux qui l'ont voulu perdre:
C’eſt ſur cette confiance, MADAME, que i’oſe prendre la liberté de vous la dedier, afin que ſa vertu qui a eu le malheur de tomber dans vn injuſte ſoupçon, en ſoit d’oreſnauant garentie par l’approbation de la voſtre, qui n’a iamais ſouffert aucune atteinte.	C'est sur cette confiance, MADAME, que j'ose prendre la liberté de vous la dédier, afin que sa vertu qui a eu le malheur de tomber dans un injuste soupçon, en soit d'oresnavant garentie par l'approbation de la vôtre, qui n'a jamais souffert aucune atteinte.
Depuis ſoixante ans qu'il y a que ie ſuis au monde, ſi ie n’ay veu deſchirer la reputation des plus parfaites de voſtre ſexe, i'ay veu du moins ſoupçonner toutes celles qui ont receu des auantages de la nature, quoy qu’ils fuſſent infiniment au deſſous des voſtres.	Depuis soixante ans qu'il y a que sans suis au monde, si tu n'ai vu déchirer la réputation des plus parfaites de votre sexe, j'ai vu du moins soupçonner toutes celles qui ont reçu des avantages de la nature, quoi qu'ils fussent infiniment au dessous des vôtres.
Ce n'eſt point vne malignité qui ſoit née de la corruã ii ption de ce ſiecle:	Ce n'est point une malignité qui soit née de la corruant ji ption de ce siècle:
elle a eſté de tous les ſiecles, & de toutes les nations;	elle a été de tous les siècles, et de toutes les nations;
on a par tout & de tout temps fait injuſtice à voſtre beau ſexe, & on s'eſt touſiours imaginé que la ſageſſe eſtoit comme incompatible auec la beauté.	on a par tout et de tout temps fait injustice à votre beau sexe, et on s'est toujours imaginé que la sagesse était comme incompatible avec la beauté.
Ie ne voy preſque aujourd’huy que la voſtre ſeule, MADAME, qui ſoit generalement reſpectée de toutes les langues & de toutes les plumes, & qui ſe ſoit eſleuée à ce haut point d’eſtime où nous la voyons du commun conſentement de la renommée.	Je ne vois presque aujourd'hui que la vôtre seule, MADAME, qui soit généralement respectée de toutes les langues et de toutes les plumes, et qui se soit élevée à ce haut point d'estime où nous la voyons du commun consentement de la renommée.
Ma Theodore eſt donc en ſeureté ſous voſtre nom.	Ma Théodore est donc en sûreté sous votre nom.
Mais apres auoir pourueu à la deſenſe de mon Heroïne & de mon ouurage:	Mais après avoir pourvu à la désense de mon Héroïne et de mon ouvrage:
