ADONIS TRAGEDIE FRANCOYSE DE GABRIEL LE BRETON Niuernois, Seigneur de la Fon.	ADONIS TRAGÉDIE FRANÇOISE DE GABRIEL LE BRETON Nivernais, Seigneur de la Fon.
Reueu & corrigé de nouueau par le meſme Autheur.	Reût et corrigé de nouveau par le même Auteur.
TRES-HAVTE ET TRES-EXCELLENTE DAME MADAME DE!	TRÈS-HAUTE ET TRÈS-EXCELLENTE DAME MADAME DE!
Sainct Phale, Ducheſſe de Bempitan, et.	Saint Phale, Duchesse de Bempitan, et.
2	2
ADAME, ayant ya ſingulier deſir de faire cognoiſtre à * noſtre France, combien i’hot nore vos vertus & graces diuines, i’ay longuement douſi ie deuoy faire cetort à voſtre excelnce, à ceſt autheur, & à moy-meſme de aulguer ce liuret ſous l’emprunt du beau ſie de voſtre nom glorieux:	ADAME, ayant ya singulier désir de faire connaître à * nôtre France, combien j'hot nore vos vertus et grâces divines, j'ai longuement douy ainsi devoi faire cetort à votre excelnce, à cet auteur, et à moi-même de aulguer ce livret sous l'emprunt du beau sième de votre nom glorieux:
à voſtre ex lleuce pour ne vous diſtraire de vos grai & vertueuſes occupations à ce Poë eleel bien qu’il ſoit conſumé de 1ouë lincts en toutes bonnes lettres, & qu’il Iemporté pluſieurs verdes couronne de iler pour le prix par luy merité ſur le Dle Theatre françois, ſi n’a-il iamais voueſtie mis au nombre de ceux qui ſe hut ẽt cquerit bruit par l’impreſſion, & a moy, ne puis ſans rougir prendre à intereſt au ded’vn mienamy ce lequoy peureſt- ce dequoy peut eſtre ie fineroy bien d moy, ſi prenoy la peine de chercher, confermant en cecy à l’vne des loir Platon, qui deffend de puiſer au puin ſon voiſin, que premierement on t creuſé en terre iuſques à l’argille.	à votre ex luce pour ne vous distraire de vos gray et vertueuses occupations à ce Poè eleel bien qu'il soit consumé de 1oue lincts en toutes bonnes lettres, et qu'il Jemporté plusieurs verdes couronne de iler pour le prix par mieux mérité sur le Dègle Théâtre français, si n'a-il jamais vouestie mis au nombre de ceux qui se hut endre cquerit bruit par l'impression, et à moi, ne puis sans rougir prendre à intérêt au de dire ce lequoy à- ce dequoy peut m ie fineroy mien moy, si nô lapeine de chercher, aimoi peut -à vne des loir Platon, qui défend de puiser au puin son voisin, si prenait en ceci au n' une des largille'
A m’euſt-il eſté mieux ſeant & honteſte foüiller en mon cabinet, & y recheu entre mes inuentions, celles qui ſe gal enla poudre il y a pres de neuf ans, n me deffiant bien que ie n’y euſſe rien ni ué qui peut approcher à la grace & ba naifue d’vn ADONIS qui fut le ches gnon du ſeu ROy CHARLES dhem memoire, ie l’ay choiſi pour vous en hi preſent, l’eſtimant quaſi comme vne d mienne, tant pource qu’entre amis, con londit, tous biens doiuent eſtre çomm qu’auſſi que le Sieur le Breton s’en al me l’a laiſſé comme en depoſt, auec p pouuoir d’enfaire & diſpoſer à ma vot té.	À m'eut-il été mieux séant et honteste foüiller en mon cabinet, et y rechevu entre mes inventions, celles qui se gal enla poudre il y a pres de neuf ans, n me défiant bien que je n'y eusse rien ni usse qui peut approcher à la grâce et ba naïve d'un ADONIS qui fut le chez gnon du ROi CHARLES d' mémoire, je l'ai choisi pour vous en hi present, l'estimant quasi comme une d mienne, tant pource qu' amis, con londit, tous biens doivent être çomm baussi que leSieur le Do yuen en me la laissé le en Bo, ale ur lenfaire et disposer ma .
Et m’aſſeure qu’il m’en ſçaura fonl gré, & en ſera incité de vous donner ea re ſa Tullie, ſa Charite, ſa Didon, ſa De thee, & le reſte de ſes belles Poëſies, tient cachees au grand regret de tous bons eſprits:	Et m'assure qu'il m'en saura fonl gré, et en sera incité de vous donner ea re sa Tullie, sa Charite, sa Didon, sa De thé, et le reste de ses belles Poësies, tient cachées au grand regret de tous bons esprits:
Et d’autant Madame, q' voy, qu’en ceſte grandeur honorable, ſages, belles, & vertueuſes de touté la P ce, vous ne deſdaignez-pas les humi Muſes pour douces & agreables con gnes:	Et d'autant Madame, q vois, qu'en cette grandeur honorable, sages, belles, et vertueuses de touté la P ce, vous ne dédaignez-pas les humi Uses pour douces et agréables con nés:
i’eſpere qu’à mon humble priere ne refuſerez d’authoriſer ce labeur, & pourle voir d’vn bon œil vous luy di	j'espère qu'à mon humble prière ne refuserez d'autoriser ce labeur, et pourle voir d'un bon œil vous lui di
