A MADAME DE BONNELLE.	À MADAME DE BONELLE.
ADAME,	ADAME,
It y a quelques années que ie ſuisen doute, ſi ie dois prendre la liberté de vous dédier vne de mes Traductions:	It y a quelques années que je suisen doute, si ici dois prendre la liberté de vous dédier une de mes Traductions:
Cette pensée, ou pluſtoſt la paſſion que i’en ay bu, a eſté iuſques icy puiſſamment combatuë par le respect que ie dois à voſtre Naiſſance & à voſtre Perſonne;	Cette pensée, ou plutôt la passion que j'en ai bu, a été jusques ici puissamment combattue par le respect que sans dois à votre Naissance et à votre Personne;
& i’ay touſiours trouué de la vanité & de l’inſolence à fairevoir à l’ouuerture de quelqu’vn de mes ouurages vn Nom illuſtre comme le voſtre, & qui eſt en veneration à toute l’Europe.	et j'ai toujours trouvé de la vanité et de l'insolence à fairevoir à l'ouverture de quelqu'H de mes ouvrages un Nom illustre comme le vôtre, et qui est en vénération à toute l'Europe.
D’autre coſté, MADAME, les preſſantes obligations que i’ay à vos bontez ſont venues en foule pour deſtruire ma timidité, & apres tout m’ont perſuadé que vous agréeriez l'hommage d’vne perſonne à qui vous n’auez pas refusé vne protection genereuſe & effectiue.	D'autre côté, MADAME, les pressantes obligations que j'ai à vos bontés sont venues en foule pour détruire ma timidité, et après tout m'ont persuadé que vous agréeriez l'hommage d'une personne à qui vous n'avez pas refusé une protection généreux et effectiue.
Celui-cy que ie vous preſente n’eſt pas du caractere & de la beauté que ie ſouhaiterous:	Celui-cy que ie vous présente n'est pas du caractère et de la beauté que toujours souhaiterous:
Et en effet, MADAME, à moins de vous offrir quelques ſorts & genereux ſentimens de Morale, de Politique, ou de Cabinet, puis-je eſperer que vous y daigniez ietter les yeux, & qu’vn Comique de l’Antiquité puiſſe les diuertir, & ſatisfaire en quelque ſacon vn Eſprit vaſte & éclairé comme le voſtre.	Et en effet, MADAME, à moins de vous offrir quelques sorts et généreux sentiments de Morale, de Politique, ou de Cabinet, puis-je espérer que vous y daigniez jeter les yeux, et qu'un Comique de l'Antiquité puisse les divertir, et satisfaire en quelque sacon un Esprit vaste et éclairé comme le vôtre.
En verité, MADAME, tout ce que la Fable & l’Hiſtoire nous ont appris de merueilleux des plus excellentes Perſonnes de voſtre beau Sexe, n’eſt que	En vérité, MADAME, tout ce que la Fable et l'Histoire nous ont appris de merveilleux des plus excellentes Personnes de votre beau Sexe, n'est que
Combre ou le foible crayon de vos vertus & de vor umieres;	Combre ou le faible crayon de vos vertus et de vor umières;
& ſi elles nous les ont repreſentées vailantes & courageuſes dans les Batailles, de combien la fermeté de voſtre Ame a-l’elle paru au deſſus de tes effets, lors que vous l’auez ſi glopieuſemeut témoignée en des occaſions de remarque & d’vtilité pour Ie bien du Royaume?	et si elles nous les ont représentées vailantes et courageuses dans les Batailles, de combien la fermeté de votre Âme a-l'elle paru au dessus de tes effets, lors que vous l'avez si glopieusemut témoignée en des occasions de remarque et d'vtilité pour Je bien du Royaume?
De ſorte que ſi nous en voulons faire le paralele auec Vous, nous ſerons obligez de dire que tout l’auantage dont l’on les a releuées, leur eſt commun auec les brutaux & les baibares, & que le voſtre eſt celuy que l’on a admiré dans la conduite & l'esprit des Philoſophes.	De sorte que si nous en voulons faire le parale avec Vous, nous serons obligez de dire que tout l'avantage dont l'on les a relevées, leur est communeste les bruts et les baibares, et que le vôtre est celui que l'on a admiré dans la conduite et l'esprit des Philosophes.
