M.	M.
DC.	DC.
LXIV.	LXIV.
Auec Priuilege du Roy.	Avec Privilège du Roi.
AV LECTEVR.	AU LECTEUR.
E ſera ſi tu veux, moutarde apres diſner, en ffet, c’est parler, ce ſemole, d’vne choſe lors que l’on n'en dit plus mot, & ſelon le Prouerbe, reueiller le chat qui dort:	E sera si tu veux, moutarde après dîner, en set, c'est parler, ce semole, d'une chose lors que l'on n'en dit plus mot, et selon le Proverbe, réveiller le chat qui dort:
Mais il y a plus de trois mois, que ceux qui te debitent ce Paneg yrique, l’ont entre leurs mains.	Mais il y a plus de trois mois, que ceux qui te débitent ce Panég yrique, l'ont entre leurs mains.
Neantmoins ce ne ſera pas le dernier Ouurage ſur le meſme ſuiet;	Néanmoins ce ne sera pas le dernier Ouvrage sur le même sujet;
puis qu’il en paroiſt vn depuis quelques iours, ſur le Theatre de la ſeule Troupe Royale, qui fait beau bruit, & duquel on a ajouſté quelque choſe en celuy-cy.	puis qu'il en paraît un depuis quelques jours, sur le Théâtre de la seule Troupe Royale, qui fait beau bruit, et duquel on a jouté quelque chose en celui-cy.
Les Libraires qui ſont les grands Parrains de ces ſortes de Pieces, luy ont donné le nom qu’il leur a plû.	Les Libraires qui sont les grands Parrains de ces sortes de Pièces, il ont donné le nom qu'il leur a plu.
Comme l’on ne s’y eſt point opposé, on te permet auſsi de le debaptiſer, & de luy en donner iel autre que tu jugeras luy eſtre plus propre:	Comme l'on ne s'y est point opposé, on te permet aussi de le débaptiser, et de jours en donner autre que tu jugeras lui était plus propre:
l’Enfant ne s’en portera ny pis ny mieux.	L'Enfant ne s'en portera ni pis ni mieux.
Mais on t'aduertit que ce n’eſt pas vne Conuerſationimaginaire:	Mais on t'avertit que ce n'est pas une Conversationimaginaire:
& que ç’a eſté le veritable entretiende deux Amans, auec leurs Maitreſſes:	et que ç'a été le véritable entretiende deux Amants, avec leurs Maitresses:
qui deſirans ſçauoir ſi leurs futurs Epous n’eſtoient point infectez des Maximes de l’Ecole des Maris, & de celle des Femmes, ſi deſauantageuſes au Sexe, les mirent adroitement ſur ces beaux Chapitres.	qui désirants savoir si leurs futurs Épous n'étaient point infectez des Maximes de l'École des Maris, et de celle des Femmes, si désavantageuses au Sexe, les mirent adroitement sur ces beaux Chapitres.
Autrement, il y auroit peu d’apparente qu’on euſt voulu s’attacher expreſſement, à l'examen de quelques Farces, comme à des Poëmes plus acheuez que defectiïeux, & dont l’on ne remarque les petits defauts, qu’auec regret d’en voir à ces Chefs-d’Oeuure de la Poëſie;	Autrement, il y aurait peu d'apparente qu'on eût voulu s'attacher expressément, à l'examen de quelques Farces, comme à des Poèmes plus achevez que defectiïeux, et dont l'on ne remarque les petits défauts, qu'avec regrets d'en voir à ces Chefs-d'Oeuure de la Poésie;
en la meſme façon que regardant vne Femme qui eſt belle, mais qui a quelque choſe d’irregulier, l’on dit que c’eſt dommage, pource que ſans cela, ce ſeroit vne Beauté acheuée, au lieu qu’on ne fait aucune reflection ſur vne autre que la Nature ſemble auoir fabriquée pour ſe mocquer ellemeſme, de ſon Ouurage.	en la même façon que regardant une Femme qui est belle, mais qui a quelque chose d'irrégulier, l'on dit que c'est dommage, pource que sans cela, ce serait une Beauté achevée, au lieu qu'on ne fait aucune réflection sur une autre que la Nature semble avoir fabriquée pour se moquer ellemesme, de son Ouvrage.
On ajoûte à cét Avis, que celuy qui a écrit cette Conuerſation de laquelle il étoit, a jugé qu’elle plairoit d’auantage ſoüs la forme qu’il luy à donnée, que dans vne narration de plein pied, qui n’auroit pù auoir les meſmes graces.	On ajoute à cet Avis, que celui qui a écrit cette Conversation de laquelle il était, a jugé qu'elle plaierait davantage saints la forme qu'il lui a donnée, que dans une narration de plein pied, qui n'aurait pù avoir les mêmes grâces.
Au reſte, de quelque opinion & de quelque gouſt que tu ſois, tu y trouueras quelqu’vn de ton party:	Au reste, de quelque opinion et de quelque goût que tu sois, tu y trouveras quelqu'un de ton parti:
