LES ACTEVRS.	LES ACTEURS.
LELIE, Seruiteur d’Aurelie.	LELIE, Serviteur d'Aurelie.
ERASTE, Seruiteur d’Exone.	ERASTE, Serviteur d'Exone.
ANSELME, Pete de Lelie.	ANSELME, Pète de Lélie.
ERGASIE, valet de Lelie,	ÉRGASIE, valet de Lélie,
ORGYE, oncle d’Eroxene.	ORGIE, oncle d'Éroxène.
AVRELIE.	AURÉLIE.
EROXENE.	EROXENE.
CONSTANCE, mere d’Aurelie.	CONSTANCE, mère d'Aurelie.
LYDIE, ſeruante d’Orgye.	LYDIE, servante d'Orgye.
LA I S 2 DEVR GENEREVSE.	LA I S 2 DEUR GÉNÉREUSE.
COMEDIE.	COMÉDIE.
P T e I SCENE PREMIERE.	 PE I SCÈNE PREMIÈRE.
LELIE, ERGASTE,	LELIE, ERGASTE,
LELIE.	LELIE.
Fatale nouuelle, & qui me deſeſpere!	Fatale nouvelle, et qui me désespère!
Mon oncle te la dit?	Mon oncle te la dit?
& le tient de mon pere.	et le tient de mon père.
ou.	ou.
ERGASTE.	ÉRGASTE.
LELIE.	LELIE.
Que pour Eroxene, il destine ma foy, Qu’il doit abſolument m’impoſer œtte loy, Qu’il promet Aurelie aux vœux de Polydore.	Que pour Eroxène, il destine ma foi, Qu'il doit absolument m'imposer œtte loi, Qu'il promet Aurelie aux vœux de Polydore.
ERGASTE.	ÉRGASTE.
Ie vous l’ay deſia dit, & vous le dis encore.	Je vous l'ai déjà dit, et vous le dis encore.
LELIE.	LELIE.
Et qu’exigeant de nous ce funeste deuoir, Il nous veut obliger d'eſpouſer des ce ſoir.	Et qu'exigeant de nous ce funeste devoir, Il nous veut obliger d'épouser des ce soir.
Des ce ſoir;	Des ce soir;
ERGASTE.	ÉRGASTE.
LELIE.	LELIE.
Et tu crois qu’il te parloit ſans feints	Et tu crois qu'il te parlait sans feints
Sans feinte.	Sans feinte.
ERGASTE.	ÉRGASTE.
LELIE.	LELIE.
Ha!	Ha!
f d’amour tu reſſentois l’atteinte, Tu plaindrois moins ces mots qui te couſtẽt ſi cherEt qu'auec tant de peine il te faut arracher?	fût d'amour tu ressentais l'atteinte, Tu plaindrais moins ces mots qui te coûtent si cherEt qu'avec tant de peine il te faut arracher?
Et cette auare Echo, qui reſpond par ta bouche, Seroit plus indulgente à l’ennuy qui me touche.	Et cette avare Écho, qui répond par ta bouche, Serait plus indulgente à l'ennui qui me touche.
