OURDAIN.	OÙRDAIN.
PIERROT.	PIERROT.
CHHARLOTE.	CHARLOTE.
GUSMAN.	GUSMAN.
D.	D.
JOUAN.	JOUAN.
LE JUGE.	LE JUGE.
M.	M.
D IMANCHE.	D JMANCHÉ.
ACTE I.	ACTE I.
DEHNEI.	DEHNEI.
JOURDAIN, LIGNON.	JOURDAIN, LIGNON.
LIGNON.	LIGNON.
Amour, que tu agites mon eſprit de diverſes inquiétudes!	Amour, que tu agites mon esprit de diverses inquiétudes!
URDAIN.	URDAIN.
Charlote, Belle Charlote,	Charlote, Belle Charlote,
LIGNON, Pourquoy, cruel Amour.	LIGNON, Pourquoi, cruel Amour.
URDAIN.	URDAIN.
Si l’ardeur de la flâme.	Si l'ardeur de la flamme.
LIGNON.	LIGNON.
Faut-il que tũ mettes la joye.	Faut-il que tomb mettes la joie.
URDAIN Que tes beaux yeux par leurs lumieres.	OÙRDAIN Que tes beaux yeux par leurs lumières.
IGNON.	IGNON.
A tourmenter les cœurs.	À tourmenter les cœurs.
OURDAIN.	OÙRDAIN.
PIERROT.	PIERROT.
CHHARLOTE.	CHARLOTE.
SUSMAN.	ZUSMAN.
LE JUGE.	LE JUGE.
D.	D.
JOUAN.	JOUAN.
M.	M.
D IMANCHE.	D JMANCHÉ.
LES FRAGMENS DE MOLIERE.	LES FRAGMENS DE MOLIÈRE.
ACTE I.	ACTE I.
SCENE I.	SCÈNE I.
JOURDAIN, LIGNON.	JOURDAIN, LIGNON.
LIGNON.	LIGNON.
Amour, que tu agites mon eſprit de diverſes inquiétudes!	Amour, que tu agites mon esprit de diverses inquiétudes!
URDAIN.	URDAIN.
Charlote, Belle Charlote,	Charlote, Belle Charlote,
LIGNON.	LIGNON.
Pourquoy, cruel Amour.	Pourquoi, cruel Amour.
URDAIN.	URDAIN.
Si l’ardeur de la flâme.	Si l'ardeur de la flamme.
LIGNON.	LIGNON.
Faut-il que tu mettes la joye.	Faut-il que tu mettes la joie.
SURDAIN.	SURDAIN.
Que tes beaux yeux par leurs lumieres.	Que tes beaux yeux par leurs lumières.
IGNON.	IGNON.
A tourmenter les cœurs.	À tourmenter les cœurs.
A 2	A 2
URDAIN.	URDAIN.
Ont jetté dans moname.	Ont jeté dans moname.
LIGNON.	LIGNON.
Que tu ſoûmets à ton empire.	Que tu soumets à ton empire.
URDAIN.	URDAIN.
Peut eſtre aſſez heureuſe.	Peut être assez heureuse.
Si.	Si.
LIGNON.	LIGNON.
Tour.	Tour.
TOURDAIN.	TOURDAIN.
LIGNON.	LIGNON.
Si tu veux montrer ton pouvoir.	Si tu veux montrer ton pouvoir.
,	,
DURDATN.	DURDATN.
Pour obtenir de tes bontez.	Pour obtenir de tes bontés.
LIGNON.	LIGNON.
En nous forçant d’aimer.	En nous forçant d'aimer.
OURDAIN.	OÙRDAIN.
Le bonheur où j’aſpire.	Le bonheur où j'aspire.
LIGNON.	LIGNON.
Pourquoy ne fais-tu pas.	Pourquoi ne fais-tu pas.
DURDAIN.	DURDAIN.
Les plus heureuſes deſtinées.	Les plus heureuses destinées.
LIGNON.	LIGNON.
Qu’on aime avec plaiſir.	Qu'on aime avec plaisir.
DURDAIN.	DURDAIN.
N’égaleront point ma fortune.	N'égaleront point ma fortune.
LIGNON.	LIGNON.
Et par quelle.	Et par quelle.
OURDAIN.	OÙRDAIN.
Mais ſi toute.	Mais si toute.
LIGNON.	LIGNON.
Et par quelle raiſon dy-moy.	Et par quelle raison dis-moi.
JOUR.	JOUR.
OURDAIN.	OÙRDAIN.
Mais ſi toute mon ardeur.	Mais si toute mon ardeur.
LIGNON.	LIGNON.
Veux-tu que tes moindres plaiſirs.	Veux-tu que tes moindres plaisirs.
OVRDAIN.	OURDAIN.
Tous mes ſoins & tous mes reſpects.	Tous mes soins et tous mes respects.
LIGNON.	LIGNON.
Soient achetez de tant peines.	Soient achetés de tant peines.
OURDAIN.	OÙRDAIN.
Ne peuvent te fléchir.	Ne peuvent te fléchir.
LIGNON.	LIGNON.
Que les douc.	Que les douc.
OURDAIN.	OÙRDAIN.
Oſte-toy de là, ne vois-tu pas bien que tu m’interromps e	Oste-toi de là, ne vois-tu pas bien que tu m'interromps e
LIGNON.	LIGNON.
Je voy que tu m’interromps de meſme.	Je vois que tu m'interromps de même.
JOURDAIN.	JOURDAIN.
Ouy;	Oui;
mais je ſuis un Amant qui ay beſoin de cette place pour ſoûpirer.	mais je suis un Amant qui ai besoin de cette place pour soupirer.
LIGNON.	LIGNON.
Je ſuis auſſi un Amant qui ay affaire de ce lieu-cy pour reſver à mon amour.	Je suis aussi un Amant qui ai affaire de ce lieu-cy pour rêver à mon amour.
JOURDAIN.	JOURDAIN.
Vous eſtes Amant?	Vous êtes Amant?
Oüy?	Oui?
LIGNON.	LIGNON.
IOURDAIN.	JOURDAIN.
Peut-on vous demander, Paſteur, qui eſt la Bergere que vous aimez?	Peut-on vous demander, Pasteur, qui est la Bergère que vous aimez?
LIGNON.	LIGNON.
Helas!	Hélas!
Paſteur, la Perſonne la plus aimable qui ſoit en ce Pais.	Pasteur, la Personne la plus aimable qui soit en ce Pais.
JOUR	JOUR
GURDAIN.	GURDAIN.
Vous l’appellez?	Vous l'appelez?
LIGNON.	LIGNON.
La Nimphe Charlote.	La Nymphe Charlote.
Eh?	Eh?
IOURDAIN.	JOURDAIN.
Comment?	Comment?
LIGNON.	LIGNON.
JOURDAIN.	JOURDAIN.
Vous vous moquez.	Vous vous moquez.
Moy!	Moi!
LIGNON.	LIGNON.
Ouy.	Oui.
IOURDAIN.	JOURDAIN.
LIGNON.	LIGNON.
Pluſt au Ciel que je me moquaſſe, & que cela ne fuſt point vray!	Plût au Ciel que je me moquasse, et que cela ne fût point vrai!
IOURDAIN.	JOURDAIN.
Vous aimez la Nymphe Charlote, Fille du Notaire du Village?	Vous aimez la Nymphe Charlote, Fille du Notaire du Village?
LIGNON.	LIGNON.
Fille du Juge du Village.	Fille du Juge du Village.
IOURDAIN.	JOURDAIN.
Promiſe au Marinier Pierrot?	Promise au Marinier Pierrot?
LIGNON.	LIGNON.
Au Marinier Pierrot.	Au Marinier Pierrot.
Ah!	Ah!
IOURDAIN.	JOURDAIN.
Quoy?	Quoi?
LIGNON.	LIGNON.
IOURDAIN.	JOURDAIN.
Je l’aime auſſi.	Je l'aime aussi.
LIGNON.	LIGNON.
Vous l’aimez auſſi, Paſteur?	Vous l'aimez aussi, Pasteur?
IOURDAIN.	JOURDAIN.
Ouy, Paſteur;	Oui, Pasteur;
mais puis-je ſçavoir le nom de mon Kival ?	mais puis-je savoir le nom de mon Kival ?
LIGNON.	LIGNON.
pmppenenignon,	pmppenenignon,
IOURDAIN.	JOURDAIN.
Et moy, Paſteur, je m’appelle Jourdain.	Et moi, Pasteur, je m'appelle Jourdain'
LIGNON.	LIGNON.
Helas!	Hélas!
faut-il que deux Fleuves ſoient réduits à ſe couper la gorge enſemble?	faut-il que deux Fleuves soient réduits à se couper la gorge ensemble?
IOURBAIN.	JOURBAIN.
Et pourquoy cela?	Et pourquoi cela?
LIGNON.	LIGNON.
Pour voir qui de nous deux demeurera ſon Amant,	Pour voir qui de nous deux demeurera son Amant,
IOURDAIN.	JOURDAIN.
Il ya des Remedes plus humains que cela, ſi nous voulons nous en ſervir.	Il ya des Remèdes plus humains que cela, si nous voulons nous en servir.
Et quels?	Et quels?
LIGNON.	LIGNON.
IOURDAIN.	JOURDAIN.
Ouy, avez-vous declaré voſtre amour?	Oui, avez-vous déclaré votre amour?
Non.	Non.
LIGNON.	LIGNON.
IOURDAIN.	JOURDAIN.
Allons chercher ce rare Objet, pour le prier de ſoiſir de nous deux;	Allons chercher ce rare Objet, pour le prier de soisir de nous deux;
& celuy qui ſera refuſé, pourra ſe pendre aprés, s’il le veut.	et celui qui sera refusé, pourra se pendre après, s'il le veut.
LIGNON.	LIGNON.
Je conſens à cela.	Je consens à cela.
Mais la voicy.	Mais la voici.
SCENE II.	SCÈNE II.
LIGNON, JOURDAIN, CHARLOTE.	LIGNON, JOURDAIN, CHARLOTE.
JOURDAIN.	JOURDAIN.
DElle Nymphe, vous voyez icy deux DFleuves tous deux amoureux de vous.	DElle Nymphe, vous voyez ici deux DFleuves tous deux amoureux de vous.
LIGNON.	LIGNON.
Ouy, nous ſommes deux pauvres Amans néceſſiteux, qui viennent à voſtre Porté vous demander l’aumòne de vos bonnes graces.	Oui, nous sommes deux pauvres Amants nécessiteux, qui viennent à votre Porté vous demander l'aumène de vos bonnes grâces.
JOURDAIN Nous venons mettre entre vos mains noſtre diférent amoureux.	JOURDAIN Nous venons mettre entre vos mains notre diférent amoureux.
LIGNON.	LIGNON.
Vous pouvez regarder, Bergere, qui de moy ou de luy vous voulez accepter.	Vous pouvez regarder, Bergère, qui de moi ou de lui Rome voulez accepter.
CHARLOTE.	CHARLOTE.
N’avez-vous point veu Pierrot.	N'avez-vous point vu Pierrot.
Je ne ſçay où il eſt depuis ce matin qu’il s’eſt mis en Mer avec la Chaloupe.	Je ne sais où il est depuis ce matin qu'il s'est mis en Mer avec la Chaloupe.
OURDAIN.	OÙRDAIN.
Ah, trois & quatre fois belle & trop belIe Beauté, nous n’avons rien veu icy que le mérite des perfections de vos avantages.	Ah, trois et quatre fois belle et trop belIe Beauté, nous n'avons rien vu ici que le mérite des perfections de vos avantages.
LIGNON.	LIGNON.
Cela eſt vray, belle Nymphe.	Cela est vrai, belle Nymphe.
CHAR	CHAR
CHARLOTE.	CHARLOTE.
Pierre ne veut point que j’entende tout cela, & il m’a dit qu’il battra tous ceux quim enpuhereat.	Pierre ne veut point que j'entende tout cela, et il m'a dit qu'il battra tous ceux quim enpuhérat.
IOVRDAIN.	JOURDAIN.
Cela ſeroit bien cruel, belle Nymphe, que nous fuſſions battus pour vos beaux ſeau	Cela serait bien cruel, belle Nymphe, que nous fussions battus pour vos beaux seau
LIGNON.	LIGNON.
Cela eſt vray, belle Nymphe.	Cela est vrai, belle Nymphe.
IOURDAIN.	JOURDAIN.
Paſteur, pour ne point faire de jalouſie entre nous, baiſons-luy chacun une main.	Pasteur, pour ne point faire de jalousie entre nous, baisons-lui chacun une main.
CHARLOTE.	CHARLOTE.
Pour ne point faire de jalouſie entre vous, voila chacun un ſouſſlet.	Pour ne point faire de jalousie entre vous, voilà chacun un souslet.
LIGNON.	LIGNON.
Ah, Bergere, le Ciel vous a-t-il faite ſi charmante pour eſtre ſi cruelle?	Ah, Bergère, le Ciel vous a-t-il faite si charmante pour être si cruelle?
IOVRDAIN.	JOURDAIN.
Ah, mon pauvre Lignon!	Ah, mon pauvre Lignon!
LIGNON.	LIGNON.
Ah, mon pauvre Jourdain!	Ah, mon pauvre Jourdain!
IOVRDAIN.	JOURDAIN.
Pauvres Fleuves mépriſez!	Pauvres Fleuves méprisez!
LIGNON.	LIGNON.
Il ſe faut pendre aprés cela.	Il se faut pendre après cela.
IOVRDAIN.	JOURDAIN.
Tuas raiſon, mon pauvre Fleuve vien que je te pende le premier, & tu me pendras aprés.	Tuas raison, mon pauvre Fleuve viens que je te pende le premier, et tu me pendras après.
LI	LI
LIGNON.	LIGNON.
Non, ne nous pendons point.	Non, ne nous pendons point.
Je trouve que pour noſtre diſgrace ce n’eſt pas aſſez dele pendre.	Je trouve que pour notre disgrâce ce n'est pas assez dele pendre.
IOVRDAIN.	JOURDAIN.
Ah!	Ah!
voicy noſtre Rival;	voici notre Rival;
retirons-nous, Paſteur, de peur de quelques demeſlez.	retirons-nous, Pasteur, de peur de quelques démêlez.
LIGNON.	LIGNON.
Cela eſt vray, Paſteur.	Cela est vrai, Pasteur.
SCENE III.	SCÈNE III.
CHARLOTE, PIERROT.	CHARLOTE, PIERROT.
CHARLOTE.	CHARLOTE.
DArgué, Pierrot, tu t’es donc trouvé là I bien à point?	DArgué, Pierrot, tu t'es donc trouvé là I bien à point?
PIERROT.	PIERROT.
Parguenne il ne s’en eſt pas fallu l’époiſſeur d’une éplingue qu’ils ne ſe ſayent nayez tous deux.	Parguenne il ne s'en est pas fallu l'époisseur d'une éplingue qu'ils ne se sayent nayez tous deux.
CHARLOTE.	CHARLOTE.
C’eſt donc le coup de vent damatin que les a renvarſez dans la Mar.	C'est donc le coup de vent damatin que les a renvarsez dans la Mar.
PIERROT.	PIERROT.
Aga quien, Charlote, je m’en vas te conter tout fin droit comme cela eſt venu.	Aga quyen, Charlote, je m'en vas te conter tout fin droit comme cela est venu.
Car comme dit l’autre, je les ay le premier aviſez, aviſez le premier je les ay:	Car comme dit l'autre, je les ai le premier avisez, avisez le premier je les ai:
Enfin j’eſquions ſur le bord de la mar moy & le gros Lucas, & je nous amuſions à batifoler ler avec des motes de tarre, que je nous jequions à la teſte;	Enfin j'équions sur le bord de la mar moi et le gros Lucas, et je nous amusions à batifoler avec des motes de tarre, que je nous jequions à la tête;
car comme tu ſçais bian, le gros Lucas aime à batifoler, & moy par fouas je batifole itou;	car comme tu sais bian, le gros Lucas aime à batifoler, et moi par fouas je batifole itou;
en botifolant donc, piſque batifoler y a, j’ay aparceu de tout loin queuque choſe qui grouiloit dans liau, & qui venoit comme envars nous par ſecouſſe.	en botifolant donc, pisque batifoler y a, j'ai apparcu de tout loin queuque chose qui grouilait dans liau, et qui venait comme envars nous par secousse.
Je voyais ça fixiblement, & pis tout d’un coupje voyais plus rian.	Je voyais ça fixiblement, et pis tout d'un coupje voyais plus rian.
Ah Lucas, çay-je fait, je penſe qua ula des hommes qui n’ageant la bas.	Ah Lucas, çai-je fait, je pense qua ula des hommes qui n'ageant la bas.
Voire, ce m’at’il fait, t’as eſté au trépaſſement d’un chat, tuo lu teue troubier I’aſanguenne çay-je fait, je n’ay point le veue trouble, ce ſont des hommes;	Voire, ce m'at'il fait, t'as été au trépassement d'un chat, tuo lu tue troubier J'asanguenne çai-je fait, je n'ai point le veue trouble, ce sont des hommes;
point du tout, ce m’a-t’il fait, tas la burlue;	point du tout, ce m'a-t-il fait, tas la burlue;
veux-tu gager, çay-je fait, que je n’ay point la barluë, çay-je fait, & que ce ſont deux hommes, çay-je fait, qui nageant droit icy;	veux-tu gager, ai-je fait, que je n'ai point la barue, çai-je fait, et que ce sont deux hommes, çai-je fait, qui nageant droit ici;
çay-je fait morguienne, ce m’a-t’il fait, je gage que non;	ais-je fait morguienne, ce m'a-t-il fait, je gage que non;
oça, çayje fait, veux-tu gager dix ſols, que, ſi je le veux bian, ce m’a-t’il fait, & pour te montrer, vela argent ſur jeu, ce m’a-t’il fait;	oça, çayje fait, veux-tu gager dix sols, que, si je le veux bian, ce m'a-t-il fait, et pour te montrer, vêla argent sur jeu, ce m'a-t-il fait;
moy je n’ay eſté ny fou ny étourdy, j’ay bravement bouté à tarre quatre pieces tapées, & cinq ſols en double, jarniguenne auſſi hardiment que ſi j’avois avalé un varre de vin;	moi je n'ai été ici fou ny étourdi, j'ai bravement bouté à tarre quatre pièces tapées, et cinq sols en double, jarniguenne aussi hardiment que si j'avais avalé un varre de vin;
car je ſis hazardeux, moy, & je vas à la débandade, je ſçavas bien ce que je faiſais pourtant, queuque gniais.	car je sais hasardeux, moi, et je vas à la débandade, je sçavas bien ce que je faisais pourtant, queuque géniais.
Enfin donc je n’avons pas pu toſt eu gagé, que j’avons veu les deux hommes tout a plein qui nous faiſians ſigne de les aller querir, & moy de tirer auparavant les enjeux.	Enfin donc je n'avons pas pu tôt eu gagé, que j'avons vu les deux hommes tout a plein qui nous faisiants signe de les aller quérir, et moi de tirer auparavant les enjeux.
Allons Lucas, çay-je dit, tu vois bien qu’ils nous appellons, allons viſte à leurs ſecours.	Allons Lucas, çai-je dit, tu vois bien qu'ils nous appelons, allons vite à leurs secours.
Non, ce m’a-t’il dit, ils m’ont fait pardre, adonc tant y a qu’à la parfin, pour faire court, je I’ay tant ſarmonné que je nous ſomme bouté dans une barque, & pis j’avons tant fait cahin caha, que je les avons tiré de liau, & pis je les avons mené cheu nous auprés du feu, & pis ils ſe ſont dépouillez tous nuds pour ſe ſécher, & pis il en eſt venu encore deux de la meſme bande, qui eſtians ſauvez tous ſeuls.	Non, ce m'a-t-il dit, ils m'ont fait pardre, adonc tant y a qu'à la parfin, pour faire court, je J'ai tant sarmonné que je nous somme bouté dans une barque, et pis j'avons tant fait cahin cahina, que je les avons tiré de liau, et pis je les avons mené chu nous auprès du feu, et pis ils se sont dépouillez tous nus pour se sécher, et pis il en est venu encore deux de la même bande, qui estians sauvez tous seuls.
Vela juſtement Charlote comme tout ça s’eſt fait.	Vela justement Charlote comme tout ça s'est fait.
CHARLOTE.	CHARLOTE.
Il y en a donc un, Pierrot, mieux fait que les autres.	Il y en a donc un, Pierrot, fait mieux que les autres.
PIERROT.	PIERROT.
Ouy, c’eſt le Maiſtre.	Oui, c'est le Maître.
Il faut que ce ſoit queuque gros Monſieu;	Il faut que ce soit queuque gros Monsieu;
car il a du dor à ſon habit, tout depis le haut juſqu’en bas, & ceux qui le ſervons ſon des Monſieux eux- meſmes, & ſtanpandant tout gros Monſieu qu’il eſt, il ſe ſeroit ma figue noyé, ſi je n’avieme eſté là.	car il a du dor à son habit, tout dépis le haut jusqu'en bas, et ceux qui le servons son des Monsieux eux- mêmes, et stanpandant tout gros Monsieu qu'il est, il se serait ma igue noyé, si je n'avieme été -là.
CHAR	CHAR
CHARLOTE.	CHARLOTE.
Ardez un peu.	Ardez un peu.
PIERROT.	PIERROT.
Oh, parguenne ſans nous il en avoit pour ſa mene de feuve.	Oh, parguenne sans nous il en avait pour sa mène de feuve.
CHARLOTE.	CHARLOTE.
Eſt-ce qu’il eſt encore tout nud, Pier rot?	Est-ce qu'il est encore tout nu, Pier rot?
PIERROT.	PIERROT.
Nanain, ils l’avon r’habillé devant nou.	Nanain, ils l'avon rhabillé devant nou.
Mon Dieu, je n’en avois jamais veu s’habiller, que d’hiſtoire & d’angin gorniaux ils boutons, ces Meſſieus-là:	Mon Dieu, je n'en avais jamais vu s'habiller, que d'histoire et d'angin gorniaux ils boutons, ces Messieus-là:
Je me pardiais là dedans, pour moy, & j’eſtois tout ébauby de voir ça:	Je me pardiais là -dedans, pour moi, et j'étais tout ébaubi de voir ça:
Tien Charlote, ils avons des cheveux qui ne tenans point à leurs teſtes, & ils boutons çaaprés tout, comme un gros bonnet de filace.	Tiens Charlote, ils avons des cheveux qui ne tenants point à leurs têtes, et ils boutons çaaprés tout, comme un gros bonnet de filace.
Ils ant des chemiſes qui ant des manches où j’entrerien tout brandy toy & moy.	Ils ant des chemises qui ant des manches où j'entrerien tout brandi toi et moi.
En lieu d’audechauſſe ils portons un garderobe auſſi large que d’icy à Paſques.	En lieu d'audechausse ils portons un garderobe aussi large que d'ici à Pasques.
