LA TRAGEDIE DE PRYAM,ROY.	LA TRAGÉDIE DE PRIAM,ROY.
DE TROYE.	DE TROYE.
Madame de la Loue	Madame de la Loue
ADAME, ayant apris par vo& ſtre propre bouche, que vous prenſez vn extreme contentement à la lecture des Tragedies Lpour y voir les deſplaiſirs d’autruy, & y prendre les moyens de conſtãment ſupporter les noſtres.	ADAME, ayant appris par voù être propre bouche, que vous prensez extrême extrême contentement à la lecture des Tragédies Lpour y voir les déplaisirs d'autrui, et y prendre les moyens de constãment supporter les nôtres.
Ie n’ay voulu manquer à ce quẽ mon deuoir me demandoit, & voſtre merite me commandoit:	Je n'ai voulu manquer à ce quẽ mon devoir me demandait, et votre mérite me commandait:
puiſque le temps ma ouuert le pas pour frãchir la barriere du ſeruice que ie vous doibs, & vous faire voir par ce petit preſent (au front duquel cõme pour vn ſauf conduict i’ay ciſelé les caracteres de voſtre nom) que ie ne me ſuis pas ſoucié d’écourir la reputation d’vn ignorãt audacieux, pourueu que vous ayez mon offre pour agre.	puisque le temps ma ouvert le pas pour frãchir la barrière du service que ie vous doibs, et vous faire voir par ce petit présent (au front duquel cõme pour un sauf conduit j'ai ciselé les caractères de votre nom) que je ne me suis pas soucié d'écourir la réputation d'un ignorant audacieux, pourvu que vous ayez mon offre pour agré.
able, & me faciez l’honneur de me tenir,	able, et me fassiez l'honneur de me tenir,
Voſtre treſ-bumble & trer-fdelle feruiteur de LERTRAND.	Votre très-bumble et trer-fdelle serviteur de LERTRAND.
ANAGRAMME DV SIEVR DE BERTHRANP.	ANAGRAMME DU SIEUR DE BERTHRANP.
François Berthrand.	Français Berthrand.
Ronſard bien franc.	Ronsard bien franc.
QVATRAIN A L’AVTHEVR	QUATRAIN À L'AUTHÉVR
