Au Lecteur, ſur l’Argument de la Tragedie.	Au Lecteur, sur l'Argument de la Tragédie.
Es cendres de la Pucelle d’Or2 leans (puis que les cruelles flam mes de ſõ martyre, ne nous voulurent laiſſer ſes os pour les enfermer ſous vn marbre pieux) accuſoyent l’ingratitude de la France, & commençoyent a la tenir partiſanne de l’enuieuſe cruauté des Anglois, à raiſon qu’vne mort ſi tragique n’auoit peu encor faire monter ſur le theatre des Muſes, le treſ ample ſuiet qu’elle nous en auoit donné par ſa valeur, plus contraire à ſes ennemis & aux noſtres, que fauorable à ſa vie:	Es cendres de la Pucelle d'Or2 leans (puis que les cruelles flam mes de son martyre, ne nous voulurent laisser ses os pour les enfermer sous un marbre pieux) accusaient l'ingratitude de la France, et commençaient à la tenir partisane de l'envieuse cruauté des Anglais, à raison qu'une mort si tragique n'avait peu encor faire monter sur le théâtre des Muses, le très ample sujet qu'elle nous en avait donné par sa valeur, plus contraire à ses ennemis et aux nôtres, que favorable à sa vie:
ny eu tant de credit que d’animer les fureurs pœtiques a venger ſon iniure par le recit de ſes vertus, ſi l’autheur de cet ouurage, pour amender les defaux deſia pri, & la coutumace qui s’alloit difinitiuement iuger contre la pareſſe commune de tant de beaux eſprit, n’euſt rendu tout ſeul le deuoir qui nous oblige tou d’autãt plus à l’honneur de ſes merite,:	ni eu tant de crédit que d'animer les fureurs pœtiques a venger son injure par le récit de ses vertus, si l'auteur de cet ouvrage, pour amender les défauts déjà pri, et la coutumace qui s'allait difinitivement juger contre la paresse commune de tant de beaux esprit, n'eût rendu tout seul le devoir qui nous oblige tou d'autant plus à l'honneur de ses mérite,:
que nous auons veu peu de Dames pareilles en ce Royaume:	que nous avons vu peu de Dames pareilles en ce Royaume:
qui eſtans le plus fertil de ce monde nõ en drogues comme l’Arabie, ny en perles, comme les Indes, mais en quantité de belles, & genereuſe, ames:	qui étant le plus fertil de ce monde nomme en drogues comme l'Arabie, nire perles, comme les Indes, mais en quantité de belles, et généreuse, âmes:
& en ayant produit vn ſi petit nõbre de ſe.	et en ayant produit un si petit nombre de se.
ſexe, rend la rareté recommandable, & le ſouuenir treſioyeux:	sexe, rend la rareté recommandable, et le souvenir trésioyeux:
puis que la pouſsiere de ce Phenix ne peut faire renaiſtre vne eſpece ſemblable:	puis que la poussière de ce Phénix ne peut faire renaître une espèce semblable:
Mais rendre ſeulemẽt eternelle la gloire de ſa vie, comme l’innocence de ſa mort apparente, & tellement certaine:	Mais rendre seulement éternelle la gloire de sa vie, comme l'innocence de sa mort apparente, et tellement certaine:
que ie ferois tort à voſtre cognoiſſance, & honte à mon diſcours, de vous rabatre la memoire d’vn ſuiet, que meſme le cõmun deuis vous defend d’oublier.	que ici ferais tort à votre connaissance, et honte à mon discours, de vous rabattre la mémoire d'H sujet, que même le commun deuis vous défend d'oublier.
Si ce n’eſt que pour interpreter le deſſein de l’autheur ( qui pour pardonner aux Normans, & pour celer le Iieu de ſon deſaſtre, a rigoureuſement traité ſa Muſe, retenant ſa courſe dans vn ample carriere ) ie vous aduertiſſe de ſa part, qu’il recognoiſt priuemẽt, que l’execution de la Pucelle fuſt faite en la place du vieil Marché de la ville de Rouen, le 3o iour de May, la vigile de la feſte Dieu, en l’an 1422.	Si ce n'est que pour interpréter le dessein de l'auteur ( qui pour pardonner aux Normants, et pour celer le Jieu de son désastre, a rigoureusement traité sa Muse, retenant sa course dans un ample carrière ) je vous avertisse de sa part, qu'il reconnaît privément, que l'exécution de la Pucelle fut faite en la place du vieil Marché de la ville de Ren, le 3ote jour de Mai, la vigile de la fête Dieu, en l'an 1422.
