A MONSIEUR DE BVSEROY	À MONSIEUR DE BUSEROY
ne foible timidité, Qui me veut empeſcher que jene vou dedie Cette petite Comedie Me dit que c’eſt a voir trop de temerité Que je m’attireray quelque trait de ſatire Et que pluſieurs me po rront dire D’un air & d’un ton mépriſant, Que c’eſt une faute tres graude De faire uuſi petit preſ-ot Iu plus brillant Eſprit qui ſoit dau, Zolauc 1 AIS, Monſieur quels (V Ibonne que patoiſſc cette ra ſon elle n’a pû me faire changet.	ne faible timidité, Qui me veut empêcher que jène vou dedie Cette petite Comédie Me dit que c'est à voir trop de témérité Que je m'attirerai quelque trait de satire Et que plusieurs me pô rront dire D'un air et d'un ton méprisant, Que c'est une faute très gravde De faire uusi petit prési petit Présence plus brillant Esprit qui soit dau, Zolauc 1 AIS, Monsieur quels (V Ibonne que pataissez cette ra son elle n'a pu me faire et.
deſſaut, au contraire, je me ſut ſervi de l’’oppoſition qu’elle y vou loit former pour le continuer ave plus de chaleur, & je luy ay remou tre que ceſtoit pour ces ſortes d Ouvrages que l’on de volt choiſi une perſonne dont les opinions a pouvant être ’uſtemenr combatue fuſſent autant de loix parmy le éclairez dans la Poëſie, & quel ne pouvois mieux adreſſer mes ves qu’a celuy qui en fait de ſi bea qu’il eſt difficile à nos meilleus Autheurs d’y pouvoir attoindre.	dessaut, au contraire, je me sut servi de l'opposition qu'elle y vou loit former pour le continuer ave plus de chaleur, et je lui ai remou re que cestait pour ces sortes d Ouvrages que l'on de volt choisi une personne dont les opinions à pouvant être ustemenr combattue fussent autant de lois parmi le éclairez dans la Poésie, et quel ne pouvais mieux adresser mes vez qu'a celui qui en fait de si bea qu'il est difficile à nos meilleus Auteurs d'y pouvoir attoindre.
Le ſile en eſt coulant, les pointes en ſe belles Les expretions naturelles Il ne s’y trouve aucun deffaſt Ils eut un tour galant qu’on ne voit pot en d’autres,	Le síle en est coulant, les pointes en se belles Les expretions naturelles Il ne s'y trouve aucun deffast Ils eut un tour galant qu'on ne voit pot en d'autres,
Et pour en faire comme il fait On dort ſe regler ſur les voſſres Ceſt une verité Monſieur dont co que vous avez faict rend tout le monde perſuadé, & ce que j’ay veu de vous m’a tellement charme que ce n’a eſté que pour avoir l’occaſion de vous en marquer icy mon admiration que j’ay composé cette petite piece.	Et pour en faire comme il fait On dort se régler sur les vossres Cest une vérité Monsieur dont que vous avez fait rend tout le monde persuadé, et ce que j'ai vu de vous m'a tellement charme que ce n'a été que pour avoir l'occasion de vous en marquer ici mon admiration que j'ai composé cette petite pièce.
Ainſi Monſieur je croirois avoir tort ſi je ne ſuivois pas mon proiet de vous l’offrir puiſqu’elle n’à eſté faite que dans cette veüe, & que vous eitant obligé de ſon orige c’eſt moins un preſent que je fais quun hemage que je vous rends d’une choſe dont je vous ſuis redevable.	Ainsi Monsieur je croirais avoir tort si je ne suivais pas mon proiet de vous l'offrir puisqu'elle n'a été faite que dans cette vue, et que vous eitant obligé de son orige c'est moins un présent que je fais quun hommage que je vous rends d'une chose dont je vous suis redevable.
Comme c’eſt la premiere Commedie qui ſoit partie de ma plume je ne ſuis pas aſſez prevenu en ma faveur pour croire quelle ſoit exempte de fautes, ce m’eſt toû jours beaucoup qu’elle n’y ſont pas abondantes, c’eſt pourquoy Monſieur ne connoiſſans en ces lieux quevous qui ſoyez capable d’en remarmarquer les deffauts.	Comme c'est la première Commedie qui soit partie de ma plume je ne suis pas assez prévenu en ma faveur pour croire quelle soit exempte de fautes, ce m'est tou jours beaucoup qu'elle n'y sont pas abondantes, c'est pourquoi Monsieur ne connaissants en ces lieux quevous qui soyez capable d'en remarquer les défauts.
Ie m’epriſerα la Critique	Je m'épriser la Critique
De ces eſprits iutereſſi Dont tous les taleus ramaſſe.	De ces esprits jutèressi Dont tous les taleus ramasse.
Ne vont qu’a reclter un pœme dν amarique Comme des Peroquets que l’on auroit dreſ Et qui par la terreur panique De ſe voir ic y traverſez S’acharneront par politique Coutre cer ouvtrage comuĩque Ie croy que ce diſcour les fait counoiſtre.	Ne vont qu'a réclter un pœme dν amarique Comme des Péroquets que l'on aurait dres Et qui par la terreur panique De se voir ic y traversez S'acharneront par politique Coutre cer ouvtrage comuĩque Je crois que ce discour les fait counoistre.
Sans qu’il faille que je m’explique Et comme vous les connoiſſez Vous ſçavez à qui je l’applique.	Sans qu'il faille que je m'explique Et comme vous les connaissez Vous savez à qui je l'applique.
Ie ne m’areſteray donc pas Monſies aux obſervations que d’autres pourront faire ſi je ſuis honprée voſtre ſuffrage.	Je ne m'arrêterai donc pas Monsies aux observations que d'autres pourront faire si je suis honprée votre suffrage.
C’eſt l’unique be que le me ſuis propoſé eſtant aſſe té que l’on ne ſe ſçauroit raiſonm blement oppoſer à vos ſentimens que cette haute intelligence vous fait ſi dignement exercen honorables emplois dont vous e reveſtu m'attireri une apeoba generalle, chacun ſe croira obligé d’aplaudir mon choix, & de louer le zelle de v*	C'est l'unique be que le me suis proposé étant asse té que l'on ne se saurait raisonm blement opposer à vos sentiments que cette haute intelligence vous fait si dignement exercen honorables emplois dont vous e revêtu m'attireri une apéoba générale, chacun se croira obligé d'applaudrir mon choix, et de louer le zèle de v*
MONSIEUR	MONSIEUR
Vôtre tres humble & tres obeiſant Scrriteur CRONIER.	Votre très humble et très obéisant Scriteur CRONIER.
ACTEURS.	ACTEURS.
GERONTE.	GÉRONTE.
Pere de Julie.	Père de Julie.
1LI	1LI
ACASTE.	ACACSTE.
Amant de Julie.	Amant de Julie.
CRISPIN	CRISPIN
DORINNE, Suivante de Julie.	DORINE, Suivante de Julie.
TURLIN.	TURLIN.
IOLI COEUR Valets d'Aca	JOLI COUR Valets d'Aca
MUSICIENS.	MUSICIENS.
R L’OMBRE DE SOX I A E.	 ROMBRE DE SOX I A E.
OXEDIE Meſlée de Muſique & de Dances,	OXEDIE Mêlée de Musique et de Dances,
SCENE PREMIERE.	SCÈNE PREMIÈRE.
VLIE, DORINE, JACASIE, IVEIE.	VLIE, DORINE, JACASIE, IVEIE.
