M.	M.
DC.	DC.
XCVI.	XCVI.
JAQUES II.	JAQUES II.
Le Pefe la CHAIZE.	Le Pefe la CHAIZE.
LOUIS XIV.	LOUIS XIV.
Le Duc de BERWICE.	Le Duc de BÉRICE.
Un MAGICIEN, Aſtrologue.	Un MAGICIEN, Astrologue.
Un PAGE de la Chambre.	Un PAGE de la Chambre.
La Reine MARIE.	La Reine MARIE.
L’ARCHEVEQUE de Paris.	L'ARCHEVÊQUE de Paris.
Madame de MAINTENON.	Madame de MAINTENON.
Monſieur FAGON, Premier Medecin de Loüis XIV.	Monsieur FAGON, Premier Médecin de Loursis XIV.
Un PAGE.	Un PAGE.
Le Duc de LAUSUN.	Le Duc de LAUZUN.
Le Prince de GALLES	Le Prince de GALLES
La Scene eſt à Saint Germain.	La Scène est à Saint Germain.
LE RETOUR DE AQUES II.	LE RETOUR DE AQUES II.
A PARIS.	À PARIS.
COMEDIE.	COMÉDIE.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Le Pere la CHAIZE, JAQUES II.	Le Père la CHAIZE, JAQUES II.
JAQUES II.	JAQUES II.
St-il ſous le ciel un Prince plus malheureux que je ſuis!	St-il sous le ciel un Prince plus malheureux que je suis!
J’aifait tous mes efforts pour reprendre mes Royaumes, & tout s’eſt opA 2 poſe	J'aifait tous mes efforts pour reprendre mes Royaumes, et tout s'est opA 2 pose
poſé à mon deſſein.	posé à mon dessein.
Fortune ſcelerate, qui te meles de tout:	Fortune scélérate, qui te meles de tout:
& vous étoile maligne, qui verſez ſur moi un déluge de maux, c’eſt vous qui étes cauſe de tous mes malheurs.	et vous étoile maligne, qui versez sur moi un déluge de maux, c'est vous qui êtes cause de tous mes malheurs.
Le Pere la CHAIZE.	Le Père la CHAIZE.
Pauvre Prince infortuné, que mon cœur eſt touché, & ſenſible à vos mileres.	Pauvre Prince infortuné, que mon cœur est touché, et sensible à vos milères.
JAQUES II.	JAQUES II.
en embraſſant le Pere la Chaixe.	en embrassant le Père la Chaixe.
Ah!	Ah!
