AV ROT.	AU ROT.
Bien que l’vſage des triomphes publics ſemble eſtre aboly par toute la terre, la France à maintenant vn lieu où j’eſpere que voſtre Maieſté triomphea ſouuent, par les vers & par s beaux ſpectacles que voſtre rand Miniſtre y fera faire our celebrer vos conqueſtes.	Bien que l'usage des triomphes publics semble être aboli par toute la terre, la France à maintenant un lieu où j'espère que votre Majesté triomphea souvent, par les vers et par beaux spectacles que votre rand Ministre y fera faire our célébrer vos conquêtes.
Mirame que ie preſente auec eſpect à voſtre Majeſté, n'a ſery que d’vn eſſay auant que d’y chanter ſes loüanges, & ſi mon trauail a eſté ſuiuy de quelque heureux ſuccés en vn ſujet inuenté, elle iugera, s’il luy plaiſt, de ce que je pourray faire en parlant de ſes exploits veritables.	Mirme que assez présente aueclect à votre Majesté, n'a servi que d'un essay ant que d'y chanter ses louanges, et si mon travail a été suivi de quelque heureux succès en un sujet inventé, elle jugera, s'il a paît, de ce que je pourrai faire en parlant de ses exploits véritables.
Dés-ja les Ballets que l’on y a veus depuis ſa repreſentation, n’ont eu pour ſujet que les victoires de voſtre Majeſté, & tous leurs recits n’ont parlé que des merueilles de ſa vie.	Déjà les Ballets que l'on y a vus depuis sa représentation, n'ont eu pour sujet que les victoires de votre Majesté, et tous leurs récits n'ont parlé que des merveilles de sa vie.
Mais i’oſe luy dire encore, que je prepare vn ouurage ſur le ſujet de la Iuſlice de ſes armes, & de la moderation d’vn ſi grand Ro dans ſes glorieux ſuccés, qui auec l’aide de la renommée de i’eſpere, par tout le monde.	Mais j'ose lui dire encore, que je prépare int ouvrage sur le sujet de la Juslice de ses armes, et de la modération d'un si grand Ro dans ses glorieux succès, qui était l'aide de la renommée de j'espère, par tout le monde.
Ie lui demande ſeule ment vnregard ſauorable, pour eſtre animé dans vne ſi belle entrepriſe, & pour ne faire conceuoir des penſées qui ne ſoient pas indignes de la trandeur de ſon nom, ny du vœu que j’ay fait d’eſtre iuſques u dernier ſouſpir,	Je lui demande seule ment vnregard savorable, pour être animé dans une si belle entreprise, et pour ne faire concevoir des pensées qui ne soient pas indignes de la trandeur de son nom, ainsi du vœu que j'ai fait d'être jusques u dernier soupir,
SIRE, De Voſtre Majeſté,	SIRE, De Votre Majesté,
Le tres humble, tres-obeïſſant & tres fidelle ſeruiteur & ſujet,	Le très humble, très-obeïssant et très fidèle serviteur et sujet,
PERSONNAGES.	PERSONNAGES.
LE ROY DE BITMYNIE.	LE ROY DE BITMYNIE.
MIRAME.	MIRAME.
Prineeſſe de Bithynie.	Prinesse de Bithynie.
ALMIRE.	ÀLMIRE.
Princeſſe confidente de Mirame.	Princesse confidente de Mirame.
ALCINE.	ALCYNE.
Suiuante de Mirame.	Suivante de Mirme.
TECLEXV ACTE PREMIER.	TECLEXV ACTE PREMIER.
NE PREMIERE.	NE PREMIÈRE.
LE ROY.	LE ROY.
ACASTE.	ACACSTE.
Dvs à qui l’ay commu mes ſecrets & met armes, Acaſte, ſi mes yeux reſpandent quelques larmes, Ie n’ay point de regret que ce ſoit deuant vous :	Dus à qui l'ai commu mes secrets et met armes, Acaste, si mes yeux répandent quelques larmes, Je n'ai point de regret que ce soit devant vous :
Mais ſçachez que ce ſont des larmei de courioux, ous me croyez le Roy le plus heureux du monde, ous me voyez vainqueur ſur la terre & ſus l’onde, d’vn leger effort j’eſpere ſurmonter tluy dont l’inſolence oſe nous irrlter.	Mais sachez que ce sont des larmei de courioux, ous me croyez le Roi le plus heureux du monde, ous me voyez vainqueur sur la terre et sus l'onde, d'un léger effort j'espère surmonter tlui dont l'insolence ose nous irrlter.
pro ets d’Arimant s’en iront en ſumée:	et pros d'Arimant s'en iront en sumée:
meſpriſe l'eſſect d’vne ſi grande armée:	méprise l'essect d'une si grande armée:
J'en craint bien la caule, & ne puis ſant effroy huche & qu’elle vient de moy1g, c’eſt luy que je redoure.	J'en craint bien la caule, et ne puis sant effroi huche et qu'elle vient de moi1g, c'est venir que je redoure.
ACASTE.	ACACSTE.
Quoy l sire, voſtre ſang?	Quoi l sire, votre sang?
LE ROY.	LE ROY.
Ouy, mon ſangs mais eſcoss Ie m’expliqueray mieux, c’eſt mon ſang le plusb Celle qui vous paroiſt vn celeſte flambeau, Eſt vn flambeau fatal à toute ma famille;	Oui, mon sangs mais écoss Je m'expliquerai mieux, c'est mon sang le plusb Elle qui vous paraît un Tête flambeau, Est un flambeau fatal à toute ma famille;
Et peut eſtre à l’Eſtat;	Et peut -être à l'État;
en vn mot c’eſt ma fille, Son cœur qui s’abandonne aux feux d’vn eſtrant En l’attirant icy m’atuire le danger.	en un mot c'est ma fille, Son cœur qui s'abandonne aux feux d'un étrant En l'attirant ici m'atvire le danger.
Cependant que par tout je me monſtre inuincible, Elle ſe laiſſe vaincre.	Cependant que par tout je me montre invincible, Elle se laisse vaincre.
ACASTE.	ACACSTE.
Ah!	Ah!
Dieux !	Dieux !
eſt-il poſſibler	est-il possibler
LE ROY.	LE ROY.
Acaſte, Il eſt trop vray, par differens efforts On ſappe mon Eſtat & dedans & dchors;	Acaste, Il est trop vrai, par différents efforts On sape mon État et dedans et dchors;
On corrompt mes ſujets, on conſpire ma perte, Tantoſt couuertement, tantoſt à force ouuerte.	On corrompt mes sujets, on conspire ma perte, Tantôt couvertement, tantôt à force ouuerte.
ACASTE.	ACACSTE.
Grand Roy, que diter-vous?	Grand Roi, que diter-vous?
LE ROY.	LE ROY.
Mirame a ſuſchus Le mal oûſe me voy pat ſa ſoule haauté Celuy de qui l’orgu qui de tant de var Arimant, fauory d Tiouble de ſontan t pour y paruenir ſans le faire cognoiſtre, veut ſe preualor des forces de ſon Maiſtre, veut auoir ma flle, il la veut, ou perir.	Mirame a sûchus Le mal ouïse me vois pat sa soule haauté Celui de qui l'orgu qui de tant de var Arimant, favori d' Iouble de sont tan pour y parvenir sans le faire connaître, veut se prévalor des forces de son Maître, veut avoir ma flle, il la veut, ou périr.
oſant la demander, il la veut conqueris.	osant la demander, il la veut conquéris.
pla mentint pas, ce ieune temeraire eut ſę faire agréer par le mal qu’il peut ſaire.	pla mentint pas, ce jeune téméraire eut sę faire agréer par le mal qu'il peut zaïre.
ncore me pourrois-je aiſement conſoler.	ncore me pourrais-je aisément consoler.
ſans plaire à ma fille on le voyoit bruler.	sans plaire à ma fille on le voyait brûler.
ais le mal qui me tuë, eſt de voir que Mirame cé:	ais le mal qui me tue, est de voir que Mirme cé:
amour Indigne abandonne ſon ame:	amour Indigne abandonne son âme:
u’elle cherche ſa honte, en cherchant à le vois, contre mon deſis, & contre ſon deuoir.	Çu'elle cherche sa honte, en cherchant à le vois, contre mon désis, et contre son devoir.
eſia par ſes ſouhaus il obtient la victoire, nous bat, il nous dompte.	esjà par ses souhaus il obtient la victoire, nous bat, il nous dompte.
ACASTE.	ACACSTE.
re, le penſez vous!	re, le pensez -vous!
Ant le ne le puis croue.	Ant le ne le puis croue.
LE ROY.	LE ROY.
Quoy?	Quoi?
ne ſçauer vous paue pour tenir en paix Colchos & mes Eſtats rimant vint icy?	ne pas vous pave pour tenir en paix Colchos et mes États rimant vint ici?
que par ſon entremiſe u fls de ſon Seigneur ma fille fut promiſe?	que par son entremise u fls de son Seigneur ma fille fut promise?
E'en meſme temps ce Prince ayant perdu le jous.	E'en même temps ce Prince ayant perdu le jous.
rimant demeura quelque mois dans ma Cour, E ſceut de telle addreſſe enſorceller Mirame, qu’en la place du Prince Il ſe mit dans ſon ame.	rimant demeura quelque mois dans ma Cour, E sut de telle adresse ensorceler Mirme, qu'en la place du Prince Il se mit dans son âme.
epuis il n’a ceſſé de troubler mon repos:	Jepuis il n'a cessé de troubler mon repos:
our commencer ſa trame, il fit que ſans propoe Roy de Galatie attaqua cét Empire.	our commencer sa trame, il fit que sans propoe Roi de Galatie attaqua cet Empire.
ſais la honte ſuiuant ce que l’orgueil inſpire, ebas ſon Lieutenant fut par moy ſurmonté, 1t perdit la bataille auec la liberté.	sais la honte suivant ce que l'orgueil inspire, ébas son Lieutenant fut par moi surmonté, 1t perdit la bataille était la liberté.
rimant pour l’auoir en vain vſa de ruſe, Des aimes de ſon Roy maintenant il abuſe:	rimant pour l'avoir en vain usa de ruse, Des aimes de son Roi maintenant il abuse:
I veut l’auoir pas force, il menace nos porti, t penſe nous feduire à craladre ſes efforts.	I veut l'avoir pas force, il menace nos porti, t pense nous séduire à craladre ses efforts.
Mais quand ie le rendrois, oubliant cette iniure.	Mais quand ici le rendrais, oubliant cette injure.
Arbas de ſon amour n’eſt que la couuerture.	Arbas de son amour n'est que la couverture.
L’amour de la Princeſſe eſt ſon vnique obiet.	L'amour de la Princesse est son unique objet.
D'vn grand Roy mon eſgal ſe voyant né ſuiet, Et voyant ſa fortune au deſſous de la mienne, Il veut en m’abbaiſſant m’eſgaler à la ſienne;	D'un grand Roi mon égal se voyant né sujet, Et voyant sa fortune au dessous de la mienne, Il veut en m'abaissant m'égaler à la sienne;
Et ma fille y conſent, approuue ſon aniour, Et trahit laſchement ceux qui l’ont miſe au vour.	Et ma fille y consent, approuve son anjour, Et trahit lâchement ceux qui l'ont mise au vour.
Ce deſſein ſans raiſon fait qu’elle eſt inſenſible Pour le Roy de Phrygie, Azamor l’inuincible, Qui durant ſa recherche a ſouuent par ſon bras Des efforts eſtrangers preſerué mes Eſtats.	Ce dessein sans raison fait qu'elle est insensible Pour le Roi de Phrygie, Azamor l'invincible, Qui durant sa recherche a souvent par son bras Des efforts étrangers préservé mes États.
