ARGVMENT SVR L’EMETIQVE PREPARE.	ARGUMENT SUR L'ÉMÉTIQUE PRÉPARE.
S YANT veu le dixiéme du mois dernier vn Arreſt af fiché pour authoriſer l’Emetique apres les mauvais effets qu’il a produits iuſqu’à preſent;	 SYANT vu le dixième du mois dernier un Arrest a fiché pour autoriser l'Emetique après les mauvais effets qu'il a produits jusqu'à présent;
Ie fais plaindre Caron de l’excez de ſon travail à paſſer les Ombres au double de ſon ordinaire.	Je fais plaindre Caron de l'excès de son travail à passer les Ombres au double de son ordinaire.
Radamante & Eacus Iuges de Plutton recoivent ſes plaintes, & ſur la depoſition de quelques Ombres qui ſe plaignent de l’Antimoine, on prend reſolution d’en parler a Plutton, pour y apporter quelque remede:	Radamante et Eacus Juges de Pluton reçoivent ses plaintes, et sur la déposition de quelques Ombres qui se plaignent de l'Antimoine, on prend résolution d'en parler à Pluton, pour y apporter quelque remède:
Cependant vn Me decin paſſe le fleuve & meine l’Ant moine avec luy, Radamante ſait procez à l’vne & à l’autre, & les fa reufermer.	Cependant un Me décin se le fleuve et mène l'Ant moine avec lui, Radamante sait procès à l'une et à l'autre, et les fa revermer.
L'Antimoine eſtant vne eſpece, plomb dont Saturne eſt le Pere chesles Chimiſtes, eſt reclamé par Mer cure qui a quelque affinité au avec l’vn & l’autre, on refuſe ches Plutton de le luy remettre entre le mains, à cauſe de ſes deſordres Saturne dans l’impatience de revoin ſon fils paſſe procuration à Momus, pour le reclamer de ſa part, Momus arrivant chez Plutton rencontre Mercure ſur ſon départ qui luy témoigne qu’il n’a pû rien obtenir pour la liberté de ſon petit couſin, & qu’à moins que le conſeil d’enhaut n’en ordonne, Plutton n’eſt pas dans la volonté de le relâcher:	L'Antimoine étant une espèce, plombé de Saturne est le Père chez Chimistes, est réclamé par Mer cure qui a quelque affinité au avec l'amour et l'autre, on refuse chez Pluton de le lui remettre entre le mains, à cause de ses désordres Saturne dans l'impatience de revoin son fils passe procuration à Momus, pour le reclamer de sa part, Momus arrivant chez Pluton rencontre Mercure sur son départ qui avait témoigne qu'il n'a pu rien obtenir pour la liberté de son petit cousin, et qu'à moins que le conseil enhaut en ordonne, Plutton es pasdans la ute de leur,
il retourne aux Cieux porter cette uouvelle, où Saturne preſente requeſte à lupiter pour obliger Themis d'y faire vne deſcente:	il retourne aux Cieux porter cette ouvelle, où Saturne présente requête à lupiter pour obliger Themis d'y faire une descente:
Themis ſe tranſporte ſur les lieux, & apres avoir oüy les raiſons de part & d’autre par l’iuterrogation de l’Antimoine, & par les accuſations rapportées par Radamante luge des lieux, tant du iom d’Hipocrate qui eu a fait ſa le claration à Plutton en preſence de mercure, que des autres Medecins aujoura nuyi neitar couſideré l’Enetique eſt remis en liberté, ſauf à ſe donner de garde de ceux qui le meteut en employ.	Themis se transporte sur les lieux, et après avoir oui les raisons de part et d'autre par l'iuterrogation de l'Antimoine, et par les accusations rapportées par Radamante luge des lieux, tant du jom d'Hypocrate qui eu a fait sa le claration à Pluton en présence de mercure, que des autres Médecins aujoura nuymi neitar cousidéré l'Enetique est remis en liberté, sauf à se donner de garde de ceux qui le meteut en emploi.
ACTEVRR.	ACTEUR.
PLVTTON Dieu des Enfers.	PLUTON Dieu des Enfers.
RADAMANTE Iuge.	RADAMANTE Juge.
