A ROVEN, Chez THEODORE REINSART, pres le Palais, à l’Homme Aimé.	A ROUEN, Chez THEODORE REINSART, pres le Palais, à l'Homme Aimé.
MONSIEV R DE LA SAVCERIE MAISTRE D’HOSTEL ORDINAIRE DV ROY, Sieur du Hamel, Moeſſé, la Mengeantiere, Monteſcot, Rubeſnard, &c.	MONSIEU RE DE LA SAVCERIE MAÎTRE D'HÔTEL ORDINAIRE DU ROY, Sieur du Hamel, Moessé, la Méngeantière, Montescot, Rubesnard, etc.
ONSIEVR, St par mes labeurs ie ſçauoiaußi bien éterniſer la vertu, comme ces deſtes, dont la Fran-te eſt pae taiant parſaite counoiſſante de la voſſe uines ouurages porteroient voſtre nõ ſur Ie& maplume n'éeriroit que vos loüengai tourrois außi dedier les fruicts de ma Muſe Aperſonne qui le merite mieux, puis que vous les aue Z touſiours cheriZ auec pluſieurs teſmoignages de bien Veillance.	ONSIEUR, St par mes labeurs Elle sçauoiaussi bien éterniser la vertu, comme ces destes, dont la Fran-te est pae taiant parsaite counaissante de la vosse ouvines ouvrages porteraient votre nôtre sur Je maplume n'éeriroit que vos loüengai tourrais aussi dédier les fruits de ma Muse Apersonne qui le mérite mieux, puisque que toujours que vous AVEZ toujours chéri se de bien de bien Veillance.
Mais ne pouuant tratter ſi ample ſuiet, ie taſcheray que ces perſonnages ocupeZa celebre la gloire des hommes illuſtres, recounorſent außi bien que moy vos merites, pour remplir leurs volumes du loZ de vôtre valeur, Magnanimité, prudence, Acortiſe, & ſtauoir, qui vous rendent tellement recommandable (auec ce que vous emporte Zle prix des plus experts Caualeriſſes de ce ſiecle) que l’oubly ne triomphera de voſtre nom.	Mais ne pouvant tratter si ample sujet, où tâcherai que ces personnages ocupéZa célèbre la gloire des hommes illustres, recounorsent aussi bien que moi vos mérites, pour remplir leurs volumes du loz de votre valeur, Magnanimité, prudence, Acortise, et stavoir, qui vous rendent tellement recommandable (avec ce que vous emporte Zle prix des plus experts Cavalérisses de ce siècle) que l'oubli ne triomphera de votre nom.
Et ſi d’auenture cet auorton de ma Calliope eſt veu de ces eſprits releueZ, ce leur ſera l’ouuerture pour vous prodiguer de leurs doctes écrits.	Et si d'aventure cet avorton de ma Calliope est vu de ces esprits relevés, ce leur sera l'ouverture pour vous prodiguer de leurs doctes écrits.
C’eſt pourquoy ie vous offre cette mal-heureuſe Roſemonde doublemẽt Maricide habillee ſur le Theatre François d’vn veſtement nouueau, aumoins que ſi vous l’agréeZ, elle n’ait peur ſe faire voir aux yeux du public, s’aſſeurant que l’ombre de ves vertus cacheraſes vices qui la rendroient odieuſe, ou elle pourra treuuer tout gracieux acueil, tomme ſon guid́ e tvte ſa vie ſera	C'est pourquoi ie vous offrent cette malheureuse Rosemonde doublements Maricide habille sur le Théâtre Français d'un vêtement nouveau, aumoins que si vous l'agrez, elle n'ait peur se faire voir aux yeux du public, s'assurant que l'ombre de vez vertus cacherases vices qui la rendraient odieuse, ou elle pourra trouver tout grâce acveil, tomme son guid es évide sa vie sera
Voſtre tres-humble & tresfidelle ſeruiteur, N.	Votre très-humble et tresfidelle serviteur, N.
Chrétien les Croix.	Chrétien les Croix.
M SIEVR CHRETIEN.	M SIEUR CHRÉTIEN.
SONNET.	SONNET.
On ce ne ſont point ieux que les vers que tu chante, C’est le rare ſçauoir de quelque demy Dieu, Ou bien ſi quelques vus les estiment à ieu, C’est que leur douce voix doucement les enchante.	On ce ne sont point jeux que les vers que tu chante, C'est le rare savoir de quelque demi Dieu, Ou bien si quelques vu les estiment à jeu, C'est que leur douce voix doucement les enchante.
Ce ne ſont point des mots que ton loiſir enſante Sintadiff Erp.	Ce ne sont point des mots que ton loisir ensante Sintadiff Erp.
ffaustourttux de l’âge vieu, Ou ſi les moins ſçauans leur diſpatent ce lieu, C'eſt qu'ils ſont ebloüis à leur lumiere ardente.	ffaustourttux de l'âge vieu, Ou si les moins Savants leur dispatent ce lieu, C'est qu'ils sont éblouis à leur lumière ardente.
Ta dis bien, iu ſais bien, tu contentes, Iu plais, Et mieux que tu ne dit, en tes œaures tu fais, Tant que diſant, & docte on t’entend, on t’admire;	Ta dis bien, ju sais bien, tu contentes, Ju plais, Et mieux que tu ne dit, en tes œaures tu fais, Tant que disant, et docte on t'entend, on t'admire;
Maus ce n’est pas aſſez, braue encor le deſtin, Ornant de ſon buiin les vers que tu ſoupire, Ainſi tu ne mourras que pout estre diuin.	Maus ce n'est pas assez, brave encor le destin, Ornant de son buiin les vers que tu soupire, Ainsi tu ne mourras que pout être divin.
O.	Ô.
Du Moni-ſacré.	Du Moni-sacré.
AD N.	AD N.
CHRISTIANVM TRAGEDVM.	CHRISTIANUM TRAGEDUM.
EPIGRAMMA.	EPIGRAMMA.
Principis Alboini dum triſtia fata recenſes, Inculros mores dùm Nicolac ſonas.	Prcipis Alboini du tristia fata recenses, Inculros mores dUm Nicolac zonas.
Coniugis infidæ pollutam ſanguine dextram Dumque refers Tragico turgida verba tono Contemptumq;	Coniugis infidæ pollutam sanguine dextram Dumque refers Tragico turgida verba ton Contemptumq;
malo ſacra i fœdere lecti Dum narras genium, perfid amq;	malo sacra y jœdere lecti Dum narras génium, perfid amq;
tonas.	tonas.
Regibus, & populo, & crudis das iura maritis Quanta ſit irati numinis ira doces:	Regibus, et populo, et crudis das jura maritis Quanta sit irati numinis ira doces:
Quantum aliis præſtat, tantũ præſtare videris Melpomenè tragicis vociferata ſonis.	Quantum aliis prætat, tant præthare viteris Melpomenè tragis vociférata sonis.
I.	I.
oger.	oger.
Morter.	Morter.
Aduocat.	Aduocat.
Aigent.	Aigent.
A MONSIEVR DES CROIX.	À MONSIEUR DES CROIX.
Toy, dont l’Antiste Moſe agence le bien dire Jus l’honneur emperle du Coihurne François, Tu fay reuiure encor la cendre des grands Tois cõme ont fait ceux que Rome, & qu'Aihenes aduir, Auſii leur meſme los guerdonnera ta voix.	Toi, dont l'Antiste Mose agence le bien dire Jus l'honneur emperle du Coihurne Français, Tu fay revivre encor la cendre des grands Tois comme ont fait ceux que Rome, et qu'Aihenes avir, Ausi leur as s guerdonnera ta voix.
R.	R.
L.	L.
C.	Ç.
SVR LA TRAGEDIE DV SIEVR DES CROIX.	SUR LA TRAGÉDIE DU SIEUR DES CROIX.
intitulée la Vengeance.	intitulée la Vengeance.
Tes vers (chrétien) retirent Roſemonde Hors des Enfers, ofin de rauager, Son Alboüin, qui la vouloit ranger Cruel à hoire en vne coupe tmmonde.	Tes vers (chetien) retirent Rosemonde Hors des Enfers, ofin de ravager, Son Albouin, qui la voulait ranger Cruel à hoire en une coupe tmonde.
Tes meſmes vers d’vne belle faconde.	Tes mêmes vers d'une belle faconde.
Bien toſt apres la vieunent ſacager, RESTE LA MVSE FLORIE S.	Bien tôt après la vieunent sacager, RESTE LA MUSE FLORIE S.
LE FORESTIER.	LE FORESTIER.
Pour le tripas de ſon époux venger Qui l’aimoit plus que Princeſſe du monde.	Pour le tripas de son époux venger Qui l'aimait plus que Princesse du monde.
Volla comment de tesbeaux vers l’éfort Luy dunne ne, & upiiost lamort:	Volla comment de tesbeaux vers l'éfort Lui dunne ne, et upiiost lamort:
Elle pourroit donques de toy ſe plaindre;	Elle pourrait donc de toi se plaindre;
Si n’eſtoit que de ſes cendres renaiſt Comme vn Dhœnix, vne vie qui n'eſt Suiette au tems, & la mort ne peut craindre.	Si n'était que de ses cendres renaît Comme un Dhœnix, une vie qui n'est Suite au temps, et la mort ne peut craindre.
D.	D.
D.	D.
Chriſtiano in eius Roſimundam quilito Putdiro donatam.	Christiano in eius Rosimundam quilito Putdiro donatam.
Dum noſtrate cupis Roſimundam ornare Cothuino, Et tragicis fertur dum celebrata modis:	Dum nostrate cupis Rosimundam ornare Cothuino, Et tragicis fertur dum célébrata modis:
Quæ cauis, en multum Roſimundæ catmins, debent:	Quæ cavis, en multum Rosimundæ catmins, débent:
Authori multum debet, & illa tibi.	Autori multum débet, et illa tibi.
Illius auxilio, ſemper tua carmina viuent:	Illius auxilio, semper tua carmina vivent:
Carminibas viuet ſemper & illa tuis	Carminibas vivet semper et illa tuis
AV SIEVR DES CROIX.	AU SIEUR DES CROIX.
SONNET.	SONNET.
Comme pour animer le penple Alhenien vn facſeur aduiſe, d’vne ſaine alegreſſe A11j Repreſentoit au vif vne Grecque Princeſſe Pleurait ſon triſte ſort d’vn try Sophoclien.	Comme pour animer le penple Alhenien un facseur avise, d'une saine alègresse A1j Présentait au vif un Grecque Princesse Pleurait son triste sort d'un tri Sophoclien.
Car pour bien exprimer ce Tragique Actien, Et pour depeindre au vif d’Electre la detreſſe, Des cendres de ſon fils ranimant ſa triſteſſe, Rempliſſoit de longs cris l’Echaufaut Airéen.	Car pour bien exprimer ce Tragique Actien, Et pour dépeindre au vif d'Élèctre la détresse, Des cendres de son fils ranimant sa tristesse, Remplissait de longs cris l'Échauffaut Airéen.
Mais il n’eſt point beſoin faire ;	Mais il n'est point besoin faire ;
ci le ſemblable Pour Chrétieu exprimer la force de tes vers, Doctement façonnez d’vn Art émerueillable, Pollis, courts, ſigurez, Pahetiques, diuers D’Alboin fortuné, & de ſon Diadóne, Puiſqu’en les eiant lire, on voit la choſe méme.	cy le semblable Pour Chrétieu exprimer la force de tes vers, Doctement façonnez d'un Art émerueillable, Pollis, courts, sigurez, Pahétiques, divers D'Alboin fortuné, et de son Diadóne, Puisqu'en les eiant lire, on voit la chose même.
I.	I.
Oger.	Oger.
Mort.	Mort.
Aduocat.	Aduocat.
Argent.	Argent.
A MONSIEVR DES CROIX SVR SA Tragedie de la Vengeance.	À MONSIEUR DES CROIX SVR SA Tragédie de la Vengeance.
TANCES.	TANCES.
De quel prix mon Chráient'honore Roſonende Dour la tirer du fonds d’vn étcrnel oubli?	De quel prix mon Chráient' honore Rosonende Dour la tirer du fonds d'un étcrnel oubli?
Tu l’omes pour marcher hardiment par le monde, Et du prix de ſa vie, elle te rend anobli.	Tu l'omes pour marcher hardiment par le monde, Et du prix de sa vie, elle te rend anobli.
Mau(ò iuſte Ecriuain,) tu n’empruntes le fard D'vn ſtle menſonger pour en maſq uer le vice, Car chacun de ſon fait porte la iuste part, L’honneur ſuit la vertu, le peché le ſuplice.	Mau (ò juste Écrivain,) tu n'empruntes le fard D'un stèle mensonger pour en masq uer le vice, Car chacun de son fait porte la juste part, L'honneur suit la vertu, le péché le supplice.
Ne t’étonne CH RETIEN s’elle tarde ſortir Des Muoirs pleius d’horreur, les priſons de ſon Ame, Voir reuiure Alboin, Almachille pair, 127.	Ne t'étonne CH ÉTIEN s'elle tarde sortir Des Muoirs pleius d'horreur, les prisons de son Âme, Voir revivre Alboin, Alachille pair, 127.
St plu de.	St plu de.
torment qe'me imontell.	torment qème imontell.
Amn:	Amn:
Ed' ſe trompe, Euridice en ſusuant ſon Epoux Veut quitter de Pluton le ſeiour efroiable, Ell' pourra donc plustost ſuporter leur courroux Que gemir dans l’horreur d’vn Enfer execrable.	Ed' se trompe, Euridice en susvant son Époux Veut quitter de Pluton le séjour éfroyable, Éll pourra donc plutôt super leur courroux Que gémir dans l'horreur d' Enfer exécrable.
Roſemonde, ſortez voſtre guide eſt CHRETIEN, Sous la plume des Croix:	Rosemonde, sortez votre guide est CHRÉTIEN, Sous la plume des Croix:
ſus, faites vous parestre, Il vaut mieux voir le iour qu’eſtre reduite en rien, " Le premier bien de l’homme eſt d’auoic recen l'estre.	sus, faites -vous paraître, Il vaut mieux voir le jour qu'être réduite en rien, " Le premier bien de l'homme est d'avoic en l'être.
F.	F.
M.	M.
P.	P.
Argent.	Argent.
A MONSIEVR CHRETIEN.	À MONSIEUR CHRÉTIEN.
Docte chrétien, quand éper la i'admire, De tes beaux vers les Tragiques diſcors, M emerueillant de leurs diuins acors En eux raui ie ſais ſorce de dire:	Docte chrétien, quand éper la j'admire, De tes beaux vers les Tragiques discors, M émerveillant de leurs divins acors En eux ravi On sais sorce de dire:
Quel Phitenis qui des Enfers aitire Et les Démons, & les ombres des Morts?	Quel Phitenis qui des Enfers aitire Et les Démons, et les ombres des Morts?
Quel granid Mercur qui r’anime les corps Qui des mille ans ſont captifi chez la dire?	Quel granid Mercur qui ranime les corps Qui des mille ans sont captifi chez la dire?
Pois rerardait Albouin & Comonde, Ie du à Pyn, ta fille t’a vengé.	Pois rerardait Albouin et Comonde, Je du à Pyn, ta fille t'a vengé.
Et au premier.	Et au premier.
Christien qui a rengé Tes braues fais en ſes Cirmes diuers, Te venge autant de fois de Reſemonde Que par la France on lita ſes beaux vers.	Christien qui a rengé Tes braves fais en ses Cirmes divers, Te venge autant de fois de Résémonde Que par la France on lita ses beaux vers.
P.	P.
B.	B.
Argent.	Argent.
eius verſus.	éjus versus.
Dum redamas, verſuq ſimul laudaris in iſto, Non morietur amor, nec morietur honor.	Dum redamas, versuq simul laudaris in isto, Non moriétur amor, ne moriétur honor.
4.	4.
c.	ç.
Idem ad Eundem.	Idem ad Eundem.
Galliea cum ſcribas, & docta poëmata paſſim Te viridi lauro noſtea Camoena beat.	Galliea cum scribas, et docta poèmata passim Te viridi lauro nostea Camoena béat.
Suiet de la Tragedie.	Suiet de la Tragédie.
Lboüin dixie me Roy des Lombarde qui eut en premieres nopces la fillede Clothaiie Roy des François épouſe apies Roſemonde, fille de Comonde Roy des Zepides, qu’il defait en bataille, & toute ſon armec Pour marque de telle victoise il fait faire du Crane deComonde vne coupe pour boire.	Lboüin dixie me Roi des Lombarde qui eut en premières noces la fille Clothaie Roi des Français épouse apies Rosemonde, fille de Comonde Roi des Zépides, qu'il défait en bataille, et toute son armec Pour marque de telle victoise il fait faire du Crane deComonde une coupe pour boire.
Narcez pour ſe venger de l’Empeieur Iuſtin, qui (à la ſolicitatiõ.	Narcez pour se venger de l'Empeieur Justin, qui (à la solicitation.
de ſa femme) luy auoit oſté le Gouuernemẽt d’Italie, pour mettie en ſon lieu Longin Exarcat à Rauenne peiſuade Alboüin d’mueuſir l’Italie, il ſe rend ſeigneur de ce paiis, qui du nõ de ſes peuples, eſt encor dit Lombardie.	de sa femme) lui avait ôté le Gouvernement d'Italie, pour mettie en son lieu Longin Exarcat à Ravenne pisuade Albouin d'mueusir l'Italie, il se rend seigneur de ce paiis, qui du nom de ses peuples, est encor dit Lombardie.
Pour celebrer la memoire de ſes heureux ſuccez, il fait dreſſer vn feſtin ſolemnel, ou épris de vin, il boit dans la coupe du Cranc de ſon beau-pere, & fait dire à Lo emonde qu’il veut qu'elle boine auec ſon pee ce iour là.	Pour célébrer la mémoire de ses heureux succès, il fait dresser un festin solennel, ou épris de vin, il boit dans la coupe du Cranc de son beau-père, et fait dire à Lo émonde qu'il veut qu'elle boyne avec son pe ce jour là.
Elle eſt tellement outree de ces paoles, qu’elle hazarde ſa vie & ſon hõneur pour cage.	Elle est tellement outrée de ces paoles, qu'elle hasarde sa vie et son honneur pour cage.
l'iniure que loy f.	l'injure que loi f.
ii coa mari.	ji coa mari.
Elle obrgcauteleulen ent Almachilde, & Peredee pour effectuer ſon pernicieux deſſein de faite mourir Alboüin:	Elle obrgauteleulen ent Almachilde, et Pèredée pour effectuer son pernicieux dessein de faite mourir Albouin:
ce qui n’eſt ſi toſt executé qu’elle & les meurtriers ſont contrains, pour éuiter la fureur des Lombards, ſe ſauuer promtement à Rauenne, ou eſt Gouuemneur Longin.	ce qui n'est si tôt exécuté qu'elle et les meurtriers sont contrains, pour éviter la fureur des Lombards, se sauver promtement à Ravenne, ou est Gouuemneur Longin.
Elle porte ious les treſors du Roy ſon mary moit, emmeine Albiſinde fille du premier lict d’Alboüin.	Elle porte jous les trésors du Roi son mari moit, emmeine Albisdeinde fille du premier lit d'Albouin.
Arriuez qu’ils ſont à Rauenne.	Arrivez qu'ils sont à Ravenne.
Longin eſt amoureux de Roſemonde, luy fait promeſſe de l’épouſer ſi elle n’auoit Almachilde pour mary.	Longin est amoureux de Rosemonde, lui fait promesse de l'épouser si elle n'avait Almachille pour mari.
Elle prepare ſoudain du poiſon pour s’en deliurer, luy en fait boire enuiron la moitié pleine vne Coupe.	Elle prépare soudain du poison pour s'en délivrer, lui en fait boire environ la moitié pleine une Coupe.
Almachilde ſentãt ce ſubuil poiſon operer ſi promtehieut entapumuelavie, met l’épée à la gorge de Roſemonde qu’il force à boire le reſte.	Almachilde sentant ce subuil poison opérer si promtehieut entaptuelavie, met l'épée à la gorge de Rosemonde qu'il force à boire le reste.
Ainſi meutent tous deux.	Ainsi meutent tous deux.
Peredée les ſuit, comme Barcee ſon amoureuſe qui ſe tuë elle meſme, eutendant les nouuelles de ſa mort, pour dauantage enſenglanter la Cataſtrophe de choſes funebres, ou ſe void à l’œil com me Dieu vengeur des iniquitez ne laiſſe de ſi enormes fo fais, ſans en faire la vengeance entiere.	Peredée les suit, comme Barcée son amoureuse qui se tue elle -même, eutendant les nouvelles de sa mort, pour davantage ensenglanter la Catastrophe de choses funèbres, ou se voit à l'œil com me Dieu vengeur des iniquités ne laisse de si en laisse fais, si en faire la vengeance entière.
Ce ſuiet amplement eſt traité au 27.	Ce sujet amplement est traité au 27.
chap.	chap.
du 1.	du 1.
