DOMITIE, femme de Domities	DOMITIE, femme de Domities
TITEET TITUS, DU LES BERENICES, MEDIE.	TITET TITUS, DU LES BERENICES, MEDIE.
Du Beene ije un Parnaſſe dans le temple de memoire.	Du Béne ije un Parnasse dans le temple de mémoire.
ACTE PREMIER, SCENE PREMIERE.	ACTE PREMIER, SCÈNE PREMIÈRE.
THALIE TITE.	THALIE -TE.
2 THALIE.	2 THALIE.
E ſuiet qui vous amene icy ne m'eſt pas tout à fait inconnu, & d’eja la renommée m’a apporté la nouvelle au Dieu qui commande en ces Lieux;	E sujet qui vous amène ici ne m'est pas tout à fait inconnu, et d'éjà la renommée m'a apporté la nouvelle au Dieu qui commande en ces Lieux;
mais, comme cette Nimphe ne parle pour l’ordinaire que fort confuſement de toutes choſes, il eſt à proposque vous m’expliquiez un peu A 2 plus;	mais, comme cette Nymphe ne parle pour l'ordinaire que fort confusément de toutes choses, il est à proposque vous m'expliquiez un peu A 2 plus;
plus nettement la matiere de plainte, que vous vez, eſt enfin cequi vous oblige de venir au piis ſe implorer la Juſtice d’Apollon,	plus nettement la matière de plainte, que vous vez, est enfin cequi vous oblige de venir au piis se implorer la Justice d'Apollon,
ITE Belle Déeſſe (car voſtre air, & vôtre miue ſont pas d’une beauté mortelle;	ITE Belle Déesse (car vôtre air, et votre mive sont pas d'une beauté mortelle;
& je ne puiss ſperer bien de mon voyage, puiſque je ſuis todins de ſi bonnes mains, des mon entrée dans çaluſtre pays) je ſuis l’infortuné Tite, Empercus Rome;	et je ne puiss spérer bien de mon voyage, puisque je suis todins de si bonnes mains, des mon entrée dans çalustre pays) je suis l'infortuné Tite, Empercus Rome;
mais, que disje, je ſuis;	mais, que disje, je suis;
parlons plus & diſons ſeulement que je prétens l’eſtre:	parlons plus et disons seulement que je prétends l'être:
pu I’on me conteſte que je le ſois;	pu J'on me conteste que je le sois;
qu’un impoſtis qui ſe fait appeller Titus, a eu la hardieſſe d’uſun ſur moy ce titre glorieux, & que je ſuis expoſt paſſer pour un fourbe, & pour un ſcelerat ſi es puis faire voir que c’eſt luy qui en eſt un & nos moy.	qu'un impostis qui se fait appeler Titus, a eu la hardiesse d'un sur moi ce titre glorieux, et que je suis expos passer pour un fourbe, et pour un scélérat si es puis faire voir que c'est ainsi qui en est un et nos moi.
C’eſt là le ſujét qui m’amene ences lieur, viens demander vangeance à Apollon, de linj que me fait cet uſurpateur:	C'est là le sujet qui m'amène ences lieur, viens demander vengeance à Apollon, de linj que me fait cet usurpateur:
d’autant plus gru que, comme vous ſaurez par la ſuitte, c’eſt un ua mal honneſtehomme, qu’il y a bien grandedſi rence de luy à moy, Etque je ſerois fort fâché del, reſſembler, je ſuis donc venu au parnaſſe, pæ y faire decider ſi ie ſuis un impoſteur, ou ſi jels les delices du genre humain;	d'autant plus gru que, comme vous saurez par la suitte, c'est un ès mal honnêtehomme, qu'il y a bien grandedsi renée de lui à moi, Etque je serais fort fâché dél, ressembler, je suis donc venu au parnasse, pæ y faire décider si je suis un imposteur, ou si jels les délices du genre humain;
car il faut neceſſirt ment que ie ſois l’un des deux & il n’y apointdt milieu entre ces deux extrémitez.	car il faut nécessirt ment que je sois l'un des deux et il n'y apointdt milieu entre ces deux extrémités.
Jugez chrmante Déeſſe s’il yeut jamais de different plusin portantque celuy la.	Jugez chrmante Déesse s'il yeut jamais de différent plusin portant celui la.
THALIE.	THALIE.
Il eſt vrayqu’il ne ſauroit l’être dávantage pou vous puisqu’il s’agit de ſavoir ſi vous éſtes vous m	Il est vraiqu'il ne saurait l'être davantage pour vous puisqu'il s'agit de savoir si vous ès vous m
me, ou ſi vous ne l’éſtes pas auſſi me défiai-je bien d' abord quand joüis dire, que deux Empereurs Romains devoient venir en ce pays, que de ſi grans perſonnages ne faiſoient pas ce voyage pour une cauſe legére;	me, ou si vous ne l'êtes pas aussi me défiai-je bien d' abord quand jouis dire, que deux Empereurs Romains devaient venir en ce pays, que de si grans personnages ne faisaient pas ce voyage pour une cause legére;
mais de grace redittes moy vôtre nom, je ne ſai comment il m’a êchappé quand vous l’avez dits, j’ai ſû quelque fois l’hiſtoire Romaine, & la ſuitte des Empereurs eſt une choſe aſſez connue;	mais de grâce rédites moi votre nom, je ne sais comment il m'a échappé quand vous l'avez dits, j'ai su quelque fois l'histoire Romaine, et la suitte des Empereurs est une chose assez connue;
mais je n’y ay jamais vû le nom que je penſe avoir oui, il faut aſſurément que j’aye mal entendu.	mais je n'y ai jamais vu le nom que je pense avoir oui, il faut assurément que j'aie mal entendu.
TITE Je vous ai dit, o Deeſle que j’étois l’Empereur.	TITE Je vous ai dit, ô Deêle que j'étais l'Empereur.
Tite.	Tite.
PIFALIE Tite?	PIFALIE Tite?
voila un bien petit nom pour un ſi grand eigneur vous ne pouvez pas en avoir deplus mince;	voilà un bien petit nom pour un si grand eigneur vous ne pouvez pas en avoir déplus mince;
pour peu qu’on en oſt it il n’y reſteroitrien;	pour peu qu'on en ost it -il n'y resteroitrien;
Tite l on ne ſe defieroit jamais que le maitre du monde ſappellat dela ſorte;	Tite l on ne se défierait jamais que le maître du monde sapellat déla sorte;
& ſi vos raiſons n’ont nus plus de poids, ny plus de gravité que vôtre nom, ſe tiens vôtre affaire des eſperée.	et si vos raisons n'ont nus plus de poids, ni plus de gravité que votre nom, se tiens votre affaire des espérée.
TITE.	TITE.
Et comment voudriéz vous donc que je m'appellaſſe?	Et comment voudriez -vous donc que je m'appelasse?
aimeriéz vous mieux que j’euſſe pris un nom Latin en François?	aimeriez -vous mieux que j'eusse pris un nom Latin en Français?
comme mon ennemi;	comme mon ennemi;
& que je m’appellaſſe Titus Silpalongtems que les noms en us ne ſont plus honorables, & que le monde eſt detabuſé ſur cette affectation.	et que je m'appelasse Titus Sypalongtems que les noms en us ne sont plus honorables, et que le monde est détabusé sur cette affectation.
THALIE.	THALIE.
Comme il ne m’appartient pas de vous juger.	Comme il ne m'appartient pas de vous juger.
je me garderay bien de prononcer entre Titese Titus.	je me garderai bien de prononcer entre Titese Titus.
Titus.	Titus.
C'eſt un incident de vôtre affaire, pourra bien être jugé avec le principal, ſi vout priéz Apollon.	C'est un incident de votre affaire, pourra bien être jugé avec le principal, si vout priéz Apollon.
Cependant ceque je puis vous du la deſſus, c’eſt que ce ſera ſur vos mœurs & ſ vos ſentimens qu’il nous jugera, & non paſ vos noms, ainſi quelque ridicule que puille q́u le vôtre, vous n'en devéz rien apprehender d'u leurs je conſidere que cette difference de nom, u tre vous & vôtre averſaire éſtoit neceſſairepas vous diſtinguer l’un de l’autre dans cette oen ſion icy.	Cependant ceque je puis vous du la dessus, c'est que ce sera sur vos mœurs et s vos sentiments qu'il nous jugera, et non pas vos noms, ainsi quelque ridicule que puille q́u le vôtre, vous n'en devez rien appréhender d'u leurs je considère que cette différence de nom, vous et vôtre aversaire éstoit necessairepas vous distinguer un de autre dans cette sion .
ITE.	ITE.
Vôtre Entretien à quelque choſe de ſi doux &a ſi ſingulier tout en ſemble, aimable Nymfe, je ne ſaurois plus reſiſter à la curioſité de ſit qui vous eſtes je vous conjure donc de vouloirſ tisfaire la mienne ſur ce point, comme j'ayſt fait la vôtre, & de me dire en quelles mainiſ plu au ſort de me conduire.	Votre Entretien à quelque chose de si doux eta si singulier tout en semble, aimable Nymée, je ne saurais plus résister à la curiosité de sit qui vous êtes je vous conjure donc de vouloirs tisfaire la mienne sur ce point, comme j'aiût fait la vôtre, et de me dire en quelles mainis plu au sort de me conduire.
THALIE.	THALIE.
Il n' eſt rien de plus juſte que ceque vous mesmandez;	Il n' est rien de plus juste que ceque vous mandez;
& j’ay mêſme quelque intereſt à ras l'accorder;	et j'ai même quelque intérêt à ras l'accorder;
car, comme je vous ay parlé iut aſſez de liberté, ce la pourroit vous avoir depl parceque vous ne ſavéz pas qui je ſuis, & je ſout bien fâché d’avoir déplû à un perſonnage de ue tre qualité;	car, comme je vous ai parlé iut assez de liberté, ce la pourrait vous avoir dépl parceque vous ne savez pas qui je suis, et je sout bien fâché d'avoir déplu à un personnage de ue tre qualité;
mais vous vetrez bien que je n’en s point eu le deſſein en me joüant comme j'ayhi ſur vôſtre nom, lors que vous ſauréz le mien;	mais vous verez bien que je n'en s point eu le dessein en me joüant comme 'aihi sur vôstre nom, lors que vous sauréz le mien;
q c’eſt ma maniere naturelle & generale & quel traitte toutes choſes de cet air la.	q c'est ma manière naturelle et générale et quel traite toutes choses de cet air la.
Car en finl & m’appelle Thalre, & je ſuis la Muſe de la Comede TITE	Car en finl et m'appelle Thalère, et je suis la Muse de la Comède TITE
TITE.	TITE.
Je me veux grand mal de ne l’avoir pas deviné, e n'aurois jamais crû être ſi groſſier & je devois vien juger qu'il faut que vous aimiez bien à rire:	Je me veux grand mal de ne l'avoir pas deviné, eu n'aurais jamais cru être si grossier et je devais vien juger qu'il faut que vous aimiez bien à rire:
puis que vous ne vous en pouviez par empecher a parlant d’une affaire auſſi ſérieuſe que celle qui n’amene icy, & à un homme de ma qualité.	puis que vous ne vous en pouviez par empêcher a parlant d'une affaire aussi sérieuse que celle qui n'amène ici, et à un homme de ma qualité.
THALIE.	THALIE.
Il eſt vray que je ne ſerois pas la Muſe de la Comedie, ſi je n’aimois pas à rire;	Il est vrai que je ne serais pas la Muse de la Comédie, si je n'aimais pas à rire;
mais ce n’eſt jamais ſans ſujet que je le fais;	mais ce n'est jamais sans sujet que je le fais;
& les gens de vôtre qualité ne ſont pas tousjours les moins ridicules les hommes;	et les gens de votre qualité ne sont pas toujours les moins ridicules les hommes;
un Prince, ou un Empereur Comique iſt tout autrement plaizant, qu’un Borgeois jabux, on qu'un Valet fourbé;	un Prince, ou un Empereur Comique ît tout autrement plaizant, qu'un Borgeais jabux, on qu'un Valet fourbé;
& je ne ſai pourquoy on m’a defendu de jouer les grands, & qu’on à eſervé toutes leurs affaires pour l’uſage de ma œur Melpomene la Muſc de la Tragedie, car j’y lurois beaucoup mieux trouvé mon conte, que uirmy le peuple;	et je ne sais pourquoi on m'a défendu de jouer les grands, et qu'on à eservé toutes leurs affaires pour l'usage de ma œur Melpomene la Musc de la Tragédie, car j'y lurais beaucoup mieux trouvé mon conte, que irmi le peuple;
il paroit bien en cela que les affaies de ces Meſſieurs-là ſont reglées par l’autorité, a non pas par la raiſon;	il parait bien en cela que les affaies de ces Messieurs-là sont réglées par l'autorité, a non pas par la raison;
ce n’eſt pas la ſeule injuſtite qu’on fait en leur faveur;	ce n'est pas la seule injustite qu'on fait en leur faveur;
en voila aſſez pour ne matiere ſi delicate, & nous ſommes interompus à propos, par cette aimable perſonne qui avance vers nous;	en voilà assez pour ne matière si délicate, et nous sommes intérompus à propos, par cette aimable personne qui avance vers nous;
il faut qu’elle ſoit etrangere er je ne la connois point.	il faut qu'elle soit étrangère er je ne la connais point.
TE Vous voyez charmante Muſe la belle Princeſſe ue j’aime;	TE Vous voyez charmante Muse la belle Princesse ue j'aime;
cette eſtrangere eſt la Reyne Berenice, lont vous avez ſaus doute ouy parler.	cette étrangère est la Reine Berenice, lont vous avez saus doute ouï parler.
SCENE SECONDE THALIE BERENICE De TITE, & TITE.	SCÈNE SECONDE -THALIE BERENICE De TITE, et TITE.
THALIE.	THALIE.
Ouy belle Reyne votre reputation n’eſt e moindre que vos agrémens;	Oui belle Reine votre réputation n'est e oindre que vos agrémens;
& avantque vouse ſiez paru dans les lieux, nous ſavions déja que étiez une de plus aimables perſonnes du moauſſi devez vous attendre d’Appollon, & dutres Muſes mes ſœurs, auſſi bien que de a toutes les Civilitez que vous meritez.	et avant vouse siez paru dans les lieux, nous savions déjà que étiez une de plus aimables personnes du moaussi devez vous attendre d'Apollon, et dutres Muses mes sœurs, aussi bien que de a toutes les Civilités que vous méritez.
TE.	TE.
Medame, connoiſſez la charmante Thalie, & ingenieuſe Muſe de la Comedie.	Medame, connaissez la charmante Thalie, et ingénieuse Muse de la Comédie.
BERENICE de TITE.	BERENICE de TITE.
Il paroit bien à vos diſcours, ſavante Nim que les graces & les jeux ne vous abandonne mais, & l’obligeante raillerie, dont vous u accueillie, ne pouvoit être aſſaiſonnée pa main plus delicate auſſi jo la recois avec tos reconnoiſſance que meritent les ciuilitez, &l loüanges d’une immortelle comme vous.	Il parait bien à vos discours, savante Nim que les grâces et les jeux ne vous abandonne mais, et l'obligeante raillerie, dont vous u accueillie, ne pouvait être assaisonnée pa main plus délicate aussi jo la reçois avec tos reconnaissance que méritent les civilités, et louanges d'une immortelle comme vous.
THALIE.	THALIE.
Vous venéz à propos en ce païs, aimable l'ut ceſſe, & le ſort vous y à ſans doute conduitte pa y terminer l’illuſtre different, que le paruaſſede voir decider en ce jour;	Vous venez à propos en ce pays, aimable l'ut cesse, et le sort vous y à sans doute conduite p y terminer l'illustre différent, que le parvassede voir décider en ce jour;
votre Cœur diſcemet m eux que toutes les lumieres de l’eſprit d’Apolt meſme, lequel de Tite, ou de Titus, eſt le ret ble Empereur que vous aiméz.	votre Cœur discemet m eux que toutes les lumières de l'esprit d'Apolt yenne, lequel de Tite, ou de Titus, est le ret blé Empereur que vous aiméz.
BERENICE de TITE.	BERENICE de TITE.
le ſerois peut être propre à cet office, aimable Muſi je n’eſtois pas dans le même embarras qu’eux, ſi je ne venois pas au parnaſſe comme eux, pour demander Juſtice à Apollon d’une fauſſe Bereice, dont la hardieſſe me des honore, & qui ſe aifalafeumaj;	le serais peut être propre à cet office, aimable Musi je n'étais pas dans le même embarras qu'eux, si je ne venais pas au parnasse comme eux, pour demander Justice à Apollon d'une fausse Bérice, dont la hardiesse me des honore, et qui se aifalafeumaj;
THALIE.	THALIE.
