Auec Priuilege du Roy.	Avec Privilège du Roi.
A MONSEIGNEVR DE LIONNE, MINISTRE D’ESTAT, COMMANDEVR ET MAISTRE DES CEREMONIES DES ORDRES DV ROY.	À MONSEIGNEUR DE LIONNE, MINISTRE D'ÉTAT, COMMANDEUR ET MAÎTRE DES CÉRÉMONIES DES ORES DU ROY.
venir habiter les Campagnes & les Villes, & ioüir auec toute la France des delices de la Paix.	venir habiter les Campagnes et les Villes, et jouir avec toute la France des délices de la Paix.
C’eſt ce qui m'a fait prendre la liberté de venir ſur les bords de Seine chanter ſur la Lyre la gloire du Heros qui eſt l’Autheur d’vn ſi grand bien.	C'est ce qui m'a fait prendre la liberté de venir sur les bords de Seine chanter sur la Lyre la gloire du Héros qui est l'Auteur d'un si grand bien.
Si i'ay entrepris de celebrer ſes loüanges dans mes Ouurages, c'eſt ſur l’eſperance que i’ay euë que vous ne me refuſeriez pas voſtre protection.	Si j'ai entrepris de célébrer ses louanges dans mes Ouvrages, c'est sur l'espérance que j'ai eue que vous ne me refuseriez pas votre protection.
Pour mieux meriter cette faueur, ie ſouhaitterois d’auoir l’Eſprit d’Horace, comme vous auez les Vertus de Mecene.	Pour mieux mériter cette faveur, ie souhaiterais d'avoir l'Esprit d'Horace, comme vous avez les Vertus de Mécène.
L’on remarque en vous les meſmes qualitez que poſſedoit autresfois cét illuſtre Romain.	L'on remarque en vous les mêmes qualités que possédait autrefois cet illustre Romain.
Vous auez comme luy beaucoup de generoſité, & beaucoup d’amour pour les belles Lettres;	Vous avez comme lui beaucoup de générosité, et beaucoup d'amour pour les belles Lettres;
Et l’on peut dire que vous eſtes à la Cour de France ce qu'il eſtoit dans la Cour d’Auguſte.	Et l'on peut dire que vous êtes à la Cour de France ce qu'il était dans la Cour d'Auguste.
Vous auez depuis long-temps part aux ſecrets & aux plus importantes affaires de l’Eſtat, & vous vous eſtes touſiours ſi dignement acquitté de tous les Emplois que l’on vous a donnez, qu'vn degré d’honneur ne vous a ſeruy que pour monter à vn autre.	Vous avez depuis longtemps part aux secrets et aux plus importantes affaires de l'État, et vous vous êtes toujours si dignement acquitté de tous les Emplois que l'on vous a donnez, qu'un degré d'honneur ne vous a servi que pour monter à un autre.
Vous auez esté honnoré de trois Ambaſſades Extraordinaires, en Italie, en Espagne, & en Allemagne, où vous auez confirmé l’opinion auantageuſe que l’on auoit de voſtre capacité, & de vostre Prudence.	Vous avez été honoré de trois Ambassades Extraordinaires, en Italie, en Espagne, et en Allemagne, où vous avez confirmé l'opinion avantageuse que l'on avait de votre capacité, et de votre Prudence.
L’on ne doit pas eſtre ſurpris de vous voir ſi habile dans les grandes Negotiations, puiſque c'eſt vne qualite hereditaire à ceux de voſtre Maiſon.	L'on ne doit pas être surpris de vous voir si habile dans les grandes Négotiations, puisque c'est une qualité héréditaire à ceux de votre Maison.
Uous & feu Monſeigneur voſtre Oncle en auez donné d’aſſez fortes preuues;	Uous et feu Monseigneur votre Oncle en avez donné d'assez fortes preuves;
& ſans venir dans le détail des ſeruices que vous auez rendus l’vn & l’autre au Public;	et sans venir dans le détail des services que vous avez rendus l'un et l'autre au Public;
il ſuffit de dire que vous auez eu part aux deux plus belles choſes qui ſe ſont faites en noſtre Siecle;	il suffit de dire que vous avez eu part aux deux plus belles choses qui se sont faites en notre Siècle;
puiſque ſous les ordres du Roy & ceux de ſon Eminence, vous auez trauaillé à la Paix de l’Empire, & a celle de l’Eſpagne.	puisque sous les ordres du Roi et ceux de son Eminence, vous avez travaillé à la Paix de l'Empire, et à celle de l'Espagne.
Ainſi l'on voit que la qualité de Miniſtre d’Estat eſt la iuſte recompenſe de vos trauaux, & de voſtre merite;	Ainsi l'on voit que la qualité de Ministre d'État est la juste récompense de vos travaux, et de votre mérite;
Mais le Roy en vous éleuant à cette haute dignité, a fait vne action de Juſtice dont l’éclat réjaillit ſur luymeſme, Car Sa Maiesté ne vous a fait cét honneur, que pour tirer de vous de plus grands Seruices, & pour eſtre plus vrue u ja groirti Cette connoiſſance parfaite que vous auez des affaires d’Eſtat qui vous rend ſi neceſſaire & ſi recommandable, ſont des qualitez qui meritent veritablement beaucoup de loüanges:	Mais le Roi en vous élevant à cette haute dignité, a fait esprit action de Justice dont l'éclat réjaillit sur luymesme, Car Sa Majesté ne vous a fait cet honneur, que pour tirer de vous de plus grands Services, et pour être plus vrue u ja groirti Cette connaissance parfaite que vous avez des affaires d'État qui vous rend si nécessaire et si recommandable, sont des qualités qui méritent véritablement beaucoup de langes:
Vous en poſſedez toutesfois encore d’autres qui ne ſont pas moins conſiderables.	Vous en possédez toutefois encore d'autres qui ne sont pas moins considérables.
L'excellence de voſtre Eſprit ſuffiſoit pour vous faire admirer;	L'excellence de votre Esprit suffisait pour vous faire admirer;
mais pour vous faire aymer, il falloit quelque choſe dauantage:	mais pour vous faire aimer, il fallait quelque chose davantage:
Afin donc qu’il ne vous manquaſt rien pour eſtre accomply, vous auez voulu ioindre la beauté des Mœurs à celle de l’Eſprit, pour acquerir en meſme temps, l’estime & les affections de tout le Monde.	Afin donc qu'il ne vous manquât rien pour être accompli, vous avez voulu joindre la beauté des Mœurs à celle de l'Esprit, pour acquérir en même temps, l'estime et les affections de tout le Monde.
Perſonne n'a iamais fait paroiſtre plus de douceur & de moderation dans la bonne fortune, ny n’a iamais esté plus acceſſible que vous parmy les grandes occupations.	Personne n'a jamais fait paraître plus de douceur et de modération dans la bonne fortune, ni n'a jamais été plus accessible que vous parmi les grandes occupations.
Cette maniere ciuile & obligeante auec laquelle vous receuez ceux qui vous approchent, & le bon accueil que i’en ay touſiours receu en mon particulier, m'ont fait naiſtre le deſir de vous preſenter cét Ouurage.	Cette manière civile et obligeante avec laquelle vous recevez ceux qui vous approchent, et le bon accueil que j'en ai toujours reçu en mon particulier, m'ont fait naître le désir de vous présenter cet Ouvrage.
J’eſpere, MONSEIGNEVR, que vous le receurez fauorablement, & que vous ne luy refuſerez pas vostre approbation.	J'espère, MONSEIGNEUR, que vous le recevrez favorablement, et que vous ne lui refuserez pas votre approbation.
Ie puis vous aſſeurer qu'il n’en eſt pas tout a fait indigne, & que ſi la richeſſe de l’expreßion repondoit à celle de la matiere, il pourroit paſſer pour vn Chef-d’œuure.	Je puis vous assurer qu'il n'en est pas tout a fait indigne, et que si la richesse de l'expression répondait à celle de la matière, il pourrait passer pour un Chef-d'œuvre.
Chreſphonte le Heros de cette piece, eſt compté entre les plus grands Heros de la Grece:	Chresphonte le Héros de cette pièce, est compté entre les plus grands Héros de la Grèce:
Iamais Prince ne s’eſt rendu plus celebre par ſes combats ny par ſes amours.	Jamais Prince ne s'est rendu plus célèbre par ses combatsrit par ses amours.
Pour poſſeder l’illuſtre Merope, dont la beauté ne cedoit pas à celle d’Helene, il a fait vne guerre auſſi fameuſe que celle de Troye.	Pour posséder l'illustre Merope, dont la beauté ne cédait pas à celle d'Hélène, il a fait une guerre aussi fameuse que celle de Troie.
