CEQ ESTGONTENV AV PRESENT	CEQ ÉTGONTENV AU PRÉSENT
Tragedies.	Tragédies.
LIVRE.	LIURE.
Edipe.	Édipe.
Turne.	Turne.
Eleleule.	Éleveule.
CClotilde.	CClotilde.
Meſtanges.	Métanges.
Apotheoſe liure.	Apotheose livre.
1.	1.
& 2.	et 2.
e Dauphin couronné.	 Dauphin couronné.
Le Bocage liure.	Le Bocage livre.
1.	1.
&2.	et2.
Cofmaphes.	Cofmaphes.
A MONSEIGNEVR MESSIRE IACQVES DE LA Gueſle, Conſeiller du Roy en ſes Conſeils d’Eſtat & Priué, ſon Procureur general, & Treſorier de ſes Chartres.	À MONSEIGNEUR MESSIRE IACQUES DE LA Guêle, Conseiller du Roi en ses Conseils d'État et Privé, son Procureur général, et Trésorier de ses Chartres.
’Homme ſe plaint à tort aceuſant ſa nature, Que le ſort inconſtant la pouſſe à l'aduenture.	Ç'Homme se plaint à tort acusant sa nature, Que le sort inconstant la pousse à l'aventure.
Imbecille, impuiſſante, & qui change touſiours, Comme fortune veut, la reigle de ſes iours:	Imbecille, impuissante, et qui change toujours, Comme fortune veut, la règle de ses jours:
Que la Parque trop toſt ſa trame a deuuidée, Elle qui de vertu deuoit eſtre guideé Certaine en ſes contours, ſans meſure, & ſans art, Se gouuerne au plaiſir du ſort & du haſart.	Que la Parque trop tôt sa trame a deuuidée, Elle qui de vertu devait été guide Certaine en ses contours, sans mesure, et sans art, Se gouverne au plaisir du sort et du hasard.
Car regardant de pres la force naturelle Il n’eſt rien de plus grand ne plus excellent qu’elle, Et pluſtoſt les humains luy manquent de deuoir, Qu’elle ne manque pas de temps, ou de pouuoir.	Car regardant de pres la force naturelle Il n'est rien de plus grand ne plus excellent qu'elle, Et plutôt les humains lui manquent de devoir, Qu'elle ne manque pas de temps, ou de pouvoir.
Mais l’eſprit immortel eſt le ſeul capitaine Qui modere le cours de noſtre vie humaine.	Mais l'esprit immortel est le seul capitaine Qui modère le cours de notre vie humaine.
Lequel quand illuy plaiſt, loin du vice tortu Vne gloire choiſir fondée en la vertu, Se trouue aſſez puiſſant, aſſez fort, aſſez braue Pour atteindre à ce but:	Lequel quand illui plaît, loin du vice tortu Vne gloire choisir fondée en la vertu, Se trouve assez puissant, assez fort, assez brave Pour atteindre à ce but:
