LES SECONDES OEVVRES POETITES ET TRAGIQVES de Iehan Preuoſt Aduocat en la baſſe Marche.	LES SECONDES OEUVRES POTITES ET TRAGIQUES de Jehan Preuost Aduocat en la basse Marque.
Imprimees nouuelement,	Imprimées nouvelement,
HERCVLE TRAGEDIE.	HÉRCULE -TRAGÉDIE.
ARGVMENT.	ARGUMENT.
ERCVLE apres auoir forcé la ville HdŒcalie, & enleué lole, voulant ſacrifie y Iupiter pour luyrendre grace de ceſte victoirs.	ERCULE après avoir forcé la ville Hdalcalie, et enlevé lole, voulant sacrifie y Jupiter pour luyrendre grâce de cette victoirs.
enuoye Lychas vers Dejanire ſa femme, pour luy porter le veſtement dont il ſouloir vſer aux ſacrifices.	envoie Lychas vers Déjanire sa femme, pour lui porter le vêtement dont il souloir user aux sacrifices.
Mais elle entree en lalouſie, & doutant que ſon mary la dedaignaſt pour l’amour d’lole, la luy enuoya trempee dans le ſang do Centaute, Neſſus qui luy auoit conſeille d’en vſer ainſi, quand elle le verroit eſpris de l’amour d’vne autre.	Mais elle entrée en lalousie, et doutant que son mari la dédaignât pour l'amour d'élole, la grande envoya trempée dans le sang do Centaute, Nessus qui lui avait conseille d'en user ainsi, quand elle le verrait épris de l'amour d'une autre.
Mais Hercule n’a pas ſi toſt veſtu ceſte robe, qu’ilſent le venin s’attacher à tout ſon corps, & le deuorer;	Mais Hercule n'a pas si tôt vêtu cette robe, qu'ilsent le venin s'attacher à tout son corps, et le dévorer;
dont courroucé contre Lychas il le precipite en la mer.	dont courroucé contre Lychas il le précipite en la mer.
Deianire entendant ce deſaſtre aduenu contre ſon intẽtiõ, ſe tue de ſa propre main, & Hercule aduerty de la fraude du Cẽtaure, & ſe reſouuenant d’vne prophetie de la foreſt de Dodone iugeantſa fin eſtre venue, faict baſtir vn bu cherſur le monCeta où il ſe bruſle, ſes cendres ſont recueillies par Alcmene ſa mere, à laquelle il apparoiſt aprts Ia mort, & la conſole ſur l’aſſeurance qu’il eſtoit monté au Ciel, & teceu au nombre des Dieux.	Dianire entendant ce désastre avenu contre son intẽtiõ, se tue de sa propre main, et Hercule averti de la fraude du Centaure, et se résouvenant d'une prophétie de la forêt de Dodone jugeanta fin être venue, fait bâtir un bu chersur le monCeta où il se brûle, ses cendres sont recueillies par Alcène du mere, à laquelle il apparais après mort, et la console sur l'assurance qu'il était monté au Ciel, et tec au nombre des Dieux.
Les Acteurs.	Les Acteurs.
HERCVLE.	HÉRCULE.
NOVRRICE.	NOURRICE.
IOLE.	IOLE.
LICHAS.	LICHAS.
CHOEVR des HYLE.	CHOEUR des HILE.
dames Echali- AICMENE.	dames Échali- AICMENE.
ennes.	ennes.
PHILOCTETE.	PHILOCTETTE.
DEÏANIRE.	DEANIRE.
CHOEVR	CHOEUR
A MONSIEVR DE SAINCTE-MARTHE.	À MONSIEUR DE SAINCTE-MARTHE.
ADVOCAT EN PARLEMENT.	ADVOCAT EN PARLEMENT.
