PAR MONSIEVR BORÉE,	PAR MONSIEUR BORE,
M.	M.
DC.	DC.
XXVII.	XXVII.
Auec Priuilege du Roy.	Avec Privilège du Roi.
ON PRINCE, le vous offre AME A 3 le Grand, ce vainqueur de Rhodes, la terreur des Othomans, vn de vos Ayeuls, & le plus genereux Prince de ſon aage, comme vous du voſtre.	ON PRINCE, le vous offre ÂME A 3 le Grand, ce vainqueur de Rhodes, la terreur des Othomans, un de vos Aussi, et le plus généreux Prince de son âge, comme vous du vôtre.
Les Muſes, qui font eſtat de reſuſciter les morts, & de les faire reuiuré pleins de gloire dans la bouche des hõmes, l’auroient faict pluſtoſt paroiſtre, ſi parmy ceux ceux qui leur font des hommages, elles euſſent peû trouuer vne plume plus deuote à la memoire des grãds Capitaines.	Les Muses, qui font état de ressusciter les morts, et de les faire reuiuré pleins de gloire dans la bouche des hommes, l'auraient fait plutôt paraître, si parmi ceux ceux qui leur font des hommages, elles eussent pu trouver une plume plus dévote à la mémoire des grands Capitaines.
qu’à la ſottiſe de ce malheureux ſiecle.	qu'à la sottise de ce malheureux siècle.
Ne l’ayant peû faire, ellès ont differe, iuſques à tant que ie leur ay preſenté tout ce que pouuoit la mienne.	Ne l'ayant pu faire, ellès ont diffère, jusqu' à tant que peine leur ai présenté tout ce que pouvait la mienne.
Ce n’eſt pas, qu’vne autre plus ferme.	Ce n'est pas, qu'une autre plus ferme.
& plus habile n’euſt peû s’acquitter plus dignément de ce deuoir:	et plus habile n'eût pu s'acquitter plus dignément de ce devoir:
mais puis qu’elles n’en trouuoient point parmy le nombre de tant d’Eſcriuains, & qu’il leur faſchoit de voir ſi long » temps vn ſi grand Prince dans les obſcuritez de tant de tenebres, elles ont eſté cõtraintes de ſe ſeruir de celle, qui par leur leur commandement s’eſt ſouuent exercée en la compoſition de pluſieurs Poëmes, & principalement aux victoires d’vn Alexandre.	mais puis qu'elles n'en trouvaient point parmi le nombre de tant d'Écrivains, et qu'il leur fâchait de voir si long " temps un si grand Prince dans les obscurités de tant de ténèbres, elles ont été cõtraintes de se servir de celle, qui par leur leur commandement s'est souvent exercée en la composition de plusieurs Poèmes, et principalement aux victoires d'un Alexandre.
Or ce ſeroit peu de rédonner la vie au grand AME', ſans le vouloir conduià quelque Prince, qui fiſt eſtat de ſes vertus, & qui priſt plaiſir à paſſer ſa veuë ſur l’hiſtoire de ſes cõqueſtes:	Or ce serait peu de rédonner la vie au grand ÂME, sans le vouloir conduià quelque Prince, qui fît estat de ses vertus, et qui prît plaisir à passer sa vue sur l'histoire de ses cõquestes:
c’eſt pourquoy ces doctes Vierges m’ont oblige, non ſeulement à le retirer du ſilence;	c'est pourquoi ces doctes Vierges m'ont oblige, non seulement à le retirer du silence;
