YV RE, R Y	YU RE, R Y
Puis qu'en fin la Comedie eſt en vn poinct, où les plus honneſtes recreàtions ne luy peuuent plus cauſer d’enule, où elle ſe peut vanter d’eſtre la paſſion de toute l'a France, & le diuertiſſement meſme de voſtre Majesté.	Puis qu'en fin la Comédie est en un point, où les plus honnêtes recreàtions ne lui peuuent plus causer d'enule, où elle se peut vanter d'être la passion de toute l'a France, et le divertissement prendre de votre Majesté.
Ie ne trouue plus de honte à pareſtre,& ie fais gloire d’auoir aydé à la rendre belle comme elle eſt.	Je ne trouve plus de honte à paraître, apprendre fais gloire d'avoir aidé à la rendre belle comme elle est.
Les excellentes qualitez de voſtre eſprit font aſſeziuger que tout ce que vous eſtimez eſt eſtimable:	Les excellentes qualités de votre esprit font asseziver que tout ce que vous estimez est estimable:
& ma Muſe ſeroit vne fille trop honteuſe, ſi elle traignoit la veuë du peuple, apres auoir eſté tareſſée par le plus grand Roy de la terre.	et ma Muse serait une fille trop honteuse, si elle traignait la vue du peuple, après avoir été taressée par le plus grand Roi de la terre.
En effect, SIRE, i’ay tant trauaillé à la rendre capable l'ay renduë ſi modeſte, & i’ay pris tant de peine à polir ſes mœurs, que ſi elle n'eſt belle, au moins elle eſt ſage, & que d’vne profane i'en ay fait vne Religieuſe:	En effet, SIRE, j'ai tant travaillé à la rendre capable l'ai rendue si modeste, et j'ai pris tant de peine à polir ses mœurs, que si elle n'est belle, au moins elle est sage, et que d'une profane j'en ai fait une Religieuse:
ce ſont les quàlitez qui vous la rendent aymable, & qui la font aller aux pieds de voſtre Majeſté, teſmoigner combien elle eſt ſenſible à l’honneur que vous luy faites:	ce sont les quàlitez qui vous la rendent aimable, et qui la font aller aux pieds de votre Majesté, témoigner combien elle est sensible à l'honneur que vous lui faites:
le premier abord des grands, eſtonne la plus ferme aßeurance, & les meilleurs eſprits font quelque fois de mauuais complimens en ces premieres viſites, premiere de meſme elle pourra ceſte fois vous dire de mauuaiſes choſes:	le premier abord des grands, étonne la plus ferme assurance, et les meilleurs esprits font quelque fois de mauvais compliments en cette premières visites, première de même elle pourra cette fois vous dire de mauvaises choses:
mais le temps, & voſtre accueil l’enhardiront, & la rnedront vne autrefois plus eloquente:	mais le temps, et votre accueil l'enhardiront, et la rènedront une autrefois plus éloquente:
quoy qu’il en ſoit elle ſera aſſez ſatisjaut de ſoy-meſmt, ſeue oous teſmoigne ſa paſſion, & ſi elle me procure la permij ſion de me dire.	quoi qu'il en soit elle sera assez satisjaut de soi-même, sève ô témoigne sa passion, et si elle me procure la permij our de me dire.
DeV.	DeV.
M.	M.
SIRE, Le tres-humble, tres-obeyſſant, & tres affectionné ſeruiteur & ſubject, E n’empeſche pour le Roy que la Comedie intitulée La Bague de l’Oubly ſoit Imprimée & miſe en lumiere par CLAVDE LA RIVIERE, Marchand Libraire de cette Ville, auec defences à tous autres en tel cas requiſes & accouſtumées.	SIRE, Le très-humble, très-obéissant, et très affectionné serviteur et sujet, E n'empêche pour le Roi que la Comédie intitulée La Bague de l'Oubli soit Imprimée et mise en lumière par CLAUDE LA RIVIERE, Marchand Libraire de cette Ville, était défenses à tous autres en tel cas requises et accoutumées.
FAIT à Lyon, ce 22.	FAIT à Lyon, ce 22.
