Auec Priuilege du Roy.	Avec Privilège du Roi.
TRAGEDIE SVR LA MORT DO ROY	TRAGÉDIE SUR LA MORT DO Y
A LA REYNE REGENTE EN FRANCE.	À LA REINE RÉGENTE EN RANCE.
A DAME, Il y a deux ans, que ceſte Tragedie & moy, euſmes l’honneur d’eſtre eſclairez des rayons de vos beauxyeux, lors quevoſtre Majeſté me cõmenda la mettre en lumiere.	À DAME, Il y a deux ans, que cette Tragédie et moi, eûmes l'honneur d'être éclairez des rayons de vos beauxyeux, lors quevotre Majesté me commanda la mettre en lumière.
Mon poëme Heroïque de l’Egliſe triomfante, que i’ay paracheué depuis, & le peu fortuné ſuccez de mõ voyage m’en ont diuerty plus long temps que ie ne deuois, puis que ny les Lauriers tres-floriſſans, ny les deſplorables Cyprez du plus grãd & victorieux Monarque de I’Vniuers, ne deuoient eſtre chãtez d’vne Muſe moins releuee que la mienne, qui peuſt parler des Armes, comme les ayãt portees:	Mon poème Héroïque de l'Église triomfante, que j'ai parachevé depuis, et le peu fortuné succès de mon voyage m'en ont diverti plus long temps que ieans devais, puis que ni les Lauriers très-florissans, ni les déplorables Chyprès du plus grãd et victorieux Monarque de J'Univers, ne devaient être chãtez d'une Muse moins relève que la mienne, qui pût parler des Armes, comme les ayant portées:
& des Rois plus valeureux, pour auoir l’ame Royalle, & non moins accõpagnee de valeur en ce qui regarde le ſeruice deu aux Majeſtez du Roy voſtre tres-genereux fils, & à lavoſtre Madame, que ie ſeray touArburo defreun d eitre fonoré de vos commandemens, & me pouuoir dire ſous voſtre adueu.	et des Rois plus valeureux, pour avoir l'âme Royalle, et non moins accompagne de valeur en ce qui regarde le service de aux Majestez du Roi votre très-généreux fils, et à lavotre Madame, que je serai touArburo défreun d fitre fonoré de vos commandements, et me pouvoir dire sous votre aveu.
MADAME, Voſtre tres-humble, tres fidelle, & 2 tres-affectionné ſeruiteur, COVRGENAY.	MADAME, Votre très-humble, très fidèle, et 2 très-affectionné serviteur, COURGENAY.
ARGVMENT DEEA IRACEDIE.	ARGUMENT DEA IRACEDIE.
ENRY IE GRAND, le plus vay lureux & victorieux Monarque de ce ſiecle, heritier de HENRY troiſieſme Roy de France, contraint de vuider l’eſpee à la main, les droicts de ſa ſocceſſion, s’enrichit d’autant de lautiers & de trophees durant ces guerres dernières, que de palmes & de triomphes de ſa clemence.	ENRY JE GRAND, le plus vais lureux et victorieux Monarque de ce siècle, héritières de HENRY troisième Roi de France, contraint de vider l'épée à la main, les droits de sa soccession, s'enrichit d'autant de lautiers et de trophées durant ces guerres dernières, que de palmes et de triomphes de sa clémence.
Apres auoir donné la paix aux ſiens & aux Princes eſtrangers, contrains faire ioug ſous les effoits de ſa magnanimité, r’aſſeuré les vaincus par l’amniſtie du vainqueur, & recueilly tant de belles fleurs de lys ſur les roſes de la plus belle Reyne de l’Vniuers:	Après avoir donné la paix aux siens et aux Princes étrangers, contrains faire joug sous les effaits de sa magnanimité, rassuré les vaincus par l'amnistie du vainqueur, et recueilly tant de belles fleurs de lys sur les roses de la plus belle Reine de l'Univers:
le lendemain du ſacre de ceſte grande Princeſſe, & le iour precedant ſon entree, eſt traiſtrement & proditoirement meurtry dans ſon coche, lors qu’il eſtoit preſt de paroiſtre à la teſte de cent mil hommes, & s’eſtablir Monarque de la meilleure partie de l’Europe.	le lendemain du sacre de cette grande Princesse, et le jour précédant son entrée, est traîtrement et proditoirement meurtri dans son coche, lors qu'il était prêt de paraître à la tête de cent mil hommes, et s'établir Monarque de la meilleure partie de l'Europe.
Ceſte playe ſi lamentable ſaigne encor, trop fraiche dans les cœurs des vrays & naturels François, & en particulier dans le mien, pour m’eſlargir dauantage ſur vn ſoiect ſi lamentable.	Cette plaie si lamentable saigne encor, trop fraîche dans les cœurs des vrais et naturels Français, et en particulier dans le mien, pour m'élargir davantage sur un soiect si lamentable.
La Tragedie ſe tepreſente dã, Paris, où ce malheureux coup fut fait, & les Acteurs, quelques vns de ceux qui ſe trouuerent lors en laCour.	La Tragédie se teprésente dans, Paris, où ce malheureux coup fut fait, et les Acteurs, quelques uns de ceux qui se trouvèrent lors en laCour.
LA REINE.	LA REINE.
CHANCELIER.	CHANCELIER.
eus ne da nes	eus ne da nés
AhUNS.	AhUNS.
Mb ldenivos	Mb lédenivos
M.	M.
DESPERNON COL.	DÉPERNON COL.
DE L’INFANT.	DE L'INFANT.
MAD.	MAD.
DE GVENCHEVILE, DAME	DE GUENCHÉVILE, DAME
D'HONNENR DE LA REINE.	D'HONENR DE LA REINE.
MAD.	MAD.
LA MARQVISE D’ANCRE.	LA MARQUISE D'ANCRE.
MONS.	MONS.
DE SVILLY.	DE SVILLY.
MONS.	MONS.
LE MAR.	LE MAR.
DE BOISDAVPH.	DE BOISDAUPH.
L iae Ru lre DuSV RERE Le PERE.	 Lae Ru lre DuSV RERE Le PERE.
MONS.	MONS.
DE MONBASON.	DE MONBASON.
CHOEVR DES COVRTISANS.	CHOEUR DES COURTISANS.
CHOEVR DES PARISIENS.	CHOEUR DES PARISIENS.
LE PARRICIDE.	LE PARRICIDE.
HENRY LE GRAND.	HENRY LE GRAND.
TRAGEDIE DE CLAVDE BILLARD Sieur de Courgenay.	TRAGÉDIE DE CLAUDE BILLARD Sieur de Courgenay.
ACTE I.	ACTE I.
SATAN.	SATAN.
E n’ay rompu mes ceps, ie n’ay briſé ces chaines, Qui tant de ſiecles d’ans ont redoublé mes peines Ez gouffres plus hydeux du Phlegeton boüillant, Où les flots de Bitume, & d’vn gouffre bruſlant, Le ſalpeſtre, le naphte, & la fumee eſpaiſſe De cent boüillons fumeux, animent vengereſſe La peine des damnez, leurs regrets doloreux, Et le ver qui les ronge à iamais mal-heureux:	E n'ai rompu mes ceps, on n'ai brisé ces chaines, Qui tant de siècles d'ans ont redoublé mes peines Éz gouffres plus hideux du Phlégeton bannant, Où les flots de Bitume, et d' gouffre brûlant, Le salpêtre, le naphte, et la fumée épaisse De cent boüillons fumeux, animent vengeresse La peine des damnez, leurs regrets doloreux, Et le ver qui les ronge à jamais malheureux:
Ie n’ay quitté l’obſcur de ces nuicts eternelles, Qu'afin d’auoir l’honneur que mes mains criminelles Rougiſſantes depourpre, armees de fureur, Soient taintes dans le ſang du plus grand Empereur, E nis	Je n'ai quitté l'obscur de ces nuits éternelles, Qu'afin d'avoir l'honneur que mes mains criminelles Rougissantes dépourpre, armées de fureur, Soient taintes dans le sang du plus grand Empereur, E nis
Du Roy plus renommé, plus celebre de gloire, Qu'oncques eterniſa le temple de victoire, Que iamais le Dieu Mars aye admiré vainqueur Les Lauriers ſur le front, & les mirtes au cœur.	Du Roi plus renommé, plus célèbre de gloire, Qu'onc éternisa le temple de victoire, Que jamais le Dieu Mars aie admiré vainqueur Les Lauriers sur le front, et les myrtes au cœur.
Depuis ce iour fatal, ceſte heure malheureuſe, Titanides ailez, ſous mes drapeaux flottans Combatirent le ciel, du ciel culebutans, Froiſſez de mil' eſclats de l’enſoufré tonnerre, Qui nous plongea cendreux dans le fonds de la terre;	Depuis ce jour fatal, cette heure malheureuse, Titanides ailé, sous mes drapeaux flottant Combatirent le ciel, du ciel culebutants, Froissez de mil' éclats de l'ensoufré tonnerre, Qui nous plongea cendreux dans le fond de la terre;
I'ay eſté mal ſeruy, moins encor aßiſté:	J'ai été mal servi, moins encor assisté:
La vengeance, l’horreur, le ſang, la cruauté, M’ont ſi peu ſatisfaict, qu’il ſemble que Megere Sommeille dans Paris, qu’elle n’aye vipere, Ny cheueux de Dragon, ny flambeaux animez Qui neſoient endormis, qui ne ſoient conſumez, Si i'euſſe rien valu, ſi i'euſſe eu du courage Autant que de vouloir, autant que d’aduantage Enſurpriſe, en deſſeins, ce grand Dieu foudroyant M’euſt quitté ſon Empire, & le Gros flamboyant Des Cherubins ailez, de ces heureux Archanges Seruiroit de trophee à mes iuſtes loüanges.	La vengeance, l'horreur, le sang, la cruauté, M'ont si peu satisfait, qu'il semble que Megère Sommeille dans Paris, qu'elle n'aie vipère, Ni cheveux de Dragon, ni flambeaux animés Qui naissaient endormis, qui ne soient consumez, Si j'eusse rien val, si eusse eu du courage Autant que de vouloir, autant que d'avantage Ensurprise, en desseins, ce grand Dieu foudroyant M’eût quitté son Empire, et le Gros flamboyant Des Cherbins ailé, de ces heureux Archanges Seruiroit de trophée à mes iustes Em.
Mais ie fus mal ſeruy, le ſort, & le deſtin, Triompherent de moy leur plus riche butin.	Mais pu fus mal servi, le sort, et le destin, Triomphèrent de moi leur plus riche butin.
Aux Poles ma valeur a ſeruy de trophee, Ce vent d’ambition außi toſt eſtouffee Que ie la fis paroiſtre, euſt à moins d’vn clin d'œil, Pour tous Sceptres l'Enfer, les gouffres pour cercueil,	Aux Poles ma valeur a servi de trophée, Ce vent d'ambition aussi tôt étouffe Que iela fis paraître, eût à moins d'un clin d'œil, Pour tous Sceptres l'Enfer, les gouffres pour cercueil,
Quoy?	Quoi?
n’eſt-ce pas aſſez, mais bien trop, que tant d’Ames, Tant d’Anges mes Demons, ne preſidẽt qu’aux flames D'vn Cocyte bruiant, que formez ſi diuins, Par la ſeule rigueur des impiteux Deſtins Nous ſoyonss deſchaſſez de ces places vacquantes, Que l’Eternel reſerue aux troupes fayneantes D’vn tas de bandouillers, de paillards, d’aſſaſins, Qu'vn ſoupir, vne larme oſte d’entre mes mains:	n'est-ce pas assez, mais bien trop, que tant d'Ames, Tant d'Anges mes Demons, ne presidène qu'aux flammes D'un Cocyte bruyant, que formez si divins, Par la seule rigueur des impiteux Destins Nous soyons déchassez de ces places vacquantes, Que l'Éternel réserve aux troupes fayneantes D'un tas de bandouillers, de paillards, d'assasins, Qu'un soupir, une larme ôte d'entre mes mains:
Sans qu’encor l’Eſprit ſainct, & la grace diuine Retirans ces pendars, ceſte fauſſe vermine Des abiſmes d’Auerne, au beau milieu des feux, Ces cœurs enſanglantez guindent leur ame aux cieux:	Sans qu'encor l'Esprit saint, et la grâce divine Rétyrans ces pendards, cette fausse vermine Des abîmes d'Auerne, au beau milieu des feux, Ces cœurs ensanglantez guindent leur âme aux cieux:
Nous coniurent au nom de l’enfant de Marie, Nom formidable au Stix, qui nous pert, nous deſcrie, Fait deſmordre ma priſe:	Nous conjurent au nom de l'enfant de Marie, Nom formidable au Stix, qui nous pert, nous décrie, Fait démordre ma prise:
& qu’vn ſeul maloſtru La hayre ſur le dos, ſoit adoré, ſoit cru, Doiue faire miraclé, aye plus de creance Que tous mes Regimens, mon ſceptre, & ma puiſſance?	et qu'un seul malôtru La haire sur le dos, soit adoré, soit cru, Doive faire miraclé, aie plus de créance Que tous mes Regiments, mon sceptre, et ma puissance?
Si Dieu regne là haut, s’il eſt le Iupiter Qui fait mouuoir les Cieux, qui peut accrauanter De mil eſclas de foudre à pointe rougiſſante Tant de corps animez, la croupe noirciſſante Du Caucaze venteux, qu’à-t’il à quereler Sur le rond de la terre ou l’ondoyant de l’air, Qui doiuent pour le moins me reſter en partage Puis qu'il m'a forbanny du celeſte heritage?	Si Dieu regne là haut, s'il est le Jupiter Qui fait mouvoir les Cieux, qui peut accravanter De mil éclas de foudre à pointe rougissante Tant de corps animez, la croupe noircissante Du Caucaze venteux, qu'à-t’-il à quereler Sur le rond de la ' ou ondoyant de l'air, Qui doivent pour le moins me rester en partage Puis qu'il m'a forbanni du ciel héritage?
*x	*x
Non, non, c’eſt trop paty, c’eſt trop braué les miens, Ie luy feray ſentir que mes ceps, mes liens, Mes forces, mon Empire, & ma ſombre couronne Ont bien d’autres reſſors, autre effort de Bellone, Qu'alors que peu ruſé ie luy quitté poltron L’Empyree brillant pour leſombre Acheron.	Non, non, c'est trop pâti, c'est trop bravé les miens, Je lui ferai sentir que mes ceps, mes liens, Mes forces, mon Empire, et ma sombre couronne Ont bien d'autres ressors, autre effort de Belone, Qu'alors que peu rusé entre lui quitté poltron L'Empire brillant pour les Acheron.
Pour vn ſeul mouuemẽt, pour vne ſimple offence, Nous Anges, nous creez d’vne mortelle eſſence, Sommes bannis du Ciel:	Pour un seul mouvement, pour une simple offense, Nous Anges, nous créez d'une mortelle essence, Sommes bannis du Ciel:
& ces traiſtres mortels Qui luy ont mille fois prophané ſes Autels, Blaſphemé ſon nom ſainct, & vice deſſus vice Transgreſſeurs de ſa loy, merité le ſupplice.	et ces traîtres mortels Qui luitaît mille fois prophané ses Autels, Blasphemé son nom saint, et vice dessus vice Transgresseurs de sa loi, mérité le supplice.
Digne de leurs meffaicts, vn ſeul flot de leurs yeux, Vn ſimple repentir les campe dans les Cieux.	Digne de leurs mêffaits, un seul flot de leurs yeux, Un simple repentir les campe dans les Cieux.
Dequoy me peut ſeruir ma ſubſtance etheree, Mon ſçauoir infiny, ma valeur adoree, Qu’immortel, Souuerain des abiſmes plus ereux, La fuſcine en la main ie range valeureux Tant d’Ames ſous mes loix, ſi le Prince du Pole M’arreste tout à coup, ſi la ſimple parole Non de luy, mais d’vn Ange, ou du moindre des Saincts Triomphe de mes vœux, renuerſe mes deſſeins?	Dequoy me peut servir ma substance éthérée, Mon savoir infini, ma valeur adorée, Qu'immortel, Souverain des abîmes plus ereux, La fuscine en la main encore range valeureux Tant d'Ames sous mes lois, si le Prince du Pole M'arrête tout à coup, si la simple parole Non de lui, mais d'un Ange, ou du moindre des Saints Triomphe de mes vœux, renverse mes desseins?
Ce qui m’offence plus, le comble de ma honte, Ces volages François dont la fougue eſt ſi prompte, Vray naphte au premier feu de ma tentation, Ont beau faillir, pecher, ie ne voy nation Plus cherie de luy, quand apres mil offences	Ce qui m'offense plus, le comble de ma honte, Ces volages Français dont la fougue est si prompte, Vrai naphte au premier feu de ma tentation, Ont beau faillir, pécher, je ne voy nation Plus chérie de Seigneur, quand après mille offenses
