M.	M.
D C.	D Ç.
XXXII.	XXXII.
Auec Priuilege du Roy.	Avec Privilège du Roi.
A MADEMOISELLI DE BOVRBON	À MADEMOISELLI DE BOURBON
ADEMOISELLE, Voicy vn Berger qui ſe preſente deuãt vour pour vous raconter ſes Auantures.	ADEMOISELLE, Voici un Berger qui se présente devant vour pour vous raconter ses Aventures.
Vous atrop de bonté pour ne luy pas accorquelques heures, & peut-eſtre außi treuuereZ-vous pas ſon entretien descable.	Vous atrop de bonté pour ne lui pas accorquelques heures, et peut-être aussi treuuereZ-vous pas son entretien descable.
Il ſeroit trop heureux, MADEMOISELLE, de pouuoir tellement gagner vos bonnes graces, que ſi vous auez encore vn iour le deſſein de repreſenter quelque Pastorale, vous iugeaßiez, celle-cy digne de vostre choix.	Il serait trop heureux, MADEMOISELLE, de pouvoir tellement gagner vos bonnes grâces, que si vous avez encore un jour le dessein de représenter quelque Pastorale, vous iugeassiez, celle-cy digne de votre choix.
Bon Dieu!	Bon Dieu!
que de Princes ſeroient rauis de vous ouyr faire les plaintes de Syluie, & que cette Bergere tireroit de ſouſpirs apres elle, ſi elle ſouſpiroit par vostre bouche:	que de Princes seraient ravis de vous ouïr faire les plaintes de Syluie, et que cette Bergère tirerait de soupirs après elle, si elle soupirait par votre bouche:
Toutesfois, MADEMOISELLE, peut-estre ne voudriez-vous pas prendre vn ſt bas perſonnage, puis qu’il y en a icy de plus conuenables à voſtre naiſſance;	Toutefois, MADEMOISELLE, peut-être ne voudriez-vous pas prendre un st bas personnage, puis qu'il y en a ici de plus convenables à votre naissance;
La Beauté & la Majesté des Diuinitez qui font le Prologue & la Concluſion de cette Pastorale, ne ſçauroient eſtre bien repreſentées que par vous ſeule:	La Beauté et la Majesté des Divinités qui font le Prologue et la Conclusion de cette Pastorale, ne sauraient être bien représentées que par vous seule:
Encor ie ne voy pas comment vous pourriez ſe bien vous déguiſer pour repreſenter le déguiſement d’Amour, qu’on ne vous priſt touſiours plustoſt pour Uenus, ſous les habits d’vn autre ſexe, que pour ſon fils, ſous la forme d’vn Berger.	Encor assez ne vois pas comment vous pourriez se bien vous déguiser pour représenter le déguisement d'Amour, qu'on ne vous prît toujours plutôt pour Uenus, sous les habits d'un autre sexe, que pour son fils, sous la forme d' Berger.
Le ſeul perſonnage donc qui vous resteroit, c’eſt celuy de cette Mere des graces, ou il vous ſeroit permis de faire éclatter toutes les voſtres:	Le seul personnage donc qui vous resterait, c'est celui de cette Mère des grâces, ou il vous serait permis de faire éclatter toutes les vôtres:
Et certes, MADEMOISELLE, on n’en pouuoit pas treuuer vn qui vous vint mieux que celuy-cy qui finit la Pastorale, puis qu’außi bien apres vous auoir veue, on uiout otu.	Et certes, MADEMOISELLE, on n'en pouvait pas trouver un qui vous vint mieux que celui-cy qui finit la Pastorale, puis qu'avez bien après vous avoir vue, on uiout ô.
