A MADAMOISELLE DE ROHAN.	À MADAMOISELLE DE ROHAN.
& ADAMOISELLE.	et ADAMOISELLE.
Si dés l’aage de huict à dix ans vœtre eſprit, & voſtre iugement m'ont donné de l’admiration, que doiuent-ils faire maintenant, que fortifiez par le temps, & par la parfaite cognoiſſance des plus belles choſes, ils ne trouuent rien qui les arreſte, & qui ne ſoit au deſſous de leur portée:	Si dès l'aage de huit à dix ans vœtre esprit, et votre jugement m'ont donné de l'admiration, que doivent-ils faire maintenant, que fortifiez par le temps, et par la parfaite connaissance des plus belles choses, ils ne trouvent rien qui les arrête, et qui ne soit au dessous de leur portée:
Pour moy ie confeſſe que ie ne ſçay point de termes qui le puiſſent exprimer, & que depuis quatre ou cinq ans que i'ay mis au iour quelques-vns de mes ouurages, i'ay touſiours eu le deſſein de les y mettre ſous voſtre protection, ſans auoir eu pourtãt la hardieſſe de le faire.	Pour moi esprit confesse que cela ne sais point de termes qui le puissent exprimer, et que depuis quatre ou cinq ans que j'ai mis au jour quelques-uns de mes ouvrages, j'ai toujours eu le dessein de les y mettre sous votre protection, sans avoir eu pourtant la hardiesse de le faire.
Nous oſons bien regarder le Soleil naiſſant, mais lors qu’il s’aduance ſur noſtre oriſon, l’eſclat de ſa lumiere nous offaſque, il m'en eſt arriué de meſme en voſtre endroit, i’ay osé durant vos premuieres annéeyme donner l’honneur de vous voir, & vous me l’aüez permis, ie vous ay donné quelques-vns de mes vers, & vous m'auez fait la faueur de les receuoir, mais auiourd’huy qu'vne grande lumiere vous enuironne, que vostre esprit eſt eſclairé des plus belles cognoiſſances, & que la beauté & la verth ont aſſemblé en vous toutes les perfections du corps & de l’ame:	Nous osons bien regarder le Soleil naissant, mais lors qu'il s'avance sur notre orison, l'éclat de sa lumière nous offasque, il m'en est arrivé de même en votre endroit, j'ai osé durant vos premuières année donner l'honneur de vous voir, et vous me l'aüez permis, Seigneur vous ai donné quelques-vns de mes vers, et vous m'avez fait la faveur de les recevoir, mais aujourd'hui qu'une grande lumière vous environne, que votre esprit est éclairé des plus belles connaissances, et que la beauté et la ue la assemblé en vous toutes les perfections du corps et de âme:
c’est auec raiſon que ie n’ay pas osé me donner l’honneur de vous aller faire la reuerence, & que i’ay craint d’eſtre blaſmé ſi i’auois entrepris de faire voir voſtre nom au front de quelqu'une de mes œuures.	c'est avec raison que je n'ai pas osé me donner l'honneur de vous aller faire la révérence, et que j'ai craint d'être blâmé si j'avais entrepris de faire voir votre nom au front de quelqu'une de mes œuvres.
Paurois eſté toute ma vie dans cette orainte respectueuſe, ſi ie n’euſſe conſideré qu’il y a des hardieſſes qui ſont honneſtes, & que c'eſt pluſtoſt, fuillir de ne les auoir pas que deles auoir;	Paurais sez toute ma vie dans cette orainte respectueuse, si tu n'eusse considéré qu'il y a des hardiesses qui sont honnêtes, et que c'est plutôt, fuillir de ne les avoir pas que deles avoir;
Et puinie ſoanbienque vous n'estes pas de l’hûmeur deces gr.	Et puinie sobienque vous n'êtes pas de l'hûmeur décès gr.
ludl, qui mespriſent tout ce qui eſt au deſ ſous d’eux, vous receuez d’außi bon œil les vœux des malheureux, que de ceux que la fortune fauoriſe.	ludl, qui méprisent tout ce qui est au des sous d'eux, vous recevez d'avez bon œil les vœux des malheureux, que de ceux que la fortune favorise.
C’eſt pourquoy i'eſpere, Madamoiſelle, que vous receurez fauorablement les miens, & le preſent que ie vous fais de ma Calirie, de qui la genereuſe action vous plaira d’autant plus que voſtre affection ne s’attache point aux choſes de la terre, que ſes objets ſont plus releuez, & moins capables de changement.	C'est pourquoi j'espère, Madamoiselle, que vous recevez favorablement les miens, et le présent que je vous fais de ma Calirie, de qui la généreuse action vous plaira d'autant plus que votre affection ne s'attache point aux choses de la terre, que ses objets sont plus relevez, et moins capables de changement.
Il me ſeroit inutile de toucher à vos loüanges dans cette epiſtre, il n’y a point d'homme pour ſi eſloigné qu’il ſoit de noſtre climat qui ne ſçache bien que vous en meritez plus que tous les meilleurs eſprits ne vous en ſçauroient donner, & qu’on ne peut toucher à des choſes ſi delicates ſans les gaſter, pluſtoſt que de les embellir;	Il me serait inutile de toucher à vos louanges dans cette épître, il n'y a point d'homme pour si éloigné qu'il soit de notre climat qui ne sache bientôt que vous en méritez plus que tous les meilleurs esprits ne vous en sauraient donner, et qu'on ne peut toucher à des choses si délicates sans les gâter, plutôt que de les embellir;
