TRAGICOMEDIE PASTORALLE,	TRAGICOMEDIE PASTORALLLE,
Les amours d'Astree & de Celadon, ſont meſlees à celles de Diane, de Siluandré & de Paris, auec les inconstances d’Hilas.	Les amours d'Astre , et de Céladon, sont mêlées à celles de Diane, de Siluandré et de Paris, avec les inconstances d'Hilas.
Par le Sieur de Rayſſiguier Aduocat.	Par le Sieur de Raisiguier Aduocat.
ARIS, Chez NICOLAS BESSIN, au Palais en la galerie des Merciers, ſous la montce de la Cour des Aydes.	ARIS, Chez NICOLAS BESSIN, au Palais en la galerie des Merciers, sous la montée de la Cour des Aides.
M.	M.
DC.	DC.
XXX.	XXX.
AVEC PRIVILEGE DV ROY.	AVEC PRIVILÈGE DU ROY.
A v.	À v.
LECIEJR	LECIEJR
Es Bergeres & ces Bergen que i’auois deſtinez au theatre ſeulement, ont eſté obligez de ſe produire à vn iour plus grand.	Es Bergères et ces Bergén que j'avais destinez au théâtre seulement, ont été obligez de se produire à un jour plus grand.
Ceux qui entendent la Scene & qui cognoiſſent les vers, s’ils ne ſont point intereſſez, y trouueront quelque choſe qui les contentera, & ſans doute les autres me doiuent loüer de leur auoir deuelopé en deux mille vers deux hiſtoires intriquees dans cinq gros volumes:	Ceux qui entendent la Scène et qui connaissent les vers, s'ils ne sont point intéressez, y trouveront quelque chose qui les contentera, et sans doute les autres me doivent louer de leur avoir développé en deux mille vers deux histoires intriquées dans cinq gros volumes:
toutesfois, Lecteur, tu es libre, & moy de meſme, Adieu.	toutefois, Lecteur, tu es libre, et moi de même, Adieu.
MADEMOISELLE 11 DE RAGNII ADEMOISELLE, 90 receu d’elle tous les aduantages qu’ell de couſtume de donner ſeparément pluſieurs:	MADEMOISELLE 11 DE RAGNII ADEMOISELLE, 90 reçu d'elle tous les avantages qu'elle de coutume de donner séparément plusieurs:
Neantmoins ſi vous ne tin voſtre naiſſance des illuſtres maiſons Ragny, & de Rets, il ſemble qu’il vor defaudroit quelque choſe:	Néanmoins si vous ne tin votre naissance des illustres maîtres Ragni, et de Rets, il semble qu'il vor défaudrait quelque chose:
