A MONSEIGNEVR 10 20 LE PRINCE.	À MONSEIGNEUR 10 20 LE PRINCE.
ONSEIGNEVR, Comme il n’appartient qu’aux grands Princes, vos pareils, de produiré les plus rares actions de la vertu ſur le theatre du monde, pour ſe rendre autant admirables qu’imitables à la poſterité;	ONSEIGNEUR, Comme il n'appartient qu'aux grands Princes, vos pareils, de produiré les plus rares actions de la vertu sur le théâtre du monde, pour se rendre autant admirables qu'imitables à la postérité;
Ainſi la gloire qui ſert de prix à leur courſe, ſemble mourir en naiſſant, lors que les Muſes n’en immor taliſent la renommée.	Ainsi la gloire qui sert de prix à leur course, semble mourir en naissant, lors que les Muses n'en immor talisent la renommée.
C’eſt pourquoy ce Monarque Macedonien, plus grand encore d’effets que de nom, auoüa franchement que la valeur d’Achille empruntoit sõ plus beau luſtre des vers d’Homere qui la ſemerent par l’vniuers.	C'est pourquoi ce Monarque Macédonien, plus grand encore d'effets que de nom, auoüa franchement que la valeur d'Achille empruntait sommes plus beau lustre des vers d'Homère qui la semèrent par l'univers.
Car bien que l’hiſtoire ſoit la vraye ſource où ſe puiſent les loüanges de ceux qui courberent la teſte ſous le faix des lauriers, qui eurent la fortune en leurs mains, & l’enuie ſous les pieds;	Car bien que l'histoire soit la vraie source où se puisent les langes de ceux qui courbèrent la tête sous le faix des lauriers, qui eurent la fortune en leurs mains, et l'envie sous les pieds;
Si eſt-ce que les ruiſſeaux de la Poëſie y contribuent beaucoup, cette venerable Sybille pronoçant en faueur de ceux qui l’honorent, certains Oracles qui ne meurent iamais en la bouche des hommes, & ſa iuſte œconomie diſperſſant à quicõque les merite, des couronnes tiſſuës de ces fleurs qui rajeuniſſent en la vieilleſſe des ſaiſons.	Si est-ce que les ruisseaux de la Poésie y contribuent beaucoup, cette vénérable Sybille prononçant en faveur de ceux qui l'honorent, certains Oracles qui ne meurent jamais en la bouche des hommes, et sa juste œconomie disperssant à quiconque les mérite, des couronnes tissues de ces fleurs qui rajeunissent en la vieillesse des saisons.
Seule occaſion qui obligea les plus fameux Capitaines de l’antiquité à cherir & s’appro1 prier quelques Poëtes particuliers, ainſi que trompettes capables de faire bruire leurs loüanges d’vn hemiſphere à l’autre.	Seule occasion qui obligea les plus fameux Capitaines de l'antiquité à chérir et s'approés prier quelques Poètes particuliers, ainsi que trompettes capables de faire bruire leurs louanges d' Hémisphère à l'autre.
Et ſans foüiller de plus vieux monuments ailleurs qu’en noſtre France, qui ne ſçait que Charlemagne, outre l’amour qu’il leur portoit, ſe daigna luy-meſme exerçer au meſtier des Muſes, que S.	Et sans fonciller de plus vieux monuments ailleurs qu'en notre France, qui ne sait que Charlemagne, outre l'amour qu'il leur portait, se daigna M-même exerçer au métier des Muses, que S.
Louis duquel vous tirez, MONSEIGNEVR, outre l’origine, vne emulation de toute ſorte de vertu, reuoqua par vne beneficence continuée en ſes ſucceſſeurs, celles que l’ignorance auoit bannies de leur Empire, ce qui auint ſous Louis XII.	Louis duquel vous tirez, MONSEIGNEUR, outre l'origine, une émulation de toute sorte de vertu, révoqua par une bénéficence continuée en ses successeurs, celles que l'ignorance avait bannies de leur Empire, ce qui avait sous Louis XII.
François I.	Français I.
Charles IX.	Charles IX.
duquel ce diuin Ronſard fut l’ame & les delices.	duquel ce divin Ronsard fut l'âme et les délices.
Quant à noſtre ſiecle où les meilleurs ouuriers de ce bel art ſont les moins heureux & recherchez, ou il faut eſtre auſſi bon courtiſan que mauuais Poëte pour faire fortune;	Quant à notre siècle où les meilleurs ouvriers de ce bel art sont les moins heureux et recherchés, ou il faut être aussi bon courtisan que mauvais Poète pour faire fortune;
ma pauure Muſe vagabonde & flotante ſur vn Ocean de miſeres, n’a dans le Ciel de la France veu d’Aſtre fauorable qui la pût preſeruer de naufrage, que le voſtre, MONSEIGNEVR:	ma pauvre Muse vagabonde et flotante sur un Ocean de misères, n'a dans le Ciel de la France vu d'Astre favorable qui la pût préserver de naufrage, que le vôtre, MONSEIGNEUR:
Elle n’a eu ſon refuge qu’a ce Temple ouuert auquel vous preſidez & reſidez dans l’vn de nos plus celebres Parnaſſes, comme la Deité tutelaire de ces filles de memoire, qui luy conſacrent de ma part vné élite de derniers poëmes, ainſi que le courage de l’Auteur:	Elle n'a eu son refuge qu'a ce Temple ouvert auquel vous présidez et résidez dans l'un de nos plus célèbres Parnasses, comme la Dé glaire de ces filles de mémoire, qui était consacrent de ma part uné élite de derniers poèmes, ainsi que le courage de l'Auteur:
Trop heureux, ſi vous eſtimez ce preſent par l’affection, plus que par autre valeur, & ſi l’honneur de vous auoir pleu, acomplit en vn tous ſes vœux qui ſe bornent à demeurer	Trop heureux, si vous estimez ce présent par l'affection, plus que par autre valeur, et si l'honneur de vous avoir plu, acomplit en un tous ses vœux qui se bornent à demeurer
MONSEIGNEVR,	MONSEIGNEUR,
Uostre plus humble & plusobeiſſant ſeruiteur.	OUotre plus humble et plusobéissant serviteur.
HARDY.	HARDY.
AV LECTEVR.	AU LECTEUR.
D Vcun ne doit trouuer estrange, ſi à l’exemple d’vn pere qui ſemble naturellement obligé de quelque preference d’affection vers les enfants qui luy reſſemblent le plus, Ie donne vn droit de primogeniture contre l’ordre, à ce dernier volume qui vient de ſortir au iour, Veu que les precedents me font rougir de la honte des Imprimeurs, auſquels l’auarice fiſt trahir ma reputation, eſtans ſi pleins de fautes, tant à l’ortographe qu’aux vers, que ie voudrois de bon cœur en pouuoir effacer iuſques à la memoire.	 Dcun ne doit trouver étrange, si à l'exemple d'un père qui semble naturellement obligé de quelque préférence d'affection vers les enfants qui lui ressemblent le plus, Je donne un droit de primogéniture contre l'ordre, à ce dernier volume qui vient de sortir au jour, Veu que les précédents me font rougir de la honte des Imprimeurs, auxquels l'avarice fît trahir ma réputation, étant si pleins de fautes, tant à l'ortographe qu'aux vers, que ie voudrais de bon cœur en pouvoir effacer jusques à la mémoire.
Au regard du dernier, vn Imprimeur digne de ſa profeßion, te le rend, Amy Lecteur, oûtre qu’il conſiſte d’vne élite de poëmes ſoigneuſement elabourez, außi correct que le peut ſouffrir la premiere preſſes bref que ſa diligence contribuant à mon labeur, le donne au public, capable de contenter les plus difficiles, ſinon de l’eſprit au moins de la veuë, ou poßible de tous les deux.	Au regard du dernier, un Imprimeur digne de sa profession, te le rend, Ami Lecteur, outre qu'il consiste d'une élite de poèmes soigneusement elleabourez, aussi correct que le peut souffrir la première presses bref que sa diligence contribuant à mon labeur, le donne au public, capable de contenter les plus difficiles, sinon de l'esprit au moins de la vue, ou posible de tous les deux.
Car iaçoit que Paris excelle en nombre d’Imprimeurs, qui ne le cedent à aucuns de l’Europe;	Car iaçoit que Paris excelle en nombre d'Imprimeurs, qui ne le cèdent à aucuns de l'Europe;
