PAALTAANDRE ITARDI,PaTſnen.	PALTANDRE ITARDI,PaTsnen.
Seconde Edition, Reueuë & corrigée ſur le manuſcript.	Seconde Édition, Revue et corrigée sur le manuscript.
A F ARIS Chez IACQVES QVESNEL, ruë ſaint Iaques, aux Colombes prés ſaint Benoît.	À F RIS Chez IACQUES QUESNEL, rue saint Jaques, aux Colombes prés saint Benoît.
M.	M.
DC.	DC.
XXVIII.	XXVIII.
les Priuileze duPay	les Priuileze duPai
ONSIEVR, Encore que les premiers fruits n’atteignent pas cette perfection de bontè́, que leur apporte le temps, on les conſacroit anciennement aux Dieu, par vne préference d’honneur qui ſe rendoit agreable, ſemblant la nouueauté ſuppléer à ce qui d’ailleurs eſtoit defectueux, ainſy cette inimitable Hiſtoire d’Heliõ	ONSIEUR, Encore que les premiers fruits natteignent pas cette perfection de bonté, que leur apporte le temps, on les consacrait anciennement aux Dieu, par une préférence d'honneur qui se rendait agréable, semblant la nouveauté suppléer à ce qui d'ailleurs était défectueux, ainsy cette inimitable Histoire d'Heliõ
A MONSIEVR, MONSIEVR PAYEN, CONSEILLER DV ROY en ſa Cour de Parlement de Paris, & Sieur des Landes.	À MONSIEUR, MONSIEUR PAÏEN, CONSEILLER DU ROY en sa Cour de Parlement de Paris, et Sieur des Landes.
dore, à laquelle i’ay fait prendre le cothurne François, ecloſe pendãt les boüillons d’vne ieuneſſe, s’oſe ieter en l’azile de votre protection, comme ſeul qui dans la France auez reçeu ma pauure Muſe à bras ouuerts en ſon afliction, & vù de bon œil ce peu de fleurs, qu’elle a pû produire entre les épines de toutes ſortes d’incommoditez:	dore, à laquelle j'ai fait prendre le cothurne Français, eclose pendant les bouillons d'une jeunesse, s'ose jeter en l'asile de votre protection, comme seul qui dans la France avez reçu ma pauvre Muse à bras ouverts en son afliction, et v de bon œil ce peu de fleurs, qu'elle a pu produire entre les épines de toutes sortes d'incommodités:
or ne doutay-je point, qu'aſſez de Momes, plus louches d’enuie, que ſubtils de iugement, ne donnent icy force coups de dents, mais en cela me ſufit la conſolation, d’auoir compagnons les meilleurs Poëtes de notre France, à qui les rimeurs d’auiourd’huy, font encore la guerre dans le tombeau.	or ne doutai-je point, qu'assez de Momes, plus louches d'envie, que subtils de jugement, ne donnent ici force coups de dents, mais en cela me suffit la consolation, d'avoir compagnons les meilleurs Poètes de notre France, à qui les rimeurs d'aujourd'hui, font encore la guerre dans le tombeau.
Mon ambition ne fut, ne ſera iamais ſi laſche que de leur vouloir complaire, ne mon courage ſi bas que de les craindre, & quant au Theatre François chacun ſçait s’il m'eſt redeuable, ou non.	Mon ambition ne fut, ne sera jamais si lâche que de leur vouloir complaire, ne mon courage si bas que de les craindre, et quant au Théâtre Français chacun sait s'il m'est redevable, ou non.
Vne préſomptueuſe vanité ne m'emportera pas außi à dire, qu’entre cinq cens Poëmes Dramatiques, tout marche d’vn pas égal, le cours de lavie humaine y contredit, ioint que ma fortune ſe peut aparier l'embléme d’Alciat, où les ETISIRL.	Une présomptueuse vanité ne m'emportera pas aussi à dire, qu'entre cinq cents Poèmes Dramatiques, tout marche d'un pas égal, le cours de lavie humaine y contredit, joint que ma fortune se peut apparier l'emblème d'Alciat, où les ÉTISIRL.
fers de la pauureté empẽchent l'eſprit de voler dans les Cieux.	fers de la pauvreté emportement l'esprit de voler dans les Cieux.
Il me ſufit aſſez, que parmy ce nombre incroyable le bien emporte le mal, & que cette telle quelle vigueur de Genie, apres trente ans ne reçoiue aucune diminution, plus preſt que iamais de preſter le collet à ceux qui en douteront.	Il me suffit assez, que parmi ce nombre incroyable le bien emporte le mal, et que cette telle quelle vigueur de Génie, après trente ans ne reçoive aucune diminution, plus prêt que jamais de prêter le collet à ceux qui en douteront.
Ie ſçay bien que beaucoup de ces frelons, qui ne ſeruent qu'à manger le miel, incapables d’en faire, trouueront à cenſurer, ſur ce qu'autres deuant moy, n’ont enchaine tels Poëmes à vne ſuite directement contraire aux loix qu’Horace preſcrit en ſon art Poëtique;	Je sais bien que beaucoup de ces frelons, qui ne servent qu'à manger le miel, incapables d'en faire, trouveront à censurer, sur ce qu'autres devant moi, n'ont enchaine tels Poèmes à une suite directement contraire aux lois qu'Horace prescrit en son art Poëtique;
mais que ceux-là ſe repreſentent, que tout ce qu’aprouue l’vſage, & qui plaît au public, deuient plus que legitime;	mais que ceux-là se représentent, que tout ce qu'aprouve l'usage, et qui plaît au public, devient plus que légitime;
car qu’eſt-ce außy de l’Eneide, qu'vn Poeme continué, où les perſonages s’introduiſent tour à tour?	car qu'est-ce aussi de l'Eneide, qu'un Poème continué, où les personages s'introduisent tour à tour?
& ſauf la diſtinction des Scenes, tout ſemblable a celuycy, qui pourtant ne leſuit que de loin, & ne voudroy ofencer ce diuin chef-d’œuure d’vne profane comparaiſon.	et sauf la distinction des Scène, tout semblable a celuici, qui pourtant ne lesuit que de loin, et ne voudrais offenser ce divin chef-d'œuvre d'une profane comparaison.
Telles excuſes ſuperflües, il me ſufit (MONSIEVR) ſi ce petit ouurage vous plaît qui me tenez le lieu, qu'vn ancien diſoit de Platon, votre aueu luy pare les coups de la médiſance, & enfle le courage de l’Auteur, pour témoigner vn iour en quelqu'autre mieux étofé que ie ſuis,	Telles excuses superflues, il me suffit (MONSIEUR) si ce petit ouvrage vous plaît qui me tenez le lieu, qu'un ancien disait de Platon, votre aveuil pare les coups de la médisance, et enfle le courage de l'Auteur, pour témoigner un jour en quelqu'autre mieux étouffé que je suis,
IEVR,	JEUR,
Votre plus humble, redeuable, & afectioné ſeruiteur, A.	Votre plus humble, redevable, et afectioné serviteur, A.
HARDY	HARDY
LE LIBRAIRE ETV LECIEVN.	LE LIBRAIRE ETU LECIEUN.
MY Lecteur ie te donne pour la ſeconde fois cette Hiſtoire Ethiopique, exactement reueuë & corrigee d’vn grand nombre de fautes qui s’eſtoient gliſſees en la premiere Edition.	MI Lecteur ie te donne pour la seconde fois cette Histoire Ethiopique, exactement revue et corrige d'un grand nombre de fautes qui s'étaient glisse en la première Édition.
Elle eſt ſi pure & ſi nette que ie m’aſſeure que tu ne la trouueras pas indigne de ta curioſité, & que maintenant l’Autheur l’auoüera pour ſienne.	Elle est si pure et si nette que femme m'assure que tu ne la trouveras pas indigne de ta curiosité, et que maintenant l'Auteur l'auoüera pour sienne.
