TLEDAME DEXXEEXES*	TLÉDAME DEXXEXES*
ADAME,	ADAME,
Si mon eſprit eſtoit capable de mettre au iour des choſes plus ſerieuſes, ie ne vous dédierois point vn ESPRIT FOLET, mais des ouurages auſſi excellens que le voſtre eſt capable d’en produire.	Si mon esprit était capable de mettre au jour des choses plus sérieuses, fait ne vous dédierais point un ÉPRIT FOLET, mais des ouvrages aussi excellents que le vôtre est capable d'en produire.
Tout ainſi que ce foible Eſprit qui fait le bouffon de la piece (& qui à bon droit en peut eſtre nommé le Heros, puiſque c’eſt luy qui fait la plus grande partie du ſujet) croit eſtre enchanté par les choſes eſtonnantes qui ſe preſentent à ſes yeux, il n’y a perſonne qui ne croye l’eſtre en contemplant les merueilles de voſtre viſage, que ie nõme à bon droit l’Abregé des merueilles de ce ſiecle.	Tout ainsi que ce faible Esprit qui fait le bouffon de la pièce (P qui à bon droit en peut être nommé le Héros, puisque c'est lui qui fait la plus grande partie du sujet) croit être enchanté par les choses étonnantes qui se présent à ses yeux, il n'y a personne qui ne croie l'être en contemplant les merveilles de votre visage, que notre nomme à bon droit l'Abregé des merveilles de ce siècle.
Quoy que voſtre modeſtie m’aye defendu demettrre voſtre nom au frontiſpice de ce Liure, ce titre que ie vous donne vous doit faire aſſez cognoiſtre de ceux qui ont eu l’honneur de vous auoir veuë, ie parle meſme de celles de voſtre ſexe;	Quoi que votre modestie m'aie défendu demettrre votre nom au frontispice de ce Livre, ce titre que je vous donne vous doit faire assez connaître de ceux qui ont eu l'honneur de vous avoir vue, je parle même de celles de votre sexe;
parmy leſquelles, quoy que le monſtre d’enuie regne tres-abſolument, il faut pour ce coup qu’il meure, puis que pas vne ne vous peut diſpr ter cette qualité, ſans perdre auec la veuë la raiſon & le iugement.	parmi lesquelles, quoi que le montre d'envie règne très-absolument, il faut pour ce coup qu'il meure, puis que pas une ne vous peut dispr ter cette qualité, sans perdre avec la vue la raison et le jugement.
Par mon autre piece, qui eſt toute preſte d’eſclorre, & qui ne paroiſtra point en public que ſous voſtre nom, ſi vous mele permettez, comme ie vous en conjure, on verra que ſi ie fais paſſer cet ESPRIT FOLET ſous voſtre protection, ce n’eſt à autre deſſein que pour vous prier d’agreer les ſumiſſions d’vne perſonne autantindigne de vous les rendre, que ce Liure l’eſt de porter en teſte voſtre nom, que ie reuere de ſorte, que la principale de mes ambitions eſt de meriter par mes ſeruices la qualité,	Par mon autre pièce, qui est toute prête d'éclorre, et qui ne paraîtra point en public que sous votre nom, si vous mêle permettez, comme ie vous en conjure, on verra que si je fais passer cet ÉPRIT FOLET sous votre protection, ce n'est à autre dessein que pour vous prier d'agréer les sumissions d'une personne autantindigne de vous les rendre, que ce Livre l'est de porter en tête votre nom, que je veure de sorte, que la principale de mes ambitions est de mériter par mes services la qualité,
Voſtre tres-humble & Le.	Votre très-humble et Le.
Leïſſam ſeruiteur,	Léissam serviteur,
D'OVVILLE.	D'OUVILLE.
A MONSIEVR D’OVVILLE, SVR SA COMEDIE DE RIT FOLET.	À MONSIEUR D'OUILLE, SVR SA COMÉDIE DE RIT FOLET.
SONNET.	SONNET.
OVVILLE, à quel propos charmes-tu nos D eſpni.	OUVILLE, à quel propos charmes-tu nos D ni.
Penſes-tu nous ſurprẽdre, & nous rendre incapables De tout ce que l’on croit de ces corps non palpables, Dont les illuſions font que l’homme eſt ſurpris?	Penses-tu nous surprendre, et nous rendre incapables De tout ce que l'on croit de ces corps non palpables, Dont les illusions font que l'homme est surpris?
Bien que le tien, ſubtil en ſes rares eſcrits, Nous veut faire paſſer des Lutins pour des fables, T'en veux croire pourtant les rapports veritables Dans cét ESPRIT FOLET, de qui ie ſuis épris.	Bien que le tien, subtil en ses rares écrits, Nous veut faire passer des Lutins pour des fables, T'en veux croire pourtant les rapports véritables Dans cet ÉPRIT FOLET, de qui ie suis épris.
Il emprunte le corps & la forme d’vn liure, Qui fait voir ton genie;	Il emprunte le corps et la forme d'un livre, Qui fait voir ton génie;
& qui joru reuiure A iamais ton renom comme il fait aujourd’huy.	et qui joru revivre A jamais ton renom comme il fait aujourd'hui.
Ila des pieds nombreux, on les voit, on les touche, Et dans ſon entretien, bien qu’il n’ait point de bouche, Il parle toutefois par l’organe d’autruy.	Ila des pieds nombreux, on les voit, on les touche, Et dans son entretien, bien qu'il n'ait point de bouche, Il parle toutefois par l'organe d'autrui.
CVILLEMOT,	CVILEMOT,
OVIS par la grace de Dieu Roy de France & de Nauart́e, A nos âmez & feaux Conſeillers les Gens tenans nos Cours de Parlemens, Maiſtres des Requeſtes ordinaires de noſtre Hoſtel, Baillifs, Seneſchaux, Preuoſts, leurs Lieutenans, & à tous autres de nos Iuſticiers & Officiers qu’il appartiendra, Salut.	OUÏS par la grâce de Dieu Roi de France et de Navartte, A nos âmez et féaux Conseillers les Gens tenants nos Cours de Parlements, Maîtres des Requêtes ordinaires de notre Hôtel, Baillifs, Sénéchaux, Preuôts, leurs Lieutenants, et à tous autres de nos Iticiers et Officiers qu'il appartiendra, Salut.
Noſtre cher & bien amé TOVSSAINT QVINET, Marchand Libraire de noſtre bonne ville de Paris, Nous a fait remonſtrer qu’il deſiroit faire imprimer vne Comedie intitulée L’Eſprit Folet.	Notre cher et bien amé TOUSSAINT QUINET, Marchand Libraire de notre bonne ville de Paris, Nous a fait remontrer qu'il désirait faire imprimer une Comédie intitulée L'Esprit Folet.
Ce qu’il ne peut faire ſans auoir ſur ce nos Lettres, humblement nous tequerant icelles:	Ce qu'il ne peut faire sans avoir sur ce nos Lettres, humblement nous tequérant icelles:
