CLIMENE.	CLIMENE.
TRAGI-COMEDIEPASTORALE.	TRAGI-COMEDIEPASTORALE.
Par le Sr DE LA CROIX.	Par le Sr DE LA CROIX.
Auec pluſieurs autres Oeuures du meſme	Avec plusieurs autres Oeuures du Seigneur
PAR I S Chez IEAN CORROZET, au Palais, ſur le perron de la Saincte Chappelle.	PAR I S Chez IEAN COROROZET, au Palais, sur le perron de la Sainte Chapelle.
M.	M.
DC.	DC.
XXIX.	XXIX.
625 AVEC PRIVILEGE DV ROT.	625 AVEC PRIVILÈGE DU ROT.
A MADAME MADAME DESLOGES.	À MADAME MADAME DÉLOGES.
ADAME, Puiſque la France voue doit autant d’eloges que la ville d’Athenes en a donné à ſa Deeſſe, c’eſt bien luſtement que les plus beaus eſprits de ce ſiecle eſtiment qu’il y auroit à redire à leur reputation ſi vous nel antz approuuée, & que vous estre inconeu n’eſt pas le moindre defaut que puiſſe auoir vn honneſte homme.	ADAME, Puisque la France voue doit autant d'éloges que la ville d'Athène en a donné à sa Déesse, c'est bien lustement que les plus beaus esprits de ce siècle estiment qu'il y aurait à redire à leur réputation si vous nel ant approuvée, et que vous être inconse n'est pas le moindre défaut que puisse avoir un honnête homme.
Cette verité que perſonne ne contredit me ſolicite a recercher tauantage:	Cette vérité que personne ne contredit me solicite a recercher tavantage:
non que ie ne ſçache bien, ie mon eſprit qui n’a rien de bon que le deſir de faire quelque choſe digne de vous, ſera poßible estimé trop preſomptueus de paroiſtre deuant vous auec ſi peis de ſuffiſance.	non que je ne sache bien, Seigneur mon esprit qui n'a rien de bon que le désir de faire quelque chose digne de vous, sera possible estimé trop présomptueus de paraître devant vous avec si péis de suffisance.
Toutes- fois, ſi i’ay la conoiſſance de ces belles qualitez qui vous mettent ſi loing du commun, ie ne ſuis pas en un tel degré d’ignorance qu’on me doiue blaſmer de leur rendre lhommage.	Toutes- fois, si j'ai la conaissance de ces belles qualités qui vous mettent si loin du commun, je ne suis pas en un tel degré d'ignorance qu'on me doive blâmer de leur rendre lhommage.
Tous ſçauent, & c’eſt eſtre eſtranger en ſon pays de l’ignorer, que les plus ſçauans & les plus grands de ce Royaume, ne treuuent rien de preferable à la douceur de voſtre conuerſation.	Tous sçauent, et c'est être étranger en son pays de l'ignorer, que les plus savants et les plus grands de ce Royaume, ne trouvèrent rien de préférable à la douceur de votre conversation.
Et bien que ie ſois deſpourueu de tout ce qui eſt neceſſatre pour la meriter, & de ce qu’il faut auoir pour eſtre mis au rang de ces hommes illuſtres qui nous enſeignẽt le vray chemin de l’Eloquence;	Et bien que je sois dépourvu de tout ce qui est nécessatre pour la mériter, et de ce qu'il faut avoir pour être mis au rang de ces hommes illustres qui nous enseignent le vrai chemin de l'Éloquence;
Neantmoins ſi la peur de ſe perdre donne vne hardieſſe aſſez priuiligiée par la neceßité à celisy qui cerche vn lieu pour ſe ſauiser:	Néanmoins si la peur de se perdre donne une hardiesse assez priuiligiée par la necemité à celisy qui cerche un lieu pour se saviser:
Ie m’aſſeure que vous ne treuuerez, point mauuais que ma CLIMENE, ayant enuie de voir le monde, ſe mette en voſtre protection pour ſe garentir de la mediſance.	Je m'assure que vous ne trouverez, point mauvais que ma CLIMENE, ayant envie de voir le monde, se mette en votre protection pour se garantir de la médisance.
Ie ſçay qu’elle eſt indigne de receuoir cette faueur de vous, & qu'elle ne la peut attendre que de vostre bienueillance & non de ſon merite:	Je sais qu'elle est indigne de recevoir cette faveur de vous, et qu'elle ne la peut attendre que de votre bienveillance et non de son mérite:
Außt i'eſpere que vous permettrez que ſa bonne volonté excuſant ſes defauts vous face receuoir le vœu qu’elle vous fait de ſon ſeruice, & vous aſſeure que ie ſuis,	Aussi j'espère que vous permettrez que sa bonne volonté excusant ses défauts vous face recevoir le vœu qu'elle vous fait de son service, et vous assure que je suis,
MADAME,	MADAME,
Voſtre tres-humble, & tres-obeiſſant ſeruiteur, C.	Votre très-humble, et très-obéissant serviteur, Ç.
S.	S.
ABIIOOEMENT AV LECTEVR.	ABIIOOEMENT AU LECTEUR.
My Lecteur, auiourd’huy que chaque TA ſepmaine nous fait voir pluſieurs liures mouueaus, ne penſe pas que i’aye eſté pouße de ce vain deſir d’eſcrire:	Mi Lecteur, aujourd'hui que chaque TA sepmène nous fait voir plusieurs livres mouveaus, ne pense pas que j'aie été pouve de ce vain désir d'écrire:
que ſi tu treuues icy quelque choſe à ton gouſt, tu ne m'en es point obligé, car te t’aſſeure qu’en l’obeyſſance que ie rends à vne perſonne qui peut tout ſur moy, ie n’ay point cu deſſein de te plaire.	que si tu trouves ici quelque chose à ton goût, tu ne m'en es point obligé, car te t'assure qu'en l'obéissance que je rends à une personne qui peut tout sur moi, ainsi n'ai point cv dessein de te plaire.
