M IIATERE 196S	M MIATERE 196S
L'AMINTE DV TASSE.	L'AMINTE DU TASSE.
PASTORALE.	PASTORALE.
Fidellement traduitte de l’Italien en μx vιῶςι Τιb́λκαy cers Françou, & enrichie de Figures.	Fidèlement traduite de l'Italien en μx vιῶςι Τιb́λκαy cers Françou, et enrichie de Figures.
Chez PIERRe ROCOlET, au Palais, Imprimeur & Libraire de la Maiſon de Ville, aux armes de la Ville.	Chez PIERRe ROCOlET, au Palais, Imprimeur et Libraire de la Maison de Ville, aux armes de la Ville.
M.	M.
DC.	DC.
XXXII.	XXXII.
Auec Priuilege du Roy, n fr ttrne)	Avec Privilège du Roi, n fr ttrne)
MADEMOISELLE DE BOVRBON	MADEMOISELLE DE BOURBON
ADEMOISELLE, Voicy vn Berger qui ſe preſente deuãt vous pour vous raconter ſes Auantures.	ADEMOISELLE, Voici un Berger qui se présente devant vous pour vous raconter ses Aventures.
Vous aneiS tropue voms peur ne luy pas accorder quelques heures, & peut-eſtre außi ne treuuereZ-vous pas ſon entretien desagreable.	Vous anéiS tropue voms peur ne le pas accorder quelques heures, et peut-être aussi ne trouverez-vous pas son entretien désagréable.
Il ſeroit tropheureux, MADEMOISELLE, de pouuoir tellement gagner vos bonnes graces, que ſi voüs auez encore vn iour le deſſein de repreſenter quelque Pastorale, vous iugeaßiez celle-cy digne de vostre choix.	Il serait tropheureux, MADEMOISELLE, de pouvoir tellement gagner vos bonnes grâces, que si vus auez encore un jour le dessein de représenter quelque Pastorale, vous iugeassiez celle-cy digne de votre choix.
Bon Dieu!	Bon Dieu!
que de Princes ſeroient rauis de vous ouyr faire les plaintes de Syluie, & que cette Bergere tireroit de ſouſpirs apres elle, ſi elle ſouſpiroit par vostre bouche:	que de Princes seraient ravis de vous ouïr faire les plaintes de Syluie, et que cette Bergère tirerait de soupirs après elle, si elle soupirait par votre bouche:
Toutesfois, MADEMOISELLE, peut-estre ne voudriez-vous pas prendre vn ſi bas perſonnage, puis qu’il y en a icy de plus conuenables à voſtre naiſſance;	Toutefois, MADEMOISELLE, peut-être ne voudriez-vous pas prendre un si bas personnage, puis qu'il y en a ici de plus convenables à votre naissance;
La Beauté & la Majesté des Diuinitez qui font le Prologue & la Concluſion de cette Pastorale, ne ſçauroient eſtre bien repreſentées que par vous ſeule:	La Beauté et la Majesté des Divinités qui font le Prologue et la Conclusion de cette Pastorale, ne sauraient être bien représentées que par vous seule:
Encor ie ne voy pas comment vous pourriez, ſi bien vous déguiſer pour repreſenter le déguiſement d’Amour, qu’on ne vous priſt touſiours plustoſt pour Uenus, ſous les habits d’vn autre ſexe, que pour ſon fils, ſous la forme d’vn Berger.	Encor assez ne vois pas comment vous pourriez, si bien vous déguiser pour représenter le déguisement d'Amour, qu'on ne vous prît toujours plutôt pour Uenus, sous les habits d'un autre sexe, que pour son fils, sous la forme d'un Berger.
Le ſeul perſonnage donc qui vous resteroit, c’eſt celuy de cette Mere des graces, ou il vous ſeroit permis de faire éclatter toutes les voſtres:	Le seul personnage donc qui vous resterait, c'est celui de cette Mère des grâces, ou il vous serait permis de faire éclatter toutes les vôtres:
Et certes, MADEMOISELLE, on n’en pouuoit pas treuuer vn qui vous vint mieux que celuy-cy qui finit la Pastorale, puis qu’außi bien apres vous auoir veue, on a tout veu.	Et certes, MADEMOISELLE, on n'en pouvait pas trouver un qui vous vint mieux que celui-cy qui finit la Pastorale, puis qu'avez bien après vous avoir vue, on a tout vu.
C’eſt ce que confeſſe auec tout le monde celuy qui eſt,	C'est ce que confesse avec tout le monde celui qui est,
MADEMOISELLE,	MADEMOISELLE,
Voſtre tres-humble, & tresobeïſſant ſeruiteur,	Votre très-humble, et tresobeïssant serviteur,
CADT BAAISDEMENT.	CADT BAISDEMENT.
M V t'eſtonneras peut-eſtre, Lecteur, que i’aye mis cét Aminte au iour, apres celuy que tu as veu depuis peu:	M V t'étonneras peut-être, Lecteur, que j'aie mis cet Aminte au jour, après celui que tu as vu depuis peu:
mais quand ie te diray que ie te donne vne verſion tres fidelle, ie m’aſſeure que tu l’eſtimeras digne de ta curioſité:	mais quand notre te dirai que ie te donne une version très fidèle, tu m'assure que tu l'estimeras digne de ta curiosité:
Auſſi ſi nous nous reſſouuenons que ſon Autheur eſtoit vn des plus iudicieux perſonnages d’Italie, nous aurons de la peine à nous figurer que la diſpoſition de ſon ouurage n’ait pas toute la grace requiſe.	Aussi si nous nous ressouvenons que son Auteur était un des plus judicieux personnages d'Italie, nous aurons de la peine à nous figurer que la disposition de son ouvrage n'ait pas toute la grâce requise.
Et de fait, examinons-le en paſſant ſelon les regles de l’art, & dans la ſuitte des éuenemens, & nous verrons ayſémẽt qu’on n’y ſçauroit pas meſme treuuer à redire que tous les accidens ſe font derriere le theatre, horſmis l’éuanouyſſement d’Aminte.	Et de fait, examinons-le en passant selon les règles de l'art, et dans la suite des événements, et nous verrons aisément qu'on n'y saurait pas même trouver à redire que tous les accidents se font derrière le théâtre, hormis l'évanouissement d'Aminte.
Car encore que les choſes qui n’entrent que par l’oreille, ne nous émeuuent pas tant à beaucoup prés que celles qui touchent nos yeux, il eſt pourtant vray qu’il ne faut pas eſtaller en la Scene ce qui ne merite pas d’y eſtre produit, & qu’il eſt bon de ſouſtraire à la cõnoiſſance de la veuë beaucoup de choſes qui ſont incontinent apres ſuffiſamment racontées.	Car encore que les choses qui n'entrent que par l'oreille, ne nous émeuuent pas tant à beaucoup près que celles qui touchent nos yeux, il est pourtant vrai qu'il ne faut pas étaller en la Scène ce qui ne mérite pas d'y être produit, et qu'il est bon de soustraire à la connaissance de la vue beaucoup de choses qui sont incontinent après suffisamment racontées.
C’eſt pourquoy on ne ſçauroit aſſez loüer la modeſtie du Taſſe, de nous auoir caché l’inſolence du Satyre, & la nudité de Syluie:	C'est pourquoi on ne saurait assez louer la modestie du Tasse, de nous avoir caché l'insolence du Satyre, et la nuité de Syluie:
Ce que l’honneſteté l’ayant contraint de faire, il ne pouuoit par conſequent nous faire voir le coup dont Aminte s’alloit tuër ſans le ſecours de Daphné, lors que Syluie ſe mit en fuitte apres qu’il l’eut retirée d’ẽtre les mains du Satyre;	Ce que l'honnêteté l'ayant contraint de faire, il ne pouuoit par conséquent nous faire voir le coup dont Aminte s'allait tuer sans le secours de Daphné, lors que Syluie se mit en fuite après qu'il l'eut retirée d'entre les mains du Satyre;
Ioint que cette action de deſeſpoir d’Aminte eſtoit de mauuais exemple pourle poupre, deuanit qui, comme vn grand maiſtre a dit, il ne faut pas que Medée tuë ſes enfans:	Joint que cette action de désespoir d'Aminte était de mauvais exemple pourle poupre, devanit qui, comme un grand maître a dit, il ne faut pas que Medée tuée ses enfants:
& qu’on ne m’objecte pas que Seneque n’a pas obſerué cecy dans ſa Medée, car ie reſpõdray par la bouche d’vn autre Seneque, qu’on nedoit point pecher par exẽple, & que ce n’eſt pas eſtre innocent que d’imiter la faute d’autruy.	et qu'on ne m'objecte pas que Sénèque n'a pas observé ceci dans sa Medée, car une respõdray par la bouche d'un autre Sénèque, qu'on nedait point pécher par exemple, et que ce n'est pas être innocent que d'imiter la faute d'autrui.
Noſtre Autheur ne pouuoit pas non plus nous faire voir le danger que le Loup fit courir à Syluie, parce qu’il eſtoit à propos que les ſpectateurs, auſsi bien qu’Aminte, la creuſſent morte, & qu’ils compatiſſent à ſa douleur:	Notre Auteur ne pouvait pas non plus nous faire voir le danger que le Loup fit courir à Syluie, parce qu'il était à propos que les spectateurs, aussi bien qu'Aminte, la crussent morte, et qu'ils compatissent à sa douleur:
autrement la narration que Nerine fait de la mort de Syluie, qu’ils euſsẽt ſçeu n’eſtre pas morte, leur eut eſté importune, comme celle que Syluie fait apres du grãd peril qu’elle a couru, leur eut auſsi eſté ſuperfluë.	autrement la narration que Nerine fait de la mort de Syluie, qu'ils eussent su n'être pas morte, leur eut été importune, comme celle que Syluie fait après du grand péril qu'elle a couru, leur eut aussi été superflue.
Il ne reſte plus qu’à parler du dernier deſeſpoir qui porta Aminte à ſe precipiter, & de la concluſion qui ſe fait par les embraſſemens d’Aminte, & de Syluie.	Il ne reste plus qu'à parler du dernier désespoir qui porta Aminte à se précipiter, et de la conclusion qui se fait par les embrassements d'Aminte, et de Syluie.
Pour ce qui eſt du premier, i’ay deſia dit qu’il n’eſtoit pas bõ de faire voir de ces actions de mauuais exemple:	Pour ce qui est du premier, j'ai déjà dit qu'il n'était pas bien de faire voir de ces actions de mauvais exemple:
Pour le ſecond, quãd ie conſidere que ces embraſſements ſont vn peu trop licentieux, & que le peuple meſme ne les ſçauroit ſouffrir ſans riſée, & preſque ſans mocquerie, ie treuue que noſtre Autheur a tres-prudemment fait de nous les cacher, & de nous en apprendre la nouuelle par la bouche d’vn tiers.	Pour le second, quand ne considere que ces embrassements sont un peu trop licentieux, et que le peuple même ne les saurait souffrir sans risée, et presque sans moquerie, Seigneur trouve que notre Auteur a très-prudemment fait de nous les cacher, et de nous en apprendre la nouuelle par la bouche d'un tiers.
L’Epilogue de Venus qui ſuit n’eſt pas du Taſſe, à mon aduis, ny ne ſe rencontre pas dans tous les Amintes:	L'Épilogue de Venus qui suit n'est pas du Tasse, à mon avis, ni ne se rencontre pas dans tous les Amintes:
Ie n’ay pas laiſſé pourtant de le traduire, parce qu’il rend cette piece aucunement plus parfaite.	Je n'ai pas laissé pourtant de le traduire, parce qu'il rend cette pièce aucunement plus parfaite.
C’eſt vne imitation d’vn Poëme Grec de Moſchus, intitulé l’Amour Fugitif, en quoy celuy qui l’a fait n’a pas mal imité le Taſſe, qui s’eſt fort heureuſement ſeruy des anciens Autheurs:	C'est quelque imitation d'une Poème Grec de Moschus, intitulé l'Amour Fugitif, en quoi celui qui l'a fait n'a pas mal imité le Tasse, qui s'est fort heureusement servi des anciens Auteurs:
de ſorte que ce n’eſtoit pas ſans raiſon que quelqu’vn diſoit, qu’il auoit fort de l’air de l’ancienne Rome.	de sorte que ce n'était pas sans raison que quelqu'un disait, qu'il avait fort de l'air de l'ancienne Rome.
I’ay traduit auſsi les Chœurs du troiſieſme & du quatrieſme acte qui ſont paſſables, & qui ſont, à mon aduis, de celuy-là meſme qui a fait l’Epilogue, noſtre Autheur n’en ayant point fait pour ces deux Actes non plus que pour le dernier, parce qu’il s’eſt contenté de le faire parler dans les Scenes de ces trois derniers Actes, ſans le faire encore parler à part à la fin de chacun.	J'ai traduit aussi les Chœurs du troisième et du quatrième acte qui sont passables, et qui sont, à mon avis, de celui-là même qui a fait l'Épilogue, notre Auteur n'en ayant point fait pour ces deux Actes non plus que pour le dernier, parce qu'il s'est contenté de le faire parler dans les Scène de ces trois derniers Actes, sans le faire encore parler à part à la fin de chacun.
Mais puis que i’ay rendu raiſon de ce que i’ay adjouſté, ie diray auſsi que i’ay obmis la prediction de Mopſe que Tirſis raconte à Aminte à la fin du premier Acte:	Mais puis que j'ai rendu raison de ce que j'ai ajouté, tu dirai aussi que j'ai obmis la prédiction de Mopse que Tirsis raconte à Aminte la fin du premier Acte:
Ce n’eſt pas qu’il y ait rien d’inutile ny de lâche dãs ce Chef d’œuure, mais c’eſt que tout ce diſcours eſt allegorique, & qu’il y eſt parlé en termes couuerts de quelques perſonnages d’Italie.	Ce n'est pas qu'il y ait rien d'inutile ni de lâche dans ce Chef d'œuvre, mais c'est que tout ce discours est allégorique, et qu'il y est parlé en termes couverts de quelques personnages d'Italie.
Au reſte (Lecteur) ne t’attends pas que ie t’aille faire icy vn Panegyrique de cette Paſtorale, car i’ay touſjours creu que c’eſtoit trop de preſomption d’entreprendre de loüer ce que tout le monde admire, parce qu’en effet c’eſt comme s’attribuër tacitement la gloire de ſ'en pouuoir mieux acquiter que pas vn, & d’eſtre plus clair-voyant que tous les autres enſemble.	Au reste (Lecteur) ne t'attends pas que sans t'aille faire ici un Panégyrique de cette Pastorale, car j'ai toujours cru que c'était trop de présomption d'entreprendre de louer ce que tout le monde admire, parce qu'en effet c'est comme s'attribuër tacitement la gloire de s'en pouvoir mieux acquitter que pas un, et d'être plus clairvoyant que tous les autres ensemble.
Seulement te diray-je ( & tu le remarqueras ayſément) qu’on ne treuue pas icy ce ſtile enflé, dont quelques-vns ſe bouffiſſent au lieu de ſe remplir.	Seulement te dirai-je ( et tu le remarqueras aisément) qu'on ne trouve pas ici ce style enflé, dont quelques-mêmes se bouffissent au lieu de se remplir.
Bien que l’Amour qui fait icy parler Aminte, & Syluie, ſe ſoit luymeſme reuolté contre ſa mere en la quittant, il parle pourtant par leur bouche en enfant plein de douceur & de reſpect, il eſt touſiours dans la ſoumiſsion, & ne tranche pas tant du maiſtre, qu’il ne ploye ſous la Fortune, & ne la reconnoiſſe pour maiſtreſſe:	Bien que l'Amour qui fait ici parler Aminte, et Syluie, se soit luymesme révolté contre sa mère en la quittant, il parle pourtant par leur bouche en enfant plein de douceur et de respect, il est toujours dans la soumission, et ne tranche pas tant du maître, qu'il ne ploie sous la Fortune, et ne la reconnaisse pour maîtresse:
Il parle, diſ-je, en enfant, & non pas en Geant;	Il parle, dis-je, en enfant, et non pas en Geant;
Il ne fulmine point contre les Dieux au premier deſaſtre qui luy arriue, ny ne les menace point de deſtruire & d’embraſer leurs temples:	Il ne fulmine point contre les Dieux au premier désastre qui porte arrive, ni ne les menace point de détruire et d'embraser leurs temples:
enfin s’il a du feu, ce n’eſt pas le feu d’vne Furie, mais c’eſt celuy d’Amour.	enfin s'il a du feu, ce n'est pas le feu d'une Furie, mais c'est celui d'Amour.
Tu ne liras pas non plus icy ces pointes ſi eſtudiées & ſi recherchées, qui ſont les delices de noſtre ſiecle:	Tu ne liras pas non plus ici ces pointes si étudiées et si recherchées, qui sont les délices de notre siècle:
auſsi ne faut-il guiere d’artifice pour exprimer la naïueté d’vne paſsion;	aussi ne faut-il guière d'artifice pour exprimer la naïveté d'une passion;
il ne faut point tirer de l’eſprit ce qui doit venir du cœur, ny ſonger à vne belle conception lors que l’ame ne demande qu’à enfanter.	il ne faut point tirer de l'esprit ce qui doit venir du cœur, ni songer à une belle conception lors que l'âme ne demande qu'à enfanter.
La douleur, l’amour, & quelques autres paſsions ont cela de propre, qu’elles ſont comme leurs ſages femmes à elles-meſmes;	La douleur, l'amour, et quelques autres passions ont cela de propre, qu'elles sont comme leurs sages femmes à elles-mêmes;
pour ſi peu qu’õy porte la main il faut craindre de les eſtouffer;	pour si peu qu'on porte la main il faut craindre de les étouffer;
& quoy qu’elles demeurent toutes nuës, elles n’en ſont que plus agreables;	et quoi qu’elles demeurent toutes nues, elles n'en sont que plus agréables;
qui les veut trop parer les déguiſe:	qui les veut trop parer les déguise:
La Ioye comme plus licencieuſe, & comme celle qui s’eſtalle au dehors pour eſtre veuë, peut bien ſouffrir quelques ornemens:	La Joie comme plus licencieuse, et comme celle qui s'étalle au dehors pour être vue, peut bien souffrir quelques ornements:
mais la Triſteſſe eſt plus retirée, & plus modeſte, il n’y a rien de plus ſimple, ny de moins ambitieux qu’elle.	mais la Tristesse est plus retirée, et plus modeste, il n'y a rien de plus simple, Seigneur de moins ambitieux qu'elle.
